intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Sep 30 2023|  TO Fri Oct 06 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1696012200000,-5.89,-7.13,-4.67,
1696012800000,-6.02,-7.18,-4.64,
1696013400000,-5.95,-6.93,-4.46,
1696014000000,-5.96,-6.97,-4.46,
1696014600000,-6.01,-6.91,-4.7,
1696015200000,-5.93,-7.04,-4.5,
1696015800000,-5.96,-7.09,-4.7,
1696016400000,-5.77,-6.88,-4.59,
1696017000000,-5.72,-6.98,-4.55,
1696017600000,-4.55,-6.93,-4.66,
1696018200000,-5.94,-7.06,-4.78,
1696018800000,-5.81,-6.94,-4.61,
1696019400000,-5.79,-6.86,-5.06,
1696020000000,-5.79,-6.75,-4.55,
1696020600000,-4.77,-6.89,-4.78,
1696021200000,-5.92,-6.87,-4.57,
1696021800000,-5.8,-6.8,-4.3,
1696022400000,-5.91,-6.76,-4.4,
1696023000000,-5.98,-6.84,-4.95,
1696023600000,-5.96,-6.76,-4.71,
1696024200000,-5.94,-6.74,-4.43,
1696024800000,-5.87,-6.56,-4.72,
1696025400000,-5.61,-6.57,-4.65,
1696026000000,-5.67,-6.59,-4.73,
1696026600000,-4.44,-6.69,-4.71,
1696027200000,-5.69,-6.71,-4.54,
1696027800000,-5.57,-6.49,-4.57,
1696028400000,-5.71,-6.46,-4.53,
1696029000000,-6.41,-6.54,-4.82,
1696029600000,-5.7,-6.5,-4.51,
1696030200000,-5.96,-6.58,-4.48,
1696030800000,-5.86,-6.74,-4.41,
1696031400000,-6.07,-6.53,-4.74,
1696032000000,-4.68,-6.6,-4.53,
1696032600000,-5.89,-6.64,-4.61,
1696033200000,-5.76,-6.59,-4.51,
1696033800000,-5.61,-6.38,-4.42,
1696034400000,-5.36,-6.26,-4.3,
1696035000000,-3.97,-6.24,-4.27,
1696035600000,-5.11,-6.22,-4.27,
1696036200000,-5.08,-6.37,-4.37,
1696036800000,-5.16,-6.23,-4.31,
1696037400000,-3.9,-6.22,-4.46,
1696038000000,-5.34,-6.22,-4.62,
