intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Oct 07 2023|  TO Fri Oct 13 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1696617000000,-6.39,-6.27,-5.3,
1696617600000,-6.35,-6.42,-5.38,
1696618200000,-6.34,-6.46,-5.21,
1696618800000,-6.02,-6.25,-5.17,
1696619400000,-6.02,-5.63,-4.89,
1696620000000,-5.84,-5.71,-4.94,
1696620600000,-4.69,-5.72,-5.04,
1696621200000,-5.92,-5.64,-5.04,
1696621800000,-6.03,-5.39,-4.8,
1696622400000,-5.92,-5.56,-4.98,
1696623000000,-5.69,-5.47,-4.99,
1696623600000,-4.5,-5.58,-4.68,
1696624200000,-5.71,-5.72,-4.73,
1696624800000,-5.73,-5.6,-4.79,
1696625400000,-5.93,-5.47,-4.88,
1696626000000,-5.97,-5.53,-4.7,
1696626600000,-6,-5.47,-4.92,
1696627200000,-5.83,-5.49,-4.83,
1696627800000,-5.9,-5.37,-4.77,
1696628400000,-5.82,-5.36,-4.83,
1696629000000,-5.89,-5.3,-4.68,
1696629600000,-4.7,-5.45,-4.72,
1696630200000,-5.85,-5.35,-4.59,
1696630800000,-5.65,-5.27,-4.65,
1696631400000,-5.63,-5.3,-4.82,
1696632000000,-5.59,-5.23,-4.43,
1696632600000,-5.49,-5.26,-4.95,
1696633200000,-5.57,-5.39,-4.72,
1696633800000,-5.65,-5.34,-4.64,
1696634400000,-5.91,-5.5,-4.78,
1696635000000,-4.68,-5.28,-4.74,
1696635600000,-5.81,-5.28,-4.6,
1696636200000,-5.85,-5.46,-4.74,
1696636800000,-5.55,-6.7,-4.72,
1696637400000,-4.39,-5.36,-5.04,
1696638000000,-5.23,-5.12,-4.54,
1696638600000,-5.1,-5.1,-4.44,
1696639200000,-4.86,-5.1,-4.8,
1696639800000,-5.13,-5.1,-4.94,
1696640400000,-4.89,-5.06,-4.55,
1696640999000,-5,-5.07,-4.74,
1696641600000,-4.95,-5.15,-4.79,
1696642200000,-4.72,-5.22,-4.7,
1696642800000,-3.57,-5.08,-4.92,
1696643400000,-4.78,-5.15,-4.62,
1696644000000,-4.71,-5.06,-4.45,
1696644600000,-4.76,-5.06,-4.37,
1696645200000,-5.03,-5.13,-4.62,
1696645800000,-4.98,-5.14,-4.72,
1696646400000,-5.08,-5.18,-4.66,
1696647000000,-5.03,-5.53,-4.8,
1696647600000,-4.83,-5.53,-4.87,
1696648200000,-4.85,-5.72,-4.93,
1696648800000,-4.77,-5.68,-4.9,
1696649400000,-4.75,-5.72,-4.98,
1696650000000,-3.6,-5.68,-4.78,
1696650600000,-5.12,-5.71,-5,
1696651200000,-5.45,-7.7,-5.41,
1696651800000,-5.76,-6.42,-5.45,
1696652400000,-5.6,-6.54,-5.15,
1696653000000,-5.59,-6.71,-5.65,
1696653600000,-5.61,-6.53,-5.59,
1696654200000,-5.55,-6.47,-5.78,
1696654800000,-4.29,-6.42,-6.06,
1696655400000,-5.86,-6.6,-5.64,
1696656000000,-6.34,-6.92,-5.87,
1696656600000,-6.49,-7.01,-5.67,
1696657200000,-6.52,-7.24,-6.21,
1696657800000,-6.54,-7.6,-6.13,
1696658400000,-6.35,-7.4,-5.84,
1696659000000,-6.54,-7.69,-6.11,
1696659600000,-6.63,-8.56,-5.95,
1696660200000,-6.77,-8.91,-6.17,
1696660800000,-6.83,-8.7,-8.03,
1696661400000,-7.15,-8.82,-8.02,
1696662000000,-7.09,-8.68,-7.66,
1696662600000,-6.77,-8.43,-7.9,
1696663200000,-8.51,-8.04,-7.94,
1696663800000,-8.49,-7.75,-7.7,
1696664400000,-8.57,-7.8,-7.44,
1696665000000,-8.74,-7.57,-7.52,
1696665600000,-7.04,-7.37,-7.49,
1696666200000,-8.55,-7.88,-7.9,
1696666800000,-8.5,-7.51,-7.45,
1696667400000,-8.25,-7.63,-7.47,
1696668000000,-6.52,-7.91,-8.39,
1696668600000,-8.33,-8.15,-7.92,
1696669200000,-6.45,-7.62,-7.76,
1696669800000,-6.72,-8.28,-8.09,
1696670400000,-6.82,-8.12,-7.84,
1696671000000,-6.94,-8.23,-7.64,
1696671600000,-6.64,-7.98,-7.87,
1696672200000,-5.3,-8.17,-9.9,
1696672800000,-6.36,-7.72,-7.71,
1696673400000,-6.29,-7.71,-7.66,
1696674000000,-6.35,-7.78,-7.59,
1696674600000,-6.43,-7.79,-8.13,
1696675200000,-6.57,-7.67,-7.87,
1696675800000,-6.9,-8,-9.48,
1696676400000,-6.92,-7.82,-7.86,
1696677000000,-6.94,-8.25,-8.05,
1696677600000,-6.16,-7.44,-7.51,
1696678200000,-6.51,-7.62,-7.68,
1696678800000,-6.42,-7.29,-7.39,
1696679400000,-6.27,-7.38,-7.38,
1696680000000,-6.4,-7.16,-8.24,
1696680600000,-6.46,-7,-8.02,
1696681200000,-7.01,-6.87,-6.9,
1696681800000,-7.27,-7.23,-6.91,
1696682400000,-7.08,-7.44,-7.38,
1696683000000,-7.06,-7.74,-7.21,
1696683600000,-7.28,-8.32,-7.55,
1696684200000,-7.56,-8.35,-7.31,
1696684800000,-7.24,-8.47,-7.35,
1696685400000,-7.29,-8.34,-7.15,
1696686000000,-6.99,-8.03,-7.98,
1696686600000,-7.23,-7.83,-7.56,
1696687200000,-7.17,-7.44,-7.18,
1696687800000,-7.27,-6.82,-7.32,
1696688400000,-7.42,-7.02,-7.1,
1696689000000,-7.7,-7.55,-6.07,
1696689600000,-7.06,-8.14,-7.27,
1696690200000,-7.05,-7.84,-8.35,
1696690800000,-7.21,-8.01,-8.92,
1696691400000,-6.09,-7.86,-10.59,
1696692000000,-7.3,-7.8,-8.71,
1696692600000,-6.93,-7.49,-6.81,
1696693200000,-6.56,-6.85,-6.45,
1696693800000,-6.43,-6.66,-6.39,
1696694400000,-6.41,-6.99,-8.11,
1696695000000,-6.64,-7.11,-7.92,
1696695600000,-6.58,-7.13,-7.82,
1696696200000,-6.49,-6.99,-7.58,
1696696800000,-6.44,-6.93,-6.31,
1696697400000,-6.36,-6.86,-7.59,
1696698000000,-6.36,-7.29,-8.03,
1696698600000,-6.48,-7.13,-6.25,
1696699200000,-6.73,-6.94,-6.14,
1696699800000,-7.12,-8.73,-7.52,
1696700400000,-7.07,-7.25,-7.45,
1696701000000,-6.9,-7.27,-8.07,
1696701600000,-7.12,-6.94,-7.66,
1696702200000,-6.85,-6.8,-7.11,
1696702800000,-6.49,-6.46,-7.2,
1696703400000,-6.71,-6.65,-7.51,
1696704000000,-6.58,-6.5,-7.24,
1696704600000,-6.4,-6.59,-7.09,
1696705200000,-6.43,-6.67,-7.21,
1696705800000,-6.22,-6.81,-4.82,
1696706400000,-6.22,-6.8,-4.88,
1696707000000,-6.15,-6.72,-4.87,
1696707600000,-4.76,-6.16,-4.98,
1696708200000,-5.86,-6.18,-4.83,
1696708800000,-5.9,-7.46,-4.35,
1696709400000,-5.89,-5.87,-4.49,
1696710000000,-6.02,-5.9,-4.52,
1696710600000,-4.83,-5.88,-4.2,
1696711200000,-5.82,-6.03,-4.23,
1696711800000,-5.81,-5.75,-4.4,
1696712400000,-5.83,-5.45,-4.54,
1696713000000,-5.99,-5.33,-4.37,
1696713600000,-6.04,-5.39,-4.72,
1696714200000,-5.94,-5.33,-4.61,
1696714800000,-5.97,-5.37,-4.2,
1696715400000,-5.81,-5.38,-4.17,
1696716000000,-5.78,-5.33,-4.4,
1696716600000,-5.77,-5.26,-4.26,
1696717200000,-5.86,-5.43,-4.17,
1696717800000,-4.63,-5.44,-4.44,
1696718400000,-6,-5.36,-4.56,
1696719000000,-5.95,-5.36,-4.4,
1696719600000,-4.82,-5.42,-4.45,
1696720200000,-5.76,-5.35,-4.4,
1696720800000,-5.8,-5.44,-4.48,
1696721400000,-5.78,-5.42,-4.36,
1696722000000,-5.81,-5.43,-4.42,
1696722600000,-4.56,-5.42,-4.14,
1696723200000,-5.94,-5.44,-4.46,
1696723800000,-5.93,-5.27,-4.4,
1696724400000,-4.76,-5.23,-4.57,
1696725000000,-5.93,-5.38,-4.41,
1696725600000,-3.86,-5.06,-4.38,
1696726200000,-5.16,-5.04,-4.59,
1696726800000,-4.97,-4.97,-4.26,
1696727400000,-3.85,-5.08,-4.58,
1696728000000,-5.13,-5.01,-4.45,
1696728600000,-3.9,-5.05,-4.07,
1696729200000,-5.1,-5.03,-4.05,
1696729800000,-4.93,-5.3,-4.4,
1696730400000,-3.66,-5.23,-4.53,
