intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jun 08 2024|  TO Fri Jun 14 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1717785000000,-4.71,-7.76,-4.97,
1717785600000,-4.78,-6.44,-5.18,
1717786200000,-4.73,-5.86,-4.86,
1717786800000,-6.83,-5.8,-4.75,
1717787400000,-6.75,-5.7,-5.11,
1717788000000,-4.74,-5.81,-4.94,
1717788600000,-4.93,-5.76,-4.67,
1717789200000,-4.73,-6.04,-5.02,
1717789800000,-4.73,-6.81,-4.91,
1717790400000,-6.75,-6.23,-4.7,
1717791000000,-6.52,-5.96,-4.84,
1717791600000,-4.48,-5.72,-4.82,
1717792200000,-4.5,-5.87,-4.84,
1717792800000,-4.49,-5.77,-4.79,
1717793400000,-4.44,-5.82,-4.71,
1717794000000,-4.4,-5.77,-5.05,
1717794600000,-4.45,-5.87,-4.69,
1717795200000,-4.47,-5.78,-4.92,
1717795800000,-6.5,-5.78,-4.94,
1717796400000,-6.51,-5.77,-4.72,
1717797000000,-6.54,-5.76,-4.77,
1717797600000,-4.47,-6.04,-5.05,
1717798200000,-4.54,-5.85,-4.93,
1717798800000,-4.47,-5.87,-4.98,
1717799400000,-4.47,-5.77,-4.88,
1717800000000,-4.45,-5.78,-4.91,
1717800600000,-4.53,-5.84,-4.92,
1717801200000,-4.51,-5.64,-4.79,
1717801800000,-4.56,-5.68,-4.82,
1717802400000,-4.57,-5.64,-4.49,
1717803000000,-4.54,-5.57,-4.71,
1717803600000,-4.47,-5.8,-4.83,
1717804200000,-4.51,-5.67,-4.86,
1717804800000,-4.46,-7.17,-4.77,
1717805400000,-4.48,-5.68,-4.85,
1717806000000,-4.38,-5.48,-4.89,
1717806600000,-3.75,-5.7,-4.44,
1717807200000,-3.51,-5.95,-4.63,
1717807800000,-3.54,-5.46,-4.63,
1717808400000,-3.46,-5.44,-4.59,
1717809000000,-3.49,-5.32,-4.36,
1717809600000,-3.56,-5.53,-4.39,
1717810200000,-3.44,-5.17,-4.37,
1717810800000,-3.57,-5.29,-4.58,
1717811400000,-3.46,-5.23,-4.75,
1717812000000,-3.59,-5.16,-4.66,
1717812600000,-3.49,-5.14,-4.43,
1717813200000,-3.45,-6.08,-4.36,
1717813800000,-3.44,-5.34,-4.76,
1717814400000,-3.39,-6.28,-4.53,
1717815000000,-3.4,-5.42,-4.58,
1717815600000,-5.43,-5.57,-4.08,
1717816200000,-5.64,-5.94,-4.29,
1717816800000,-3.66,-6,-4.12,
1717817400000,-3.66,-5.83,-4.26,
1717818000000,-3.53,-5.93,-4.26,
1717818600000,-3.5,-6.03,-4.27,
1717819200000,-3.44,-5.95,-4.32,
1717819800000,-3.51,-6.85,-4.94,
1717820400000,-3.57,-5.97,-4.95,
1717821000000,-3.67,-5.8,-4.81,
1717821600000,-5.59,-6.35,-4.96,
1717822200000,-3.64,-7,-4.88,
1717822800000,-3.81,-6.81,-4.95,
1717823400000,-3.9,-7.18,-4.51,
1717824000000,-3.9,-7.48,-4.54,
1717824600000,-3.92,-7.3,-4.8,
1717825200000,-6.26,-7.28,-4.81,
1717825800000,-4.35,-7.61,-4.85,
1717826400000,-4.48,-7.56,-5.12,
1717827000000,-4.29,-7.74,-5.23,
1717827600000,-4.13,-7.73,-4.96,
1717828200000,-4.08,-8,-5.36,
1717828800000,-6.3,-7.68,-5.27,
1717829400000,-4.17,-7.78,-5.03,
1717830000000,-4.35,-7.66,-5.09,
1717830600000,-4.3,-7.66,-5.49,
1717831200000,-4.42,-7.84,-5.05,
1717831800000,-6.62,-7.58,-5.14,
1717832400000,-4.29,-7.24,-5.18,
1717833000000,-4.23,-7.67,-4.97,
1717833600000,-4.32,-7.88,-6.6,
1717834200000,-4.07,-7.8,-5.5,
