intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jun 11 2024|  TO Mon Jun 17 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1718044200000,249,247,250,
1718044800000,250,248,251,
1718045400000,249,247,250,
1718046000000,250,247,251,
1718046600000,250,248,250,
1718047200000,250,248,251,
1718047800000,251,248,251,
1718048400000,250,247,250,
1718049000000,250,247,250,
1718049600000,251,248,251,
1718050200000,251,248,251,
1718050800000,252,249,252,
1718051400000,253,250,253,
1718052000000,253,249,253,
1718052600000,252,249,252,
1718053200000,253,251,254,
1718053800000,253,251,254,
1718054400000,253,251,254,
1718055000000,253,251,254,
1718055600000,253,251,253,
1718056200000,254,251,254,
1718056800000,254,251,254,
1718057400000,254,251,254,
1718058000000,254,252,255,
1718058600000,254,252,255,
1718059200000,253,250,253,
1718059800000,253,250,253,
1718060399000,252,250,253,
1718061000000,252,250,253,
1718061600000,252,250,252,
1718062200000,252,249,252,
1718062800000,251,249,252,
1718063400000,251,249,252,
1718064000000,251,249,252,
1718064599000,250,248,251,
1718065200000,249,247,249,
1718065800000,249,246,249,
1718066400000,249,246,250,
1718067000000,247,245,248,
1718067600000,248,246,249,
1718068200000,247,244,247,
1718068800000,248,245,249,
1718069400000,247,244,248,
1718070000000,252,250,253,
1718070600000,249,246,250,
1718071200000,249,246,250,
1718071800000,247,245,248,
1718072400000,248,245,248,
1718073000000,248,245,248,
1718073600000,250,247,250,
1718074200000,249,246,250,
1718074800000,249,246,250,
1718075400000,248,246,246,
1718076000000,248,245,248,
1718076600000,246,244,246,
1718077200000,250,246,250,
1718077800000,246,243,246,
1718078400000,248,246,248,
1718079000000,246,244,247,
1718079600000,246,243,246,
1718080200000,246,243,247,
1718080800000,246,244,247,
1718081400000,247,244,247,
1718082000000,246,243,246,
1718082600000,246,243,246,
1718083200000,246,243,247,
1718083800000,246,244,246,
1718084400000,248,246,249,
1718085000000,248,247,249,
1718085600000,247,245,247,
1718086200000,247,244,248,
1718086800000,247,246,245,
1718087400000,247,245,248,
1718088000000,246,244,247,
1718088600000,245,244,247,
1718089200000,245,243,247,
1718089800000,249,246,249,
1718090400000,246,243,246,
1718091000000,248,245,249,
1718091600000,246,243,247,
1718092200000,248,245,248,
