intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Dec 12 2023|  TO Mon Dec 18 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1702319400000,254,252,254,
1702320000000,251,251,252,
1702320600000,251,251,252,
1702321200000,252,251,253,
1702321800000,252,251,253,
1702322400000,252,251,252,
1702323000000,253,252,253,
1702323600000,253,252,254,
1702324200000,254,253,254,
1702324800000,253,252,254,
1702325400000,253,252,254,
1702326000000,254,253,254,
1702326600000,255,255,255,
1702327200000,253,253,254,
1702327800000,255,253,255,
1702328400000,255,253,255,
1702329000000,254,254,255,
1702329600000,255,254,255,
1702330200000,255,254,255,
1702330800000,254,254,254,
1702331400000,255,253,254,
1702332000000,254,253,254,
1702332600000,255,253,255,
1702333200000,254,253,255,
1702333800000,255,254,255,
1702334400000,254,253,254,
1702335000000,254,253,254,
1702335600000,254,253,254,
1702336200000,254,252,254,
1702336800000,254,253,254,
1702337400000,254,252,254,
1702338000000,253,252,254,
1702338600000,253,252,253,
1702339200000,253,252,253,
1702339800000,251,250,252,
1702340400000,251,250,252,
1702341000000,253,252,253,
1702341600000,251,250,251,
1702342200000,249,248,249,
1702342800000,247,246,247,
1702343400000,248,247,248,
1702344000000,246,244,246,
1702344600000,247,246,247,
1702345200000,246,246,247,
1702345800000,248,247,248,
1702346400000,249,248,249,
1702347000000,248,248,249,
1702347600000,248,247,248,
1702348200000,248,247,249,
1702348800000,249,248,249,
1702349400000,247,246,248,
1702350000000,246,246,244,
1702350600000,247,246,248,
1702351200000,246,246,246,
1702351800000,247,245,247,
1702352400000,248,246,248,
1702353000000,247,246,246,
1702353600000,248,247,248,
1702354199000,246,245,245,
1702354800000,247,243,246,
1702355400000,247,244,246,
1702356000000,249,246,248,
1702356600000,244,243,245,
1702357200000,247,246,246,
1702357800000,246,244,245,
1702358400000,245,244,244,
1702359000000,246,244,246,
1702359600000,246,244,246,
1702360200000,245,243,245,
1702360800000,246,244,247,
1702361400000,244,243,245,
1702362000000,244,243,245,
1702362600000,246,245,247,
1702363200000,244,243,245,
1702363800000,246,245,247,
1702364400000,246,244,247,
1702365000000,245,242,245,
1702365600000,246,244,247,
1702366200000,245,243,245,
1702366800000,246,245,247,
1702367400000,244,242,244,
1702368000000,245,243,245,
1702368600000,245,243,246,
1702369200000,245,243,246,
1702369800000,246,244,247,
1702370400000,245,243,246,
1702371000000,245,243,246,
1702371600000,245,243,245,
1702372199000,245,243,245,
1702372800000,244,242,244,
1702373400000,244,243,246,
1702374000000,246,244,246,
1702374600000,246,244,247,
1702375200000,246,245,247,
1702375800000,246,245,246,
1702376400000,247,245,246,
1702377000000,248,246,248,
1702377600000,248,246,247,
1702378200000,245,243,246,
1702378800000,246,244,247,
1702379400000,245,243,245,
1702380000000,244,242,246,
1702380600000,246,244,246,
1702381200000,246,244,247,
1702381800000,248,245,248,
1702382400000,247,245,247,
1702383000000,248,246,247,
1702383600000,247,245,247,
1702384200000,248,247,248,
1702384799000,248,246,248,
1702385400000,248,246,247,
1702386000000,247,245,247,
1702386600000,246,245,247,
1702387200000,246,245,246,
1702387800000,247,245,247,
1702388400000,248,247,248,
1702389000000,248,247,248,
1702389600000,246,245,246,
1702390200000,247,246,247,
1702390800000,247,245,247,
1702391400000,248,247,248,
1702392000000,248,246,248,
1702392600000,248,247,248,
1702393200000,248,247,248,
1702393800000,248,247,248,
1702394400000,248,247,248,
1702395000000,248,247,248,
1702395600000,247,245,247,
1702396200000,247,245,247,
1702396800000,248,247,249,
1702397400000,249,247,249,
1702398000000,250,249,250,
1702398600000,250,249,251,
1702399200000,250,249,250,
1702399800000,250,248,250,
1702400400000,251,250,251,
1702401000000,252,251,252,
1702401600000,249,247,249,
1702402200000,250,249,250,
1702402800000,249,247,249,
1702403400000,250,248,250,
1702404000000,250,249,250,
1702404600000,250,249,250,
1702405200000,251,249,251,
1702405800000,252,250,252,
1702406400000,251,249,251,
1702407000000,251,249,251,
1702407600000,251,250,251,
1702408200000,251,250,251,
1702408800000,252,251,252,
1702409400000,252,251,252,
1702410000000,252,251,252,
1702410600000,252,251,253,
1702411200000,252,251,253,
1702411800000,252,251,252,
1702412400000,253,251,253,
1702413000000,253,251,253,
1702413600000,252,251,252,
1702414200000,252,252,253,
1702414800000,253,252,253,
1702415400000,253,252,253,
