intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Sep 12 2023|  TO Mon Sep 18 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1694457000000,251,252,252,
1694457600000,248,249,249,
1694458200000,249,249,250,
1694458800000,249,249,249,
1694459400000,249,250,250,
1694460000000,249,249,249,
1694460600000,249,250,250,
1694461200000,250,250,251,
1694461800000,250,251,251,
1694462400000,250,250,251,
1694463000000,251,251,252,
1694463600000,250,251,251,
1694464200000,251,252,252,
1694464800000,251,251,252,
1694465400000,251,251,251,
1694466000000,251,251,252,
1694466600000,252,252,252,
1694467200000,252,252,253,
1694467800000,253,253,253,
1694468400000,252,253,253,
1694468836000,252,252,252,
1694469000000,252,252,253,
1694469599000,253,253,253,
1694469600000,252,253,253,
1694470199000,252,252,253,
1694470200000,252,252,253,
1694470793000,252,252,253,
1694470800000,252,252,252,
1694471400000,252,253,253,
1694472000000,252,252,253,
1694472600000,252,252,253,
1694473200000,252,252,252,
1694473799000,252,252,253,
1694473800000,252,252,252,
1694474400000,251,251,252,
1694475000000,253,253,254,
1694475599000,251,251,252,
1694475600000,251,251,252,
1694476160000,251,251,252,
1694476200000,250,250,251,
1694476799000,251,251,251,
1694477400000,249,250,250,
1694478000000,248,249,250,
1694478600000,248,249,250,
1694479069000,249,249,250,
1694479200000,248,248,250,
1694479800000,245,246,246,
1694480399000,246,246,247,
1694480400000,246,246,247,
1694481000000,246,246,247,
1694481600000,246,247,248,
1694482193000,246,246,246,
1694482200000,245,246,246,
1694482800000,246,247,246,
1694483400000,245,246,246,
1694484000000,246,247,247,
1694484600000,246,247,247,
1694485200000,246,246,246,
1694485799000,247,247,247,
1694485800000,247,247,247,
1694486400000,245,245,245,
1694487000000,247,248,248,
1694487600000,246,246,246,
1694487957000,249,250,247,
1694488200000,247,247,247,
1694489307000,248,248,249,
1694489400000,248,249,246,
1694490000000,244,244,245,
1694490600000,245,245,246,
1694491200000,248,247,248,
1694491799000,247,246,246,
1694491800000,247,246,246,
1694492400000,246,245,246,
1694493000000,246,246,247,
1694493600000,248,247,248,
1694494200000,247,246,247,
1694494800000,246,246,247,
1694495400000,246,246,247,
1694496000000,245,245,246,
1694496599000,245,244,246,
1694496600000,245,244,246,
1694497200000,245,246,244,
1694497800000,245,245,246,
1694498400000,245,245,245,
1694498830000,245,244,245,
