intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Nov 14 2023|  TO Mon Nov 20 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1699900200000,255,254,256,
1699900800000,254,254,255,
1699901400000,255,254,255,
1699902000000,255,254,255,
1699902600000,255,255,256,
1699903200000,255,254,256,
1699903800000,256,254,256,
1699904400000,256,255,257,
1699905000000,255,255,256,
1699905600000,256,256,256,
1699906200000,256,256,257,
1699906800000,256,255,256,
1699907400000,257,256,258,
1699908000000,256,256,257,
1699908600000,256,256,257,
1699909200000,257,256,257,
1699909800000,257,256,258,
1699910400000,257,256,257,
1699910999000,257,257,258,
1699911600000,256,256,257,
1699912200000,257,256,258,
1699912800000,257,256,257,
1699913400000,257,257,257,
1699914000000,257,256,258,
1699914600000,257,257,258,
1699915200000,256,255,257,
1699915800000,256,255,257,
1699916400000,256,256,257,
1699917000000,256,255,257,
1699917600000,256,255,256,
1699918200000,256,255,257,
1699918800000,256,255,257,
1699919400000,256,255,257,
1699920000000,256,255,256,
1699920600000,254,254,255,
1699921200000,255,254,256,
1699921800000,255,254,256,
1699922400000,254,253,254,
1699923000000,253,252,254,
1699923600000,251,251,252,
1699924200000,250,249,250,
1699924800000,249,249,250,
1699925400000,248,248,249,
1699926000000,248,247,248,
1699926600000,247,247,247,
1699927200000,247,246,247,
1699927800000,247,247,248,
1699928400000,247,246,247,
1699929000000,247,247,248,
1699929600000,247,246,247,
1699930200000,247,246,247,
1699930800000,246,246,246,
1699931400000,248,249,247,
1699932000000,248,247,249,
1699932600000,248,246,248,
1699933200000,248,247,248,
1699933800000,247,247,245,
1699934400000,247,246,248,
1699935000000,245,245,245,
1699935600000,246,245,246,
1699936200000,246,245,247,
1699936800000,246,245,247,
1699937400000,245,244,247,
1699938000000,245,245,246,
1699938600000,245,245,247,
1699939200000,245,245,246,
1699939800000,246,246,247,
1699940400000,246,246,247,
1699941000000,245,245,246,
1699941600000,245,245,246,
1699942200000,246,245,246,
1699942800000,246,245,246,
1699943400000,248,246,248,
1699944000000,245,244,245,
1699944600000,248,247,248,
1699945200000,245,244,245,
1699945800000,246,244,246,
1699946400000,244,243,245,
1699947000000,246,246,244,
1699947600000,247,246,248,
1699948200000,246,244,246,
1699948800000,247,244,247,
1699949400000,248,247,248,
1699950000000,245,244,246,
1699950600000,247,245,247,
1699951200000,247,245,247,
1699951800000,247,245,246,
1699952400000,247,246,245,
1699952999000,245,244,246,
1699953600000,246,244,247,
1699954200000,246,245,247,
1699954800000,247,246,248,
1699955400000,246,245,247,
1699956000000,246,245,245,
1699956600000,246,245,245,
