intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Aug 15 2023|  TO Mon Aug 21 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1692037800000,249,250,250,
1692038400000,246,246,247,
1692039000000,248,247,247,
1692039600000,247,247,247,
1692040199000,247,247,248,
1692040799000,247,247,248,
1692041400000,249,248,248,
1692042000000,249,248,249,
1692042600000,248,249,249,
1692043200000,249,249,249,
1692043800000,249,249,249,
1692044400000,250,249,250,
1692045000000,250,250,251,
1692045600000,250,250,251,
1692046200000,251,250,251,
1692046800000,250,250,251,
1692047400000,250,250,251,
1692048000000,250,250,251,
1692048600000,252,251,253,
1692049200000,251,250,251,
1692049800000,251,251,251,
1692050400000,251,251,252,
1692051000000,251,251,252,
1692051600000,251,251,252,
1692052200000,252,251,253,
1692052800000,251,251,252,
1692053400000,252,251,252,
1692054000000,251,250,251,
1692054600000,251,250,252,
1692055200000,251,251,252,
1692055800000,251,251,251,
1692056400000,249,250,250,
1692057000000,250,249,250,
1692057600000,249,248,250,
1692058200000,248,248,249,
1692058800000,248,248,249,
1692059400000,248,248,249,
1692060000000,248,248,249,
1692060600000,246,246,247,
1692061200000,246,246,247,
1692061800000,248,248,250,
1692062400000,248,248,249,
1692063000000,248,247,249,
1692063600000,247,246,248,
1692064200000,246,246,248,
1692064800000,247,246,248,
1692065400000,246,246,247,
1692066000000,247,247,248,
1692066600000,247,246,248,
1692067200000,246,247,248,
1692067800000,246,245,247,
1692068400000,248,247,249,
1692069000000,248,247,248,
1692069600000,248,247,248,
1692070200000,247,247,248,
1692070800000,248,248,250,
1692071400000,247,246,248,
1692072000000,247,246,248,
1692072600000,247,246,248,
1692073200000,246,246,248,
1692073800000,245,245,246,
1692074400000,246,245,247,
1692075000000,244,245,246,
1692075600000,247,247,249,
1692076200000,246,246,247,
1692076800000,246,246,247,
1692077400000,244,244,245,
1692078000000,244,244,245,
1692078600000,244,244,245,
1692079200000,248,246,248,
1692079800000,247,247,248,
1692080400000,247,246,248,
1692081000000,245,244,246,
1692081600000,246,245,246,
1692082200000,245,245,246,
1692082800000,246,245,247,
1692083400000,246,245,247,
1692084000000,247,246,247,
1692084600000,248,246,248,
1692085200000,246,245,246,
1692085800000,246,245,246,
1692086400000,246,246,247,
1692087000000,246,246,248,
1692087600000,247,247,249,
1692088200000,248,248,250,
1692088800000,246,247,249,
1692089400000,247,247,249,
1692090000000,247,248,249,
1692090600000,247,247,249,
1692091200000,246,247,248,
1692091800000,246,248,249,
1692092378000,247,248,249,
1692093000000,246,248,249,
1692093600000,247,247,249,
1692094200000,247,247,249,
1692094800000,247,248,249,
1692095400000,247,248,249,
1692096000000,251,252,253,
1692096600000,246,247,248,
1692097200000,246,247,248,
1692097800000,246,246,247,
1692098400000,243,244,245,
1692099000000,244,244,245,
1692099600000,245,246,247,
1692100200000,246,246,248,
1692100800000,246,246,247,
1692101400000,246,247,248,
1692102000000,247,247,248,
1692102600000,249,249,250,
1692103200000,247,246,248,
1692103800000,246,245,246,
1692104400000,245,246,247,
1692105000000,245,244,246,
1692105600000,247,247,248,
1692106200000,247,247,248,
1692106800000,246,246,247,
1692107400000,246,246,247,
1692108000000,246,246,247,
1692108600000,246,246,248,
1692109200000,248,248,249,
1692109800000,247,247,249,
1692110400000,247,247,249,
1692111000000,248,248,249,
1692111600000,245,244,246,
1692112200000,246,245,247,
1692112800000,246,245,247,
1692113400000,246,246,247,
1692114000000,245,245,246,
1692114600000,245,246,247,
1692115200000,247,246,247,
1692115800000,247,246,248,
1692116400000,247,247,248,
1692117000000,248,247,248,
1692117600000,245,245,246,
1692118200000,246,246,247,
1692118800000,247,247,248,
1692119400000,248,248,249,
1692120000000,249,248,249,
1692120600000,249,249,250,
1692121200000,249,249,250,
1692121800000,250,249,251,
1692122400000,250,249,251,
1692123000000,250,250,251,
1692123600000,252,251,252,
1692124200000,253,253,253,
1692124800000,250,250,251,
1692125400000,250,249,250,
1692126000000,250,249,250,
1692126600000,250,250,251,
1692127200000,250,250,251,
1692127800000,251,250,251,
1692128400000,251,251,251,
1692129000000,251,251,252,
1692129600000,251,251,252,
1692130200000,251,251,252,
1692130800000,252,251,252,
1692131400000,252,252,253,
1692132000000,251,251,252,
1692132600000,251,252,252,
1692133200000,251,251,252,
1692133800000,252,251,252,
1692134400000,251,251,252,
1692135000000,252,252,253,
1692135600000,250,250,251,
1692136200000,250,249,251,
1692136800000,250,250,251,
1692137400000,250,250,251,
1692138000000,250,250,251,
1692138600000,251,250,252,
1692139200000,251,251,252,
1692139800000,251,250,251,
1692140400000,250,250,251,
1692141000000,250,249,250,
1692141599000,249,249,250,
1692142200000,249,249,250,
1692142800000,249,248,250,
1692143400000,251,250,251,
1692144000000,249,249,250,
1692144600000,248,248,249,
1692145200000,249,248,250,
1692145800000,249,249,250,
1692146400000,248,247,249,
1692147000000,247,247,248,
1692147600000,246,246,247,
1692148200000,246,246,248,
1692148800000,246,247,248,
1692149400000,246,246,247,
1692150000000,247,247,248,
1692150599000,246,246,247,
1692151200000,246,246,247,
1692151800000,247,247,248,
1692152400000,247,246,248,
1692153000000,246,246,247,
1692153600000,247,247,248,
1692154200000,246,247,244,
1692154800000,245,245,246,
1692155400000,245,244,245,
1692156000000,245,245,246,
1692156600000,247,246,248,
1692157200000,246,245,247,
1692157800000,244,244,246,
1692158400000,246,245,247,
1692159000000,246,246,245,
1692159600000,246,245,246,
1692160200000,245,244,245,
1692160800000,246,245,244,
1692161400000,247,245,247,
1692162000000,244,242,243,
1692162600000,247,245,247,
1692163200000,243,242,244,
1692163800000,246,245,246,
1692164400000,245,244,246,
1692165000000,246,245,247,
1692165600000,245,245,247,
1692166200000,246,245,247,
1692166800000,245,244,245,
1692167400000,246,246,246,
1692168000000,245,244,245,
1692168600000,244,243,245,
1692169200000,244,243,245,
1692169800000,243,243,244,
1692170400000,247,245,248,
1692171000000,246,245,244,
1692171600000,247,245,247,
1692172200000,244,243,245,
1692172800000,245,243,244,
1692173400000,247,245,246,
1692174000000,244,243,244,
1692174600000,246,245,245,
1692175200000,247,245,246,
1692175800000,245,243,244,
1692176400000,245,244,244,
1692177000000,244,242,244,
1692177600000,245,244,244,
1692178200000,245,244,245,
1692178799000,243,244,244,
1692179400000,244,244,244,
1692180000000,245,244,244,
1692180600000,244,243,244,
1692181200000,245,243,245,
1692181800000,244,243,244,
1692182400000,245,244,245,
1692183000000,245,244,245,
1692183600000,245,244,246,
1692184200000,246,245,245,
1692184800000,245,244,245,
1692185400000,247,246,247,
1692186000000,243,242,243,
1692186600000,246,246,246,
1692187200000,246,245,247,
1692187800000,245,246,247,
1692188400000,245,245,246,
1692189000000,246,247,247,
1692189600000,245,245,246,
1692190200000,245,246,246,
1692190800000,245,244,245,
1692191400000,244,245,245,
1692192000000,243,243,244,
1692192600000,248,247,248,
1692193200000,246,246,247,
1692193800000,242,241,244,
