intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Apr 16 2024|  TO Mon Apr 22 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1713205800000,249,246,249,
1713206400000,246,243,246,
1713207000000,247,244,247,
1713207600000,247,244,246,
1713208200000,247,244,247,
1713208800000,248,245,247,
1713209400000,248,246,248,
1713210000000,247,245,247,
1713210600000,248,246,248,
1713211200000,248,246,249,
1713211800000,250,247,249,
1713212400000,250,247,250,
1713213000000,251,248,251,
1713213600000,251,248,250,
1713214200000,250,247,250,
1713214800000,250,247,250,
1713215400000,251,248,250,
1713216000000,252,249,251,
1713216600000,253,250,253,
1713217200000,252,250,252,
1713217800000,252,249,251,
1713218400000,252,250,252,
1713219000000,253,250,252,
1713219600000,253,250,252,
1713220199000,253,250,252,
1713220800000,253,250,253,
1713221400000,253,250,252,
1713222000000,253,250,252,
1713222600000,253,250,252,
1713223200000,252,249,252,
1713223800000,253,250,253,
1713224400000,252,250,252,
1713225000000,253,250,252,
1713225600000,252,249,251,
1713226200000,252,249,251,
1713226800000,251,248,251,
1713227400000,253,250,253,
1713228000000,252,249,252,
1713228600000,250,248,250,
1713229200000,249,247,249,
1713229800000,247,244,247,
1713230400000,246,243,246,
1713231000000,245,242,245,
1713231600000,245,243,245,
1713232200000,248,245,247,
1713232800000,248,245,248,
1713233400000,246,242,245,
1713234000000,246,243,246,
1713234600000,245,242,245,
1713235200000,248,245,248,
1713235800000,247,243,246,
1713236400000,247,245,243,
1713237000000,245,241,244,
1713237600000,246,242,245,
1713238200000,246,242,245,
1713238800000,248,245,248,
1713239400000,246,242,245,
1713240000000,246,242,246,
1713240600000,246,242,246,
1713241200000,246,241,245,
1713241800000,247,242,245,
1713242400000,245,240,243,
1713243000000,244,241,241,
1713243600000,245,242,245,
1713244200000,244,241,243,
1713244800000,246,242,244,
1713245400000,245,241,244,
1713246000000,246,241,245,
1713246600000,246,241,244,
1713247200000,245,241,244,
1713247800000,245,241,244,
1713248400000,245,241,245,
1713249000000,246,243,243,
1713249600000,245,241,245,
1713250200000,243,239,242,
1713250800000,245,241,244,
1713251400000,244,240,243,
1713252000000,245,240,243,
1713252600000,245,241,244,
1713253200000,243,239,242,
1713253800000,246,242,245,
1713254400000,243,239,243,
1713255000000,244,241,241,
1713255600000,243,240,243,
1713256200000,243,240,243,
1713256800000,246,241,244,
1713257400000,246,241,245,
1713258000000,245,241,241,
1713258600000,243,240,244,
1713259200000,243,241,244,
1713259800000,243,241,245,
1713260400000,244,241,243,
1713261000000,245,242,246,
1713261600000,242,241,241,
1713262200000,244,242,246,
1713262800000,242,240,243,
1713263400000,243,242,245,
1713264000000,243,242,244,
1713264600000,245,242,246,
1713265200000,245,244,245,
1713265800000,245,243,245,
1713266400000,247,243,246,
1713267000000,247,244,246,
1713267600000,248,244,247,
1713268200000,246,243,246,
1713268800000,245,243,245,
1713269400000,247,243,246,
1713270000000,245,242,244,
1713270600000,246,242,245,
1713271200000,245,243,244,
1713271800000,246,243,244,
1713272400000,243,241,243,
1713273000000,246,243,246,
1713273600000,245,243,246,
1713274199000,247,244,246,
1713274800000,245,243,245,
1713275400000,246,243,246,
1713276000000,244,241,243,
1713276600000,245,242,244,
1713277200000,245,243,245,
1713277800000,247,244,246,
1713278400000,247,244,247,
1713279000000,245,242,245,
1713279600000,246,243,246,
1713280200000,247,243,247,
1713280800000,247,244,247,
1713281400000,248,244,247,
1713282000000,246,243,245,
1713282600000,245,242,245,
