intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jul 16 2024|  TO Mon Jul 22 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1721068200000,253,250,253,
1721068800000,252,250,252,
1721069400000,251,249,251,
1721070000000,250,248,251,
1721070600000,250,248,251,
1721071200000,251,249,250,
1721071800000,251,249,251,
1721072400000,251,249,252,
1721073000000,251,249,251,
1721073600000,251,249,252,
1721074200000,252,249,252,
1721074800000,252,249,252,
1721075400000,252,249,252,
1721076000000,252,249,252,
1721076600000,252,249,252,
1721077200000,252,250,253,
1721077800000,252,250,253,
1721078400000,252,250,253,
1721079000000,253,250,253,
1721079600000,252,250,252,
1721080200000,252,249,252,
1721080800000,251,249,252,
1721081400000,252,250,252,
1721082000000,252,250,252,
1721082600000,252,250,252,
1721083200000,252,250,253,
1721083800000,252,250,253,
1721084400000,252,250,252,
1721085000000,251,249,252,
1721085600000,251,250,252,
1721086200000,252,250,252,
1721086800000,252,250,252,
1721087400000,252,250,252,
1721088000000,252,249,252,
1721088600000,250,248,251,
1721089200000,250,247,250,
1721089800000,250,248,250,
1721090400000,248,246,249,
1721091000000,246,244,247,
1721091600000,244,242,245,
1721092200000,245,243,247,
1721092800000,247,245,247,
1721093400000,245,243,246,
1721094000000,247,245,248,
1721094600000,245,244,246,
1721095200000,246,243,247,
1721095800000,244,242,245,
1721096400000,247,245,248,
1721097000000,246,244,247,
1721097600000,245,244,246,
1721098200000,245,243,245,
1721098800000,244,243,243,
1721099400000,246,244,247,
1721100000000,245,244,244,
1721100600000,245,243,246,
1721101200000,244,242,244,
1721101800000,245,243,246,
1721102400000,244,242,245,
1721103000000,244,243,242,
1721103600000,246,244,246,
1721104200000,244,242,244,
1721104800000,245,243,245,
1721105400000,244,242,244,
1721106000000,243,242,244,
1721106600000,245,243,246,
1721107200000,245,244,246,
1721107800000,246,245,247,
1721108400000,245,243,245,
1721109000000,245,244,246,
1721109600000,246,244,247,
1721110200000,246,244,247,
1721110800000,247,245,246,
1721111400000,246,244,247,
1721112000000,245,244,244,
1721112600000,244,242,244,
1721113200000,245,244,246,
1721113800000,246,245,247,
1721114400000,244,242,245,
1721115000000,247,246,248,
1721115600000,249,247,250,
1721116200000,249,249,248,
1721116800000,249,248,250,
1721117400000,248,246,249,
1721118000000,250,249,251,
1721118600000,250,248,251,
1721119200000,251,250,252,
1721119800000,250,249,251,
1721120400000,250,250,249,
1721121000000,248,248,250,
1721121600000,249,249,249,
1721122200000,250,250,249,
1721122800000,250,249,251,
1721123400000,250,249,251,
1721124000000,251,250,252,
1721124600000,250,248,251,
1721125200000,249,248,250,
1721125800000,250,249,250,
1721126400000,250,249,250,
1721127000000,250,249,251,
1721127600000,250,250,249,
1721128200000,248,246,249,
1721128800000,248,246,249,
1721129400000,249,248,250,
1721130000000,249,248,250,
1721130600000,251,250,252,
1721131200000,251,250,252,
1721131800000,251,250,253,
1721132400000,252,251,253,
1721133000000,253,253,255,
1721133600000,248,246,248,
1721134200000,248,246,249,
1721134799000,247,246,248,
1721135400000,247,245,247,
1721136000000,246,244,246,
1721136600000,245,244,246,
1721137200000,246,244,246,
1721137800000,244,242,244,
1721138400000,244,242,245,
1721139000000,245,243,245,
1721139600000,245,244,246,
1721140200000,247,245,248,
1721140800000,246,245,247,
1721141400000,247,245,248,
1721142000000,248,246,248,
1721142600000,248,247,249,
1721143200000,249,247,249,
1721143800000,249,247,250,
1721144400000,249,247,250,
1721145000000,249,247,250,
1721145600000,250,248,251,
1721146200000,251,249,252,
1721146800000,252,250,252,
1721147400000,252,250,252,
1721148000000,252,250,253,
1721148600000,250,247,250,
1721149200000,251,248,251,
1721149800000,250,248,251,
1721150400000,250,248,251,
1721151000000,251,248,252,
1721151600000,251,249,252,
1721152200000,251,248,251,
1721152800000,252,249,252,
1721153400000,252,249,253,
1721154000000,252,249,252,
1721154600000,252,249,252,
1721155200000,252,249,252,
1721155800000,253,250,253,
1721156400000,253,250,253,
1721157000000,253,250,254,
1721157600000,253,251,254,
1721158200000,253,251,254,
1721158800000,254,252,254,
1721159400000,254,251,254,
1721160000000,255,252,255,
1721160600000,255,252,256,
1721161200000,256,253,256,
1721161800000,256,253,256,
1721162400000,255,253,256,
1721163000000,256,253,256,
1721163600000,256,253,256,
1721164200000,256,253,256,
1721164800000,256,253,256,
1721165400000,256,254,257,
1721166000000,256,253,256,
1721166600000,256,254,257,
1721167200000,256,254,256,
1721167800000,256,254,257,
1721168400000,257,254,257,
1721169000000,257,254,258,
1721169600000,257,254,257,
1721170200000,256,254,257,
1721170800000,257,254,257,
1721171400000,257,254,257,
1721172000000,256,254,256,
1721172600000,257,254,257,
1721173200000,256,254,257,
1721173800000,256,253,256,
1721174400000,256,253,256,
1721175000000,255,252,255,
1721175600000,254,251,254,
1721176200000,254,252,255,
1721176800000,253,251,254,
1721177400000,251,249,252,
1721178000000,250,248,251,
1721178600000,249,247,250,
1721179200000,249,246,249,
1721179800000,247,245,248,
1721180400000,247,244,248,
1721181000000,246,244,247,
1721181600000,246,243,247,
1721182200000,245,242,246,
1721182800000,246,244,247,
1721183400000,245,243,246,
1721184000000,249,246,249,
1721184600000,247,245,248,
1721185200000,245,243,247,
1721185800000,247,245,248,
1721186400000,246,244,247,
1721187000000,246,244,247,
1721187600000,246,244,247,
1721188200000,245,243,246,
1721188800000,245,243,246,
1721189400000,246,244,247,
1721190000000,246,245,248,
1721190600000,247,245,248,
1721191200000,246,245,248,
1721191800000,247,245,247,
1721192400000,246,245,247,
1721193000000,246,244,247,
1721193600000,245,244,247,
1721194200000,245,244,246,
1721194800000,245,243,246,
1721195400000,245,244,246,
1721196000000,245,244,246,
1721196600000,244,243,245,
1721197200000,243,241,243,
1721197800000,245,244,246,
1721198400000,245,244,246,
1721199000000,244,243,244,
1721199600000,246,244,247,
1721200200000,245,243,245,
1721200800000,246,244,247,
1721201400000,245,243,246,
1721202000000,246,244,247,
1721202600000,246,244,247,
1721203200000,245,244,246,
1721203800000,246,245,248,
1721204399000,247,245,248,
1721205000000,247,246,248,
1721205600000,247,245,248,
