intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Mar 19 2024|  TO Mon Mar 25 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1710849000000,243,240,246,
1710849600000,244,241,246,
1710850200000,243,240,246,
1710850800000,244,241,246,
1710851400000,247,242,249,
1710852000000,245,241,247,
1710852600000,242,239,243,
1710853200000,242,239,243,
1710853800000,244,241,245,
1710854400000,243,242,245,
1710855000000,244,241,245,
1710855600000,245,243,246,
1710856200000,242,240,244,
1710856800000,244,241,245,
1710857393000,245,243,246,
1710858000000,242,240,244,
1710858600000,243,241,244,
1710859200000,243,241,244,
1710859800000,243,241,245,
1710860400000,244,242,246,
1710861000000,246,243,247,
1710861600000,246,244,247,
1710862200000,246,244,248,
1710862800000,245,244,247,
1710863400000,244,242,245,
1710864000000,245,244,247,
1710864600000,246,244,248,
1710865200000,247,246,249,
1710865800000,246,244,247,
1710866400000,246,244,247,
1710867000000,246,244,248,
1710867600000,246,244,248,
1710868200000,244,242,246,
1710868800000,245,243,246,
1710869400000,246,243,247,
1710870000000,246,244,248,
1710870599000,245,242,246,
1710870600000,245,242,246,
1710871200000,246,243,246,
1710871800000,246,243,247,
1710872400000,247,245,248,
1710873000000,249,246,249,
1710873600000,246,243,247,
1710874200000,246,243,247,
1710874800000,247,244,248,
1710875400000,247,245,248,
1710876000000,248,245,249,
1710876600000,249,247,250,
1710877200000,249,246,250,
1710877800000,249,246,250,
1710878400000,249,246,250,
1710879000000,249,247,250,
1710879600000,250,247,251,
1710880200000,251,249,253,
1710880800000,251,248,252,
1710881400000,251,248,252,
1710882000000,251,249,252,
1710882600000,252,249,253,
1710883200000,252,249,253,
1710883800000,254,251,254,
1710884400000,252,250,252,
1710884979000,252,249,252,
1710885000000,252,249,252,
1710885600000,252,249,252,
1710886200000,252,249,252,
1710886800000,252,249,253,
1710887400000,253,250,253,
1710888000000,252,249,252,
1710888600000,252,249,253,
1710889200000,253,250,253,
1710889800000,252,249,253,
1710890400000,251,249,252,
1710891000000,252,249,252,
1710891600000,252,249,253,
1710892200000,251,248,252,
1710892800000,252,249,252,
1710893399000,251,248,251,
1710893400000,251,248,251,
1710894000000,251,248,252,
1710894599000,252,249,252,
1710895200000,252,249,253,
1710895800000,250,246,250,
1710896400000,247,245,248,
1710897000000,248,245,248,
1710897600000,247,244,248,
1710898200000,246,243,247,
1710898800000,247,244,248,
1710899400000,246,243,246,
1710900000000,245,242,246,
1710900559000,245,242,246,
1710900600000,244,242,246,
1710901200000,248,245,249,
1710901800000,245,242,246,
1710902400000,247,244,247,
1710903000000,246,243,247,
1710903599000,247,245,245,
1710903600000,247,245,245,
1710904200000,245,242,246,
1710904795000,248,245,248,
1710904800000,247,245,248,
1710905400000,248,246,246,
1710906000000,246,242,245,
1710906600000,249,244,249,
1710907200000,246,242,246,
1710907800000,244,240,244,
1710908400000,245,242,246,
1710909000000,246,242,247,
1710909600000,244,241,245,
1710910200000,244,241,246,
1710910800000,244,241,246,
1710911400000,245,242,245,
1710912000000,244,240,245,
1710912599000,243,240,245,
1710913200000,245,241,247,
1710913800000,242,239,243,
1710914400000,242,238,242,
1710915000000,242,239,243,
1710915600000,243,239,243,
1710916200000,244,240,245,
1710916800000,245,241,245,
1710917400000,245,241,245,
1710918000000,245,241,245,
1710918600000,244,239,244,
1710919200000,244,240,244,
1710919800000,245,240,245,
1710920400000,244,240,245,
1710921000000,245,241,245,
1710921600000,246,242,246,
1710922200000,243,239,243,
1710922800000,245,241,246,
1710923400000,244,239,245,
1710924000000,245,241,243,
1710924600000,243,239,244,
1710925200000,246,241,247,
1710925800000,245,241,246,
1710926400000,245,241,247,
1710927000000,245,240,246,
1710927600000,243,239,244,
1710928194000,244,240,244,
1710928800000,243,239,244,
1710929400000,244,240,245,
1710930000000,243,239,244,
1710930600000,244,241,245,
1710931196000,244,241,245,
1710931800000,243,240,244,
1710932400000,243,241,245,
1710933000000,243,240,245,
1710933600000,243,241,245,
1710934200000,244,242,246,
1710934800000,243,240,244,
1710935400000,244,243,246,
1710936000000,244,243,247,
1710936600000,244,242,245,
1710937200000,243,241,245,
1710937800000,245,243,247,
1710938400000,248,245,249,
1710939000000,243,240,244,
1710939600000,245,241,245,
1710940200000,243,239,243,
1710940800000,245,241,245,
1710941400000,242,239,243,
1710942000000,244,241,245,
1710942600000,246,243,247,
1710943200000,244,241,245,
1710943800000,245,242,245,
1710944400000,245,243,245,
1710945000000,247,244,247,
1710945600000,246,243,246,
1710946200000,247,244,247,
1710946800000,248,244,247,
1710947400000,248,246,248,
1710948000000,249,246,249,
1710948600000,248,245,248,
1710949200000,248,245,248,
1710949800000,245,243,245,
1710950400000,245,243,244,
1710951599000,246,244,247,
1710952200000,247,245,247,
1710952800000,247,244,247,
1710953400000,247,244,247,
1710954000000,247,245,248,
1710954600000,247,245,247,
1710955200000,245,243,246,
1710955800000,246,243,246,
1710956400000,246,243,246,
1710957000000,245,242,244,
1710957600000,245,243,246,
1710958200000,247,243,247,
1710958800000,246,244,246,
1710959400000,249,246,248,
1710960000000,246,243,246,
1710960600000,247,244,247,
1710961200000,247,244,247,
1710961800000,247,244,247,
1710962400000,248,245,248,
1710963000000,249,246,249,
1710963600000,249,246,249,
1710964200000,250,246,249,
1710964800000,249,246,249,
1710965400000,250,247,250,
1710966000000,251,248,251,
1710966600000,252,249,253,
1710967200000,251,248,251,
1710967800000,251,248,251,
1710968400000,250,248,251,
1710969000000,251,249,251,
1710969600000,251,248,251,
1710970200000,253,250,253,
1710970800000,252,249,252,
1710971400000,252,250,253,
1710972000000,252,249,252,
1710972600000,253,250,253,
1710973200000,252,250,253,
1710973800000,253,249,253,
1710974400000,252,250,253,
1710975000000,252,249,252,
1710975600000,253,250,253,
1710976200000,253,249,252,
1710976800000,253,250,253,
1710977400000,254,250,253,
1710978000000,253,250,253,
1710978600000,252,249,253,
1710979200000,253,250,253,
1710979800000,252,249,252,
1710980400000,251,248,252,
1710981000000,253,250,253,
1710981600000,250,247,251,
1710982199000,249,246,249,
1710982200000,249,246,249,
1710982800000,247,244,247,
1710983400000,248,245,248,
1710984000000,247,244,247,
1710984600000,245,242,246,
1710985200000,247,244,247,
1710985800000,244,242,245,
1710986399000,248,245,248,
1710987000000,245,242,246,
1710987600000,245,242,245,
1710988200000,246,243,246,
1710988800000,247,244,247,
1710989400000,246,243,247,
1710990000000,245,242,245,
1710990573000,246,243,247,
1710990600000,246,243,247,
1710991200000,246,242,246,
1710991800000,246,242,246,
1710992400000,246,242,246,
1710992999000,247,244,248,
1710993000000,247,244,248,
1710993600000,246,242,245,
1710994200000,245,242,246,
1710994800000,247,245,249,
1710995400000,247,243,248,
1710996000000,244,241,245,
1710996564000,243,241,244,
1710996600000,247,244,247,
1710997200000,245,243,247,
1710997800000,241,238,242,
1710998400000,243,240,244,
1710999000000,243,241,245,
1710999600000,243,240,245,
1711000200000,243,240,245,
1711000800000,241,238,243,
1711001400000,243,240,245,
1711002000000,242,240,245,
1711002600000,243,240,246,
1711003034000,244,241,243,
1711003200000,243,240,246,
1711003800000,243,240,245,
1711004400000,241,237,243,
1711004999000,242,238,243,
1711005000000,242,237,243,
1711005600000,244,240,243,
1711006200000,244,239,246,
1711006793000,244,240,246,
1711006800000,244,240,246,
1711007400000,244,240,247,
1711008000000,244,239,246,
1711008600000,245,239,245,
1711009200000,243,238,244,
1711009800000,245,240,246,
1711010400000,243,238,245,
1711011000000,245,241,246,
1711011600000,242,237,243,
1711012200000,244,240,243,
1711012800000,243,239,244,
1711013400000,245,240,245,
1711014000000,241,238,243,
1711014588000,243,239,244,
1711014600000,243,240,244,
1711015047000,243,241,244,
1711015200000,245,242,246,
1711015800000,240,238,242,
1711016400000,241,239,243,
1711017000000,244,241,244,
1711017600000,243,240,243,
1711018200000,244,241,244,
1711018800000,243,241,243,
1711019400000,241,237,241,
1711020000000,241,238,242,
1711020600000,241,238,243,
1711021200000,244,242,245,
1711021800000,242,240,244,
1711022400000,241,239,244,
1711023000000,243,241,245,
1711023600000,243,241,244,
1711024200000,248,246,249,
1711024800000,250,247,251,
1711025400000,248,245,248,
1711026000000,248,245,248,
1711026600000,246,243,246,
1711027200000,244,241,245,
1711027800000,245,242,246,
1711028400000,246,243,246,
1711029000000,245,243,246,
1711029600000,248,245,249,
1711030200000,249,246,249,
1711030800000,247,245,247,
1711031400000,245,243,245,
1711032000000,247,244,247,
1711032600000,244,241,244,
1711033200000,244,241,244,
1711033800000,245,243,245,
1711034400000,246,244,246,
1711035000000,246,244,246,
1711035600000,246,243,246,
1711036200000,246,243,246,
1711036800000,246,243,246,
1711037400000,247,245,247,
1711038000000,245,242,245,
1711038600000,248,245,248,
1711039200000,247,244,248,
1711039800000,247,244,247,
1711040400000,247,244,248,
1711041000000,244,242,245,
1711041599000,246,243,247,
1711042200000,245,242,246,
1711042800000,246,243,246,
1711043400000,247,244,247,
1711044000000,246,242,246,
1711044600000,247,243,247,
1711045200000,247,244,248,
1711045800000,249,245,249,
1711046400000,246,243,246,
1711047000000,247,244,247,
1711047600000,248,246,249,
1711048200000,248,245,249,
1711048800000,249,246,249,
1711049400000,249,246,250,
1711050000000,249,247,250,
1711050600000,250,247,250,
1711051200000,250,247,250,
1711051800000,251,248,251,
1711052400000,251,248,251,
1711053000000,252,249,252,
1711053600000,251,248,251,
1711054200000,251,249,252,
