intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jan 02 2024|  TO Mon Jan 08 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1704133800000,250,249,250,
1704134400000,248,246,247,
1704135000000,247,247,248,
1704135600000,247,247,247,
1704136200000,248,247,248,
1704136800000,248,248,248,
1704137400000,249,248,249,
1704138000000,249,249,249,
1704138600000,249,249,249,
1704139200000,249,249,249,
1704139800000,250,249,249,
1704140400000,250,250,248,
1704141000000,251,250,251,
1704141600000,250,249,250,
1704142200000,250,249,250,
1704142800000,250,250,251,
1704143400000,250,250,250,
1704144000000,250,250,250,
1704144600000,251,251,251,
1704145200000,250,250,250,
1704145800000,250,250,250,
1704146400000,249,249,249,
1704147000000,250,249,250,
1704147600000,250,250,250,
1704148200000,251,250,250,
1704148800000,249,249,250,
1704149400000,249,249,249,
1704150000000,250,249,250,
1704150600000,248,247,249,
1704151200000,248,248,248,
1704151800000,249,248,249,
1704152400000,249,248,249,
1704153000000,248,247,248,
1704153600000,248,248,249,
1704154200000,247,247,248,
1704154800000,248,248,248,
1704155400000,249,248,249,
1704156000000,247,247,248,
1704156600000,248,247,248,
1704157200000,246,246,247,
1704157800000,246,246,246,
1704158400000,249,248,248,
1704159000000,247,247,248,
1704159600000,248,247,247,
1704160200000,247,247,247,
1704160800000,250,250,250,
1704161400000,246,246,246,
1704162000000,249,248,249,
1704162600000,248,248,245,
1704163200000,246,246,247,
1704163800000,247,246,247,
1704164400000,247,247,247,
1704165000000,247,248,246,
1704165600000,248,248,248,
1704166200000,247,247,246,
1704166799000,247,247,247,
1704167400000,248,248,247,
1704168000000,247,246,247,
1704168600000,248,247,247,
1704169200000,248,248,247,
1704169800000,246,246,245,
1704170400000,247,246,246,
1704171000000,246,245,246,
1704171600000,247,247,246,
1704172200000,246,246,245,
1704172800000,246,246,246,
1704173400000,245,246,245,
1704174000000,245,245,245,
1704174600000,244,245,244,
1704175200000,246,246,245,
1704175800000,246,246,246,
1704176400000,244,243,243,
1704177000000,246,247,244,
1704177600000,246,246,245,
1704178200000,244,244,244,
1704178800000,244,245,242,
1704179400000,245,244,245,
1704180000000,244,245,245,
1704180600000,247,247,248,
1704181200000,245,245,246,
1704181800000,246,245,245,
1704182400000,247,247,244,
1704183000000,246,246,246,
1704183600000,245,245,245,
1704184200000,244,243,244,
1704184800000,247,246,247,
1704185400000,246,247,247,
1704186000000,244,244,244,
1704186600000,243,242,243,
1704187200000,245,245,246,
1704187800000,242,244,243,
1704188399000,244,244,244,
1704189000000,248,247,247,
1704189600000,245,244,244,
1704190200000,245,245,243,
1704190800000,245,244,244,
1704191400000,246,246,246,
1704192000000,250,249,246,
1704192600000,249,249,248,
1704193200000,249,248,248,
1704193800000,249,248,248,
1704194400000,249,248,249,
1704195000000,250,249,249,
1704195600000,252,251,251,
1704196200000,249,248,249,
1704196800000,248,247,248,
1704197400000,249,248,249,
1704198000000,249,248,248,
1704198600000,249,249,249,
1704199200000,248,247,248,
1704199800000,245,244,244,
1704200400000,246,245,246,
1704201000000,248,247,248,
1704201600000,246,246,246,
1704202200000,247,247,248,
1704202800000,247,246,247,
1704203400000,246,246,246,
1704204000000,248,247,248,
1704204600000,249,248,248,
1704205200000,249,249,249,
1704205800000,250,250,250,
1704206400000,250,250,250,
1704207000000,250,249,250,
1704207600000,250,250,251,
1704208200000,250,250,251,
1704208800000,250,250,250,
1704209400000,251,251,251,
1704210000000,248,247,248,
1704210600000,248,247,249,
1704211200000,249,248,250,
1704211800000,251,249,250,
1704212400000,252,250,252,
1704213000000,253,251,253,
1704213600000,251,250,251,
1704214200000,252,251,252,
1704214800000,252,251,252,
1704215400000,253,251,253,
1704216000000,251,250,251,
1704216600000,248,247,248,
1704217200000,247,246,247,
1704217800000,247,245,247,
1704218400000,247,246,248,
1704219000000,248,247,248,
1704219600000,249,248,249,
1704220200000,250,248,250,
1704220800000,248,246,248,
1704221400000,248,247,248,
1704222000000,248,247,247,
1704222600000,249,247,249,
1704223200000,249,247,248,
1704223800000,249,248,249,
1704224400000,249,248,249,
1704225000000,249,249,249,
1704225600000,250,249,250,
1704226200000,250,248,249,
1704226800000,250,249,250,
1704227400000,252,251,252,
1704228000000,251,250,251,
1704228600000,250,249,250,
1704229200000,251,249,251,
1704229800000,250,249,251,
1704230400000,251,250,251,
1704231000000,252,251,252,
1704231600000,250,249,250,
1704232200000,250,249,250,
1704232800000,250,249,250,
1704233400000,250,249,250,
1704234000000,250,249,250,
1704234600000,251,249,250,
1704235200000,250,248,250,
1704235800000,250,249,250,
1704236400000,251,249,251,
1704237000000,249,248,249,
1704237600000,250,248,249,
1704238200000,250,248,250,
1704238800000,250,249,250,
1704239400000,249,248,249,
1704240000000,249,248,249,
1704240600000,248,247,248,
1704241200000,246,245,246,
1704241800000,247,246,247,
1704242400000,248,247,248,
1704242999000,246,245,246,
1704243600000,247,246,247,
1704244200000,249,248,249,
1704244800000,246,245,247,
1704245400000,248,248,249,
1704246000000,247,246,247,
1704246600000,249,248,249,
1704247200000,247,246,247,
1704247800000,247,246,247,
1704248400000,247,247,248,
1704249000000,249,248,249,
1704249600000,247,246,246,
