intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Feb 20 2024|  TO Mon Feb 26 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1708367400000,250,248,250,
1708368000000,247,245,247,
1708368600000,248,246,248,
1708369200000,249,247,249,
1708369800000,249,246,249,
1708370400000,250,246,250,
1708371000000,249,247,250,
1708371600000,249,247,249,
1708372200000,250,249,251,
1708372800000,251,249,251,
1708373400000,251,250,251,
1708374000000,251,249,252,
1708374600000,252,250,253,
1708375200000,250,249,251,
1708375800000,251,248,251,
1708376400000,251,249,251,
1708377000000,251,249,251,
1708377600000,251,249,251,
1708378200000,252,250,252,
1708378800000,251,249,251,
1708379400000,250,249,251,
1708380000000,250,248,251,
1708380600000,251,248,251,
1708381200000,251,249,251,
1708381800000,251,249,251,
1708382400000,250,249,251,
1708383000000,250,248,251,
1708383600000,250,249,251,
1708384200000,250,248,250,
1708384800000,250,247,250,
1708385400000,250,248,250,
1708386000000,250,248,250,
1708386600000,250,247,250,
1708387200000,250,248,250,
1708387800000,249,247,249,
1708388400000,249,247,249,
1708389000000,250,248,250,
1708389600000,250,248,251,
1708390200000,248,246,248,
1708390800000,246,245,247,
1708391400000,246,244,246,
1708392000000,247,245,247,
1708392600000,246,244,246,
1708393200000,248,245,248,
1708393800000,247,246,248,
1708394400000,247,245,248,
1708395000000,247,245,247,
1708395600000,248,244,247,
1708396200000,247,245,248,
1708396800000,248,245,248,
1708397400000,248,246,249,
1708398000000,247,245,247,
1708398600000,248,246,249,
1708399200000,246,244,247,
1708399800000,246,243,246,
1708400400000,247,245,248,
1708401000000,246,243,246,
1708401600000,246,243,247,
1708402200000,245,243,244,
1708402800000,244,241,245,
1708403400000,245,242,245,
1708404000000,242,239,244,
1708404600000,245,242,246,
1708405199000,243,240,244,
1708405800000,245,242,247,
1708406400000,245,241,246,
1708407000000,245,241,246,
1708407600000,244,241,246,
1708408200000,244,243,246,
1708408800000,244,242,246,
1708409400000,242,241,244,
1708410000000,245,242,246,
1708410600000,243,241,245,
1708411200000,242,240,244,
1708411800000,243,239,243,
1708412400000,244,242,242,
1708413000000,241,237,242,
1708413600000,242,238,242,
1708414200000,242,239,242,
1708414800000,244,242,241,
1708415400000,244,241,245,
1708416000000,244,242,245,
1708416600000,244,242,245,
1708417200000,245,242,245,
1708417800000,246,243,246,
1708418400000,240,237,240,
1708419000000,243,240,243,
1708419600000,242,239,243,
1708420200000,242,238,242,
1708420800000,241,238,240,
1708421400000,241,238,241,
1708422000000,240,236,240,
1708422600000,241,238,240,
1708423200000,246,243,246,
1708423800000,242,238,241,
1708424400000,242,238,241,
1708425000000,243,239,241,
1708425600000,243,238,242,
1708426200000,244,239,243,
1708426800000,245,241,245,
1708427400000,241,238,240,
1708428000000,241,237,241,
1708428600000,244,240,243,
1708429200000,243,240,243,
1708429800000,243,239,243,
1708430400000,246,242,246,
1708431000000,246,243,247,
1708431600000,247,243,247,
1708432200000,245,243,246,
1708432800000,244,242,245,
1708433400000,244,242,245,
1708434000000,245,242,246,
1708434600000,246,243,247,
1708435200000,246,242,246,
1708435800000,244,241,244,
1708436400000,246,243,247,
1708437000000,247,244,247,
1708437600000,244,242,245,
1708438200000,246,243,246,
1708438800000,247,245,248,
1708439400000,246,243,246,
1708440000000,247,244,247,
1708440600000,246,244,247,
1708441200000,248,245,248,
1708441800000,246,243,246,
1708442400000,248,246,249,
1708443000000,246,244,247,
1708443600000,247,244,247,
1708444200000,246,243,246,
1708444800000,247,245,248,
1708445400000,248,246,248,
1708446000000,246,245,247,
1708446600000,249,245,249,
1708447200000,248,245,248,
1708447800000,248,246,248,
1708448400000,245,243,246,
1708449000000,247,244,246,
1708449600000,247,244,247,
1708450200000,248,246,248,
1708450800000,248,244,248,
1708451400000,248,246,248,
1708452000000,250,247,250,
1708452600000,249,247,249,
1708453200000,250,248,250,
1708453800000,251,250,252,
1708454400000,247,245,248,
1708455000000,249,247,249,
1708455600000,249,246,249,
1708456200000,250,248,250,
1708456800000,250,249,251,
1708457400000,251,249,251,
1708458000000,251,249,251,
1708458600000,251,249,251,
1708459200000,252,249,252,
1708459800000,253,251,253,
1708460400000,253,251,253,
1708461000000,254,252,254,
1708461600000,252,250,252,
1708462200000,252,250,252,
1708462800000,253,251,253,
1708463400000,252,251,253,
1708464000000,253,251,253,
1708464600000,253,251,253,
1708465200000,252,250,252,
1708465800000,252,250,252,
1708466400000,251,249,252,
1708467000000,252,251,252,
1708467600000,252,251,252,
1708468200000,253,251,253,
1708468800000,252,250,253,
1708469400000,253,251,253,
1708470000000,253,250,253,
1708470600000,253,251,253,
1708471200000,252,251,253,
1708471800000,253,251,253,
1708472400000,252,251,253,
1708473000000,252,249,252,
1708473600000,252,250,252,
1708474200000,251,249,251,
1708474800000,251,249,250,
1708475400000,251,249,252,
1708476000000,251,248,251,
1708476600000,249,248,250,
1708477200000,246,244,247,
1708477800000,246,244,247,
1708478400000,247,246,248,
1708479000000,247,246,248,
1708479600000,246,245,247,
1708480200000,247,245,248,
1708480800000,246,244,246,
1708481400000,248,246,248,
1708482000000,248,247,249,
1708482600000,246,244,246,
1708483200000,246,244,247,
1708483800000,249,245,249,
1708484400000,248,245,247,
1708485000000,247,244,247,
1708485600000,246,244,246,
1708486200000,246,243,246,
1708486800000,247,244,247,
1708487400000,249,246,248,
1708488000000,249,246,249,
1708488600000,247,243,247,
1708489200000,245,243,245,
1708489800000,247,244,248,
1708490400000,243,239,242,
1708491000000,245,240,243,
1708491600000,243,239,242,
1708492200000,243,239,237,
1708492800000,241,237,240,
1708493400000,242,238,241,
1708494000000,242,238,241,
1708494600000,242,238,241,
1708495200000,242,238,240,
1708495800000,242,238,239,
1708496400000,241,237,241,
1708497000000,243,240,242,
1708497600000,240,236,240,
1708498200000,245,241,245,
1708498800000,245,242,243,
1708499400000,244,242,242,
1708500000000,245,242,245,
1708500600000,245,241,245,
1708501200000,245,243,245,
1708501800000,245,243,245,
1708502400000,245,242,245,
1708503000000,244,241,244,
1708503600000,245,242,245,
1708504200000,245,242,246,
1708504800000,244,242,245,
1708505400000,243,240,243,
1708506000000,245,242,245,
1708506600000,245,242,245,
1708507200000,244,241,245,
1708507800000,246,243,247,
1708508400000,242,240,244,
1708509000000,242,240,244,
1708509599000,242,241,244,
1708510200000,244,241,244,
1708510800000,243,241,244,
1708511400000,247,243,245,
1708512000000,246,244,246,
1708512600000,244,241,244,
1708513200000,244,241,244,
1708513800000,244,242,244,
1708514400000,245,240,244,
1708515000000,245,242,245,
1708515600000,250,247,250,
1708516200000,252,249,253,
1708516800000,251,249,253,
1708517400000,250,247,251,
1708518000000,248,246,248,
1708518600000,248,246,249,
1708519200000,247,245,247,
1708519800000,244,242,245,
1708520400000,246,244,247,
1708521000000,245,243,246,
1708521600000,245,243,245,
1708522200000,247,245,247,
1708522800000,245,243,246,
1708523400000,245,243,245,
1708524000000,245,244,246,
1708524600000,246,244,246,
1708525200000,247,244,247,
1708525800000,247,246,248,
1708526399000,248,246,249,
1708527000000,248,247,249,
1708527600000,249,247,250,
1708528200000,248,246,249,
1708528800000,249,247,249,
1708529400000,247,244,248,
1708530000000,249,245,249,
1708530600000,246,243,246,
1708531200000,245,243,246,
1708531800000,246,244,247,
1708532400000,246,244,247,
1708533000000,248,245,248,
1708533600000,245,243,246,
1708534200000,246,244,247,
1708534800000,247,245,247,
1708535400000,247,245,247,
1708536000000,247,245,248,
1708536600000,246,245,247,
1708537200000,246,245,247,
1708537800000,248,246,249,
1708538400000,246,244,246,
1708539000000,246,244,247,
1708539600000,248,246,248,
1708540200000,249,247,250,
1708540800000,247,244,247,
1708541400000,248,246,248,
1708542000000,248,247,249,
1708542600000,249,247,249,
1708543200000,249,247,249,
1708543800000,250,248,249,
1708544400000,250,248,250,
1708545000000,251,248,250,
1708545600000,251,248,251,
1708546200000,251,248,250,
1708546800000,251,249,251,
1708547400000,252,250,252,
1708548000000,251,248,251,
1708548600000,252,249,252,
1708549200000,252,250,252,
1708549800000,252,250,252,
1708550400000,253,250,253,
1708551000000,254,252,254,
1708551600000,253,250,252,
1708552200000,252,249,252,
1708552800000,252,249,252,
1708553400000,251,249,251,
1708554000000,251,249,252,
1708554600000,253,249,253,
1708555200000,252,249,252,
1708555800000,251,249,251,
1708556400000,251,249,251,
1708557000000,251,248,251,
1708557600000,250,248,251,
1708558200000,251,248,251,
1708558800000,251,248,251,
1708559400000,250,248,250,
1708560000000,250,248,250,
1708560600000,249,246,249,
1708561200000,249,246,249,
1708561800000,250,247,250,
1708562400000,250,247,250,
1708563000000,247,245,247,
1708563600000,246,243,246,
1708564200000,248,245,248,
1708564800000,246,244,246,
1708565400000,248,245,248,
1708566000000,246,244,246,
1708566600000,248,245,248,
1708567200000,247,245,248,
1708567800000,249,247,249,
1708568400000,246,244,246,
1708569000000,247,244,247,
1708569600000,246,243,246,
1708570200000,248,245,248,
1708570800000,248,246,244,
1708571400000,249,246,249,
1708572000000,246,243,245,
1708572600000,245,243,246,
1708573200000,248,245,248,
1708573800000,245,243,246,
1708574400000,246,243,246,
1708575000000,244,242,244,
1708575600000,245,244,246,
1708576200000,244,241,245,
1708576800000,246,243,246,
1708577400000,246,243,246,
1708578000000,245,242,246,
1708578600000,245,241,246,
1708579200000,245,242,243,
1708579800000,245,241,245,
1708580400000,245,241,245,
1708581000000,245,243,243,
1708581600000,244,242,245,
1708582200000,244,241,245,
1708582800000,245,242,246,
1708583400000,244,240,245,
1708584000000,243,239,243,
1708584600000,243,240,244,
1708585200000,244,240,245,
1708585800000,245,241,246,
1708586400000,245,240,245,
1708587000000,248,245,248,
1708587600000,245,242,246,
1708588200000,246,243,246,
1708588800000,245,243,244,
1708589400000,246,244,247,
1708590000000,244,241,244,
1708590600000,244,242,245,
1708591200000,246,243,247,
1708591800000,245,242,246,
1708592400000,244,242,245,
1708593000000,243,240,244,
1708593600000,244,242,245,
1708594200000,245,243,246,
1708594800000,245,243,246,
1708595400000,246,244,244,
1708596000000,244,242,245,
1708596600000,245,243,247,
1708597200000,242,240,244,
1708597800000,245,243,247,
1708598400000,242,240,244,
1708599000000,245,243,246,
1708599600000,244,242,245,
1708600200000,243,242,246,
1708600800000,244,241,245,
1708601400000,246,243,247,
1708602000000,248,246,249,
1708602600000,248,245,248,
1708603200000,245,243,246,
1708603800000,243,242,244,
1708604400000,244,242,245,
1708605000000,248,246,249,
1708605600000,244,242,246,
1708606200000,247,244,247,
1708606800000,245,243,246,
1708607400000,246,244,247,
1708608000000,246,244,247,
1708608600000,246,244,247,
1708609200000,245,243,245,
1708609800000,245,243,245,
1708610400000,246,245,247,
1708611000000,247,245,248,
1708611600000,245,243,245,
1708612200000,246,244,247,
1708612800000,245,243,245,
1708613400000,247,246,249,
1708614000000,245,244,246,
1708614599000,246,244,246,
1708615200000,246,245,247,
1708615800000,248,245,247,
1708616400000,247,243,247,
1708617000000,248,244,247,
1708617600000,247,244,248,
1708618200000,246,243,247,
1708618800000,247,244,247,
1708619400000,247,245,248,
1708620000000,248,246,249,
1708620600000,245,243,246,
1708621200000,247,244,248,
1708621800000,247,244,248,
1708622400000,247,244,247,
1708623000000,248,245,248,
1708623600000,247,245,248,
1708624200000,248,245,248,
1708624800000,245,243,246,
1708625400000,246,243,247,
1708626000000,247,245,247,
1708626600000,248,246,248,
1708627200000,246,244,246,
1708627800000,246,244,246,
1708628400000,246,245,247,
1708629000000,247,245,248,
1708629600000,249,247,249,
1708630200000,249,247,250,
1708630800000,250,248,250,
1708631400000,250,248,250,
1708632000000,251,249,251,
1708632600000,251,249,251,
1708633200000,252,249,252,
1708633800000,252,251,253,
1708634400000,251,249,252,
1708635000000,251,249,252,
1708635600000,252,249,252,
1708636200000,252,250,252,
1708636800000,252,250,252,
1708637400000,253,251,254,
1708638000000,251,249,252,
1708638600000,251,249,251,
1708639200000,251,249,251,
1708639800000,252,250,252,
1708640400000,252,250,252,
1708641000000,252,250,252,
1708641600000,251,249,251,
1708642200000,251,250,252,
1708642800000,251,249,252,
1708643400000,252,249,252,
1708644000000,251,249,252,
1708644600000,251,249,252,
1708645200000,250,249,251,
1708645800000,252,250,252,
1708646400000,251,249,251,
1708647000000,250,248,250,
1708647600000,249,247,249,
1708648200000,249,247,250,
1708648800000,249,248,250,
1708649400000,247,246,248,
1708650000000,246,244,247,
1708650600000,248,246,249,
1708651200000,245,244,247,
1708651800000,247,245,248,
1708652400000,248,246,249,
1708653000000,247,245,248,
1708653600000,246,245,247,
1708654200000,245,244,246,
1708654800000,245,243,246,
1708655400000,246,244,247,
1708656000000,248,246,248,
1708656600000,245,243,246,
1708657200000,246,244,244,
1708657800000,247,244,247,
1708658400000,247,244,245,
1708659000000,245,242,245,
