intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue May 21 2024|  TO Mon May 27 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1716229800000,248,246,248,
1716230400000,249,247,249,
1716231000000,250,247,250,
1716231600000,249,247,250,
1716232200000,251,248,251,
1716232800000,251,248,251,
1716233400000,251,248,251,
1716234000000,251,249,251,
1716234600000,251,249,252,
1716235200000,252,250,252,
1716235800000,252,250,252,
1716236400000,252,250,253,
1716237000000,252,250,253,
1716237600000,252,250,253,
1716238199000,252,250,252,
1716238800000,252,250,252,
1716239400000,252,249,252,
1716240000000,252,250,253,
1716240600000,253,250,253,
1716241200000,252,250,252,
1716241800000,252,250,253,
1716242400000,252,250,253,
1716243000000,252,250,252,
1716243600000,253,250,253,
1716244200000,253,251,253,
1716244800000,252,250,253,
1716245400000,252,250,252,
1716246000000,252,250,252,
1716246600000,252,250,252,
1716247200000,251,250,252,
1716247800000,252,250,252,
1716248400000,251,249,251,
1716249000000,250,248,250,
1716249600000,250,248,251,
1716250200000,249,246,250,
1716250800000,248,246,249,
1716251400000,248,245,248,
1716252000000,247,245,247,
1716252600000,248,246,249,
1716253200000,247,244,247,
1716253800000,248,246,249,
1716254400000,247,244,247,
1716255000000,247,244,247,
1716255600000,248,246,249,
1716256200000,247,245,248,
1716256800000,247,245,247,
1716257400000,249,247,250,
1716258000000,249,247,250,
1716258600000,251,249,252,
1716259200000,248,247,245,
1716259800000,248,246,249,
1716260400000,249,247,250,
1716261000000,248,246,249,
1716261600000,247,244,248,
1716262200000,247,244,248,
1716262800000,246,244,247,
1716263400000,248,245,249,
1716264000000,248,246,246,
1716264600000,246,244,247,
1716265200000,248,246,249,
1716265800000,246,243,246,
1716266400000,245,243,245,
1716267000000,246,245,247,
1716267600000,244,243,246,
1716268200000,247,245,249,
1716268800000,247,245,248,
1716269400000,246,245,247,
1716270000000,246,244,247,
1716270600000,247,245,248,
1716271200000,246,243,246,
1716271800000,247,244,247,
1716272400000,247,244,247,
1716273000000,246,244,248,
1716273600000,245,243,244,
1716274200000,247,245,249,
1716274800000,246,243,247,
1716275400000,246,244,247,
1716276000000,246,244,247,
1716276600000,248,245,249,
1716277200000,246,242,246,
1716277800000,247,244,247,
1716278400000,247,244,248,
1716279000000,246,243,247,
1716279600000,246,243,248,
1716280200000,247,244,248,
1716280800000,245,243,245,
1716281400000,244,242,246,
1716282000000,248,246,250,
1716282600000,248,245,249,
1716283200000,245,243,245,
1716283800000,246,243,247,
1716284400000,245,242,247,
1716285000000,245,243,247,
1716285600000,244,239,244,
1716286200000,243,239,244,
1716286800000,244,240,244,
1716287400000,247,244,248,
1716288000000,247,244,246,
1716288600000,246,243,246,
1716289200000,246,244,248,
1716289800000,245,243,245,
1716290400000,246,244,247,
1716291000000,247,244,248,
1716291600000,245,242,245,
1716292200000,248,245,249,
1716292800000,249,246,249,
1716293400000,246,243,247,
1716293999000,247,243,247,
1716294600000,247,244,247,
1716295200000,247,244,247,
1716295800000,245,241,245,
1716296400000,247,244,247,
1716297000000,246,244,247,
1716297600000,246,243,246,
1716298200000,248,245,249,
1716298800000,249,246,250,
1716299400000,249,246,249,
1716300000000,247,244,247,
1716300600000,247,244,247,
1716301200000,248,246,248,
1716301800000,250,247,250,
1716302400000,250,247,250,
1716303000000,251,248,251,
1716303600000,248,246,249,
1716304200000,250,247,250,
1716304800000,250,246,250,
1716305400000,250,247,250,
1716306000000,250,247,250,
1716306600000,247,244,247,
1716307200000,247,245,248,
1716307800000,250,247,251,
1716308400000,247,244,247,
1716309000000,248,245,248,
1716309600000,247,245,248,
1716310200000,248,245,248,
1716310800000,248,246,249,
1716311400000,249,246,249,
1716312000000,247,244,247,
1716312600000,250,247,250,
1716313200000,248,245,248,
1716313800000,248,245,248,
1716314400000,248,245,248,
1716315000000,248,245,248,
1716315600000,248,246,249,
1716316200000,249,246,249,
1716316800000,249,246,249,
1716317400000,249,246,249,
