intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jul 23 2024|  TO Tue Jul 30 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1721673000000,251,249,252,
1721673600000,250,249,252,
1721674200000,250,249,252,
1721674800000,250,249,252,
1721675400000,250,249,252,
1721675999000,250,249,252,
1721676600000,250,249,252,
1721677200000,251,250,253,
1721677800000,251,250,253,
1721678400000,251,250,253,
1721679000000,251,250,253,
1721679600000,251,250,252,
1721680200000,252,251,254,
1721680800000,252,250,253,
1721681400000,252,250,253,
1721682000000,252,250,253,
1721682600000,253,250,253,
1721683200000,252,250,253,
1721683800000,253,251,254,
1721684400000,252,251,254,
1721685000000,253,251,254,
1721685600000,253,251,254,
1721686200000,253,251,255,
1721686800000,253,251,254,
1721687400000,253,252,255,
1721688000000,253,251,254,
1721688600000,252,252,255,
1721689200000,253,251,254,
1721689800000,252,251,254,
1721690400000,252,251,254,
1721691000000,252,251,253,
1721691600000,251,250,253,
1721692200000,251,250,253,
1721692800000,250,249,253,
1721693400000,250,249,252,
1721694000000,249,248,251,
1721694600000,249,247,251,
1721695200000,246,245,248,
1721695800000,245,244,247,
1721696400000,246,245,248,
1721697000000,244,243,246,
1721697600000,244,243,246,
1721698200000,245,245,248,
1721698800000,246,245,249,
1721699400000,244,244,247,
1721700000000,244,243,246,
1721700600000,243,243,246,
1721701200000,243,243,246,
1721701800000,243,243,246,
1721702400000,245,245,247,
1721703000000,245,244,247,
1721703600000,244,244,247,
1721704200000,247,246,249,
1721704800000,244,243,246,
1721705400000,246,245,247,
1721706000000,244,243,246,
1721706600000,246,245,247,
1721707200000,245,244,247,
1721707800000,245,244,247,
1721708400000,245,244,246,
1721709000000,245,244,245,
1721709600000,245,244,246,
1721710200000,244,244,244,
1721710800000,245,244,247,
1721711400000,246,244,247,
1721712000000,246,244,248,
1721712600000,247,246,249,
1721713200000,244,243,246,
1721713800000,246,245,247,
1721714400000,245,242,245,
1721715000000,244,242,245,
1721715600000,246,244,247,
1721716200000,244,244,246,
1721716800000,243,242,244,
1721717400000,245,244,247,
1721718000000,246,244,247,
1721718600000,246,244,247,
1721719200000,245,244,247,
1721719800000,244,243,246,
1721720400000,246,245,248,
1721721000000,247,246,246,
1721721600000,247,245,249,
1721722200000,247,246,246,
1721722800000,246,244,247,
1721723400000,248,245,249,
1721724000000,247,245,249,
1721724600000,247,245,249,
1721725200000,247,245,249,
1721725800000,246,244,247,
1721726400000,246,244,247,
1721727000000,246,244,246,
1721727600000,247,244,248,
1721728200000,248,246,249,
1721728800000,249,246,249,
1721729400000,248,246,248,
1721730000000,248,246,249,
1721730600000,248,247,248,
