intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jun 25 2024|  TO Mon Jul 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1719253800000,250,249,250,
1719254400000,250,248,250,
1719255000000,250,248,250,
1719255600000,250,248,250,
1719256200000,251,249,251,
1719256800000,251,249,251,
1719257400000,251,249,251,
1719258000000,251,249,251,
1719258600000,252,250,251,
1719259200000,252,249,251,
1719259800000,252,250,252,
1719260400000,252,250,252,
1719261000000,252,250,252,
1719261600000,252,250,252,
1719262200000,252,250,252,
1719262800000,253,251,253,
1719263400000,253,250,252,
1719263999000,253,251,253,
1719264600000,253,251,254,
1719265200000,253,251,253,
1719265800000,253,251,253,
1719266400000,253,251,253,
1719267000000,253,251,253,
1719267600000,253,251,253,
1719268200000,254,251,254,
1719268799000,253,251,253,
1719269400000,253,251,253,
1719270000000,252,251,252,
1719270600000,253,250,252,
1719271199000,252,250,252,
1719271200000,252,250,252,
1719271800000,252,250,252,
1719272400000,252,250,251,
1719273000000,251,249,251,
1719273600000,251,248,251,
1719274200000,250,248,250,
1719274800000,249,247,249,
1719275400000,249,247,249,
1719276000000,247,245,247,
1719276600000,249,246,249,
1719277200000,247,245,247,
1719277800000,248,247,249,
1719278400000,247,245,248,
1719279000000,249,247,249,
1719279600000,248,246,248,
1719280200000,249,247,249,
1719280800000,249,247,249,
1719281400000,248,246,248,
1719282000000,250,248,250,
1719282600000,249,246,249,
1719283200000,247,246,248,
1719283800000,247,245,246,
1719284400000,247,244,247,
1719285000000,249,246,249,
1719285600000,248,246,249,
1719286200000,247,245,248,
1719286800000,249,246,249,
1719287400000,248,246,248,
1719288000000,248,246,249,
1719288600000,248,245,247,
1719289200000,246,245,246,
1719289800000,249,247,249,
1719290400000,247,245,247,
1719291000000,246,244,247,
1719291600000,246,244,246,
1719292200000,247,245,246,
1719292800000,247,245,247,
1719293400000,247,245,247,
1719294000000,248,245,247,
1719294600000,247,244,246,
1719295200000,247,245,247,
1719295800000,248,245,247,
1719296400000,247,245,245,
1719297000000,248,246,248,
1719297600000,248,246,248,
1719298200000,246,243,245,
1719298800000,247,244,247,
1719299400000,246,243,247,
1719300000000,247,245,247,
1719300600000,248,246,249,
1719301200000,247,245,247,
1719301800000,247,245,248,
1719302400000,247,245,248,
1719303000000,247,245,247,
1719303600000,247,245,248,
1719304200000,247,244,248,
1719304800000,247,244,247,
1719305400000,246,243,247,
1719306000000,247,244,247,
1719306600000,246,243,246,
1719307200000,247,244,247,
1719307800000,248,245,245,
1719308400000,247,244,247,
1719309000000,246,243,246,
1719309600000,246,244,247,
1719310200000,247,243,247,
1719310800000,246,245,245,
1719311400000,246,244,247,
1719312000000,247,245,248,
1719312600000,248,246,249,
1719313200000,247,244,248,
1719313800000,245,243,246,
1719314400000,245,243,246,
1719315000000,244,243,245,
1719315600000,245,244,246,
1719316200000,247,245,248,
1719316800000,248,247,250,
1719317400000,249,247,251,
1719318000000,249,247,251,
1719318600000,250,248,251,
1719319200000,251,249,252,
1719319800000,251,249,252,
1719320400000,246,244,247,
1719321000000,248,246,248,
1719321600000,247,245,249,
1719322200000,246,245,247,
1719322800000,245,244,247,
1719323400000,246,244,247,
1719324000000,246,245,247,
1719324600000,246,245,247,
1719325200000,247,246,249,
1719325800000,246,244,247,
1719326400000,245,244,247,
1719327000000,246,245,247,
1719327600000,246,245,248,
1719328200000,247,246,248,
1719328800000,247,246,248,
1719329400000,248,247,249,
1719330000000,247,246,249,
1719330600000,247,246,248,
1719331200000,248,247,249,
1719331800000,249,248,250,
1719332400000,250,248,251,
1719333000000,249,248,250,
1719333600000,246,245,247,
1719334200000,247,245,248,
1719334800000,248,246,249,
1719335400000,248,247,249,
1719336000000,248,247,249,
1719336600000,249,247,249,
1719337200000,249,248,250,
1719337800000,250,249,250,
1719338400000,251,249,252,
1719339000000,251,250,251,
1719339600000,251,249,251,
1719340200000,252,250,253,
1719340800000,252,251,253,
1719341400000,252,251,253,
1719342000000,252,251,253,
1719342600000,253,251,253,
1719343200000,253,251,253,
1719343800000,253,252,254,
1719344400000,253,252,254,
1719345000000,254,252,254,
1719345600000,253,252,254,
1719346200000,254,253,255,
