intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Mar 26 2024|  TO Mon Apr 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1711391400000,249,246,250,
1711392000000,247,243,247,
1711392600000,247,243,247,
1711393200000,247,244,248,
1711393800000,248,245,249,
1711394400000,249,246,249,
1711395000000,250,246,250,
1711395600000,250,246,250,
1711396200000,251,247,251,
1711396800000,251,247,251,
1711397400000,252,248,252,
1711397999000,251,247,251,
1711398600000,253,249,253,
1711399200000,252,249,252,
1711399800000,252,249,252,
1711400400000,252,249,252,
1711401000000,252,249,253,
1711401600000,253,250,253,
1711402200000,255,251,255,
1711402800000,253,250,253,
1711403400000,253,249,253,
1711404000000,253,249,253,
1711404600000,253,249,254,
1711405200000,254,250,254,
1711405800000,254,251,255,
1711406400000,254,251,254,
1711407000000,253,251,254,
1711407600000,254,251,254,
1711408200000,253,250,254,
1711408800000,253,250,254,
1711409400000,254,251,254,
1711410000000,253,249,253,
1711410600000,252,249,252,
1711411200000,252,249,252,
1711411800000,252,249,253,
1711412400000,251,248,252,
1711413000000,252,249,253,
1711413600000,249,245,249,
1711414200000,246,242,246,
1711414800000,249,245,249,
1711415400000,245,242,247,
1711416000000,248,244,248,
1711416600000,246,243,247,
1711417200000,248,244,248,
1711417800000,248,244,248,
1711418400000,247,243,247,
1711419000000,246,243,246,
1711419600000,249,245,249,
1711420200000,246,242,246,
1711420800000,246,242,246,
1711421400000,248,244,248,
1711422000000,246,243,243,
1711422600000,246,241,245,
1711423200000,249,244,248,
1711423800000,248,244,248,
1711424400000,248,243,247,
1711425000000,246,242,245,
1711425600000,246,243,247,
1711426200000,247,245,247,
1711426800000,246,243,246,
1711427400000,245,240,245,
1711428000000,246,242,246,
1711428600000,245,240,245,
1711429200000,245,240,246,
1711429800000,245,240,245,
1711430400000,245,241,245,
1711431000000,245,240,245,
1711431600000,245,241,244,
1711432200000,246,241,244,
1711432800000,245,241,242,
1711433400000,245,240,245,
1711434000000,246,241,245,
1711434600000,246,241,246,
1711435200000,245,240,245,
1711435800000,243,239,243,
1711436399000,244,240,244,
1711437000000,244,239,244,
1711437600000,245,240,246,
1711438200000,245,240,245,
1711438800000,243,238,243,
1711439400000,243,238,243,
1711440000000,245,241,246,
1711440600000,245,239,245,
1711441200000,245,241,245,
1711441800000,246,242,244,
1711442400000,244,239,245,
1711443000000,244,240,245,
1711443600000,245,240,244,
1711444200000,242,237,242,
1711444800000,241,236,240,
1711445400000,245,241,244,
1711446000000,244,240,243,
1711446600000,244,240,244,
1711447200000,242,239,242,
1711447800000,242,239,244,
1711448400000,242,239,243,
1711449000000,243,239,243,
1711449600000,242,237,242,
1711450200000,244,239,244,
1711450800000,243,239,244,
1711451400000,244,239,244,
1711452000000,244,239,245,
1711452600000,244,239,244,
1711453200000,245,241,246,
1711453800000,244,241,245,
1711454400000,243,240,245,
1711455000000,244,241,246,
1711455600000,243,241,245,
1711456200000,248,245,249,
1711456800000,250,247,252,
1711457400000,244,240,244,
1711458000000,246,242,246,
1711458600000,244,241,245,
1711459200000,247,243,248,
1711459800000,248,244,248,
1711460400000,245,241,245,
1711461000000,246,242,246,
1711461600000,245,242,245,
1711462200000,245,241,245,
1711462800000,246,242,245,
1711463400000,247,243,246,
1711464000000,246,243,246,
1711464600000,245,242,246,
1711465200000,248,244,248,
1711465800000,246,242,246,
1711466400000,245,242,245,
1711467000000,246,242,246,
1711467600000,246,243,246,
1711468200000,248,244,248,
1711468800000,246,242,246,
1711469400000,246,243,246,
1711470000000,248,243,247,
1711470600000,247,243,246,
1711471200000,246,242,246,
1711471800000,246,242,246,
1711472400000,246,242,246,
1711473000000,246,242,246,
1711473600000,247,243,247,
1711474200000,245,242,245,
1711474800000,246,242,245,
1711475400000,247,244,247,
1711476000000,248,244,248,
1711476600000,246,242,246,
1711477200000,246,243,246,
1711477800000,248,245,248,
1711478400000,245,242,245,
1711479000000,247,244,248,
1711479600000,248,245,248,
1711480200000,246,243,246,
1711480800000,246,243,247,
1711481400000,248,244,248,
1711482000000,247,244,247,
1711482600000,248,244,248,
1711483200000,249,245,249,
1711483800000,249,245,249,
1711484400000,249,246,249,
1711485000000,251,248,251,
1711485600000,248,245,248,
1711486200000,248,245,248,
1711486800000,249,245,249,
1711487400000,249,245,248,
1711488000000,249,246,250,
1711488600000,251,247,251,
1711489200000,250,247,250,
1711489800000,249,246,249,
1711490400000,250,246,250,
1711491000000,250,246,250,
1711491600000,251,247,250,
1711492200000,250,247,250,
1711492800000,249,247,250,
1711493400000,250,247,250,
1711493998000,250,247,250,
1711494000000,250,247,250,
1711494600000,250,246,250,
1711495200000,249,246,249,
1711495800000,249,246,250,
1711496400000,250,246,250,
1711497000000,250,246,249,
1711497600000,249,245,249,
1711498200000,248,244,248,
1711498800000,248,244,248,
1711499400000,249,245,249,
1711500000000,248,245,249,
1711500600000,246,243,246,
1711501199000,247,244,248,
1711501200000,247,244,248,
1711501800000,245,242,246,
1711502400000,247,244,248,
1711503000000,248,244,248,
1711503600000,245,242,246,
1711504200000,246,242,246,
1711504800000,246,243,247,
1711505400000,246,242,246,
1711506000000,247,243,247,
1711506600000,247,243,247,
1711507200000,247,243,247,
1711507800000,248,244,248,
1711508400000,247,243,243,
1711509000000,247,244,247,
1711509600000,247,244,247,
1711510200000,246,242,246,
1711510800000,248,244,249,
1711511399000,248,244,248,
1711512000000,247,243,247,
1711512600000,245,241,245,
1711513200000,246,242,243,
1711513800000,245,242,246,
1711514400000,245,240,245,
1711515000000,246,242,247,
1711515600000,242,238,242,
1711516200000,242,239,240,
1711516800000,245,239,245,
1711517400000,245,240,246,
1711518000000,244,239,245,
1711518600000,242,238,242,
1711519200000,242,238,242,
1711519800000,243,239,243,
1711520400000,242,238,242,
1711521000000,244,240,244,
1711521600000,244,241,245,
1711522200000,244,240,244,
1711522800000,245,240,245,
1711523400000,244,240,244,
1711524000000,242,238,242,
1711524600000,243,240,242,
1711525200000,245,242,243,
1711525800000,245,241,245,
1711526400000,243,239,243,
1711527000000,242,239,243,
1711527600000,243,240,244,
1711528200000,243,240,245,
1711528800000,243,240,244,
1711529400000,241,238,243,
1711530000000,242,240,244,
1711530600000,243,242,243,
1711531200000,241,240,243,
1711531800000,240,238,243,
1711532400000,241,240,244,
1711533000000,241,240,244,
1711533600000,242,240,244,
1711534200000,242,241,241,
1711534800000,243,241,245,
1711535400000,242,241,241,
1711536000000,243,239,243,
1711536600000,243,238,242,
1711537200000,243,238,242,
1711537800000,243,239,242,
1711538400000,243,239,242,
1711539000000,243,240,241,
1711539600000,244,240,244,
1711540200000,242,239,243,
1711540800000,245,242,245,
1711541400000,244,241,245,
1711542000000,244,241,245,
1711542600000,245,241,245,
1711543200000,247,243,247,
1711543800000,244,240,244,
1711544400000,242,237,241,
1711545000000,243,239,243,
1711545600000,242,239,243,
1711546200000,244,240,244,
1711546800000,243,239,244,
1711547400000,243,239,244,
1711548000000,242,238,242,
1711548600000,242,240,243,
1711549200000,243,240,243,
1711549800000,246,243,247,
1711550400000,244,242,245,
1711551000000,245,242,246,
1711551600000,245,242,245,
1711552200000,244,241,245,
1711552800000,245,242,246,
1711553400000,246,243,246,
1711554000000,246,242,246,
1711554600000,246,244,247,
1711555200000,247,243,247,
1711555800000,246,244,248,
1711556400000,244,242,246,
1711557000000,245,243,246,
1711557600000,246,243,247,
1711558200000,246,243,246,
1711558800000,246,243,246,
1711559400000,245,242,245,
1711560000000,246,243,246,
1711560600000,246,243,246,
1711561200000,247,244,247,
1711561800000,246,243,246,
1711562400000,246,243,247,
1711563000000,245,242,245,
1711563600000,246,243,246,
1711564200000,248,245,248,
1711564800000,247,244,247,
1711565400000,248,244,248,
1711566000000,246,243,246,
1711566600000,246,243,245,
1711567200000,246,243,246,
1711567800000,247,243,247,
1711568400000,247,243,247,
1711569000000,248,244,248,
1711569600000,248,245,248,
1711570200000,248,245,248,
1711570800000,248,245,249,
1711571400000,250,246,250,
1711572000000,249,245,249,
1711572600000,249,245,249,
1711573200000,249,245,250,
1711573800000,251,247,251,
1711574400000,250,247,250,
1711575000000,251,248,252,
1711575600000,250,247,251,
1711576200000,251,247,251,
1711576800000,251,247,251,
1711577400000,251,247,251,
1711578000000,251,247,251,
1711578600000,252,248,253,
1711579200000,251,248,251,
1711579800000,251,248,252,
1711580400000,252,248,252,
1711581000000,251,247,251,
1711581600000,251,248,252,
1711582200000,252,248,252,
1711582800000,252,248,252,
1711583400000,251,247,251,
1711584000000,250,247,250,
1711584600000,250,246,251,
1711585200000,250,246,251,
1711585800000,251,247,251,
1711586400000,249,246,250,
1711587000000,247,243,248,
1711587600000,245,242,246,
1711588200000,245,242,246,
1711588800000,248,244,248,
1711589400000,246,243,246,
1711590000000,247,243,248,
1711590600000,247,243,248,
1711591200000,248,244,248,
1711591800000,248,244,248,
1711592400000,247,244,248,
1711593000000,247,244,248,
1711593600000,247,244,247,
1711594200000,246,242,246,
1711594800000,247,244,245,
1711595400000,247,244,245,
1711596000000,246,243,246,
1711596600000,248,244,247,
1711597200000,247,243,246,
1711597800000,247,244,246,
1711598400000,246,242,243,
1711599000000,247,243,247,
1711599600000,246,243,246,
1711600200000,244,240,244,
1711600800000,247,244,245,
1711601400000,245,241,245,
1711602000000,244,240,241,
1711602599000,244,240,244,
1711603200000,242,238,243,
1711603800000,243,239,243,
1711604400000,242,238,242,
1711605000000,245,241,245,
1711605600000,243,239,243,
1711606200000,246,242,246,
1711606800000,244,239,243,
1711607400000,245,242,245,
1711608000000,245,242,246,
1711608600000,245,241,246,
1711609200000,245,242,247,
1711609800000,243,239,244,
1711610400000,245,240,245,
1711611000000,244,240,246,
1711611600000,243,239,245,
1711612199000,245,240,246,
1711612800000,245,240,246,
1711613400000,243,239,244,
1711614000000,244,239,245,
1711614600000,247,242,247,
1711615200000,243,239,244,
1711615800000,242,239,243,
1711616400000,245,243,244,
1711617000000,244,241,245,
1711617600000,243,239,244,
1711618200000,246,243,246,
1711618800000,244,241,244,
1711619400000,244,241,244,
1711620000000,244,241,244,
1711620600000,244,241,244,
1711621200000,245,242,246,
1711621800000,247,243,246,
1711622400000,247,242,247,
1711623000000,244,240,244,
1711623600000,246,242,246,
1711624200000,246,242,247,
1711624800000,245,241,246,
1711625400000,244,240,244,
1711626000000,244,240,245,
1711626600000,246,241,247,
1711627200000,245,240,244,
1711627800000,245,241,245,
1711628400000,245,240,245,
1711629000000,247,243,247,
1711629600000,244,240,244,
1711630200000,246,242,246,
1711630800000,244,240,244,
1711631400000,247,242,246,
1711632000000,246,242,246,
1711632600000,246,242,246,
1711633200000,245,242,245,
1711633800000,245,242,245,
1711634400000,244,240,243,
1711635000000,245,241,244,
1711635600000,244,241,244,
1711636200000,246,241,246,
1711636800000,245,241,245,
1711637400000,245,241,245,
1711638000000,246,243,246,
1711638600000,246,242,246,
1711639200000,244,241,245,
1711639800000,244,240,244,
1711640400000,246,243,246,
1711641000000,246,243,246,
1711641600000,246,242,246,
1711642200000,246,242,246,
1711642800000,247,243,247,
1711643400000,248,244,248,
1711644000000,245,241,245,
1711644600000,247,243,247,
1711645200000,247,243,247,
1711645800000,247,243,247,
1711646400000,247,243,247,
1711647000000,248,243,248,
1711647600000,248,244,248,
1711648200000,246,243,247,
1711648800000,246,242,245,
1711649400000,246,242,246,
1711650000000,247,243,247,
1711650600000,246,242,245,
1711651200000,247,242,246,
1711651800000,246,243,246,
1711652400000,247,243,247,
1711653000000,247,243,247,
1711653600000,247,244,248,
1711654200000,248,243,247,
1711654800000,247,243,247,
1711655400000,247,243,247,
1711656000000,247,243,247,
1711656600000,248,244,248,
1711657200000,248,244,248,
1711657800000,250,246,250,
1711658400000,249,245,249,
1711659000000,248,245,249,
1711659600000,249,245,248,
1711660200000,249,246,249,
1711660800000,249,245,249,
1711661400000,251,247,251,
1711662000000,251,246,250,
1711662600000,250,245,249,
1711663200000,250,246,250,
1711663800000,250,246,250,
1711664400000,250,247,251,
1711665000000,251,247,250,
1711665600000,250,246,250,
1711666200000,250,246,250,
1711666800000,250,246,250,
1711667400000,250,246,250,
1711668000000,250,246,250,
1711668600000,250,246,250,
1711669200000,250,247,250,
1711669800000,250,246,250,
1711670400000,250,246,250,
1711671000000,250,247,250,
1711671600000,250,246,250,
1711672200000,252,248,252,
