intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Sep 26 2023|  TO Mon Oct 02 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1695666600000,250,250,251,
1695667200000,248,250,250,
1695667800000,249,250,251,
1695668400000,250,250,251,
1695669000000,249,250,251,
1695669600000,249,250,251,
1695670200000,250,251,251,
1695670800000,251,252,252,
1695671400000,250,251,252,
1695672000000,250,251,252,
1695672600000,251,252,252,
1695673200000,250,251,251,
1695673800000,251,252,252,
1695674400000,251,252,252,
1695675000000,251,252,252,
1695675600000,251,252,252,
1695676200000,251,252,252,
1695676800000,251,252,252,
1695677400000,253,254,254,
1695678000000,251,253,253,
1695678600000,251,252,252,
1695679200000,251,252,253,
1695679800000,251,252,253,
1695680400000,252,253,253,
1695681000000,252,253,253,
1695681600000,252,253,253,
1695682200000,251,252,253,
1695682800000,252,252,253,
1695683400000,252,252,253,
1695683999000,251,252,253,
1695684600000,251,252,253,
1695685200000,251,251,252,
1695685800000,250,250,251,
1695686400000,250,251,252,
1695687000000,249,250,250,
1695687600000,248,249,250,
1695688200000,249,250,251,
1695688800000,248,249,250,
1695689400000,247,248,248,
1695690000000,246,247,248,
1695690600000,244,245,246,
1695691200000,245,246,247,
1695691800000,247,247,248,
1695692400000,246,246,248,
1695693000000,245,246,247,
1695693600000,247,248,249,
1695694200000,247,247,249,
1695694800000,245,246,247,
1695695400000,246,246,247,
1695696000000,246,246,247,
1695696600000,246,247,248,
1695697200000,246,247,248,
1695697800000,247,248,248,
1695698400000,246,247,247,
1695699000000,246,248,245,
1695699600000,244,245,242,
1695700200000,249,250,250,
1695700799000,248,249,247,
1695701400000,247,247,248,
1695702000000,246,247,247,
1695702600000,248,249,246,
1695703200000,247,247,246,
1695703800000,247,246,247,
1695704400000,247,247,247,
1695705000000,244,244,243,
1695705599000,246,246,247,
1695706200000,246,246,247,
1695706800000,246,244,245,
1695707400000,245,243,245,
1695708000000,246,244,245,
1695708600000,246,245,246,
1695709200000,246,244,245,
1695709800000,246,245,246,
1695710400000,246,245,246,
1695711000000,246,245,246,
1695711600000,247,245,246,
1695712200000,246,245,247,
1695712800000,246,245,246,
1695713400000,245,244,246,
1695714000000,245,244,246,
1695714600000,245,244,246,
1695715200000,246,245,246,
1695715800000,245,245,247,
1695716400000,246,246,247,
1695717000000,244,243,245,
1695717600000,246,246,248,
1695718200000,244,243,246,
1695718800000,245,244,246,
1695719400000,246,245,248,
1695720000000,246,245,247,
1695720600000,247,247,246,
1695721200000,244,243,246,
1695721800000,245,244,245,
1695722400000,244,243,245,
1695723000000,245,244,246,
1695723600000,244,243,245,
1695724200000,247,247,246,
1695724800000,247,245,247,
1695725400000,246,246,247,
1695726000000,246,246,247,
1695726600000,246,245,247,
1695727200000,247,247,248,
1695727800000,248,247,249,
1695728400000,248,248,249,
1695729000000,248,249,250,
1695729600000,249,250,251,
1695730200000,247,248,249,
1695730800000,248,248,249,
1695731400000,248,248,249,
1695732000000,247,247,247,
1695732600000,246,247,247,
1695733200000,245,246,247,
1695733800000,246,246,246,
1695734400000,247,247,247,
1695735000000,247,247,248,
1695735600000,248,248,248,
1695736200000,248,249,249,
1695736800000,249,250,250,
1695737400000,246,246,247,
1695738000000,247,247,247,
1695738600000,247,248,248,
1695739200000,247,247,248,
1695739800000,247,247,248,
1695740400000,247,248,249,
1695741000000,245,245,246,
1695741600000,247,248,249,
1695742200000,246,246,247,
1695742800000,245,245,246,
1695743400000,245,246,247,
1695744000000,246,246,247,
1695744600000,247,247,248,
1695745200000,248,248,249,
1695745800000,248,248,248,
1695746400000,247,247,247,
1695747000000,247,247,248,
1695747600000,248,248,248,
1695748200000,248,248,249,
1695748800000,249,249,249,
1695749400000,250,250,250,
1695750000000,250,250,251,
1695750600000,250,250,251,
1695751200000,251,251,251,
1695751800000,251,251,252,
1695752400000,252,252,253,
1695753000000,252,253,253,
1695753600000,252,252,252,
1695754200000,251,251,252,
1695754800000,251,251,252,
1695755400000,251,251,252,
1695756000000,251,251,252,
1695756600000,252,252,253,
1695757200000,252,252,253,
1695757800000,252,252,253,
1695758400000,252,252,253,
1695759000000,252,252,253,
1695759600000,252,252,253,
1695760200000,252,252,253,
1695760800000,252,252,253,
1695761400000,252,252,253,
1695762000000,253,252,254,
1695762600000,253,252,254,
1695763200000,252,252,253,
1695763800000,253,253,254,
1695764400000,252,252,253,
1695765000000,252,252,253,
1695765600000,253,253,254,
1695766200000,253,252,254,
1695766800000,253,252,254,
1695767400000,253,253,253,
1695768000000,252,252,253,
1695768600000,253,252,253,
1695769200000,253,253,254,
1695769800000,252,252,253,
1695770400000,252,252,253,
1695771000000,251,252,253,
1695771600000,251,251,252,
1695772200000,250,250,251,
1695772800000,250,250,251,
1695773400000,249,249,250,
1695774000000,247,247,248,
1695774600000,248,248,249,
1695775200000,246,246,247,
1695775800000,246,246,247,
1695776400000,247,247,249,
1695777000000,245,245,246,
1695777600000,247,247,248,
1695778200000,245,246,247,
1695778800000,248,248,249,
1695779400000,250,250,251,
1695780000000,247,247,248,
1695780600000,246,246,247,
1695781200000,248,248,249,
1695781800000,247,246,247,
1695782400000,247,247,248,
1695783000000,246,246,247,
1695783600000,247,248,245,
1695784200000,247,247,248,
1695784800000,246,246,247,
1695785400000,245,245,247,
1695786000000,246,245,246,
1695786600000,247,246,247,
1695787200000,245,245,245,
1695787800000,245,244,245,
1695788400000,245,244,245,
1695789000000,245,244,246,
1695789600000,247,246,248,
1695790200000,246,244,247,
1695790800000,246,246,243,
1695791400000,246,243,245,
1695792000000,244,243,245,
1695792600000,245,243,245,
1695793200000,244,243,245,
1695793800000,244,244,243,
1695794400000,244,243,244,
1695795000000,244,243,242,
1695795600000,246,244,247,
1695796200000,245,244,243,
1695796800000,244,242,245,
1695797400000,244,243,245,
1695798000000,244,243,245,
1695798600000,244,243,245,
1695799200000,244,243,243,
1695799800000,245,244,244,
