intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Feb 27 2024|  TO Mon Mar 04 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1708972200000,251,249,251,
1708972800000,245,244,246,
1708973400000,246,244,246,
1708974000000,246,243,246,
1708974600000,246,244,247,
1708975200000,247,245,247,
1708975800000,248,246,249,
1708976400000,249,246,249,
1708977000000,249,246,249,
1708977600000,249,247,249,
1708978200000,250,248,250,
1708978799000,249,248,250,
1708979400000,251,249,251,
1708980000000,251,249,251,
1708980600000,250,248,250,
1708981200000,251,249,251,
1708981800000,251,249,251,
1708982400000,251,249,251,
1708983000000,252,250,252,
1708983600000,251,248,251,
1708984200000,251,248,251,
1708984800000,251,248,251,
1708985400000,251,249,251,
1708986000000,252,249,252,
1708986600000,251,249,251,
1708987200000,251,249,251,
1708987799000,251,248,251,
1708988400000,250,249,251,
1708989000000,251,249,252,
1708989600000,251,249,251,
1708990200000,252,250,251,
1708990800000,251,250,252,
1708991400000,251,248,251,
1708992000000,250,248,251,
1708992600000,250,247,250,
1708993200000,249,246,248,
1708993800000,249,246,249,
1708994400000,249,247,250,
1708995000000,248,245,248,
1708995600000,246,244,247,
1708996200000,247,245,247,
1708996800000,247,245,248,
1708997400000,248,246,249,
1708998000000,248,246,249,
1708998600000,248,246,249,
1708999200000,248,246,248,
1708999800000,247,244,247,
1709000400000,247,245,247,
1709001000000,248,245,248,
1709001600000,249,246,249,
1709002200000,247,244,247,
1709002800000,246,245,246,
1709003400000,248,244,247,
1709004000000,247,244,247,
1709004600000,247,243,246,
1709005200000,249,244,249,
1709005800000,248,245,248,
1709006400000,247,244,248,
1709007000000,247,245,244,
1709007600000,246,243,245,
1709008200000,247,244,247,
1709008800000,246,242,246,
1709009400000,246,241,243,
1709010000000,244,239,244,
1709010600000,244,240,243,
1709011200000,245,241,244,
1709011800000,246,242,245,
1709012400000,242,238,242,
1709013000000,244,241,245,
1709013600000,242,240,243,
1709014200000,243,241,244,
1709014800000,244,240,243,
1709015400000,244,242,244,
1709016000000,243,240,244,
1709016600000,242,240,243,
1709017200000,243,240,243,
1709017800000,243,241,244,
1709018400000,246,242,245,
1709019000000,246,243,247,
1709019600000,244,241,244,
1709020200000,245,241,244,
1709020800000,246,242,245,
1709021400000,247,243,246,
1709022000000,246,243,246,
1709022600000,247,243,246,
1709023200000,246,242,246,
1709023800000,245,242,245,
1709024400000,245,241,244,
1709025000000,245,241,244,
1709025600000,245,242,244,
1709026200000,245,241,244,
1709026800000,244,241,243,
1709027400000,246,244,245,
1709028000000,246,243,245,
1709028600000,246,243,244,
1709029200000,245,242,244,
1709029800000,244,241,244,
1709030400000,246,242,246,
1709031000000,247,243,247,
1709031600000,247,244,248,
1709032200000,246,243,247,
1709032800000,246,243,245,
1709033400000,248,245,248,
1709034000000,248,246,248,
1709034600000,246,243,246,
1709035200000,246,244,247,
1709035800000,247,244,247,
1709036400000,247,245,248,
1709037000000,247,245,248,
1709037600000,249,248,250,
1709038200000,245,244,246,
1709038800000,246,244,247,
1709039400000,248,246,248,
1709040000000,247,245,247,
1709040600000,248,246,248,
1709041200000,247,244,246,
1709041800000,247,244,247,
1709042400000,246,244,246,
1709043000000,247,246,248,
1709043600000,248,247,249,
1709044200000,248,247,248,
1709044800000,247,245,247,
1709045400000,247,246,248,
1709046000000,249,247,249,
1709046600000,249,247,249,
1709047200000,250,248,250,
1709047800000,250,247,250,
1709048400000,247,245,247,
1709049000000,247,246,248,
1709049600000,246,243,246,
1709050200000,246,243,246,
1709050800000,247,245,247,
1709051400000,248,246,248,
1709052000000,246,244,246,
1709052600000,248,246,248,
1709053200000,246,243,246,
1709053800000,246,244,247,
1709054400000,246,244,246,
1709055000000,248,245,248,
1709055600000,249,246,249,
1709056200000,246,243,246,
1709056800000,247,245,247,
1709057400000,248,246,248,
1709058000000,248,246,248,
1709058600000,250,248,250,
1709059200000,247,245,247,
1709059800000,248,245,247,
1709060400000,248,245,247,
1709061000000,248,246,248,
1709061600000,249,246,249,
1709062200000,249,248,250,
1709062800000,251,249,251,
1709063400000,250,248,250,
1709064000000,251,249,251,
1709064600000,250,247,250,
1709065200000,250,247,249,
1709065800000,252,249,252,
1709066400000,251,248,251,
1709067000000,252,249,251,
1709067600000,251,249,251,
1709068200000,252,249,252,
1709068800000,251,249,251,
1709069400000,253,251,253,
1709070000000,252,250,252,
1709070600000,252,249,251,
1709071200000,252,249,252,
1709071800000,252,250,252,
1709072400000,252,249,252,
1709073000000,253,250,253,
1709073600000,252,250,251,
1709074200000,251,249,251,
1709074800000,252,249,252,
1709075400000,252,249,252,
1709076000000,251,248,251,
1709076600000,252,250,252,
1709077200000,252,250,252,
1709077800000,251,248,251,
1709078400000,252,249,251,
1709079000000,250,248,250,
1709079600000,250,247,250,
1709080200000,251,248,251,
1709080800000,250,248,250,
1709081400000,249,246,249,
1709082000000,246,244,246,
1709082600000,247,245,247,
1709083200000,248,246,248,
1709083800000,246,244,247,
1709084400000,247,245,248,
1709085000000,251,249,251,
1709085600000,248,246,248,
1709086200000,247,245,247,
