intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue May 28 2024|  TO Mon Jun 03 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1716846600000,248,246,248,
1716847200000,248,246,249,
1716847800000,248,246,249,
1716848400000,248,246,249,
1716849000000,249,247,249,
1716849600000,248,246,248,
1716850200000,249,247,249,
1716850800000,249,246,249,
1716851400000,249,246,249,
1716852000000,249,247,250,
1716852600000,249,246,249,
1716853200000,248,246,249,
1716853800000,248,246,248,
1716854400000,248,246,248,
1716855000000,247,245,248,
1716855600000,246,244,247,
1716856200000,247,245,247,
1716856800000,248,246,249,
1716857400000,246,244,247,
1716858000000,248,245,248,
1716858600000,247,244,247,
1716859200000,248,246,249,
1716859800000,248,246,249,
1716860399000,247,245,248,
1716861000000,246,245,247,
1716861600000,249,247,249,
1716862200000,248,245,248,
1716862800000,247,246,248,
1716863400000,248,246,249,
1716864000000,248,247,249,
1716864600000,247,245,248,
1716865200000,246,245,247,
1716865800000,247,246,248,
1716866400000,248,247,250,
1716867000000,247,246,249,
1716867600000,247,245,248,
1716868200000,247,245,247,
1716868800000,248,247,249,
1716869400000,247,247,249,
1716870000000,245,244,246,
1716870600000,247,246,249,
1716871200000,247,245,248,
1716871800000,247,245,248,
1716872400000,247,245,248,
1716873000000,247,246,248,
1716873600000,246,245,247,
1716874200000,246,246,248,
1716874800000,246,245,247,
1716875400000,244,243,246,
1716876000000,243,242,244,
1716876600000,247,246,249,
1716877200000,244,243,246,
1716877800000,245,244,246,
1716878400000,248,246,248,
1716879000000,244,242,245,
1716879600000,247,246,248,
1716880200000,246,245,248,
1716880799000,245,243,246,
1716881400000,249,247,249,
1716882000000,247,245,245,
1716882600000,248,246,248,
1716883200000,246,244,246,
1716883800000,245,243,246,
1716884400000,247,244,248,
1716885000000,248,246,249,
1716885600000,247,245,246,
1716886200000,247,245,248,
1716886800000,247,245,248,
1716887400000,247,245,248,
1716888000000,248,246,248,
1716888600000,244,243,245,
1716889200000,246,244,246,
1716889800000,247,245,245,
1716890400000,247,246,248,
1716891000000,243,242,245,
1716891600000,245,242,246,
1716892200000,244,242,245,
1716892800000,245,244,247,
1716893400000,244,243,246,
1716894000000,246,244,247,
1716894600000,246,244,247,
1716895200000,244,243,245,
1716895800000,245,243,245,
1716896400000,246,244,248,
1716897000000,246,244,247,
1716897600000,246,245,248,
1716898200000,245,243,247,
1716898800000,244,242,246,
1716899400000,247,244,248,
1716900000000,246,243,247,
1716900600000,245,242,246,
1716901200000,245,242,245,
1716901800000,247,244,248,
1716902400000,246,243,247,
1716903000000,247,244,248,
1716903600000,247,245,249,
1716904077000,248,246,249,
1716904800000,246,244,247,
1716905400000,247,244,247,
1716906000000,248,245,248,
1716906600000,246,243,247,
1716907200000,246,244,247,
1716907800000,246,244,247,
1716908400000,247,244,248,
1716909000000,247,244,247,
1716909600000,247,244,248,
1716910200000,248,245,248,
1716910799000,248,245,248,
1716911400000,248,246,249,
1716912000000,248,246,249,
1716912600000,246,243,247,
1716913200000,246,244,247,
1716913800000,247,245,248,
1716914400000,248,246,249,
1716915000000,249,246,250,
1716915599000,246,244,247,
1716916200000,247,245,248,
1716916800000,247,245,248,
1716917400000,247,244,248,
1716918000000,246,244,247,
1716918600000,247,245,248,
1716919199000,248,246,249,
1716919800000,248,246,249,
1716920400000,246,244,247,
1716921000000,247,245,247,
1716921600000,247,244,247,
1716922200000,247,245,247,
1716922800000,247,245,247,
1716923400000,247,244,247,
1716924000000,248,245,248,
1716924600000,248,246,249,
1716925200000,247,245,248,
1716925800000,247,245,248,
1716926400000,247,246,248,
1716927000000,248,245,248,
1716927600000,248,246,249,
1716928200000,248,247,249,
1716928800000,249,246,249,
1716929400000,249,246,249,
1716930000000,249,247,249,
1716930600000,246,244,246,
1716931200000,247,245,247,
1716931800000,246,244,247,
1716932400000,247,245,247,
1716932721000,247,245,247,
1716933000000,247,245,247,
1716933600000,247,246,248,
1716934200000,248,245,248,
1716934800000,248,245,248,
1716935400000,248,245,248,
1716936000000,248,245,248,
1716936600000,247,245,247,
1716937200000,248,245,248,
1716937800000,247,245,247,
1716938400000,247,245,248,
1716939000000,248,245,248,
1716939600000,247,245,247,
1716940200000,247,244,247,
1716940800000,247,244,247,
1716941400000,249,246,249,
1716942000000,248,246,248,
1716942600000,248,246,249,
1716943200000,247,245,247,
1716943800000,248,246,249,
1716944400000,248,246,248,
1716945000000,246,244,247,
1716945600000,248,246,248,
1716946200000,247,245,248,
1716946800000,248,246,248,
1716947400000,247,245,248,
1716948000000,246,244,246,
1716948600000,247,246,248,
1716949200000,246,245,247,
1716949800000,246,244,247,
1716950400000,247,245,248,
1716951000000,247,244,247,
1716952800000,248,245,247,
1716953400000,249,247,245,
1716954600000,248,245,248,
1716955200000,248,245,247,
1716955800000,246,243,247,
1716956400000,247,244,248,
1716957000000,247,244,248,
1716957600000,247,244,248,
1716958200000,247,244,248,
1716958800000,246,244,247,
1716959400000,245,244,247,
1716960000000,247,244,248,
1716960600000,246,244,248,
1716961200000,244,243,246,
1716961800000,245,243,246,
1716962400000,246,244,247,
1716962999000,245,244,247,
1716963600000,246,244,247,
1716964200000,246,244,248,
1716964800000,246,244,247,
1716965399000,246,243,247,
1716966000000,246,244,246,
1716966600000,246,243,247,
1716967200000,246,244,246,
1716967799000,245,243,246,
1716967800000,245,243,246,
1716968400000,245,243,246,
1716969000000,245,244,247,
1716969600000,246,244,247,
1716970200000,246,245,248,
1716970800000,247,245,248,
1716971400000,245,243,246,
1716972000000,245,243,246,
1716972600000,246,243,247,
1716973199000,246,244,248,
1716973800000,247,243,248,
1716974399000,246,244,247,
1716975000000,246,243,248,
1716975600000,244,241,246,
1716976200000,247,244,248,
1716976800000,245,243,243,
1716977400000,244,242,246,
1716978000000,245,242,246,
1716978600000,247,245,246,
1716979200000,245,242,246,
1716979800000,244,240,244,
1716980400000,244,240,245,
1716981000000,244,241,244,
1716981600000,245,243,245,
