intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Nov 28 2023|  TO Mon Dec 04 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1701109800000,252,250,252,
1701110400000,249,249,251,
1701111000000,251,250,252,
1701111600000,251,250,252,
1701112200000,250,250,252,
1701112800000,251,251,252,
1701113400000,252,252,253,
1701114000000,252,252,254,
1701114600000,252,252,253,
1701115199000,252,252,253,
1701115800000,252,251,252,
1701116400000,252,252,253,
1701117000000,253,253,254,
1701117600000,252,252,254,
1701118200000,252,251,253,
1701118800000,252,252,253,
1701119400000,253,252,253,
1701120000000,253,252,254,
1701120600000,253,253,254,
1701121200000,253,252,254,
1701121800000,252,252,253,
1701122400000,253,252,253,
1701123000000,253,252,253,
1701123600000,252,252,254,
1701124200000,254,252,254,
1701124800000,252,252,253,
1701125400000,252,252,253,
1701126000000,253,252,253,
1701126600000,253,252,254,
1701127200000,252,251,253,
1701127800000,251,251,252,
1701128400000,252,251,252,
1701129000000,251,250,251,
1701129600000,251,250,251,
1701130200000,250,249,250,
1701130800000,249,248,250,
1701131400000,249,248,250,
1701132000000,247,246,248,
1701132600000,247,246,248,
1701133200000,248,247,249,
1701133800000,248,247,249,
1701134400000,245,244,247,
1701135000000,247,247,249,
1701135600000,246,246,247,
1701136200000,246,245,247,
1701136800000,247,247,248,
1701137400000,245,245,246,
1701138000000,249,248,249,
1701138600000,248,247,249,
1701139200000,247,246,248,
1701139800000,246,246,247,
1701140400000,247,246,247,
1701141000000,247,246,247,
1701141600000,248,247,249,
1701142199000,247,248,246,
1701142800000,245,244,246,
1701143400000,247,246,248,
1701144000000,247,246,248,
1701144600000,246,245,245,
1701145200000,247,246,248,
1701145800000,247,247,246,
1701146400000,245,245,246,
1701147000000,246,245,246,
1701147600000,245,245,246,
1701148200000,244,244,246,
1701148800000,245,245,246,
1701149400000,246,245,247,
1701150000000,244,243,242,
1701150600000,244,242,245,
1701151200000,246,244,246,
1701151800000,246,244,246,
1701152400000,243,242,244,
1701153000000,245,245,246,
1701153600000,245,247,245,
1701154200000,246,246,245,
1701154800000,245,245,247,
1701155400000,245,245,246,
1701156000000,245,245,246,
1701156600000,246,247,244,
1701157199000,243,244,244,
1701157800000,246,246,247,
1701158400000,246,245,246,
1701159000000,245,245,246,
1701159600000,244,243,245,
1701160200000,244,245,246,
1701160800000,246,246,247,
1701161400000,247,247,245,
1701162000000,246,246,246,
1701162600000,246,246,247,
1701163200000,244,243,245,
1701163800000,246,244,245,
1701164400000,244,243,245,
1701165000000,244,244,245,
1701165600000,245,244,245,
1701166200000,246,245,246,
1701166800000,245,244,246,
1701167400000,246,246,247,
1701168000000,247,246,247,
1701168600000,247,245,247,
1701169200000,246,245,247,
1701169800000,247,246,248,
1701170400000,247,246,247,
1701171000000,245,245,245,
1701171600000,245,244,246,
1701172200000,245,244,245,
1701172800000,246,246,247,
1701173400000,246,245,246,
1701174000000,246,245,245,
1701174600000,246,246,247,
1701175200000,245,246,246,
1701175800000,245,245,245,
1701176400000,246,246,247,
1701177000000,247,246,247,
1701177600000,247,247,248,
1701178200000,246,245,246,
1701178800000,247,246,247,
1701179400000,247,247,248,
1701180000000,246,245,246,
1701180600000,245,246,247,
1701181200000,247,247,248,
1701181800000,249,248,250,
1701182400000,245,245,246,
1701183000000,246,246,247,
1701183600000,246,246,247,
1701184200000,247,248,248,
1701184800000,248,248,249,
1701185400000,245,246,247,
1701186000000,247,247,248,
1701186600000,247,247,248,
1701187200000,247,248,249,
1701187800000,245,245,246,
1701188400000,246,246,248,
1701189000000,248,248,249,
1701189600000,247,247,247,
1701190200000,246,246,248,
1701190800000,247,247,248,
1701191400000,248,248,249,
1701191999000,249,249,250,
1701192600000,248,249,249,
1701193200000,247,246,248,
1701193800000,248,247,248,
1701194400000,248,248,249,
1701195000000,249,248,250,
1701195600000,249,249,250,
1701196200000,250,249,250,
1701196800000,249,249,249,
1701197400000,249,249,250,
1701198000000,249,249,250,
1701198600000,249,250,250,
1701199200000,250,250,251,
1701199800000,250,250,252,
1701200400000,251,250,251,
1701201000000,251,251,252,
1701201600000,251,250,252,
1701202200000,251,251,251,
1701202800000,251,251,252,
1701203399000,252,251,253,
1701204000000,252,252,252,
1701204600000,252,251,252,
1701205200000,252,251,252,
1701205800000,251,251,252,
1701206400000,252,251,252,
1701207000000,252,252,253,
1701207600000,252,252,252,
1701208200000,252,251,252,
1701208800000,252,252,253,
1701209400000,252,252,253,
1701210000000,252,252,253,
1701210600000,253,253,253,
1701211200000,252,252,253,
1701211800000,251,252,253,
1701212399000,252,251,252,
1701213000000,251,251,252,
1701213600000,251,251,252,
1701214200000,251,251,252,
1701214800000,251,251,252,
1701215400000,250,251,252,
1701216000000,250,250,251,
1701216600000,249,248,249,
1701217200000,248,248,249,
1701217800000,248,248,249,
1701218400000,246,245,247,
1701219000000,247,247,248,
1701219600000,248,248,249,
1701220200000,245,246,246,
1701220800000,246,246,247,
1701221400000,246,246,247,
1701222000000,248,248,248,
1701222600000,246,246,248,
1701223200000,251,250,251,
1701223800000,248,248,249,
1701224400000,247,247,248,
1701225000000,248,248,249,
1701225600000,247,247,248,
1701226200000,247,247,248,
1701226800000,247,247,248,
1701227400000,246,245,246,
1701228000000,246,246,247,
1701228600000,247,246,248,
1701229200000,245,245,246,
1701229800000,246,245,247,
1701230400000,245,245,247,
1701231000000,247,246,247,
1701231600000,246,245,247,
1701232200000,247,246,247,
1701232800000,246,246,246,
1701233400000,244,244,246,
1701234000000,244,243,246,
1701234600000,244,245,244,
1701235200000,244,243,245,
1701235800000,243,243,245,
1701236400000,246,246,247,
1701237000000,245,245,247,
1701237600000,245,244,246,
1701238200000,245,245,245,
1701238800000,243,243,243,
1701239400000,243,243,245,
1701240000000,244,243,245,
1701240600000,244,244,246,
1701241200000,245,245,246,
1701241800000,244,244,246,
1701242400000,244,244,244,
1701243000000,245,245,246,
1701243599000,244,244,246,
1701244200000,245,244,246,
1701244800000,246,245,244,
1701245400000,245,245,247,
1701246000000,246,245,248,
1701246600000,244,243,245,
1701247200000,243,242,244,
1701247800000,245,244,246,
1701248400000,246,245,247,
1701249000000,245,244,246,
1701249600000,245,245,244,
1701250200000,245,244,246,
1701250800000,246,246,248,
1701251400000,246,246,248,
1701252000000,246,245,247,
1701252600000,247,247,246,
1701253200000,245,245,247,
1701253800000,246,245,248,
1701254400000,246,244,247,
1701255000000,245,245,247,
1701255600000,247,245,247,
1701256200000,246,245,247,
1701256800000,246,246,244,
1701257400000,247,246,248,
1701258000000,249,248,249,
1701258600000,249,248,249,
1701259200000,248,247,248,
1701259800000,247,247,248,
1701260400000,246,245,246,
1701261000000,247,247,248,
1701261600000,247,247,248,
1701262200000,247,246,247,
1701262800000,247,246,247,
1701263400000,248,247,248,
1701264000000,247,247,249,
1701264600000,247,247,248,
1701265200000,246,246,246,
1701265800000,246,246,247,
1701266400000,247,247,248,
1701267000000,248,248,249,
1701267600000,249,248,248,
1701268200000,250,249,250,
1701268800000,249,249,249,
1701269400000,250,250,251,
1701270000000,248,247,248,
1701270600000,246,245,246,
1701271200000,249,248,249,
1701271800000,246,245,246,
1701272400000,248,248,248,
1701273000000,248,248,249,
1701273600000,246,246,247,
1701274200000,248,247,248,
1701274800000,248,247,248,
1701275400000,249,248,249,
1701276000000,247,246,247,
1701276600000,247,246,247,
1701277200000,247,246,247,
1701277800000,248,247,248,
1701278400000,248,248,249,
1701279000000,249,248,249,
1701279600000,247,246,247,
1701280200000,247,247,247,
1701280800000,248,247,248,
1701281400000,249,247,248,
1701282000000,249,248,249,
1701282600000,250,248,250,
1701283200000,249,248,249,
1701283800000,250,248,250,
1701284400000,249,248,250,
1701285000000,249,249,250,
1701285600000,250,250,250,
