intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Oct 03 2023|  TO Mon Oct 09 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1696271400000,253,253,254,
1696272000000,250,250,251,
1696272600000,251,250,251,
1696273200000,251,251,251,
1696273800000,251,251,252,
1696274400000,251,251,251,
1696275000000,251,251,252,
1696275600000,251,251,251,
1696276200000,252,252,253,
1696276800000,252,251,252,
1696277400000,252,252,253,
1696278000000,252,252,252,
1696278600000,252,252,253,
1696279200000,251,252,252,
1696279800000,252,252,252,
1696280400000,252,251,252,
1696281000000,252,252,253,
1696281600000,252,252,252,
1696282200000,252,252,253,
1696282800000,252,251,252,
1696283400000,252,251,253,
1696284000000,252,252,253,
1696284600000,252,252,253,
1696285200000,252,252,253,
1696285800000,252,252,253,
1696286400000,252,252,253,
1696287000000,252,252,253,
1696287600000,251,251,252,
1696288200000,251,251,252,
1696288800000,251,251,252,
1696289400000,251,251,252,
1696290000000,250,250,251,
1696290600000,249,249,250,
1696291200000,249,248,249,
1696291800000,248,247,248,
1696292400000,247,246,248,
1696293000000,247,247,248,
1696293600000,246,246,247,
1696294200000,246,246,247,
1696294800000,246,246,247,
1696295400000,247,247,248,
1696296000000,247,247,249,
1696296600000,246,246,246,
1696297200000,246,246,247,
1696297800000,245,245,246,
1696298400000,248,248,249,
1696299000000,247,247,249,
1696299600000,248,247,248,
1696300200000,246,245,247,
1696300800000,248,247,249,
1696301400000,245,245,246,
1696302000000,245,245,246,
1696302600000,247,247,248,
1696303200000,248,248,249,
1696303800000,245,244,245,
1696304400000,245,245,246,
1696305000000,247,247,249,
1696305600000,245,244,246,
1696306200000,245,244,245,
1696306800000,246,245,247,
1696307400000,246,246,247,
1696308000000,244,245,245,
1696308600000,243,243,244,
1696309200000,246,246,247,
1696309800000,245,245,247,
1696310400000,244,244,245,
1696311000000,245,244,245,
1696311600000,244,243,245,
1696312200000,244,242,245,
1696312800000,244,243,244,
1696313400000,244,243,244,
1696314000000,243,242,243,
1696314600000,244,244,245,
1696315200000,245,245,246,
1696315800000,245,245,246,
1696316400000,246,246,245,
1696317000000,245,246,247,
1696317600000,244,243,244,
