intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Jan 30 2024|  TO Mon Feb 05 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1706553000000,249,249,250,
1706553600000,246,244,246,
1706554200000,246,244,246,
1706554800000,246,246,247,
1706555400000,247,247,247,
1706556000000,247,246,247,
1706556600000,247,247,248,
1706557200000,248,248,248,
1706557800000,248,247,248,
1706558400000,249,248,249,
1706559000000,249,248,249,
1706559600000,250,249,250,
1706560200000,250,250,251,
1706560800000,250,249,250,
1706561400000,249,248,249,
1706562000000,250,249,250,
1706562600000,250,249,250,
1706563200000,250,249,250,
1706563800000,252,251,251,
1706564400000,249,249,249,
1706565000000,249,249,249,
1706565600000,250,249,250,
1706566200000,249,249,249,
1706566800000,250,248,250,
1706567400000,249,249,250,
1706568000000,249,248,250,
1706568600000,249,249,250,
1706569200000,249,248,249,
1706569800000,249,248,249,
1706570400000,249,248,250,
1706571000000,250,249,250,
1706571600000,250,250,250,
1706572200000,249,248,250,
1706572800000,249,249,250,
1706573400000,248,248,249,
1706574000000,247,246,247,
1706574600000,247,246,247,
1706575200000,246,245,247,
1706575800000,248,247,249,
1706576400000,247,247,248,
1706577000000,248,247,249,
1706577600000,247,247,248,
1706578200000,246,245,247,
1706578800000,246,245,246,
1706579400000,247,247,248,
1706580000000,247,246,248,
1706580600000,247,246,247,
1706581200000,247,246,248,
1706581800000,248,246,248,
1706582400000,245,245,246,
1706583000000,247,246,248,
1706583600000,247,246,248,
1706584200000,247,246,247,
1706584800000,247,247,247,
1706585400000,248,248,246,
1706586000000,246,245,246,
1706586600000,245,244,245,
1706587200000,247,245,247,
1706587800000,246,244,246,
1706588400000,245,244,246,
1706589000000,245,245,245,
1706589600000,246,245,247,
1706590200000,246,244,247,
1706590800000,246,246,247,
1706591400000,245,244,243,
1706592000000,245,244,245,
1706592600000,245,243,245,
1706593200000,244,243,244,
1706593800000,246,244,246,
1706594400000,248,246,247,
1706595000000,245,244,246,
1706595600000,246,244,246,
1706596200000,245,243,245,
1706596800000,245,243,246,
1706597400000,245,243,245,
1706598000000,245,243,245,
1706598600000,245,243,245,
1706599200000,247,244,247,
1706599800000,247,245,247,
1706600400000,246,244,246,
1706601000000,247,244,247,
1706601600000,247,245,247,
1706602200000,247,245,248,
1706602800000,247,244,247,
1706603400000,248,245,248,
1706604000000,246,243,246,
1706604600000,246,244,246,
1706605200000,245,243,245,
1706605800000,245,242,246,
1706606400000,245,242,245,
1706607000000,246,243,246,
1706607600000,246,244,246,
1706608200000,246,244,247,
1706608800000,245,243,247,
1706609400000,247,245,248,
1706610000000,246,244,247,
1706610600000,247,245,247,
1706611200000,247,246,247,
1706611800000,244,242,244,
1706612400000,244,242,244,
1706613000000,244,243,244,
1706613600000,245,243,246,
1706614200000,246,244,246,
1706614800000,245,243,245,
1706615400000,243,240,241,
1706616000000,243,240,241,
1706616600000,244,242,242,
1706617200000,245,243,243,
1706617800000,245,244,245,
1706618400000,244,242,243,
1706619000000,242,240,241,
1706619600000,244,242,243,
1706620200000,243,241,242,
1706620800000,243,241,242,
1706621400000,243,243,244,
1706622000000,243,241,242,
1706622600000,243,242,242,
1706623200000,244,243,243,
1706623800000,246,244,244,
1706624400000,244,243,243,
1706625000000,245,244,244,
1706625600000,246,244,244,
1706626200000,245,243,244,
1706626800000,247,245,245,
1706627400000,247,246,246,
1706628000000,250,250,250,
1706628600000,251,251,251,
1706629200000,248,248,248,
1706629800000,247,247,247,
1706630400000,248,247,248,
1706631000000,246,246,247,
1706631600000,247,246,247,
1706632200000,249,247,249,
1706632800000,248,246,248,
