intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Apr 30 2024|  TO Mon May 06 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1714415999000,247,244,248,
1714416600000,247,244,248,
1714417200000,245,243,246,
1714417800000,247,244,247,
1714418400000,248,245,248,
1714419000000,248,245,248,
1714419600000,247,245,248,
1714420200000,248,245,248,
1714420800000,248,244,248,
1714421400000,246,243,247,
1714422000000,246,244,247,
1714422600000,248,245,248,
1714423200000,247,244,247,
1714423800000,246,243,247,
1714424400000,247,244,247,
1714425000000,247,244,248,
1714425600000,248,245,248,
1714426200000,249,246,249,
1714426800000,248,245,249,
1714427400000,248,245,249,
1714428000000,248,245,248,
1714428600000,248,246,249,
1714429200000,249,246,249,
1714429800000,249,246,249,
1714430400000,249,246,249,
1714431000000,249,246,249,
1714431600000,249,247,250,
1714432200000,248,245,248,
1714432800000,249,245,249,
1714433394000,249,246,249,
1714434000000,249,246,249,
1714434600000,248,246,249,
1714435200000,248,245,249,
1714435800000,248,244,248,
1714436400000,247,244,248,
1714437000000,248,245,249,
1714437600000,247,244,248,
1714438200000,245,243,246,
1714438800000,247,245,248,
1714439400000,245,243,246,
1714440000000,247,244,248,
1714440600000,246,244,247,
1714441200000,245,243,246,
1714442400000,247,244,247,
1714443000000,246,243,247,
1714443600000,247,243,247,
1714444200000,247,243,247,
1714444800000,248,244,248,
1714445400000,245,241,246,
1714446000000,248,245,249,
1714446600000,246,244,245,
1714447200000,247,244,247,
1714447800000,248,245,249,
1714448400000,246,242,246,
1714449000000,247,244,248,
1714450200000,246,242,247,
1714450800000,245,242,245,
1714451400000,246,242,246,
1714452000000,246,243,247,
1714452600000,246,242,247,
1714453200000,245,242,246,
1714453800000,244,241,246,
1714454400000,244,240,245,
1714454999000,244,240,246,
1714455000000,244,240,246,
1714455600000,246,241,247,
1714456200000,245,241,246,
1714456800000,245,241,247,
1714457400000,245,241,247,
1714458000000,245,241,247,
1714458600000,245,242,247,
1714459200000,246,242,248,
1714459800000,245,241,246,
1714460400000,245,241,246,
1714461000000,245,241,246,
1714461600000,245,241,246,
1714462060000,247,243,248,
1714462200000,246,242,247,
1714462800000,246,242,247,
1714463400000,246,242,247,
1714464000000,246,243,248,
1714464600000,247,242,248,
1714465200000,246,242,247,
1714465800000,246,242,247,
1714466400000,245,242,247,
1714467000000,246,243,248,
1714467600000,243,241,244,
1714468200000,245,241,246,
1714469400000,245,243,245,
1714469999000,244,242,247,
1714470000000,244,242,247,
1714470600000,244,242,246,
1714471200000,245,241,246,
1714471800000,243,240,245,
1714472400000,243,240,243,
1714473000000,244,241,245,
1714473416000,243,241,245,
1714473600000,244,241,245,
1714474194000,243,241,246,
1714474200000,243,241,246,
1714474800000,244,241,247,
1714475278000,244,241,246,
1714475400000,246,242,247,
1714476000000,243,240,245,
1714476600000,244,240,245,
1714477200000,246,243,248,
1714477800000,244,241,246,
1714478399000,245,241,246,
1714478400000,245,241,246,
1714479000000,245,242,246,
1714479600000,246,243,247,
1714480200000,249,246,250,
1714480800000,244,240,245,
1714481400000,245,242,247,
1714482000000,247,243,248,
1714482589000,246,243,247,
1714482600000,246,243,247,
1714483200000,245,242,246,
1714483800000,246,243,247,
1714484399000,246,244,247,
1714485000000,244,242,245,
1714485600000,245,242,246,
1714486200000,245,243,246,
1714486800000,248,244,248,
1714487400000,245,243,246,
