intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Oct 31 2023|  TO Mon Nov 06 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1698690600000,250,249,250,
1698691200000,250,248,249,
1698691800000,250,248,249,
1698692400000,249,248,248,
1698693000000,249,249,249,
1698693600000,249,249,249,
1698694200000,250,249,250,
1698694800000,250,249,249,
1698695400000,250,249,249,
1698696000000,250,249,250,
1698696600000,249,249,249,
1698697200000,251,250,250,
1698697800000,250,250,250,
1698698400000,250,250,250,
1698699000000,251,250,251,
1698699600000,250,249,251,
1698700200000,250,249,250,
1698700800000,250,249,251,
1698701400000,251,250,251,
1698702000000,251,250,251,
1698702600000,251,250,251,
1698703200000,252,250,251,
1698703800000,252,251,252,
1698704400000,252,250,251,
1698705000000,252,251,252,
1698705600000,251,250,251,
1698706200000,251,250,251,
1698706800000,251,250,251,
1698707400000,251,250,251,
1698708000000,251,250,251,
1698708600000,250,250,251,
1698709200000,251,250,251,
1698709800000,251,249,251,
1698710400000,250,249,250,
1698711000000,250,249,250,
1698711600000,248,247,249,
1698712200000,249,248,249,
1698712800000,246,246,247,
1698713400000,245,245,246,
1698714000000,246,246,247,
1698714600000,247,246,247,
1698715200000,246,245,247,
1698715800000,248,247,248,
1698716400000,246,246,247,
1698717000000,247,246,247,
1698717600000,246,245,246,
1698718200000,247,246,248,
1698718800000,249,248,249,
1698719400000,247,247,248,
1698720000000,246,245,246,
1698720600000,247,246,247,
1698721200000,248,247,245,
1698721800000,247,246,247,
1698722400000,246,246,247,
1698723000000,246,246,247,
1698723600000,246,246,247,
1698724200000,245,245,246,
1698724800000,245,245,246,
1698725400000,247,247,247,
1698726000000,246,246,248,
1698726600000,245,244,245,
1698727200000,245,245,247,
1698727800000,244,244,246,
1698728400000,245,244,246,
1698729000000,244,243,245,
1698729600000,243,242,244,
1698730200000,244,243,245,
1698730800000,247,246,247,
1698731400000,244,243,245,
1698732000000,245,243,245,
1698732600000,244,244,245,
1698733200000,244,244,246,
1698733800000,245,245,246,
1698734400000,245,245,246,
1698735000000,245,244,246,
1698735600000,246,245,247,
1698736200000,243,242,245,
1698736800000,244,242,246,
1698737400000,246,245,247,
1698738000000,243,243,245,
1698738600000,244,243,246,
1698739200000,245,245,247,
1698739800000,244,244,245,
1698740400000,245,245,246,
1698741000000,244,244,245,
1698741600000,245,244,246,
1698742200000,245,244,246,
1698742799000,245,244,246,
1698743400000,245,243,246,
1698744000000,244,243,246,
1698744600000,244,243,246,
1698745200000,246,244,246,
1698745800000,243,242,244,
1698746400000,244,243,245,
1698747000000,245,244,245,
1698747600000,244,244,244,
1698748200000,245,244,245,
1698748800000,246,246,244,
1698749400000,247,246,247,
1698750000000,244,244,244,
1698750600000,245,245,245,
1698751200000,245,245,246,
1698751800000,244,243,244,
1698752400000,243,243,244,
1698753000000,246,246,246,
1698753600000,246,246,247,
1698754200000,247,247,247,
1698754800000,247,246,247,
1698755400000,245,245,246,
1698756000000,244,244,245,
1698756600000,245,244,246,
1698757200000,244,244,245,
1698757800000,245,244,245,
1698758400000,245,245,247,
1698759000000,245,243,244,
1698759600000,244,244,245,
1698760200000,244,243,244,
1698760800000,245,244,245,
1698761400000,246,245,246,
1698762000000,246,245,246,
1698762600000,247,246,247,
1698763200000,247,246,247,
1698763800000,247,246,247,
1698764400000,248,247,248,
1698765000000,248,247,248,
1698765599000,248,247,248,
1698766200000,249,248,249,
1698766800000,249,248,249,
1698767400000,250,249,250,
1698768000000,251,250,251,
