intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Aug 01 2023|  TO Mon Aug 07 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1690828200000,1.17,0.64,0.96,
1690828800000,1.16,0.73,0.98,
1690829400000,1.19,0.72,0.98,
1690830000000,1.16,0.73,0.97,
1690830600000,1.2,0.74,0.99,
1690831200000,1.16,0.67,0.97,
1690831800000,1.16,0.71,0.98,
1690832400000,1.13,0.71,0.99,
1690833000000,1.12,0.73,0.98,
1690833600000,1.13,0.74,0.99,
1690834200000,1.13,0.74,0.98,
1690834800000,1.06,0.74,0.98,
1690835400000,1.07,0.74,0.98,
1690836000000,1.08,0.72,0.98,
1690836600000,1.03,0.74,0.95,
1690837200000,1.04,0.74,0.9,
1690837800000,1.02,0.74,1,
1690838399000,1.04,0.74,0.94,
1690839000000,1.04,0.74,0.96,
1690839600000,1.06,0.74,0.96,
1690840200000,1.03,0.74,0.95,
1690840800000,1.07,0.77,0.95,
1690841400000,1.07,0.71,0.9,
1690842000000,1.08,0.65,0.91,
1690842600000,1.06,0.71,0.91,
1690843200000,1.06,0.59,0.97,
1690843800000,1.06,0.71,0.94,
1690844400000,1.05,0.74,0.89,
1690845000000,1.06,0.71,0.94,
1690845600000,1.06,0.73,0.95,
1690846200000,1.06,0.74,0.94,
1690846800000,1.06,0.76,0.95,
1690847400000,1.05,0.72,0.94,
1690848000000,1.05,0.76,0.93,
1690848600000,1.05,0.76,0.95,
1690849200000,1.05,0.72,0.94,
1690849800000,1.05,0.75,0.89,
1690850400000,1.04,0.68,0.89,
1690851000000,1.04,0.6,0.89,
1690851600000,1.05,0.72,0.89,
1690852200000,1.05,0.75,0.93,
1690852800000,1.04,0.71,0.92,
1690853400000,1.04,0.71,0.92,
1690854000000,1.04,0.73,0.97,
1690854600000,1.04,0.57,0.96,
1690855200000,1.04,0.58,0.91,
1690855799000,1.04,0.72,0.86,
1690856400000,1.04,0.74,0.91,
1690857000000,1.05,0.71,0.91,
1690857600000,1.05,0.72,0.92,
1690858200000,1.04,0.54,0.91,
1690858800000,1.05,0.79,4.67,
1690859400000,1.02,0.79,4.03,
1690859999000,1.01,0.79,1.06,
1690860599000,1.02,0.84,1.76,
1690861200000,1.02,0.83,4.13,
1690861800000,1.24,0.87,1.38,
1690862400000,1.45,1.02,1.3,
1690863000000,1.41,1.03,1.32,
1690863600000,1.44,1.06,2.59,
1690864200000,1.54,1.05,2.55,
1690864800000,1.68,1.1,1.38,
1690865400000,1.87,1.19,1.6,
1690866000000,1.94,1.23,2.18,
1690866600000,1.96,1.19,1.87,
1690867200000,2.06,1.08,1.83,
1690867800000,2.02,1.27,1.85,
1690868399000,2.08,1.24,2.54,
1690869000000,2.09,1.32,4.92,
1690869600000,1.95,1.27,2.59,
1690870200000,2.01,1.37,3.7,
1690870800000,2.04,1.39,2.6,
1690871400000,2.34,1.39,1.88,
1690872000000,2.36,1.28,1.93,
1690872600000,2.36,1.39,2.66,
1690873200000,2.24,1.35,1.99,
1690873800000,2.09,1.36,2.02,
1690874400000,2.02,1.32,1.9,
1690875000000,2.03,1.39,1.95,
1690875600000,1.88,1.34,1.71,
1690876200000,1.8,1.28,1.65,
1690876800000,1.68,1.23,1.53,
1690877400000,1.69,1.24,4.27,
1690878000000,1.84,1.29,1.35,
1690878600000,1.67,1.32,4.19,
1690879200000,1.71,1.29,1.74,
1690879800000,3.2,2.64,3.91,
1690880400000,3.08,2.36,3.09,
1690880999000,3.17,2.36,3.14,
1690881600000,3.18,2.37,3.13,
1690882200000,3.16,2.35,3.11,
1690882800000,3.22,2.5,3.1,
1690883400000,3.23,2.46,3.1,
1690884000000,3.44,2.52,3.32,
1690884600000,3.24,2.49,3.27,
1690885200000,1.84,1.4,1.95,
1690885800000,1.63,1.33,2.05,
1690886400000,1.41,1.23,1.86,
1690887000000,1.62,1.29,3.76,
1690887600000,1.68,1.25,3.17,
1690888200000,1.83,1.25,4.76,
1690888800000,1.86,1.33,2.48,
1690889400000,1.7,1.22,1.76,
1690890000000,1.69,1.2,1.69,
1690890599000,1.6,1.1,1.65,
1690891200000,1.32,1.01,1.64,
1690891800000,1.43,0.9,1.34,
1690892400000,1.28,0.88,0.95,
1690893000000,1.55,0.91,1,
1690893600000,1.58,1.01,0.98,
1690894200000,1.57,1.08,0.99,
1690894800000,1.57,1.07,0.98,
1690895400000,1.71,1.1,1.01,
1690896000000,1.74,1.19,1.07,
1690896600000,1.58,1.14,1.15,
1690897200000,1.56,0.97,1.15,
1690897800000,1.53,1.01,1.07,
1690898400000,1.53,0.87,1.06,
1690899000000,1.21,0.82,1,
1690899600000,1.23,0.85,1.01,
1690900200000,1.22,0.83,0.98,
1690900800000,1.13,0.82,1.01,
1690901400000,1.15,0.71,0.99,
1690902000000,1.15,0.83,1.03,
1690902600000,1.21,0.85,1.01,
1690903200000,1.2,0.82,1.03,
1690903800000,1.16,0.82,1.01,
1690904400000,1.16,0.74,0.99,
1690905000000,1.13,0.82,1.05,
1690905600000,1.14,0.8,1.04,
1690906200000,1.17,0.83,0.99,
1690906800000,1.18,0.83,1,
1690907400000,1.18,0.82,0.97,
1690908000000,1.3,0.85,1,
1690908600000,1.23,0.83,1.02,
1690909200000,1.25,0.83,1,
1690909799000,1.24,0.83,1.04,
1690910400000,1.23,0.83,1.04,
1690911000000,1.23,0.83,0.99,
1690911600000,1.23,0.84,0.99,
1690912200000,1.25,0.81,1,
1690912800000,1.21,0.84,0.98,
1690913400000,1.19,0.84,0.99,
1690914000000,1.24,0.84,1.05,
1690914600000,1.13,0.82,1.07,
1690915200000,1.13,0.84,1.02,
1690915800000,1.15,0.84,1.01,
1690916400000,1.12,0.73,1.02,
1690917000000,1.13,0.85,1.01,
1690917600000,1.13,0.84,1.01,
1690918200000,1.14,0.85,0.98,
1690918800000,1.13,0.85,1.01,
1690919400000,1.14,0.82,1.04,
1690920000000,1.13,0.7,0.96,
1690920600000,1.16,0.82,0.96,
1690921200000,1.13,0.85,0.97,
1690921800000,1.17,0.85,0.96,
1690922400000,1.15,0.85,0.96,
1690923000000,1.13,0.85,0.96,
1690923600000,1.14,0.82,0.99,
1690924200000,1.13,0.85,1.04,
1690924800000,1.14,0.85,0.99,
1690925400000,1.14,0.85,1,
1690926000000,1.13,0.82,1.02,
1690926600000,1.14,0.85,1,
1690927200000,1.15,0.82,0.99,
1690927800000,1.14,0.82,0.95,
1690928400000,1.17,0.85,1,
1690929000000,1.15,0.86,0.98,
1690929600000,1.13,0.82,0.95,
1690930200000,1.15,0.85,0.94,
1690930800000,1.14,0.85,0.94,
1690931400000,1.14,0.85,1,
1690932000000,1.14,0.85,1,
1690932600000,1.14,0.85,1.03,
1690933200000,1.15,0.76,1.05,
1690933800000,1.14,0.85,1.03,
1690934400000,1.13,0.87,1,
1690935000000,1.13,0.84,0.95,
1690935600000,1.13,0.86,0.95,
1690936200000,1.12,0.83,0.94,
1690936800000,1.11,0.82,0.93,
1690937400000,1.11,0.86,0.93,
1690938000000,1.11,0.82,0.98,
1690938600000,1.11,0.85,1.05,
1690939200000,1.11,0.85,0.99,
1690939800000,1.12,0.83,0.98,
1690940400000,1.12,0.85,0.97,
1690941000000,1.12,0.84,0.98,
1690941600000,1.12,0.83,0.97,
1690942200000,1.12,0.83,0.97,
1690942800000,1.11,0.88,0.98,
1690943400000,1.12,0.83,0.98,
1690944000000,1.11,0.85,0.92,
1690944600000,1.12,0.82,0.94,
1690945200000,1.12,0.9,4.67,
1690945800000,1.11,0.96,1.25,
1690946400000,1.09,0.92,1.24,
1690947000000,1.33,1.02,1.94,
1690947600000,1.42,0.88,2.08,
1690948200000,1.51,1.05,2.17,
1690948800000,1.54,1.24,1.54,
1690949400000,1.6,1.37,2.73,
1690950000000,1.91,1.43,2.65,
1690950600000,2.03,1.33,1.43,
1690951200000,2,1.64,1.41,
1690951800000,2.21,1.64,1.34,
1690952400000,2.24,1.46,2.1,
1690953000000,2.21,1.55,1.62,
1690953600000,2.2,1.44,2.2,
1690954200000,2.14,1.46,1.94,
1690954800000,2.25,1.67,1.86,
1690955400000,2.23,1.66,5.26,
1690956000000,2.28,1.49,2.01,
1690956600000,2.17,1.62,1.92,
1690957200000,2.18,1.62,1.94,
1690957800000,2.31,1.69,1.88,
1690958400000,2.4,1.68,2.54,
1690959000000,2.19,1.55,1.78,
1690959600000,1.95,1.52,4.68,
1690960200000,2.18,1.59,1.86,
1690960800000,2.08,1.58,4.74,
1690961400000,2.13,1.6,1.92,
1690962000000,2.1,1.53,4.75,
1690962600000,1.9,1.43,4.67,
1690963200000,2.07,1.41,1.79,
1690963800000,2.05,1.36,1.47,
1690964400000,2.24,1.35,1.51,
1690965000000,2.3,1.37,4.44,
1690965600000,2.26,1.36,1.56,
1690966200000,2.42,1.36,1.54,
1690966800000,2.27,1.37,1.63,
1690967400000,2.42,1.38,1.59,
1690968000000,2.43,1.28,4.91,
1690968600000,2.45,1.39,2.62,
1690969200000,2.46,1.33,1.97,
1690969800000,2.51,1.43,2.02,
1690970400000,2.29,1.27,2.21,
1690971000000,3.48,2.83,3.64,
1690971600000,3.48,2.79,2.92,
1690972200000,3.59,2.65,2.88,
1690972800000,2.03,1.32,1.46,
1690973400000,1.81,1.36,1.47,
1690974000000,1.95,1.31,1.43,
1690974600000,1.98,1.42,1.47,
1690975200000,1.99,1.6,5.48,
1690975800000,2.07,1.6,2.35,
1690976400000,2.2,1.68,2.12,
1690977000000,3.39,1.57,1.97,
1690977600000,3.45,1.45,2.8,
1690978200000,1.88,1.3,1.63,
1690978800000,2.88,1.3,1.94,
1690979400000,2.88,1.31,1.36,
1690980000000,1.55,1.3,1.96,
1690980600000,1.57,1.43,1.32,
1690981200000,1.47,1.44,1.84,
1690981799000,2.7,1.35,1.27,
1690982400000,1.49,1.25,1.29,
1690983000000,1.39,1.29,1.33,
1690983600000,1.2,1.08,1.05,
1690984200000,1.3,1.06,0.99,
1690984800000,1.3,1.06,1,
1690985400000,1.19,0.96,1.4,
1690986000000,1.28,0.96,1.35,
1690986600000,1.27,0.99,1.3,
1690987200000,1.16,0.93,1.23,
1690987800000,1.12,0.91,1.23,
1690988400000,1.12,0.91,1.22,
1690989000000,1.12,0.92,1.24,
1690989600000,1.06,0.77,1.27,
1690990200000,1.07,0.92,1.32,
1690990800000,1.06,0.91,0.95,
1690991400000,1.07,0.93,0.9,
1690992000000,1.07,0.91,0.89,
1690992600000,1.07,0.92,0.89,
1690993200000,1.06,0.92,0.89,
1690993800000,1.07,0.84,0.9,
1690994400000,1.11,0.92,0.91,
1690995000000,1.12,0.8,0.91,
1690995600000,1.12,0.91,0.96,
1690996200000,1.11,0.92,0.96,
1690996800000,1.11,0.92,0.91,
1690997400000,1.12,0.9,0.91,
1690998000000,1.16,0.93,0.92,
1690998600000,1.19,0.78,0.92,
1690999200000,1.13,0.94,0.92,
1690999800000,1.19,0.76,0.91,
1691000400000,1.12,0.94,0.93,
1691001000000,1.13,0.94,0.97,
1691001600000,1.12,0.94,0.98,
1691002200000,1.08,0.93,0.89,
1691002800000,1.09,0.94,0.93,
1691003400000,1.08,0.96,0.93,
1691004000000,1.09,0.88,0.93,
1691004600000,1.1,0.94,0.93,
1691005200000,1.1,0.94,0.93,
1691005800000,1.09,0.91,0.94,
1691006400000,1.1,0.91,0.94,
1691007000000,1.1,0.94,0.94,
1691007600000,1.1,0.91,0.9,
1691008200000,1.1,0.94,0.89,
1691008800000,1.1,0.92,0.9,
1691009400000,1.1,0.91,0.89,
1691010000000,1.1,0.94,0.9,
1691010600000,1.1,0.76,0.94,
1691011200000,1.11,0.95,0.94,
1691011800000,1.1,0.89,1,
1691012400000,1.1,0.92,0.99,
1691013000000,1.1,0.95,0.94,
1691013600000,1.11,0.95,0.94,
1691014200000,1.1,0.92,0.9,
1691014800000,1.11,0.95,0.89,
1691015400000,1.11,0.86,0.89,
1691016000000,1.1,0.94,0.9,
1691016600000,1.11,0.91,0.9,
1691017200000,1.11,0.94,0.95,
1691017800000,1.1,0.91,0.98,
1691018400000,1.1,0.91,0.93,
1691019000000,1.1,0.94,0.94,
1691019600000,1.1,0.95,0.95,
1691020200000,1.1,0.91,0.94,
1691020800000,1.1,0.96,0.94,
1691021400000,1.09,0.93,0.89,
1691022000000,1.09,0.9,0.89,
1691022600000,1.09,0.93,1.59,
1691023200000,1.08,0.95,0.94,
1691023800000,1.08,0.94,0.88,
1691024400000,1.08,0.95,0.88,
1691025000000,1.13,0.92,0.93,
1691025600000,1.08,0.92,0.93,
1691026200000,1.08,0.91,0.92,
1691026800000,1.05,0.98,0.95,
1691027400000,1.07,0.8,0.93,
1691028000000,1.08,0.92,0.93,
1691028600000,1.08,0.95,0.93,
1691029200000,1.07,0.9,0.92,
1691029800000,1.07,0.8,0.88,
1691030400000,1.08,0.92,0.88,
1691031000000,1.08,0.94,0.89,
1691031600000,1.08,1.02,4.63,
1691032200000,1.07,1.01,1.25,
1691032800000,1.05,1.02,1.24,
1691033400000,1.05,1.05,1.32,
1691034000000,1.05,0.88,1.44,
1691034600000,1.1,1.02,1.41,
1691035200000,1.3,1.13,1.49,
1691035800000,1.38,1.17,3.24,
1691036400000,1.4,1.2,1.39,
1691037000000,1.55,1.19,1.46,
1691037600000,1.69,1.26,1.4,
1691038200000,1.87,1.3,1.32,
1691038800000,1.99,1.47,1.59,
1691039400000,1.82,1.36,2.01,
1691040000000,1.96,1.49,2,
1691040600000,1.95,1.44,1.95,
1691041200000,1.94,1.51,1.91,
1691041800000,1.79,1.52,1.84,
1691042400000,1.8,1.38,1.94,
1691043000000,1.86,1.62,1.75,
