intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jun 11 2024|  TO Mon Jun 17 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1718044200000,1.01,3.2,1.09,
1718044800000,1.14,3.22,1.1,
1718045400000,1.01,3.25,1.09,
1718046000000,1.01,3.18,1.1,
1718046600000,1.02,3.08,1.09,
1718047200000,1.14,2.95,1.08,
1718047800000,1.01,3.07,1.14,
1718048400000,1.01,3.17,1.17,
1718049000000,1.02,3.17,1.14,
1718049600000,1.14,3.21,1.11,
1718050200000,1.05,3.21,1.09,
1718050800000,1.02,3.19,1.09,
1718051400000,1.15,3.29,1.09,
1718052000000,1.02,3.21,1.09,
1718052600000,1.02,3.05,1.09,
1718053200000,1.02,3.07,1.09,
1718053800000,1.15,2.95,1.09,
1718054400000,1.02,3.17,1.09,
1718055000000,1.03,2.91,1.09,
1718055600000,1.16,3.03,1.09,
1718056200000,1.05,2.98,1.15,
1718056800000,1.03,2.98,1.14,
1718057400000,1.03,3,1.14,
1718058000000,1.16,3.23,1.1,
1718058600000,1.03,3.24,1.09,
1718059200000,1.02,3.26,1.09,
1718059800000,1.15,3.12,1.09,
1718060399000,1.02,3.01,1.09,
1718061000000,1.02,2.93,1.09,
1718061600000,1.02,2.92,1.09,
1718062200000,1.03,3.23,1.09,
1718062800000,1.02,2.95,1.09,
1718063400000,1.02,3.02,1.09,
1718064000000,1.15,3.05,1.1,
1718064599000,1.02,3.28,1.14,
1718065200000,1.02,3.05,1.14,
1718065800000,1.13,3.09,1.13,
1718066400000,1.01,3.11,1.1,
1718067000000,1.01,2.93,1.08,
1718067600000,1.01,2.95,1.14,
1718068200000,1.13,2.94,1.09,
1718068800000,1.01,3.09,1.08,
1718069400000,1.01,3.09,1.08,
1718070000000,1.15,3.12,1.14,
1718070600000,1.02,3.05,1.09,
1718071200000,1.02,3.09,1.08,
1718071800000,1.13,3.07,1.09,
1718072400000,1.01,2.91,1.08,
1718073000000,1.01,3.02,1.13,
1718073600000,1.01,2.91,1.15,
1718074200000,1.13,3.01,1.14,
1718074800000,1.01,3.02,1.09,
1718075400000,1.01,3.12,4.27,
1718076000000,1.01,3.1,1.42,
1718076600000,1.13,2.92,2.28,
1718077200000,1,2.91,1.59,
1718077800000,1,2.74,1.62,
1718078400000,1.13,2.76,2.8,
1718079000000,1.39,2.85,1.2,
1718079600000,2.48,3.92,2.43,
1718080200000,2.62,4,2.37,
1718080800000,2.75,4.03,2.41,
1718081400000,2.94,4.23,2.41,
1718082000000,2.96,4.21,2.53,
1718082600000,3.15,4.31,2.58,
1718083200000,2.06,3.24,1.41,
1718083800000,2.06,3.07,2.01,
1718084400000,2.18,2.91,1.34,
1718085000000,2.31,3.05,1.85,
1718085600000,2.18,3.04,1.83,
1718086200000,2.24,2.98,1.7,
1718086800000,2.31,3.05,4.6,
1718087400000,2.21,3.04,1.74,
1718088000000,2.22,2.92,1.79,
1718088600000,2.81,2.92,1.77,
1718089200000,2.04,2.79,1.41,
1718089800000,1.99,2.9,1.47,
1718090400000,2.07,2.94,1.65,
1718091000000,2.11,3.1,1.54,
1718091600000,1.96,3.04,1.49,
1718092200000,2.04,3.02,1.49,
1718092800000,2.01,2.92,1.45,
1718093400000,1.78,3.01,1.46,
1718094000000,1.77,2.99,1.73,
1718094600000,1.88,3.14,1.72,
1718095200000,1.88,3.17,1.73,
1718095800000,1.98,3.25,1.75,
1718096400000,2.09,3.15,1.73,
1718097000000,2.08,2.98,2.49,
1718097600000,2.09,3.08,1.92,
1718098200000,2.22,3.04,1.83,
1718098800000,2.29,3.16,4.43,
1718099400000,2.1,3.26,3.15,
1718100000000,3.43,4.36,3.19,
1718100600000,3.49,4.28,3.22,
1718101200000,3.36,4.14,2.72,
1718101800000,3.63,4.26,2.72,
1718102400000,3.03,4.2,5.46,
1718103000000,3.15,4,3.58,
1718103600000,1.93,2.87,1.44,
1718104200000,1.76,2.98,1.83,
1718104800000,1.85,2.57,1.42,
1718105400000,1.74,2.8,1.34,
1718106000000,1.81,2.78,1.79,
1718106599000,2.07,2.78,1.72,
1718107200000,1.85,2.66,1.43,
1718107800000,1.84,2.49,1.44,
1718108400000,1.51,2.42,1.57,
1718109000000,1.26,2.5,1.5,
1718109600000,1.5,3.45,1.55,
1718110200000,1.38,3.45,1.51,
1718110800000,1.46,3.31,1.28,
1718111400000,1.59,3.49,1.31,
1718112000000,1.46,3.42,1.32,
1718112600000,1.47,3.33,1.7,
1718113200000,1.44,3.19,1.72,
1718113800000,1.33,2.87,1.68,
1718114400000,1.47,3.08,1.67,
1718115000000,1.33,3.09,1.7,
1718115600000,1.18,3.14,1.28,
1718116200000,1.3,3.1,1.26,
1718116800000,1.18,3.03,1.27,
1718117400000,1.18,3.09,1.27,
1718118000000,1.31,3.11,1.28,
1718118600000,1.18,3.14,1.23,
1718119200000,1.3,2.99,1.23,
1718119800000,1.18,2.99,1.23,
1718120400000,1.04,2.9,1.21,
1718121000000,1.16,2.98,1.21,
1718121600000,1.04,2.95,1.21,
