intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Mar 12 2024|  TO Mon Mar 18 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1710181800000,1.31,3.34,1.19,
1710182400000,1.28,3.04,1.19,
1710183000000,1.29,3.05,1.2,
1710183600000,1.22,2.79,1.14,
1710184200000,1.22,2.9,1.2,
1710184800000,1.21,2.77,1.19,
1710185400000,1.21,2.67,1.15,
1710186000000,1.21,2.62,1.15,
1710186600000,1.22,2.6,1.15,
1710187200000,1.23,2.66,1.15,
1710187800000,1.22,2.72,1.2,
1710188400000,1.23,2.43,1.2,
1710189000000,1.23,2.75,1.15,
1710189600000,1.23,2.62,1.16,
1710190200000,1.23,2.54,1.15,
1710190800000,1.24,2.79,1.15,
1710191400000,1.24,2.6,1.16,
1710192000000,1.23,2.76,1.16,
1710192600000,1.24,2.5,1.1,
1710193200000,1.23,2.63,1.12,
1710193800000,1.23,2.34,1.11,
1710194400000,1.16,2.18,1.1,
1710195000000,1.15,2.34,1.11,
1710195600000,1.15,3.36,1.15,
1710196200000,1.16,3.46,1.11,
1710196800000,1.15,3.22,1.1,
1710197400000,1.17,3.11,1.1,
1710198000000,1.15,3.33,1.11,
1710198600000,1.15,3.25,1.15,
1710199200000,1.16,3.43,1.2,
1710199800000,1.15,3.39,1.15,
1710200400000,1.15,3.28,1.15,
1710201000000,1.15,3.21,1.15,
1710201600000,1.16,3.21,1.15,
1710202200000,1.15,3.36,1.15,
1710202800000,1.14,3.35,1.2,
1710203400000,1.14,3.31,1.2,
1710204000000,1.14,3.32,1.15,
1710204600000,1.14,3.22,1.15,
1710205200000,1.14,3.4,1.15,
1710205800000,1.14,3.02,1.15,
1710206400000,1.13,3.19,1.2,
1710207000000,1.14,3.46,1.19,
1710207600000,1.14,3.33,1.15,
1710208200000,1.13,3.05,1.15,
1710208800000,1.13,3.33,1.14,
1710209400000,1.15,3.23,1.14,
1710210000000,1.13,3.24,1.15,
1710210600000,1.14,3.05,1.2,
1710211200000,1.13,3.15,1.15,
1710211800000,1.13,3.27,1.15,
1710212400000,1.12,3.22,4.89,
1710213000000,1.39,3.23,1.4,
1710213600000,1.44,3.38,1.45,
1710214200000,1.57,3.22,1.26,
1710214800000,1.55,3.23,1.4,
1710215400000,1.71,3.67,5.25,
1710216000000,1.57,3.49,1.98,
1710216600000,1.59,3.62,1.36,
1710217200000,1.65,3.67,1.52,
1710217800000,1.73,3.54,1.38,
1710218400000,1.71,3.67,1.36,
1710219000000,1.67,3.6,1.33,
1710219600000,1.8,3.56,1.26,
1710220200000,1.79,3.67,1.25,
1710220800000,1.82,3.69,1.82,
1710221400000,1.8,3.75,1.71,
1710222000000,1.79,3.96,1.54,
1710222600000,1.82,3.92,1.73,
1710223200000,2.05,4.11,1.47,
1710223800000,2.12,3.95,2.22,
1710224400000,2.07,3.87,2.89,
1710225000000,2.05,3.92,2.21,
1710225599000,2.07,3.89,1.62,
1710226200000,2.13,3.99,1.7,
1710226800000,2.12,3.78,2.32,
1710227400000,2.51,3.82,1.71,
1710228000000,2.47,4.22,1.71,
1710228600000,2.32,4.1,1.68,
1710229200000,2.28,4.08,1.66,
1710229800000,2.26,3.92,1.53,
1710230400000,2.25,3.83,1.2,
1710231000000,2.2,3.95,1.16,
1710231600000,2.03,3.68,1.17,
1710232200000,2.21,3.75,1.25,
1710232800000,3.55,5.05,2.6,
1710233400000,3.75,5.12,3.14,
1710234000000,3.6,4.96,2.45,
1710234600000,2.44,4.01,1.25,
1710235200000,2.48,4.09,2.03,
1710235800000,2.6,4.31,1.57,
1710236393000,2.41,3.89,1.43,
1710236400000,2.41,3.98,1.42,
1710237000000,2.38,4.13,1.45,
1710237600000,2.59,3.97,1.35,
1710238200000,2.73,4.17,1.7,
1710238800000,2.76,4.18,1.97,
1710239400000,2.7,3.88,1.55,
1710240000000,2.7,3.82,1.61,
1710240599000,2.71,3.66,3.15,
1710241200000,2.8,3.71,1.41,
1710241800000,2.82,3.74,1.34,
1710242400000,2.75,3.22,1.3,
1710243000000,2.43,2.84,1.26,
