intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jan 16 2024|  TO Mon Jan 22 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1705343400000,1.2,1.74,0.74,
1705344000000,1.19,1.78,0.78,
1705344600000,1.21,1.69,0.8,
1705345200000,1.19,1.67,0.74,
1705345800000,1.06,1.72,0.74,
1705346400000,1.06,1.68,0.75,
1705347000000,1.06,1.48,0.74,
1705347600000,1.06,1.66,0.75,
1705348200000,1.05,1.76,0.79,
1705348800000,1.06,1.71,0.74,
1705349400000,1.15,1.55,0.74,
1705350000000,1.16,1.72,0.74,
1705350600000,1.16,1.7,0.75,
1705351200000,1.16,1.67,0.75,
1705351800000,1.15,1.64,0.8,
1705352400000,1.24,1.81,0.74,
1705353000000,1.16,1.67,0.75,
1705353600000,1.16,1.5,0.78,
1705354200000,1.17,1.74,0.75,
1705354800000,1.2,1.84,0.74,
1705355400000,1.15,1.67,0.8,
1705356000000,1.15,1.67,0.74,
1705356600000,1.14,1.81,0.75,
1705357200000,1.16,1.67,0.73,
1705357800000,1.14,1.69,0.74,
1705358400000,1.16,1.62,0.74,
1705359000000,1.15,1.6,0.79,
1705359600000,1.15,1.71,0.74,
1705360200000,1.15,1.65,0.74,
1705360800000,1.16,1.8,0.78,
1705361400000,1.15,1.53,0.74,
1705362000000,1.15,1.68,0.74,
1705362600000,1.14,1.68,0.8,
1705363200000,1.13,1.68,0.75,
1705363800000,1.16,1.67,0.76,
1705364400000,1.16,1.71,0.73,
1705365000000,1.14,1.81,0.74,
1705365600000,1.15,1.64,0.76,
1705366200000,1.14,1.51,0.78,
1705366800000,1.14,1.69,0.74,
1705367400000,1.15,1.68,0.77,
1705368000000,1.16,1.71,0.74,
1705368600000,1.16,1.59,0.74,
1705369200000,1.15,1.84,0.76,
1705369800000,1.15,1.58,0.78,
1705370400000,1.14,1.74,0.75,
1705371000000,1.15,1.82,0.75,
1705371600000,1.23,1.6,0.77,
1705372200000,1.23,1.67,0.75,
1705372800000,1.21,1.65,0.77,
1705373400000,1.22,1.76,0.81,
1705374000000,1.22,1.7,0.89,
1705374600000,1.24,1.7,1.06,
1705375200000,1.5,1.64,1.08,
1705375800000,1.53,1.84,1.06,
1705376400000,1.53,1.72,1.27,
1705377000000,1.67,1.79,1.27,
1705377600000,1.71,1.96,1.27,
1705378200000,2.92,3.24,6.04,
1705378800000,3.17,3.26,2.7,
1705379400000,3.14,3.37,2.69,
1705380000000,3.23,3.45,2.53,
1705380600000,3.11,3.4,2.38,
1705381200000,3.1,3.22,2.32,
1705381800000,3.09,3.28,2.42,
1705382400000,3.07,3.37,2.47,
1705383000000,3.08,3.22,2.63,
1705383600000,3.32,3.23,2.63,
1705384200000,3.31,3.12,2.64,
1705384800000,3.35,3.43,2.61,
1705385400000,3.35,3.23,2.62,
1705386000000,3.34,3.2,2.66,
1705386600000,3.2,3.37,5.37,
1705387200000,3.32,3.48,4.55,
1705387800000,3.38,3.35,2.53,
1705388400000,3.27,3.33,2.49,
1705389000000,3.25,3.28,3.17,
1705389600000,3.17,3.26,5.28,
1705390200000,3.18,3.2,2.59,
1705390800000,3.08,3.07,2.48,
1705391400000,3.11,3.33,2.58,
1705392000000,3.04,3.27,2.57,
1705392600000,3.06,3.29,2.5,
1705393200000,2.95,3.2,2.55,
1705393800000,2.94,3.27,2.57,
1705394400000,2.91,3.19,3.03,
1705395000000,3.19,3.5,2.58,
1705395600000,3.26,3.52,2.93,
1705396200000,3.21,3.38,2.88,
1705396800000,3.18,3.41,2.98,
1705397400000,3.19,3.42,3.84,
1705398000000,3.15,3.3,2.92,
1705398600000,2.92,3.29,3.02,
1705399200000,3.04,3.43,3.54,
1705399800000,3.13,4.16,3.06,
1705400400000,3.01,3.52,6.17,
1705401000000,2.79,3.16,2.54,
1705401600000,2.98,3.18,2.77,
1705402200000,2.76,2.94,2.89,
1705402800000,2.81,3.18,2.68,
1705403400000,1.61,2.04,1.48,
1705404000000,1.59,2.02,1.44,
1705404600000,1.59,2.04,1.31,
1705405200000,1.59,2.21,1.96,
1705405800000,1.69,2.05,2.22,
1705406400000,1.97,1.69,1.27,
1705407000000,1.94,1.77,1.2,
1705407600000,1.86,1.89,1.22,
1705408200000,1.84,1.87,1.16,
1705408800000,1.7,1.89,1.22,
1705409400000,1.56,1.73,1.22,
1705410000000,1.58,1.67,1.14,
1705410600000,1.63,1.74,1.02,
1705411200000,1.58,1.76,1.43,
1705411800000,1.53,1.73,1.4,
1705412400000,1.54,1.81,1.12,
1705413000000,1.4,1.84,1.11,
1705413600000,1.42,1.74,1.07,
1705414200000,1.38,1.78,1.08,
1705414800000,1.26,1.48,1.07,
1705415400000,1.28,1.84,1.1,
1705416000000,1.29,1.74,1.17,
1705416600000,1.28,1.75,1.21,
1705417200000,1.25,1.72,1.23,
1705417800000,1.15,1.73,1.05,
1705418400000,1.14,1.88,1.08,
1705419000000,1.13,1.7,1.09,
1705419600000,1.13,1.73,1.03,
1705420200000,1.13,1.63,1.04,
1705420800000,1.14,1.87,1.04,
1705421400000,1.14,1.76,1.03,
1705422000000,1.15,1.7,1.12,
1705422600000,1.09,1.6,1.03,
1705423200000,1.1,1.8,1.03,
1705423800000,1.09,1.79,1.06,
1705424400000,1.09,1.61,1.02,
1705425000000,1.1,1.62,1.03,
1705425600000,1.1,1.86,1.11,
1705426200000,1.1,1.68,1.02,
1705426800000,1.08,1.72,1.03,
1705427400000,1.11,1.73,1.07,
1705428000000,1.09,1.82,1.03,
1705428600000,1.09,1.68,1.08,
1705429200000,1.1,1.55,1.07,
1705429800000,1.11,1.6,1.03,
1705430400000,1.09,1.81,1.06,
1705431000000,1.1,1.74,1.02,
1705431600000,1.11,1.8,1.03,
1705432200000,1.12,1.73,1.08,
1705432800000,1.13,1.88,1.03,
1705433400000,1.11,1.77,1.02,
1705434000000,1.1,1.75,1.02,
1705434600000,1.1,1.74,1.02,
1705435200000,1.1,1.82,1.02,
1705435800000,1.11,1.78,1.09,
1705436400000,1.11,1.68,1.03,
1705437000000,1.11,1.72,1.02,
1705437600000,1.08,1.74,1.03,
1705438200000,1.1,1.6,1.09,
1705438800000,1.11,1.73,1.04,
1705439400000,1.12,1.74,1.08,
1705440000000,1.12,1.86,1.04,
1705440600000,1.12,1.72,1.03,
