intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Dec 19 2023|  TO Mon Dec 25 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1702924200000,1.12,1.1,1.04,
1702924800000,1.13,1.34,0.98,
1702925400000,1.16,1.15,0.93,
1702926000000,1.14,1.12,0.93,
1702926600000,1.11,1.17,0.94,
1702927200000,1.1,1.22,0.93,
1702927800000,1.12,1.32,0.94,
1702928400000,1.12,1.15,0.98,
1702929000000,1.11,1.2,0.98,
1702929600000,1.12,1.2,1.03,
1702930200000,1.11,1.3,0.98,
1702930800000,1.11,1.18,0.99,
1702931400000,1.12,1.19,0.98,
1702932000000,1.12,1.21,1.01,
1702932598000,1.13,1.19,0.92,
1702933200000,1.13,1.18,0.92,
1702933800000,1.13,1.16,0.91,
1702934400000,1.11,1.23,0.92,
1702935000000,1.13,1.16,0.97,
1702935600000,1.12,1.08,1.02,
1702936200000,1.14,1.2,0.97,
1702936800000,1.13,1.31,0.97,
1702937400000,1.12,1.21,1.02,
1702938000000,1.13,1.18,0.97,
1702938600000,1.14,1.31,0.97,
1702939200000,1.13,1.21,0.92,
1702939800000,1.13,1.16,0.92,
1702940400000,1.13,1.16,0.96,
1702941000000,1.14,1.33,0.92,
1702941600000,1.13,1.21,0.92,
1702942200000,1.12,1.18,0.92,
1702942800000,1.11,1.28,1.03,
1702943400000,1.12,1.26,0.97,
1702944000000,1.12,1.18,0.97,
1702944600000,1.12,1.15,0.96,
1702945200000,1.12,1.28,0.96,
1702945800000,1.11,1.17,1.01,
1702946400000,1.1,1.09,0.92,
1702947000000,1.11,1.17,0.91,
1702947600000,1.1,1.19,0.91,
1702948200000,1.11,1.19,0.97,
1702948800000,1.11,1.16,0.91,
1702949400000,1.11,1.3,0.91,
1702950000000,1.1,1.07,0.96,
1702950600000,1.11,1.19,0.96,
1702951200000,1.1,1.16,1.01,
1702951800000,1.11,1.55,0.96,
1702952400000,1.11,1.58,0.97,
1702953000000,1.11,1.53,0.97,
1702953600000,1.11,1.62,0.93,
1702954200000,1.12,1.55,0.91,
1702954800000,1.11,1.61,1.86,
1702955400000,1.09,1.54,1.19,
1702956000000,1.06,1.56,1.22,
1702956600000,1.09,1.6,3.94,
1702957200000,1.12,1.61,1.79,
1702957800000,2.3,2.78,2.99,
1702958400000,2.35,2.96,3.39,
1702959000000,2.33,2.93,2.18,
1702959600000,2.37,2.85,2.12,
1702960200000,2.34,2.81,2.29,
1702960800000,1.14,1.6,1,
1702961400000,1.27,1.54,2.06,
1702962000000,1.45,1.65,1.28,
1702962600000,1.54,1.49,1.37,
1702963200000,1.5,1.74,3.77,
1702963800000,1.67,1.89,1.41,
1702964400000,2.88,2.97,2.63,
1702965000000,3,3.11,6.04,
1702965600000,2.83,3.16,2.62,
1702966200000,2.75,3.09,2.65,
1702966800000,2.74,3.09,2.69,
1702967400000,1.67,1.92,1.44,
1702967999000,1.62,1.99,1.43,
1702968600000,1.73,1.89,1.36,
1702969200000,1.75,1.86,1.39,
1702969800000,1.7,1.91,1.4,
1702970400000,1.81,1.83,1.21,
1702971000000,1.78,1.86,1.14,
1702971600000,1.62,1.86,1.11,
1702972200000,1.57,1.81,3.86,
1702972800000,1.54,1.73,1.08,
1702973400000,1.47,1.71,4.25,
1702974000000,1.5,1.78,1.53,
1702974600000,1.51,1.77,1.45,
1702975200000,1.39,1.69,2.66,
1702975800000,1.43,1.58,1.61,
1702976400000,1.6,1.73,1.55,
