intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Apr 02 2024|  TO Mon Apr 08 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1711996200000,1.4,3.33,1.14,
1711996800000,1.27,3.29,1.17,
1711997400000,1.39,26.18,1.13,
1711998000000,1.28,3.28,1.14,
1711998600000,1.4,3.46,1.13,
1711999200000,1.27,3.36,1.2,
1711999800000,1.4,3.17,1.18,
1712000400000,1.27,3.24,1.14,
1712001000000,1.3,3.07,1.13,
1712001600000,1.18,3.09,1.14,
1712002200000,1.31,3.19,1.13,
1712002800000,1.17,2.9,1.13,
1712003400000,1.18,3.09,1.13,
1712004000000,1.31,3.29,1.19,
1712004600000,1.18,3.24,1.19,
1712005200000,1.31,3.1,1.14,
1712005800000,1.18,3.18,1.14,
1712006400000,1.31,3.24,1.14,
1712007000000,1.19,3.12,1.14,
1712007600000,1.31,3.25,1.14,
1712008200000,1.19,3.07,1.14,
1712008800000,1.31,3.09,1.2,
1712009400000,1.18,3,1.18,
1712010000000,1.31,3.14,1.15,
1712010600000,1.19,2.99,1.14,
1712011200000,1.31,3.04,1.14,
1712011800000,1.19,3.01,1.14,
1712012400000,1.31,3.3,1.14,
1712013000000,1.22,3.13,1.14,
1712013600000,1.31,3.28,1.19,
1712014200000,1.19,3.04,1.19,
1712014800000,1.19,3.17,1.15,
1712015400000,1.21,3.13,1.14,
1712016000000,1.18,3.24,1.13,
1712016600000,1.31,3.1,1.14,
1712017200000,1.18,3.29,1.14,
1712017800000,1.31,3.09,1.14,
1712018400000,1.19,3.1,1.2,
1712019000000,1.18,3.21,1.19,
1712019600000,1.17,3.03,1.14,
1712020200000,1.17,3.13,1.14,
1712020800000,1.29,3.23,1.14,
1712021400000,1.18,3.08,1.14,
1712022000000,1.32,3.18,1.14,
1712022600000,1.18,3.23,1.14,
1712023200000,1.18,3,1.14,
1712023800000,1.31,3,1.18,
1712024400000,1.17,2.51,1.13,
1712025000000,1.18,2.39,1.13,
1712025600000,1.19,2.56,1.14,
1712026200000,1.17,2.42,1.14,
1712026800000,1.62,2.46,4.86,
1712027400000,1.45,2.34,1.44,
1712028000000,1.59,2.44,1.49,
1712028600000,1.61,2.31,5.11,
1712029200000,1.59,2.36,1.65,
1712029800000,1.71,2.35,1.48,
1712030400000,1.9,2.37,2.42,
1712031000000,2.01,2.46,1.29,
1712031600000,2.19,2.55,1.33,
1712032200000,2.4,2.75,2,
1712032800000,2.33,2.67,4.1,
1712033400000,2.41,2.81,2.33,
1712034000000,2.77,2.83,1.27,
1712034600000,2.63,2.53,1.29,
1712035200000,2.86,2.91,1.66,
1712035800000,2.85,2.75,2.27,
1712036400000,2.94,2.74,1.68,
1712037000000,2.88,2.91,1.78,
1712037600000,2.82,2.79,1.77,
1712038200000,2.71,2.76,1.69,
1712038800000,2.82,2.67,1.72,
1712039400000,2.73,2.72,1.72,
1712040000000,2.72,2.85,1.82,
1712040600000,2.69,2.78,1.82,
1712041200000,2.56,2.74,1.82,
1712041800000,2.45,2.58,1.47,
1712042400000,2.47,2.74,1.51,
1712043000000,2.66,2.68,1.46,
1712043600000,2.14,2.65,1.5,
1712044200000,2.1,2.41,1.89,
1712044800000,2.06,2.66,1.88,
1712045400000,1.94,2.62,1.78,
1712046000000,2.14,2.54,1.82,
1712046600000,2.07,2.65,1.54,
1712047200000,1.92,2.7,1.99,
1712047800000,2.1,2.73,1.55,
1712048400000,2.36,2.79,1.77,
1712049000000,2.48,2.73,1.76,
1712049600000,2.29,2.77,1.73,
1712050200000,2.45,2.68,1.7,
1712050800000,2.5,2.69,1.74,
1712051400000,2.48,2.69,1.74,
1712052000000,2.42,2.62,2.72,
1712052600000,2.41,2.78,2.72,
1712053200000,2.57,2.74,2.41,
1712053800000,3.5,3.93,2.91,
1712054400000,3.56,3.9,2.85,
1712055000000,2.74,2.96,1.74,
1712055600000,2.39,3.02,1.73,
1712056200000,2.5,2.85,4.44,
1712056800000,2.35,2.88,1.69,
1712057400000,2.34,2.76,1.52,
1712058000000,2.28,2.66,1.53,
1712058600000,2.01,2.69,1.4,
1712059200000,1.97,2.56,1.05,
1712059800000,1.95,2.53,1.11,
1712060400000,2.06,2.33,1.08,
1712061000000,1.86,2.36,1.05,
1712061600000,1.81,3.37,1.13,
1712062200000,1.56,3.34,1.08,
1712062800000,1.63,3.17,1.05,
1712063400000,1.55,3.42,1.05,
1712064000000,1.6,3.4,1.08,
1712064600000,1.48,3.29,0.76,
1712065200000,1.58,3.38,1.11,
1712065800000,1.56,3.17,1.16,
1712066400000,1.57,3.33,1.11,
1712067000000,1.38,3.31,1.06,
1712067600000,1.51,3.31,1.06,
1712068200000,1.37,3.46,1.06,
1712068800000,1.48,3.25,1.06,
1712069400000,1.38,3.2,1.06,
1712070000000,1.52,3.42,1.06,
1712070600000,1.37,3.33,1.11,
1712071200000,1.5,3.37,1.11,
1712071800000,1.39,3.36,1.05,
1712072400000,1.5,3.27,1.06,
1712073000000,1.18,3.26,1.06,
1712073600000,1.31,2.81,1.07,
1712074200000,1.17,2.5,1.05,
1712074800000,1.3,2.56,1.06,
