intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jul 02 2024|  TO Mon Jul 08 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1719858600000,1.2,3.06,1.12,
1719859200000,1.2,2.99,1.14,
1719859800000,1.08,2.87,1.1,
1719860400000,1.08,2.98,1.15,
1719861000000,1.2,2.81,1.11,
1719861600000,1.07,2.92,1.09,
1719862200000,0.84,2.87,1.06,
1719862800000,0.85,2.68,1.11,
1719863399000,0.98,2.91,1.06,
1719864000000,0.85,2.84,1.07,
1719864600000,0.85,2.9,1.06,
1719865200000,0.99,2.88,1.11,
1719865800000,0.85,2.88,1.06,
1719866400000,0.85,2.82,1.06,
1719867000000,0.98,2.84,1.06,
1719867600000,0.85,2.89,1.12,
1719868200000,0.85,2.87,1.06,
1719868800000,1,2.91,1.06,
1719869400000,0.85,2.84,1.07,
1719870000000,0.85,2.83,1.06,
1719870600000,0.98,2.94,1.11,
1719871200000,0.86,2.87,1.07,
1719871800000,0.85,2.86,1.07,
1719872400000,0.85,2.93,1.06,
1719873000000,0.98,2.86,1.11,
1719873600000,0.85,2.86,1.06,
1719874200000,0.85,2.81,1.07,
1719874800000,0.98,2.74,1.06,
1719875400000,0.85,2.9,1.12,
1719876000000,0.86,2.87,1.07,
1719876600000,0.98,2.73,1.21,
1719877200000,0.85,2.75,1.07,
1719877800000,0.85,2.71,1.12,
1719878400000,0.97,2.86,1.06,
1719879000000,0.85,2.67,1.06,
1719879600000,0.85,2.86,1.06,
1719880200000,0.97,2.94,1.06,
1719880800000,0.83,2.86,1.14,
1719881400000,0.83,2.89,1.05,
1719882000000,1.47,2.86,1.05,
1719882600000,0.8,2.69,1.04,
1719883200000,0.8,2.8,1.1,
1719883800000,0.8,2.75,1.05,
1719884400000,0.8,2.63,1.05,
1719885000000,0.8,2.7,1.05,
1719885600000,0.8,2.67,1.17,
1719886200000,0.92,2.67,1.05,
1719886800000,0.8,2.68,1.05,
1719887400000,0.81,2.65,1.1,
1719888000000,0.92,2.42,1.04,
1719888600000,0.8,2.13,1.09,
1719889200000,1.06,2.35,4.74,
1719889800000,1.14,2.35,1.37,
1719890400000,1.23,2.33,1.73,
1719891000000,1.1,2.23,1.9,
1719891600000,1.29,2.44,2.47,
1719892200000,1.4,2.43,2.22,
1719892800000,1.39,2.42,1.32,
1719893400000,1.71,2.55,1.16,
1719894000000,1.7,2.58,2.19,
1719894600000,1.91,2.59,2.05,
1719895200000,1.85,2.56,3.91,
1719895800000,1.95,2.51,1.72,
1719896400000,3.11,3.49,2.37,
1719897000000,3.24,3.57,2.42,
1719897600000,2.16,2.39,1.19,
1719898200000,1.98,2.67,1.17,
1719898800000,2.22,2.56,1.2,
1719899400000,2.23,2.6,1.25,
1719900000000,2.14,2.6,1.25,
1719900600000,2.16,2.6,1.63,
1719901200000,2.13,2.65,1.76,
1719901800000,1.98,2.71,2.31,
1719902400000,1.93,2.56,4.45,
1719903000000,2.06,2.5,1.67,
