intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Nov 21 2023|  TO Mon Nov 27 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1700505000000,1.12,0.87,1.06,
1700505600000,1.1,0.75,1.07,
1700506200000,1.05,0.77,1.06,
1700506800000,1.05,0.89,1.06,
1700507400000,1.06,0.82,1.07,
1700508000000,1.07,0.8,1.07,
1700508600000,1.06,0.9,1.07,
1700509200000,1.06,0.75,1.08,
1700509800000,1.05,0.78,1.06,
1700510400000,1.06,0.92,1.07,
1700511000000,1.06,0.75,1.08,
1700511600000,1.07,0.79,1.06,
1700512200000,1.06,0.9,1.07,
1700512800000,1.05,0.76,1.07,
1700513400000,1.06,0.75,1.07,
1700514000000,0.99,0.88,1.05,
1700514600000,0.99,0.75,1.06,
1700515200000,0.99,0.75,1.01,
1700515800000,0.99,0.91,1.01,
1700516400000,0.99,0.78,1,
1700517000000,0.99,0.75,1,
1700517600000,1.01,0.81,1,
1700518200000,1,0.75,1,
1700518800000,1.01,0.78,1.04,
1700519400000,1.01,0.73,1.01,
1700520000000,0.99,0.76,1,
1700520600000,0.98,0.8,1,
1700521200000,0.99,0.75,1.05,
1700521800000,1,0.78,1,
1700522400000,0.98,0.78,1,
1700523000000,1,0.72,1,
1700523600000,0.99,0.77,1.05,
1700524200000,0.99,0.75,1.01,
1700524800000,0.98,0.77,1.01,
1700525400000,0.98,0.87,1,
1700526000000,0.98,0.64,1.05,
1700526600000,0.99,0.77,1,
1700527200000,0.99,0.89,1,
1700527800000,0.98,0.77,1.01,
1700528400000,0.97,0.75,1.05,
1700529000000,0.98,0.8,1,
1700529600000,0.99,0.74,1,
1700530200000,1,0.68,1,
1700530800000,1.03,0.82,1.16,
1700531400000,0.99,0.78,1.05,
1700532000000,0.99,0.77,1.05,
1700532600000,0.98,0.83,1.07,
1700533200000,0.99,0.72,1.05,
1700533800000,0.99,0.75,1.05,
1700534400000,1.01,0.89,1.05,
1700535000000,0.98,0.76,1.05,
1700535600000,0.99,0.78,4.77,
1700536200000,1.12,0.94,1.1,
