intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Oct 24 2023|  TO Mon Oct 30 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1698085800000,0.9,0.49,1.09,
1698086400000,0.9,0.6,1.1,
1698087000000,0.9,0.48,1.09,
1698087600000,0.93,0.49,1.08,
1698088200000,0.92,0.48,1.14,
1698088800000,0.94,0.49,1.19,
1698089400000,0.92,0.49,1.18,
1698090000000,0.92,0.48,1.13,
1698090600000,0.91,0.48,1.15,
1698091200000,0.91,0.48,1.14,
1698091800000,0.91,0.49,1.08,
1698092400000,0.92,0.48,1.09,
1698093000000,0.92,0.49,1.09,
1698093600000,0.91,0.49,1.09,
1698094200000,0.92,0.49,1.08,
1698094800000,0.93,0.49,1.09,
1698095400000,0.93,0.49,1.13,
1698096000000,0.93,0.49,1.19,
1698096600000,0.92,0.49,1.18,
1698097200000,0.93,0.49,1.13,
1698097800000,0.92,0.48,1.14,
1698098400000,0.92,0.49,1.15,
1698099000000,0.92,0.49,1.08,
1698099600000,0.92,0.61,1.08,
1698100200000,0.92,0.49,1.08,
1698100800000,0.92,0.49,1.08,
1698101400000,0.92,0.61,1.08,
1698102000000,0.94,0.49,1.09,
1698102600000,0.93,0.49,1.13,
1698103200000,0.93,0.61,1.19,
1698103800000,0.92,0.49,1.19,
1698104400000,0.94,0.49,1.13,
1698105000000,0.92,0.61,1.13,
1698105600000,0.92,0.5,1.13,
1698106200000,0.92,0.5,1.08,
1698106800000,0.91,0.62,1.08,
1698107400000,0.92,0.49,1.08,
1698108000000,0.91,0.49,1.09,
1698108600000,0.91,0.61,1.09,
1698109200000,0.93,0.49,1.08,
1698109800000,0.92,0.49,1.47,
1698110400000,0.92,0.61,1.18,
1698111000000,0.95,0.49,1.18,
1698111600000,0.92,0.48,1.13,
1698112200000,0.91,0.62,1.13,
1698112800000,0.91,0.49,1.13,
1698113400000,0.91,0.49,1.08,
1698114000000,0.91,0.61,1.09,
1698114600000,0.9,0.49,1.08,
1698115200000,0.91,0.49,1.09,
1698115800000,0.92,0.63,1.08,
1698116400000,0.91,0.48,1.08,
1698117000000,0.92,0.48,1.18,
1698117600000,0.92,0.49,1.18,
1698118200000,0.91,0.48,1.18,
1698118800000,0.91,0.49,1.13,
1698119400000,0.91,0.48,1.13,
1698120000000,0.91,0.48,1.13,
1698120600000,0.9,0.49,1.08,
1698121200000,0.9,0.49,1.09,
1698121800000,0.99,0.48,1.1,
1698122400000,1.02,0.52,1.14,
1698123000000,1.02,0.68,1.11,
1698123600000,1.04,0.56,1.11,
1698124200000,1.05,0.55,1.21,
