intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jun 25 2024|  TO Mon Jul 01 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1719253800000,0.9,2.29,1.34,
1719254400000,0.9,2.24,1.26,
1719255000000,0.89,2.18,1.22,
1719255600000,0.9,2.3,1.36,
1719256200000,0.89,2.28,1.22,
1719256800000,0.89,2.27,1.23,
1719257400000,0.9,2.14,1.23,
1719258000000,0.9,2.3,1.23,
1719258600000,0.9,2.28,1.37,
1719259200000,0.9,2.28,1.24,
1719259800000,0.9,2.27,1.22,
1719260400000,0.9,2.27,1.36,
1719261000000,0.9,2.34,1.23,
1719261600000,0.9,2.32,1.23,
1719262200000,0.9,2.31,1.35,
1719262800000,0.9,2.26,1.22,
1719263400000,0.9,2.23,1.22,
1719263999000,0.91,2.25,1.35,
1719264600000,0.91,2.3,1.22,
1719265200000,0.91,2.36,1.23,
1719265800000,0.91,2.15,1.34,
1719266400000,0.91,2.35,1.23,
1719267000000,0.91,2.3,1.23,
1719267600000,0.9,2.3,1.35,
1719268200000,0.91,2.33,1.23,
1719268799000,0.91,2.35,1.23,
1719269400000,0.91,2.24,1.35,
1719270000000,0.91,2.29,1.23,
1719270600000,0.91,2.29,1.23,
1719271199000,0.91,2.37,1.36,
1719271200000,0.91,2.33,1.37,
1719271800000,0.91,2.35,1.23,
1719272400000,0.9,2.14,1.22,
1719273000000,0.91,2.33,1.34,
1719273600000,0.9,2.17,1.22,
1719274200000,0.9,2.37,1.22,
1719274800000,0.9,2.37,1.33,
1719275400000,0.89,2.29,1.22,
1719276000000,0.89,2.26,1.21,
1719276600000,0.89,2.34,1.22,
1719277200000,0.88,2.27,1.22,
1719277800000,0.89,2.26,1.37,
1719278400000,0.9,2.2,1.22,
1719279000000,0.89,2.28,1.22,
1719279600000,0.89,2.29,1.37,
1719280200000,0.89,2.32,1.22,
1719280800000,0.89,2.33,1.22,
1719281400000,0.89,2.28,1.36,
1719282000000,0.91,2.24,1.22,
1719282600000,0.89,2.13,1.22,
1719283200000,0.89,2.26,1.34,
1719283800000,0.89,2.36,2.28,
1719284400000,1.2,2.35,1.56,
1719285000000,1.33,2.37,1.67,
1719285600000,1.58,2.33,1.55,
1719286200000,1.52,2.33,1.65,
1719286800000,1.53,2.29,1.86,
1719287400000,1.51,2.36,1.78,
1719288000000,1.68,2.36,1.49,
1719288600000,1.84,2.47,2.13,
1719289200000,2.05,2.51,2.03,
1719289800000,2.32,2.62,1.81,
1719290400000,3.16,3.58,2.82,
1719291000000,3.27,3.55,2.66,
1719291600000,3.08,3.74,2.7,
1719292200000,3.27,3.94,4.41,
1719292800000,3.2,3.85,2.88,
1719293400000,3.25,3.79,2.86,
1719294000000,3.24,4.22,3.02,
1719294600000,3.35,4.27,2.91,
1719295200000,3.38,4.19,3.11,
1719295800000,3.28,4.02,3.69,
1719296400000,3.33,4.26,5.74,
1719297000000,2.13,2.96,1.77,
1719297600000,2.06,3.18,1.75,
1719298200000,2.04,3.24,2.2,
1719298800000,2.13,3.14,2.11,
1719299400000,2.04,3.07,1.62,
1719300000000,2.11,2.96,2.26,
1719300600000,1.91,2.79,1.59,
1719301200000,1.7,3.15,2.13,
1719301800000,1.9,3.12,1.44,
1719302400000,1.9,3.03,1.52,
1719303000000,1.79,2.84,1.53,
1719303600000,1.76,2.9,1.5,
1719304200000,2.08,2.81,1.53,
1719304800000,2,2.85,1.55,
1719305400000,2.11,2.79,1.7,
1719306000000,2.07,2.84,1.59,
1719306600000,2.17,2.7,1.61,
1719307200000,2.1,2.9,1.72,
1719307800000,2.16,3.05,4.47,
1719308400000,2.14,3.01,1.57,
1719309000000,2.2,3.11,1.51,
1719309600000,2.22,3.18,1.48,
1719310200000,2.16,3.24,1.49,
1719310800000,3.25,4.28,4.12,
1719311400000,3.25,4.42,3.68,
1719312000000,3.25,4.29,2.75,
1719312600000,3.32,4.28,2.76,
1719313200000,3.06,4.37,2.68,
1719313800000,2.96,4.28,2.58,
1719314400000,1.72,3.01,1.29,
1719315000000,1.74,2.87,1.33,
1719315600000,1.53,2.69,1.31,
1719316200000,1.56,2.65,1.26,
1719316800000,1.47,2.52,0.94,
1719317400000,1.34,2.52,0.94,
1719318000000,1.36,2.55,0.93,
1719318600000,1.21,2.46,0.97,
1719319200000,1.21,2.42,0.99,
1719319800000,1.19,2.44,1.03,
1719320400000,1.21,2.3,0.92,
1719321000000,1.22,2.43,0.95,
1719321600000,1.34,2.43,0.98,
1719322200000,1.37,2.23,1.34,
1719322800000,1.39,2.47,1.32,
1719323400000,1.3,2.39,1.29,
1719324000000,1.3,2.3,1.28,
1719324600000,1.32,2.43,1.26,
1719325200000,1.33,2.45,1.25,
1719325800000,1.31,2.43,1.25,
1719326400000,1.5,2.36,1.28,
1719327000000,1.52,2.28,1.28,
1719327600000,1.48,2.43,1.28,
1719328200000,1.47,2.46,1.26,
1719328800000,1.34,2.44,1.25,
1719329400000,1.32,2.45,1.25,
1719330000000,1.45,2.43,1.27,
1719330600000,1.34,2.44,1.29,
1719331200000,1.28,2.44,1.28,
1719331800000,1.16,2.42,1.28,
1719332400000,1.17,2.46,1.29,
1719333000000,1.29,2.45,1.29,
1719333600000,1.15,2.4,1.25,
1719334200000,1.27,2.43,1.25,
1719334800000,1.15,2.43,1.25,
1719335400000,1.15,2.34,1.28,
1719336000000,1.28,2.47,1.32,
1719336600000,1.16,2.45,1.3,
1719337200000,1.16,2.42,1.29,
1719337800000,1.29,2.41,1.3,
1719338400000,1.16,2.47,1.35,
1719339000000,1.17,2.23,1.27,
1719339600000,1.17,2.43,1.27,
1719340200000,1.17,2.47,1.27,
1719340800000,1.3,2.46,1.29,
1719341400000,1.17,2.44,1.27,
1719342000000,1.17,2.37,1.27,
1719342600000,1.3,2.48,1.26,
1719343200000,1.17,2.42,1.25,
1719343800000,1.18,2.5,1.28,
1719344400000,1.21,2.44,1.26,
1719345000000,1.08,2.45,1.22,
1719345600000,1.07,2.45,1.23,
1719346200000,1.2,2.45,1.22,
1719346800000,1.08,2.48,1.24,
1719347400000,1.08,2.5,1.24,
1719348000000,1.21,2.48,1.23,
1719348600000,1.07,2.5,1.23,
1719349200000,1.07,2.48,1.23,
1719349800000,1.2,2.39,1.24,
1719350400000,1.08,2.46,1.23,
1719351000000,1.08,2.49,1.23,
1719351600000,1.21,2.48,1.24,
1719352199000,1.08,2.4,1.24,
1719352800000,1.08,2.45,1.24,
1719353400000,1.08,2.51,1.24,
1719354000000,1.08,2.39,1.24,
1719354600000,1.08,2.48,1.25,
1719355200000,1.08,2.34,1.28,
1719355800000,1.08,2.44,1.23,
1719356400000,1.08,2.43,1.25,
1719357000000,1.08,2.49,1.24,
1719357600000,1.08,2.35,1.24,
1719358200000,1.08,2.55,1.24,
1719358800000,1.08,2.34,1.23,
1719359400000,1.08,2.45,1.23,
1719360000000,1.08,2.48,1.24,
1719360600000,1.08,2.48,1.35,
1719361200000,1.13,2.5,1.33,
1719361800000,1.08,2.45,1.25,
1719362400000,1.08,2.53,1.24,
1719363000000,1.09,2.44,1.23,
1719363600000,1.09,2.34,1.23,
1719364200000,1.06,2.41,1.22,
1719364800000,1.18,2.45,1.21,
1719365400000,1.05,2.47,1.21,
1719366000000,1.05,2.45,1.22,
1719366600000,1.17,2.37,1.21,
1719367200000,1.05,2.33,1.21,
1719367800000,1.05,2.25,1.22,
1719368400000,1.17,2.34,1.23,
1719369000000,1.05,2.3,1.22,
1719369600000,1.05,2.43,1.21,
1719370200000,1.43,2.48,2.25,
1719370800000,1.37,2.52,1.55,
1719371400000,1.32,2.5,2,
1719372000000,1.44,2.55,4.44,
1719372600000,1.32,2.5,1.72,
1719373200000,1.32,2.47,5.45,
1719373800000,1.43,2.45,2.63,
1719374400000,1.52,2.51,1.84,
1719375000000,1.52,2.61,1.82,
1719375600000,1.83,2.75,2.09,
1719376200000,1.84,2.75,1.46,
1719376800000,1.86,2.74,1.41,
1719377400000,1.92,2.87,1.34,
1719378000000,2.23,2.68,1.36,
1719378599000,2.03,2.74,1.48,
1719379200000,2.82,2.77,1.82,
1719379800000,2.22,2.69,1.39,
1719380400000,2,3.1,1.38,
1719381000000,2.01,2.79,1.83,
1719381600000,2.15,3.05,1.42,
1719382200000,2.26,2.89,2.67,
1719382800000,2.15,2.84,1.4,
1719383400000,2.35,2.87,1.39,
1719384000000,2.38,3.02,1.33,
1719384600000,2.39,2.92,1.39,
1719385200000,2.39,2.95,2.03,
1719385800000,2.56,3.05,1.39,
1719386400000,2.22,2.91,1.41,
1719387000000,1.96,2.79,1.7,
1719387600000,1.89,2.71,1.6,
1719388200000,1.91,2.66,1.5,
1719388800000,1.77,2.91,1.5,
1719389400000,2.05,2.8,1.47,
1719390000000,2.1,2.89,1.47,
1719390600000,2.13,2.91,4.28,
1719391200000,2.34,3.05,1.56,
1719391800000,2.5,2.78,1.5,
1719392400000,2.34,2.69,1.63,
1719393000000,2.63,2.82,1.67,
1719393600000,2.57,2.91,1.69,
1719394200000,2.45,2.85,1.64,
1719394800000,2.24,2.84,1.54,
1719395400000,2.45,2.87,2.12,
1719396000000,2.32,2.86,1.41,
1719396600000,2.26,2.88,1.44,
1719397200000,2.31,2.98,1.43,
1719397800000,2.41,2.95,1.39,
1719398400000,3.46,4.16,2.78,
1719399000000,3.28,3.96,2.79,
1719399600000,3.4,3.97,3.35,
1719400200000,3.28,3.99,2.71,
1719400800000,3.35,3.99,2.64,
1719401400000,2.26,2.95,1.45,
1719402000000,1.98,2.7,1.43,
1719402600000,1.74,2.52,1.06,
1719403200000,1.86,2.41,1.37,
1719403800000,1.66,2.47,1.33,
1719404400000,1.2,2.24,1.31,
1719405000000,1.33,2.27,1.29,
1719405600000,1.27,2.23,1.29,
1719406200000,1.25,2.19,1.36,
1719406800000,1.33,2.08,1.36,
1719407400000,1.14,2.25,1.38,
1719408000000,1.19,2.23,1.36,
1719408600000,1.27,2.27,1.34,
1719409200000,1.2,2.11,1.34,
1719409800000,1.15,2.18,1.32,
1719410400000,1.17,2.18,1.33,
1719411000000,1.28,2.14,1.31,
1719411600000,1.15,2.16,1.34,
1719412200000,1.11,2.17,1.32,
1719412800000,1.23,2.2,1.33,
1719413400000,1.11,2.21,1.32,
1719414000000,1.11,2.25,1.33,
1719414600000,1.24,2.23,1.33,
1719415200000,1.11,2.21,1.33,
1719415800000,1.04,2.26,1.29,
1719416400000,1.17,2.21,1.29,
1719417000000,1.04,2.1,1.28,
1719417600000,1.04,2.23,1.3,
1719418200000,1.25,2.25,1.34,
1719418800000,1.11,2.08,1.32,
1719419400000,1.13,2.23,1.33,
1719420000000,1.25,2.24,1.33,
1719420600000,1.12,2.24,1.33,
1719421200000,1.12,2.18,1.32,
1719421800000,1.23,2.19,1.32,
1719422400000,1.11,2.24,1.33,
1719423000000,1.11,2.25,1.32,
1719423600000,1.24,2.27,1.33,
1719424200000,1.12,2.25,1.34,
1719424800000,1.12,2.17,1.33,
1719425400000,1.24,2.21,1.33,
1719426000000,1.11,2.23,1.33,
1719426600000,1.12,2.24,1.34,
1719427200000,1.24,2.21,1.39,
1719427800000,1.12,2.21,1.33,
1719428400000,1.12,2.25,1.34,
1719429000000,1.24,2.18,1.32,
1719429600000,1.12,2.24,1.33,
1719430200000,1.12,2.21,1.34,
1719430800000,1.25,2.25,1.33,
1719431400000,1.12,2.11,1.33,
1719432000000,1.12,2.2,1.33,
1719432600000,1.24,2.24,1.33,
1719433200000,1.12,2.23,1.32,
1719433800000,1.02,2.07,1.31,
1719434400000,1.14,2.2,1.28,
1719435000000,1.01,2.23,1.29,
1719435600000,1.03,2.19,1.31,
1719436200000,1.02,2.25,1.31,
1719436800000,1.02,2.26,1.3,
1719437400000,1.02,2.14,1.31,
1719438000000,1.01,2.2,1.33,
1719438600000,1.14,2.27,1.29,
1719439200000,1.02,2.27,1.29,
1719439800000,1.02,2.21,1.29,
1719440400000,1.15,2.31,1.29,
1719441000000,1.02,2.27,1.31,
1719441600000,1.02,2.23,1.29,
1719442200000,1.15,2.25,1.3,
1719442800000,1.06,2.24,1.29,
1719443400000,1.02,2.26,1.28,
1719444000000,1.14,2.21,1.29,
1719444600000,1.06,2.25,1.29,
1719445200000,1.01,2.22,1.56,
1719445800000,1.02,2.2,1.48,
1719446400000,1.01,2.24,1.48,
1719447000000,1.01,2.24,1.48,
1719447600000,1.01,2.21,1.47,
1719448200000,1.13,2.23,1.48,
1719448800000,1.01,2.24,1.46,
1719449400000,0.99,2.23,1.46,
1719450000000,1.12,2.09,1.45,
1719450600000,1,2.21,1.44,
1719451200000,0.99,2.06,1.46,
1719451800000,1.12,2.21,1.44,
1719452400000,1,2.18,1.43,
1719453000000,0.99,2.21,1.43,
1719453600000,1.53,2.09,1.42,
1719454200000,1,2.26,1.41,
1719454800000,1,2.04,1.41,
1719455400000,1,2.22,1.44,
1719456000000,1.01,2.21,1.41,
1719456600000,0.99,2.2,1.39,
1719457200000,0.99,2.25,5.14,
1719457800000,1.11,2.3,1.71,
1719458399000,0.97,2.24,5.33,
1719459000000,1.12,2.23,1.51,
1719459600000,1.25,2.29,1.38,
1719460200000,1.16,2.27,1.84,
1719460800000,1.29,2.19,2.92,
1719461400000,1.52,2.18,2.34,
1719462000000,1.37,2.25,2.33,
1719462600000,1.28,2.26,2.49,
1719463200000,1.29,2.4,2.03,
1719463800000,1.26,2.55,4.34,
1719464400000,1.48,2.44,1.44,
1719465000000,1.78,2.54,2.12,
1719465600000,1.8,2.53,1.47,
1719466200000,1.84,3.25,1.55,
1719466800000,1.74,2.72,1.5,
1719467400000,1.46,2.72,1.39,
1719468000000,1.38,2.36,1.33,
1719468600000,1.51,2.48,1.32,
1719469200000,1.66,2.6,1.85,
1719469800000,1.54,2.66,1.27,
1719470400000,1.54,2.66,4.32,
1719471000000,2.02,2.67,1.42,
1719471600000,2.32,2.74,2.02,
1719472200000,2.43,2.82,1.71,
1719472800000,2.46,2.81,1.56,
1719473400000,2.54,2.79,1.52,
1719474000000,2.34,4.19,4.11,
1719474600000,2.34,2.69,1.32,
1719475200000,2.42,2.73,1.22,
1719475800000,2.01,2.73,1.19,
1719476400000,2.04,2.53,1.31,
1719477000000,2.09,2.74,2.01,
1719477600000,2.06,2.72,1.38,
1719478200000,2.19,2.82,1.41,
1719478800000,2.15,2.75,1.31,
1719479400000,2.2,2.66,1.36,
1719480000000,2.09,2.59,1.33,
1719480600000,1.97,2.5,1.39,
1719481200000,1.79,2.48,1.41,
1719481800000,1.77,2.53,1.29,
1719482400000,2.03,2.48,1.3,
1719483000000,1.86,2.63,1.43,
1719483600000,3.03,3.79,2.49,
1719484200000,2.98,3.69,3.44,
1719484800000,2.79,3.67,2.94,
1719485400000,2.91,3.73,2.36,
1719486000000,3.09,3.62,2.33,
1719486600000,2.94,3.58,4.13,
1719487200000,1.83,2.46,1.11,
1719487800000,1.57,2.58,1.17,
1719488400000,1.59,2.52,1.22,
1719489000000,1.61,2.38,1.13,
1719489600000,1.49,2.14,0.79,
1719490200000,1.61,2.18,0.78,
1719490800000,1.49,2.19,0.79,
1719491400000,1.51,2.08,0.78,
1719492000000,1.64,2.91,0.78,
1719492600000,1.43,2.83,0.82,
1719493200000,1.33,2.99,0.81,
1719493800000,1.5,3.03,0.77,
1719494400000,1.39,3.05,0.78,
1719495000000,1.23,3.09,0.79,
1719495600000,1.3,3.02,1.15,
1719496200000,1.16,3,1.25,
1719496800000,1.21,2.86,1.17,
1719497400000,1.31,3.02,1.17,
1719498000000,1.1,3.04,1.21,
1719498600000,1.07,3.03,1.18,
1719499199000,1.09,3,1.17,
1719499800000,1.14,2.99,1.22,
1719500400000,1.02,3.04,1.17,
1719501000000,1.09,2.9,1.18,
1719501600000,1.15,3.03,1.17,
1719502200000,1.1,2.96,1.18,
1719502800000,1.09,2.99,1.18,
1719503400000,1.09,3.06,1.18,
1719503999000,1.09,2.99,1.17,
1719504599000,1.09,3.02,1.18,
1719505200000,1.09,2.99,1.22,
1719505800000,0.99,3,1.14,
1719506400000,0.99,3,1.13,
1719507000000,0.98,3.02,1.14,
1719507600000,0.98,3.05,1.19,
1719508200000,0.99,3.04,1.13,
1719508800000,0.99,3.06,1.13,
1719509400000,0.99,3,1.13,
1719510000000,0.99,3.02,1.14,
1719510600000,1.11,2.97,1.14,
1719511200000,0.99,3.04,1.14,
1719511800000,0.99,3.11,1.14,
1719512400000,1.11,3.02,1.13,
1719513000000,0.99,3.02,1.22,
1719513600000,0.99,3.08,1.17,
1719514200000,1.12,3.04,1.16,
1719514800000,0.99,3.03,1.16,
1719515400000,0.99,3.02,1.22,
1719516000000,1.12,2.97,1.17,
1719516600000,0.99,3.04,1.17,
1719517199000,1,3,1.16,
1719517800000,1.12,3.07,1.22,
1719518400000,1,3,1.17,
1719519000000,1,3.05,1.17,
1719519600000,1.13,3,1.17,
1719520200000,1.01,3.09,1.17,
1719520800000,1,3.14,1.17,
1719521400000,1.17,2.89,1.17,
1719522000000,1,3.06,1.17,
1719522600000,1,3.08,1.17,
1719523200000,1,3.01,1.21,
1719523800000,1,3.06,1.17,
1719524400000,1,3.12,1.16,
1719525000000,1,3.05,1.17,
1719525600000,1.13,3.01,1.23,
1719526200000,0.99,3.01,1.17,
1719526800000,1,3.04,1.17,
1719527400000,1.13,2.9,1.17,
1719528000000,1,2.98,1.17,
1719528600000,1,3.04,1.23,
1719529200000,1.12,3.1,1.17,
1719529800000,1,3.07,1.17,
1719530400000,1,3.05,1.16,
1719531000000,1,3.1,1.17,
1719531600000,1,3.03,1.22,
1719532200000,1,3.08,1.17,
1719532800000,1,2.87,1.17,
1719533400000,1.12,3.08,1.17,
1719534000000,0.99,3.02,1.17,
1719534600000,0.99,3.08,1.22,
1719535200000,1.1,3,1.16,
1719535800000,0.98,3.02,1.15,
