intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jul 25 2023|  TO Mon Jul 31 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1690223400000,1.27,1.01,0.86,
1690224000000,1.27,1.13,0.9,
1690224600000,1.28,1.04,0.85,
1690225200000,1.27,1.01,0.92,
1690225800000,1.27,1.03,0.91,
1690226400000,1.29,1.01,0.86,
1690227000000,1.28,1.01,0.86,
1690227600000,1.29,1.01,0.9,
1690228200000,1.29,0.92,0.86,
1690228800000,1.27,1.04,0.85,
1690229400000,1.28,1.04,0.91,
1690230000000,1.29,1.14,0.92,
1690230600000,1.29,0.89,0.86,
1690231200000,1.28,1.02,0.91,
1690231800000,1.3,1.14,0.87,
1690232400000,1.3,1.02,0.86,
1690233000000,1.3,0.99,0.87,
1690233600000,1.3,1.02,0.86,
1690234200000,1.29,1.02,0.91,
1690234800000,1.3,0.87,0.92,
1690235400000,1.28,1.02,0.87,
1690236000000,1.29,1.15,0.86,
1690236600000,1.28,1.02,0.86,
1690237200000,1.33,1.02,0.86,
1690237800000,1.29,1.15,0.86,
1690238400000,1.28,1.02,0.9,
1690239000000,1.29,1.02,0.93,
1690239600000,1.29,1.18,0.92,
1690240200000,1.3,1.05,0.86,
1690240800000,1.3,1.01,0.87,
1690241400000,1.29,0.99,0.87,
1690242000000,1.29,1.02,0.91,
1690242600000,1.28,1.01,0.86,
1690243200000,1.29,1.01,0.86,
1690243800000,1.27,1.13,0.92,
1690244400000,1.27,1.03,0.9,
1690245000000,1.27,1,0.87,
1690245600000,1.24,1.14,0.89,
1690246200000,1.25,0.98,0.85,
1690246800000,1.25,0.89,0.85,
1690247400000,1.26,1,0.86,
1690248000000,1.25,1.02,0.85,
1690248600000,1.25,1.01,0.9,
1690249200000,1.25,0.81,0.94,
1690249800000,1.25,0.87,0.85,
1690250400000,1.24,1.01,0.85,
1690251000000,1.25,0.93,0.86,
1690251600000,1.25,1.13,0.91,
1690252200000,1.25,0.98,0.85,
1690252800000,1.25,1.02,0.9,
1690253400000,1.26,1.14,0.9,
1690254000000,1.25,1.01,1.03,
1690254600000,1.23,1.05,1.15,
1690255200000,1.23,1.06,1.14,
1690255800000,1.24,1.09,1.92,
1690256400000,1.26,1.23,1.31,
1690257000000,1.29,1.05,1.28,
1690257600000,1.27,1.2,3.28,
1690258200000,1.42,1.35,1.36,
1690258800000,1.6,1.34,1.39,
1690259400000,1.6,2.4,2.01,
1690260000000,1.61,1.45,2.32,
1690260599000,1.86,2.02,1.6,
1690261200000,1.9,2.1,4.2,
1690261800000,1.91,1.68,1.36,
1690262400000,1.78,1.48,1.52,
1690263000000,1.75,1.56,1.39,
1690263600000,1.67,1.52,1.41,
1690264200000,2.87,1.53,2.1,
1690264800000,2.35,1.53,1.35,
1690265400000,1.76,1.42,2.11,
1690266000000,1.82,1.48,1.37,
1690266600000,1.95,1.71,1.43,
1690267200000,1.98,1.84,1.73,
1690267800000,2.01,1.65,4.16,
1690268400000,3.02,1.67,1.65,
1690269000000,1.87,1.77,1.63,
1690269599000,3,1.61,1.57,
1690270200000,3.13,1.62,1.49,
1690270800000,1.82,1.74,1.43,
1690271400000,1.73,1.56,1.68,
1690272000000,1.76,1.42,1.64,
1690272600000,1.75,1.5,1.65,
1690273200000,1.8,1.29,1.66,
1690273800000,3.06,2.48,2.86,
1690274400000,3.02,2.45,2.93,
1690275000000,2.99,2.5,2.92,
1690275600000,3.02,2.51,6.51,
1690276200000,3.11,2.47,3.64,
1690276800000,1.85,1.05,1.94,
1690277400000,2.06,2.17,2.87,
1690278000000,2.05,1.44,2.07,
1690278600000,2.09,1.84,2.02,
1690279200000,3.14,2.06,2.04,
1690279800000,4.41,2.7,3.22,
1690280400000,4.43,2.95,3.27,
1690281000000,4.51,2.81,3.25,
1690281600000,2.21,2.03,2.19,
1690282200000,3.25,1.83,1.9,
1690282800000,3.37,1.69,3.58,
1690283400000,1.97,1.38,1.52,
1690284000000,2,1.56,2.45,
1690284600000,1.96,1.28,1.54,
1690285200000,1.95,1.25,1.48,
1690285800000,1.83,1.26,1.54,
1690286400000,1.63,1.19,1.52,
1690287000000,1.64,1,2.12,
1690287600000,1.6,1.09,1.35,
1690288200000,1.62,1.12,1.37,
1690288800000,1.6,1.13,1.37,
1690289400000,1.62,1.12,1.98,
1690290000000,1.64,1.24,1.93,
1690290600000,1.59,0.93,1.18,
1690291200000,1.59,0.94,1.17,
1690291800000,1.61,1.04,1.17,
1690292400000,1.47,0.86,1.17,
1690293000000,1.33,0.89,1.13,
1690293600000,1.36,0.97,1.13,
1690294200000,1.36,0.89,1.11,
1690294800000,1.31,0.86,0.76,
1690295400000,1.37,0.94,0.81,
1690296000000,1.29,0.68,0.82,
1690296600000,1.33,0.83,0.83,
1690297200000,1.3,0.83,0.83,
1690297800000,1.34,0.81,0.82,
1690298400000,1.31,0.81,0.84,
1690299000000,1.3,0.84,0.84,
1690299600000,1.3,0.98,0.82,
1690300200000,1.27,0.75,0.84,
1690300800000,1.28,0.83,0.88,
1690301400000,1.29,0.96,0.88,
1690302000000,1.3,0.87,0.83,
1690302600000,1.3,0.81,0.84,
1690303200000,1.29,0.96,0.84,
1690303800000,1.27,0.82,1.52,
1690304400000,1.27,0.82,0.83,
1690305000000,1.28,0.82,0.84,
1690305600000,1.29,0.85,0.83,
1690306200000,1.29,0.85,0.88,
1690306800000,1.28,0.84,0.89,
1690307400000,1.28,0.82,0.84,
1690308000000,1.28,0.83,0.83,
1690308600000,1.29,0.77,0.84,
1690309200000,1.29,0.98,0.83,
1690309800000,1.28,0.83,0.83,
1690310400000,1.29,0.76,0.87,
1690311000000,1.29,0.95,0.85,
1690311600000,1.29,0.86,0.89,
1690312200000,1.3,0.83,1.34,
1690312800000,1.31,0.83,0.84,
1690313400000,1.34,0.83,0.84,
1690314000000,1.3,0.83,0.84,
1690314600000,1.28,0.8,0.86,
1690315200000,1.29,0.95,0.83,
1690315800000,1.29,0.87,0.84,
1690316400000,1.3,0.83,0.83,
1690317000000,1.3,0.96,0.9,
1690317600000,1.3,0.84,0.91,
1690318200000,1.3,0.86,0.84,
1690318800000,1.3,0.84,0.85,
1690319400000,1.3,0.83,0.86,
1690320000000,1.31,0.84,0.84,
1690320600000,1.3,0.71,0.84,
1690321200000,1.31,0.84,0.86,
1690321800000,1.29,0.73,0.87,
1690322399000,1.29,0.84,0.84,
1690323000000,1.3,0.94,1.6,
1690323600000,1.34,0.8,0.84,
1690324200000,1.3,0.84,0.83,
1690324800000,1.3,0.96,0.85,
1690325400000,1.31,0.84,0.84,
1690326000000,1.31,0.84,0.84,
1690326600000,1.31,0.87,0.83,
1690327200000,1.3,0.83,0.84,
1690327800000,1.3,0.87,0.84,
1690328400000,1.31,0.84,0.9,
1690329000000,1.28,0.83,0.9,
1690329600000,1.28,0.81,0.84,
1690330200000,1.28,0.82,0.84,
1690330800000,1.29,0.94,0.85,
1690331400000,1.29,0.82,0.85,
1690332000000,1.25,0.84,1.5,
1690332600000,1.26,0.92,0.83,
1690333200000,1.26,0.8,0.84,
1690333800000,1.26,0.8,0.89,
1690334400000,1.28,0.81,1.55,
1690335000000,1.27,0.81,0.86,
1690335600000,1.26,0.83,0.83,
1690336200000,1.26,0.8,0.83,
1690336799000,1.25,0.95,1.49,
1690337400000,1.25,0.81,0.83,
1690338000000,1.26,0.81,0.84,
1690338600000,1.27,0.94,0.84,
1690339200000,1.27,0.81,0.83,
1690339800000,1.26,0.86,1.02,
1690340400000,1.26,0.75,4.01,
1690341000000,1.25,0.85,1.09,
