intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Dec 26 2023|  TO Mon Jan 01 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1703529000000,1.02,1.33,1.08,
1703529600000,0.99,1.14,1.1,
1703530200000,1,1.18,1.14,
1703530800000,1,1.16,1.09,
1703531400000,1.01,1.33,1.09,
1703532000000,0.99,1.23,1.09,
1703532600000,0.99,1.14,1.04,
1703533200000,0.99,1.17,1.14,
1703533800000,1,1.28,1.09,
1703534400000,1,1.19,1.09,
1703535000000,1,1.24,1.09,
1703535600000,1.01,1.19,1.09,
1703536200000,1.01,1.32,1.14,
1703536800000,1,1.12,1.07,
1703537400000,1,1.17,1.06,
1703538000000,0.99,1.14,1.06,
1703538600000,1.01,1.31,1.08,
1703539200000,1,1.19,1.11,
1703539800000,1,1.17,1.04,
1703540400000,1,1.17,1.09,
1703541000000,1,1.31,1.09,
1703541600000,1,1.21,1.09,
1703542200000,1,1.21,1.14,
1703542800000,1,1.19,1.09,
1703543400000,1,1.17,1.09,
1703544000000,1.01,1.29,1.07,
1703544600000,1,1.16,1.05,
1703545200000,1,1.17,1.11,
1703545800000,1.01,1.19,1.07,
1703546400000,0.99,1.31,1.08,
1703547000000,1,1.19,1.05,
1703547600000,0.99,1.17,1.1,
1703548200000,1,1.19,1.13,
1703548800000,0.99,1.31,1.09,
1703549400000,1,1.21,1.09,
1703550000000,1.01,1.21,1.09,
1703550600000,1.01,1.23,1.09,
1703551200000,1.01,1.34,1.11,
1703551800000,1,1.16,1.05,
1703552400000,0.99,1.21,1.06,
1703553000000,1.01,1.18,1.05,
1703553600000,1,1.26,1.04,
1703554200000,1,1.19,1.09,
1703554800000,0.99,1.18,1.1,
1703555400000,0.99,1.74,1.09,
1703556000000,1,1.17,1.1,
1703556600000,1,1.16,1.09,
1703557200000,1.01,1.21,1.13,
1703557800000,1,1.33,1.09,
1703558400000,1,1.21,1.08,
1703559000000,1.01,1.2,1.05,
1703559600000,1,1.18,2.01,
1703560200000,1.01,1.22,1.38,
1703560800000,1.37,1.25,1.47,
1703561400000,1.37,1.11,2.31,
1703562000000,1.41,1.23,1.29,
1703562600000,1.41,1.37,1.31,
1703563200000,1.47,1.28,1.09,
1703563800000,1.49,1.36,1.08,
1703564400000,1.49,1.33,1.19,
1703565000000,1.65,1.4,1.26,
1703565600000,1.8,1.33,1.17,
1703566200000,1.81,1.33,3.97,
1703566800000,1.85,1.44,1.21,
1703567400000,1.89,1.58,4.19,
1703568000000,1.9,1.29,1.21,
1703568600000,1.87,1.48,1.21,
1703569200000,1.86,1.58,2.02,
1703569800000,1.8,1.48,1.32,
1703570400000,1.76,1.64,1.44,
1703571000000,1.81,1.61,4.21,
1703571600000,1.85,1.55,4.23,
1703572200000,1.74,1.45,1.32,
1703572800000,1.78,1.49,1.98,
1703573400000,1.95,1.49,1.27,
1703574000000,1.86,1.45,1.25,
1703574600000,1.81,1.46,1.34,
1703575200000,1.91,1.48,1.2,
1703575800000,1.83,1.43,1.19,
