intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Nov 28 2023|  TO Mon Dec 04 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1701109800000,1.42,1.07,1.11,
1701110400000,1.41,1.18,1.11,
1701111000000,1.41,1.04,1.15,
1701111600000,1.41,1.05,1.15,
1701112200000,1.41,1.17,1.12,
1701112800000,1.41,1.05,1.11,
1701113400000,1.41,1.05,1.11,
1701114000000,1.43,1.18,1.11,
1701114600000,1.41,1.04,1.12,
1701115199000,1.41,1.07,1.17,
1701115800000,1.41,1.05,1.22,
1701116400000,1.4,1.06,1.17,
1701117000000,1.41,1.06,1.16,
1701117600000,1.41,1.05,1.2,
1701118200000,1.41,1.2,1.13,
1701118800000,1.41,1.05,1.13,
1701119400000,1.41,1.05,1.12,
1701120000000,1.41,1.21,1.18,
1701120600000,1.42,1.06,1.11,
1701121200000,1.42,1.03,1.14,
1701121800000,1.41,1.18,1.22,
1701122400000,1.43,1.06,1.15,
1701123000000,1.41,1.11,1.17,
1701123600000,1.42,1.25,1.15,
1701124200000,1.41,1.03,1.15,
1701124800000,1.41,1.06,1.15,
1701125400000,1.22,1.07,1.13,
1701126000000,1.21,1.02,1.18,
1701126600000,1.22,1.05,1.12,
1701127200000,1.21,1.03,1.12,
1701127800000,1.2,1.13,1.14,
1701128400000,1.22,1.05,1.13,
1701129000000,1.22,1,1.13,
1701129600000,1.21,1.2,1.12,
1701130200000,1.21,1.05,1.18,
1701130800000,1.2,1.09,1.13,
1701131400000,1.21,1.14,1.12,
1701132000000,1.2,1.06,1.17,
1701132600000,1.2,1.03,1.12,
1701133200000,1.2,1.16,1.12,
1701133800000,1.2,1.06,1.12,
1701134400000,1.2,1.06,1.16,
1701135000000,1.2,1.15,1.13,
1701135600000,1.2,1.08,1.12,
1701136200000,1.21,0.94,1.17,
1701136800000,1.2,1.18,1.12,
1701137400000,1.19,1.07,1.13,
1701138000000,1.21,1.07,1.11,
1701138600000,1.21,1.42,1.11,
1701139200000,1.23,1.28,1.12,
1701139800000,1.28,1.26,1.12,
1701140400000,1.28,1.32,2.11,
1701141000000,1.25,1.4,1.52,
1701141600000,1.26,1.51,1.47,
1701142199000,1.8,1.5,4.83,
1701142800000,1.91,1.61,2.1,
1701143400000,3.14,2.77,2.54,
1701144000000,3.06,2.84,2.64,
1701144600000,3.03,3.08,5.22,
1701145200000,3.11,2.76,3.22,
1701145800000,3.17,2.78,4.46,
1701146400000,3.17,2.9,3.16,
1701147000000,3.25,2.94,2.52,
1701147600000,3.41,2.82,2.5,
1701148200000,3.4,3.38,2.49,
1701148800000,3.46,2.89,3.08,
1701149400000,3.45,3.08,2.58,
1701150000000,3.23,3.16,5.19,
1701150600000,3.3,2.98,2.47,
1701151200000,3.28,2.94,2.39,
1701151800000,3.26,2.95,2.44,
1701152400000,3.13,2.95,2.42,
1701153000000,3.14,2.97,2.42,
1701153600000,3.38,2.97,4.82,
1701154200000,3.13,2.9,4.4,
1701154800000,3.16,2.88,2.47,
1701155400000,3.4,2.91,2.45,
1701156000000,3.44,3.05,2.48,
1701156600000,3.17,2.82,5.19,
1701157199000,3.14,2.85,2.88,
1701157800000,3.42,3.12,3,
1701158400000,3.36,2.93,2.89,
1701159000000,3.17,2.86,2.9,
1701159600000,3.3,2.88,2.89,
1701160200000,1.94,1.46,1.57,
1701160800000,1.85,1.55,1.57,
1701161400000,1.91,1.66,5.1,
1701162000000,2.15,1.58,2.55,
1701162600000,2.36,1.62,1.51,
1701163200000,2.42,1.91,1.45,
1701163800000,2.4,1.78,2.1,
1701164400000,2.32,1.94,1.46,
1701165000000,2.89,2.09,1.44,
1701165600000,2.51,1.85,1.51,
1701166200000,2.76,1.87,2.02,
1701166800000,2.68,1.73,1.49,
1701167400000,2.75,1.79,1.52,
1701168000000,2.46,2.02,2.13,
1701168600000,2.33,1.88,1.5,
1701169200000,2.29,2.05,1.56,
1701169800000,2.51,1.91,1.56,
1701170400000,2.23,1.87,1.6,
1701171000000,2.2,1.87,1.5,
1701171600000,2.21,1.71,1.42,
1701172200000,2.19,1.57,1.49,
1701172800000,2.12,1.7,1.42,
1701173400000,2,1.48,1.45,
1701174000000,1.81,1.49,1.69,
1701174600000,1.78,1.49,1.31,
1701175200000,1.78,1.52,1.3,
1701175800000,1.79,1.47,1.13,
1701176400000,1.7,1.47,1.1,
1701177000000,1.55,1.59,1.15,
1701177600000,1.55,1.49,1.13,
1701178200000,1.38,1.42,1.19,
1701178800000,1.47,1.52,1.12,
1701179400000,1.48,1.4,1.1,
1701180000000,1.31,1.33,1.14,
1701180600000,1.31,1.45,1.09,
1701181200000,1.31,1.31,1.09,
1701181800000,1.28,1.34,1.09,
1701182400000,1.29,1.46,1.1,
1701183000000,1.42,1.38,1.15,
1701183600000,1.41,1.36,1.1,
1701184200000,1.47,1.29,1.12,
1701184800000,1.42,1.33,1.17,
1701185400000,1.41,1.22,1.11,
1701186000000,1.32,1.33,1.13,
1701186600000,1.31,1.22,1.17,
1701187200000,1.39,1.36,1.11,
1701187800000,1.29,1.3,1.12,
1701188400000,1.29,1.54,1.12,
1701189000000,1.34,1.42,1.11,
1701189600000,1.34,1.42,1.17,
1701190200000,1.36,1.54,1.12,
1701190800000,1.34,1.42,1.12,
1701191400000,1.35,1.42,1.18,
1701191999000,1.36,1.44,1.11,
1701192600000,1.3,1.39,1.11,
1701193200000,1.3,1.42,1.15,
1701193800000,1.33,1.54,1.1,
1701194400000,1.31,1.43,1.11,
1701195000000,1.24,1.43,1.12,
1701195600000,1.21,1.42,1.07,
1701196200000,1.21,1.46,1.08,
1701196800000,1.17,1.46,1.12,
1701197400000,1.21,1.22,1.11,
1701198000000,1.12,1.46,1.08,
1701198600000,1.12,1.3,1.07,
1701199200000,1.12,1.31,1.07,
1701199800000,1.12,1.36,1.07,
1701200400000,1.13,1.26,1.08,
1701201000000,1.12,1.27,1.08,
1701201600000,1.12,1.41,1.07,
1701202200000,1.14,1.31,1.07,
1701202800000,1.12,1.26,1.07,
1701203399000,1.13,1.42,1.13,
1701204000000,1.12,1.22,1.07,
1701204600000,1.13,1.04,1.2,
1701205200000,1.13,1.27,1.25,
1701205800000,1.12,1.19,1.2,
1701206400000,1.12,1.14,1.19,
1701207000000,1.14,1.21,1.21,
1701207600000,1.13,1.14,1.14,
1701208200000,1.12,1.14,1.13,
1701208800000,1.12,1.19,1.18,
1701209400000,1.13,1.26,1.12,
1701210000000,1.13,1.17,1.13,
1701210600000,1.13,1.16,1.11,
1701211200000,1.13,1.29,1.12,
1701211800000,1.12,1.21,1.13,
1701212399000,1.09,1.21,1.04,
1701213000000,1.07,1.26,1.04,
1701213600000,1.04,1.16,1.04,
1701214200000,1.04,1.19,1.04,
1701214800000,1.04,1.29,1.04,
1701215400000,1.05,1.16,1.04,
1701216000000,1.04,1.14,1.04,
1701216600000,1.04,1.27,1.05,
1701217200000,1.03,1.18,1.04,
1701217800000,1.03,1.15,1.03,
1701218400000,1.03,1.07,1.08,
1701219000000,1.03,1.06,1.04,
1701219600000,1.02,1.22,1.04,
1701220200000,1.02,1.28,1.09,
1701220800000,1.03,1.4,1.04,
1701221400000,1.03,1.28,1.04,
1701222000000,1.03,1.28,1.09,
1701222600000,1.02,1.39,1.05,
1701223200000,1.04,1.31,1.03,
1701223800000,1.03,1.28,1.1,
1701224400000,1.03,1.31,1.05,
1701225000000,1.03,1.32,1.04,
1701225600000,1.03,1.28,1.09,
1701226200000,1.04,1.29,1.04,
1701226800000,1.01,1.33,1.38,
1701227400000,1.09,1.37,2.18,
1701228000000,1.08,1.52,1.07,
1701228600000,1.09,1.62,1.05,
1701229200000,1.09,1.44,1.11,
1701229800000,1.17,1.46,1.1,
1701230400000,1.67,1.63,1.09,
1701231000000,1.71,1.54,1.1,
1701231600000,1.52,1.4,1.08,
1701232200000,1.47,1.79,1.02,
1701232800000,1.46,1.66,1.81,
1701233400000,1.75,1.65,1.13,
1701234000000,1.84,1.82,1.1,
1701234600000,2.15,1.75,4,
1701235200000,2.12,1.73,1.11,
1701235800000,2.1,1.82,1.77,
1701236400000,2.07,1.64,1.41,
1701237000000,2.11,1.61,1.23,
1701237600000,2,1.75,1.84,
1701238200000,2.07,1.54,4.2,
1701238800000,2.14,1.63,4.13,
1701239400000,2.05,1.58,1.31,
1701240000000,2.01,1.51,1.35,
1701240600000,2.06,1.61,1.71,
1701241200000,2.12,1.65,2.33,
1701241800000,1.99,1.63,1.57,
1701242400000,1.88,1.64,3.41,
1701243000000,2.09,1.78,1.8,
1701243599000,1.8,1.79,1.62,
1701244200000,1.73,1.64,1.72,
1701244800000,1.71,1.71,4.13,
1701245400000,1.89,1.8,1.32,
1701246000000,1.81,1.7,1.32,
1701246600000,1.72,1.64,1.29,
1701247200000,1.87,1.79,1.18,
1701247800000,1.89,1.73,1.25,
1701248400000,1.84,1.78,1.19,
1701249000000,1.87,1.86,1.14,
1701249600000,1.88,1.71,3.95,
1701250200000,2.1,1.6,1.2,
1701250800000,1.96,1.82,1.24,
1701251400000,2.2,1.83,1.47,
1701252000000,1.86,1.77,2.07,
1701252600000,1.81,1.84,4.24,
1701253200000,2,1.78,1.17,
1701253800000,1.92,1.8,1.16,
1701254400000,1.85,1.69,1.09,
1701255000000,1.69,1.63,1.26,
1701255600000,1.75,1.71,1.66,
1701256200000,2.11,1.66,1.69,
1701256800000,2.01,1.72,4.42,
1701257400000,1.97,1.55,1.65,
1701258000000,2.03,1.66,1.69,
1701258600000,1.89,1.7,1.62,
1701259200000,1.84,1.64,1.61,
1701259800000,1.54,1.48,1.49,
1701260400000,1.4,1.55,1.16,
1701261000000,1.41,1.39,1.17,
1701261600000,1.4,1.28,1.24,
1701262200000,1.43,1.63,1.49,
1701262800000,1.34,1.46,1.41,
1701263400000,1.3,1.38,1.07,
1701264000000,1.3,1.62,1.05,
1701264600000,1.31,1.34,1.08,
1701265200000,1.17,1.25,1.06,
1701265800000,1.17,1.23,1.02,
1701266400000,1.18,1.24,1.01,
1701267000000,1.14,1.26,1.05,
1701267600000,1.14,1.11,1.04,
1701268200000,1.14,1.24,1.04,
1701268800000,1.13,1.22,1.11,
1701269400000,1.15,1.29,1.05,
1701270000000,1.15,1.22,1.05,
1701270600000,1.11,1.28,1.1,
1701271200000,1.1,1.21,1,
1701271800000,1.11,1.24,1,
1701272400000,1.1,1.26,0.99,
1701273000000,1.1,1.22,1,
1701273600000,1.1,1.35,1.02,
1701274200000,1.1,1.26,1.01,
1701274800000,1.12,1.21,1.01,
1701275400000,1.1,1.38,1,
