intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Oct 31 2023|  TO Mon Nov 06 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1698690600000,0.98,0.6,1.07,
1698691200000,0.98,0.6,1.02,
1698691800000,0.98,0.63,1.06,
1698692400000,0.98,0.61,1.01,
1698693000000,0.98,0.63,1.11,
1698693600000,0.98,0.59,1.06,
1698694200000,0.98,0.74,1.1,
1698694800000,0.98,0.6,1.07,
1698695400000,0.98,0.63,1.1,
1698696000000,0.98,0.7,1.06,
1698696600000,0.98,0.6,1.06,
1698697200000,0.98,0.61,1.02,
1698697800000,0.97,0.7,1.06,
1698698400000,0.97,0.58,1.02,
1698699000000,0.99,0.6,1.07,
1698699600000,0.98,0.71,1.02,
1698700200000,1,0.63,1.11,
1698700800000,0.98,0.58,1.07,
1698701400000,0.98,0.73,1.1,
1698702000000,0.98,0.61,1.06,
1698702600000,0.97,0.6,1.12,
1698703200000,0.98,0.58,1.06,
1698703800000,0.98,0.58,1.07,
1698704400000,0.99,0.64,1.01,
1698705000000,0.99,0.58,1.06,
1698705600000,0.98,0.58,1.02,
1698706200000,0.99,0.71,1.06,
1698706800000,0.99,0.61,1.02,
1698707400000,0.98,0.61,1.11,
1698708000000,0.98,0.74,1.08,
1698708600000,0.98,0.6,1.11,
1698709200000,0.98,0.61,1.06,
1698709800000,0.99,0.72,1.11,
1698710400000,1.02,0.58,1.08,
1698711000000,0.98,0.63,1.07,
1698711600000,0.98,0.72,1.02,
1698712200000,0.97,0.62,1.06,
1698712800000,0.97,0.6,1.02,
1698713400000,0.97,0.72,1.06,
1698714000000,0.98,0.62,1.05,
1698714600000,0.98,0.62,1.13,
1698715200000,0.98,0.71,1.09,
1698715800000,1,0.6,1.15,
1698716400000,0.97,0.6,1.08,
1698717000000,0.97,0.57,1.06,
1698717600000,0.98,0.62,1.06,
1698718200000,0.98,0.57,1.02,
1698718800000,0.97,0.6,1.03,
1698719400000,0.97,0.6,1.02,
1698720000000,0.96,0.59,1.02,
1698720600000,0.98,0.6,1.02,
1698721200000,0.98,0.65,4.81,
1698721800000,0.96,0.65,1.36,
1698722400000,1.01,0.65,1.19,
1698723000000,1.43,0.69,1.15,
1698723600000,1.41,0.69,1.28,
1698724200000,1.51,0.66,1.36,
1698724800000,1.49,0.85,1.28,
1698725400000,1.48,0.95,2.37,
1698726000000,3.97,3.48,3.76,
1698726600000,4.07,3.54,3.79,
1698727200000,4.22,3.56,3.94,
1698727800000,4.39,3.71,4.3,
1698728400000,4.59,3.65,4.33,
1698729000000,4.66,3.87,4.4,
1698729600000,4.56,3.97,5.12,
1698730200000,4.7,3.98,4.59,
1698730800000,4.6,3.96,4.48,
1698731400000,4.53,4,4.53,
1698732000000,4.66,3.88,4.49,
1698732600000,3.25,2.59,3.64,
1698733200000,3.22,2.65,2.92,
1698733800000,3.18,2.57,3.09,
1698734400000,3.15,2.6,3.66,
1698735000000,3.13,2.62,2.94,
1698735600000,3.1,2.71,2.96,
1698736200000,3.08,2.67,2.72,
1698736800000,3.2,2.94,2.61,
1698737400000,3.16,2.7,2.61,
1698738000000,3.18,2.67,2.65,
1698738600000,3.04,2.75,2.67,
1698739200000,3.04,2.68,3.03,
1698739800000,2.88,2.55,3.19,
1698740400000,2.88,2.64,3.73,
1698741000000,2.65,2.51,3.83,
1698741600000,2.72,2.49,3.17,
1698742200000,2.68,2.55,3.15,
1698742799000,3.02,2.66,4.06,
1698743400000,3.03,2.58,2.87,
1698744000000,3.09,2.74,2.97,
1698744600000,4.26,3.77,4.21,
1698745200000,4.3,3.8,4.25,
1698745800000,4.15,3.85,4.26,
1698746400000,2.93,2.49,3.05,
1698747000000,3.14,2.53,3.93,
1698747600000,3.09,2.64,4.24,
1698748200000,3.08,2.62,3.61,
1698748800000,3.21,2.65,5.88,
1698749400000,3.33,2.66,3.08,
1698750000000,3.2,2.57,3.93,
1698750600000,3.21,2.62,4.31,
1698751200000,3.18,2.7,3.85,
1698751800000,3.24,2.6,3.35,
1698752400000,3.08,2.48,3.1,
1698753000000,3.07,2.66,3.47,
1698753600000,2.87,2.49,3.39,
1698754200000,2.74,2.49,3.35,
1698754800000,2.71,2.58,3.35,
1698755400000,2.69,2.39,3.32,
1698756000000,2.69,2.32,3.12,
1698756600000,2.67,2.38,2.85,
1698757200000,2.45,2.3,2.74,
1698757800000,2.45,2.28,2.85,
1698758400000,2.53,2.32,2.75,
1698759000000,2.56,2.25,2.8,
1698759600000,2.38,2.25,2.79,
1698760200000,2.37,2.23,2.89,
1698760800000,2.54,2.23,2.91,
1698761400000,2.53,2.23,2.52,
1698762000000,2.48,2.28,2.5,
1698762600000,2.48,2.34,2.38,
1698763200000,2.37,2.2,2.36,
1698763800000,2.37,2.22,2.4,
1698764400000,2.37,2.14,2.44,
1698765000000,2.37,2.18,2.38,
1698765599000,2.36,2.09,2.41,
1698766200000,2.37,2.19,2.38,
1698766800000,2.36,2.06,2.42,
1698767400000,2.37,2.17,2.24,
1698768000000,2.31,2.15,2.24,
1698768600000,2.29,2.02,2.24,
1698769200000,2.31,2.05,2.23,
1698769800000,2.29,2.21,2.23,
1698770400000,2.29,2.04,2.23,
1698771000000,2.28,2.06,2.25,
1698771600000,2.29,2.15,2.23,
1698772200000,2.29,2.06,2.31,
1698772800000,2.28,2.03,2.25,
1698773400000,2.28,2.15,2.31,
1698774000000,2.28,2.02,2.27,
1698774600000,2.28,2.03,2.26,
1698775200000,2.29,2.14,2.27,
1698775800000,2.29,2.05,2.22,
1698776400000,2.29,2.02,2.27,
1698777000000,2.31,2.18,2.24,
1698777600000,2.28,2.02,2.26,
1698778200000,2.28,2.03,2.22,
1698778800000,2.3,2.15,2.27,
1698779400000,2.28,2.03,2.26,
1698780000000,2.3,2.04,2.27,
1698780600000,2.3,2.02,2.27,
1698781200000,2.3,2.02,2.28,
1698781800000,2.3,2.02,2.31,
1698782400000,2.29,2.04,2.27,
1698783000000,2.3,2.06,2.27,
1698783600000,2.3,2.04,2.22,
1698784200000,2.3,2.03,2.29,
1698784800000,2.3,2.04,2.23,
1698785400000,2.3,2.04,2.24,
1698786000000,2.31,2.05,2.23,
1698786600000,2.3,2.13,2.27,
1698787200000,2.29,2.06,2.32,
1698787800000,2.3,2.05,2.28,
1698788400000,2.31,2.18,2.32,
1698789000000,2.32,2.04,2.27,
1698789600000,2.32,2.05,2.28,
1698790200000,2.31,2.14,2.23,
1698790800000,2.31,2.02,2.23,
1698791400000,2.31,2.04,2.29,
1698792000000,2.29,2.2,2.24,
1698792600000,2.3,2.05,2.27,
1698793200000,2.31,2.07,2.23,
1698793800000,2.3,2.16,2.27,
1698794400000,2.3,2.04,2.27,
1698795000000,2.32,2.1,2.31,
1698795600000,2.29,2.05,2.29,
1698796200000,2.31,2.05,2.28,
1698796800000,2.31,2.04,2.33,
1698797400000,2.29,2.03,2.23,
1698798000000,2.27,2.05,2.29,
1698798600000,2.28,2.05,2.23,
1698799200000,2.27,2.01,2.24,
1698799800000,2.26,2.12,2.23,
1698800400000,2.27,2.01,2.23,
1698801000000,2.27,2.02,2.31,
1698801600000,2.27,2.14,2.27,
1698802200000,2.28,2.03,2.32,
1698802800000,2.27,2.05,2.26,
1698803400000,2.28,2.13,2.27,
1698804000000,2.28,2.03,2.26,
1698804600000,2.27,2.04,2.22,
1698805200000,2.27,2.13,2.29,
1698805800000,2.27,2.02,2.25,
1698806400000,2.27,2.02,2.3,
1698807000000,2.28,2.03,2.26,
1698807600000,2.28,2.02,2.27,
1698808200000,2.29,2.03,2.26,
1698808800000,2.25,2.02,2.24,
1698809400000,2.26,2.13,2.25,
1698810000000,2.27,2.03,2.21,
1698810600000,2.26,2.03,2.26,
1698811200000,2.35,2.13,1.92,
1698811800000,2.37,2.01,1.92,
1698812400000,2.39,2.02,1.92,
1698813000000,3.64,3.31,3.28,
1698813600000,3.54,3.25,3.31,
1698814200000,3.56,3.21,3.28,
1698814800000,3.71,3.35,3.4,
1698815400000,3.79,3.27,3.4,
1698816000000,3.8,3.38,3.43,
1698816600000,3.79,3.36,3.4,
1698817199000,2.41,2.18,2.12,
1698817800000,2.44,2.24,2.17,
1698818400000,2.55,2.28,2.19,
1698819000000,2.45,2.25,2.28,
1698819600000,2.66,2.23,2.18,
1698820200000,2.76,2.24,2.2,
1698820800000,2.75,2.21,2.24,
1698821400000,2.89,2.24,2.17,
1698822000000,2.71,2.11,2.2,
1698822600000,1.51,0.96,0.87,
1698823200000,1.46,0.99,0.95,
1698823800000,1.52,0.94,0.95,
1698824400000,1.32,1.08,0.9,
1698825000000,1.16,0.9,0.94,
1698825600000,1.17,0.89,0.89,
1698826200000,1.17,0.99,0.92,
1698826800000,1.19,1.01,0.87,
1698827400000,1.14,0.94,0.86,
1698828000000,1.13,0.97,0.86,
1698828600000,1.14,0.98,0.85,
1698829200000,2.51,2.08,3.97,
1698829800000,2.42,2.26,3.94,
1698830400000,1.43,1.02,2.4,
1698831000000,1.42,0.97,0.85,
1698831600000,2.7,2.4,2.21,
1698832200000,2.66,2.26,2.15,
1698832800000,2.63,2.24,2.15,
1698833400000,2.62,2.41,2.18,
1698834000000,2.47,2.2,2.13,
1698834600000,2.56,2.25,2.14,
1698835200000,2.55,2.37,2.18,
1698835800000,2.55,2.23,2.22,
1698836400000,1.39,0.98,0.88,
1698837000000,1.4,1.04,0.82,
1698837600000,1.36,0.93,0.85,
1698838200000,1.36,0.88,0.77,
1698838800000,1.39,0.99,0.83,
1698839400000,1.41,0.84,0.79,
1698840000000,1.2,0.81,0.76,
1698840600000,1.13,0.96,0.85,
1698841200000,1.26,0.86,0.8,
1698841800000,1.33,0.86,0.84,
1698842400000,1.11,0.93,0.77,
1698843000000,1.04,0.79,0.76,
1698843600000,1.05,0.81,0.75,
1698844200000,1.05,0.89,0.73,
1698844800000,1.04,0.77,0.73,
1698845400000,1.12,0.78,0.71,
1698846000000,1.04,0.92,0.73,
1698846600000,1.1,0.8,0.73,
1698847200000,1.11,0.8,0.64,
1698847800000,1.04,0.87,0.66,
1698848400000,1.04,0.78,0.97,
1698849000000,1,0.77,1,
1698849600000,1,0.91,0.93,
1698850200000,1.01,0.75,0.92,
1698850800000,1.08,0.78,0.92,
1698851400000,1.08,0.77,0.92,
1698852000000,1.07,0.79,0.96,
1698852600000,1.1,0.79,0.88,
1698853200000,1.07,0.79,0.92,
1698853800000,1,0.8,0.88,
1698854400000,1,0.79,0.88,
1698855000000,1.01,0.76,0.88,
1698855600000,1.01,0.78,0.88,
1698856200000,1.13,0.75,0.95,
1698856800000,1.12,0.77,0.93,
1698857400000,1.11,0.88,0.92,
1698858000000,1.15,0.91,0.89,
1698858600000,1.13,0.91,0.93,
1698859200000,1.13,0.91,0.96,
1698859800000,1.09,0.93,0.93,
1698860400000,1.07,0.9,0.98,
1698861000000,1.01,0.91,0.93,
1698861600000,1.01,0.9,0.93,
1698862200000,1.02,0.91,0.93,
1698862800000,1.01,0.89,0.93,
1698863400000,1,0.94,0.94,
1698864000000,1.08,0.91,0.89,
1698864600000,1.06,0.91,0.94,
1698865200000,1.08,0.91,0.88,
1698865800000,1.08,0.89,0.92,
1698866400000,1.09,0.89,0.97,
1698867000000,1.09,0.94,0.93,
1698867600000,1.11,0.92,0.98,
1698868200000,1.01,0.91,0.95,
1698868800000,1.02,0.91,0.94,
1698869400000,1.01,0.7,0.91,
1698870000000,1.02,0.68,0.94,
1698870600000,1.02,0.7,0.98,
1698871200000,1.01,0.7,0.94,
1698871800000,1.01,0.68,1,
1698872400000,1.02,0.68,0.94,
1698873000000,1.01,0.68,0.95,
1698873600000,1.03,0.73,0.95,
1698874200000,1.02,0.7,0.96,
1698874800000,1.03,0.7,0.99,
1698875400000,1.02,0.68,0.95,
1698876000000,1.02,0.71,0.96,
1698876600000,1.01,0.7,0.9,
1698877200000,1.02,0.73,0.91,
1698877800000,1.01,0.71,0.97,
1698878400000,1.02,0.7,0.9,
1698879000000,1,0.7,0.95,
1698879600000,1.02,0.7,0.91,
1698880200000,1.01,0.68,0.95,
1698880800000,1.01,0.82,0.99,
1698881400000,1.01,0.7,0.95,
1698882000000,1.02,0.7,1,
1698882600000,1.02,0.85,0.95,
1698883200000,1.02,0.7,0.94,
1698883800000,1.02,0.68,0.91,
1698884400000,1,0.83,0.91,
1698884999000,1.01,0.69,0.96,
1698885600000,1.01,0.69,0.93,
1698886200000,1,0.82,0.91,
1698886800000,1.01,0.69,0.9,
1698887400000,1.01,0.69,0.95,
1698888000000,1.02,0.82,0.99,
1698888600000,1.02,0.71,0.95,
1698889200000,1.01,0.7,1,
1698889800000,1.01,0.81,0.95,
1698890400000,1.01,0.69,0.95,
1698891000000,1.01,0.67,0.95,
1698891600000,1.02,0.82,0.95,
1698892200000,0.99,0.69,0.99,
1698892800000,1,0.67,0.95,
1698893400000,1.01,0.82,0.95,
1698894000000,1,0.75,4.09,
1698894600000,0.97,0.74,1.24,
1698895200000,1.05,0.85,0.86,
1698895800000,1.04,0.86,0.91,
1698896400000,1.44,0.94,1.83,
1698897000000,1.46,1.09,1.2,
1698897600000,1.62,0.89,1.18,
1698898200000,1.62,0.92,1.85,
1698898800000,1.54,1.14,1.79,
1698899400000,1.65,1.04,1.18,
1698900000000,2.94,2.38,5.35,
1698900600000,3.16,2.52,3.7,
1698901200000,3.16,2.38,2.5,
1698901800000,3.26,2.49,2.58,
1698902400000,3.3,2.6,2.92,
1698903000000,3.29,2.5,3.04,
1698903600000,3.07,2.45,3.1,
1698904200000,3.05,2.57,3.15,
1698904800000,3.23,2.54,4.05,
1698905400000,3.37,2.55,3.06,
1698906000000,3.47,2.64,3.26,
1698906600000,3.44,2.74,3.24,
1698907200000,3.54,2.79,3.27,
1698907800000,3.53,2.73,3.24,
1698908400000,3.52,2.58,3.65,
1698909000000,3.3,2.68,2.93,
1698909600000,3.13,2.69,2.91,
1698910200000,3.15,2.56,2.85,
1698910800000,3.02,2.54,2.88,
1698911400000,3.03,2.44,2.86,
1698912000000,3.03,2.62,3.26,
1698912600000,2.78,2.39,3.01,
1698913200000,2.76,2.33,2.91,
1698913800000,2.78,2.47,2.97,
1698914400000,4.14,3.57,4.09,
1698915000000,3.92,3.75,4.22,
1698915600000,3.84,3.9,4.27,
1698916200000,3.86,3.78,4.15,
1698916800000,4.03,3.94,4.91,
1698917400000,4.03,3.93,4.47,
1698917999000,4.2,3.63,4.57,
1698918600000,4.32,3.69,4.64,
1698919200000,4.44,3.83,5.72,
1698919800000,4.48,3.77,4.43,
1698920400000,4.55,3.69,4.51,
1698921000000,3.41,2.72,3.36,
1698921600000,3.38,2.66,3.3,
1698922200000,3.48,2.58,3.96,
1698922800000,3.34,2.65,3.44,
1698923400000,3.49,2.59,4.67,
1698924000000,3.28,2.53,4.05,
1698924600000,3.09,2.51,3.29,
1698925200000,2.93,2.51,6.4,
1698925800000,2.88,2.46,3.38,
1698926400000,2.79,2.58,2.82,
1698927000000,2.66,2.4,2.7,
1698927600000,2.71,2.37,2.72,
1698928200000,2.71,2.46,2.62,
1698928800000,2.67,2.35,2.76,
1698929400000,2.67,2.33,2.8,
1698930000000,2.73,2.43,2.86,
1698930600000,2.67,2.28,2.76,
1698931200000,2.66,2.24,2.84,
1698931800000,2.69,2.36,2.76,
1698932400000,2.49,2.2,2.82,
1698933000000,2.51,2.18,2.79,
1698933600000,2.49,2.31,2.77,
1698934200000,2.42,2,2.44,
1698934800000,2.25,2.02,2.45,
1698935400000,2.3,1.99,2.51,
1698936000000,2.25,2.02,2.42,
1698936600000,2.24,1.97,2.45,
1698937200000,2.26,2,2.4,
1698937800000,2.25,2,2.45,
1698938400000,2.32,2.02,2.41,
1698939000000,2.33,2.01,2.37,
1698939600000,2.31,2,2.37,
1698940200000,2.31,2,2.4,
1698940800000,2.32,2,2.39,
1698941400000,2.33,2,2.37,
1698942000000,2.32,1.98,2.44,
1698942600000,2.34,2.01,2.41,
1698943200000,2.33,2.12,2.43,
1698943800000,2.33,2.01,2.39,
