intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Sep 05 2023|  TO Mon Sep 11 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1693852200000,1.01,0.85,1.16,
1693852707000,1.01,0.84,1.16,
1693852800000,1.01,0.86,1.15,
1693853400000,1.01,0.87,1.16,
1693853939000,1.01,0.81,1.16,
1693854000000,1.01,0.85,1.15,
1693854600000,1,0.82,1.12,
1693855200000,1.01,0.82,1.16,
1693855799000,1.02,0.82,1.17,
1693855800000,1.02,0.82,1.15,
1693856400000,1.02,0.82,1.12,
1693857000000,1.03,0.84,1.12,
1693857600000,1.01,0.81,1.1,
1693858199000,1.01,0.7,1.15,
1693858200000,1.01,0.79,1.15,
1693858800000,1,0.81,1.17,
1693859400000,1.01,0.82,1.15,
1693860000000,1.01,0.88,1.15,
1693860600000,1.01,0.85,1.15,
1693861200000,1,0.82,1.23,
1693861800000,1.01,0.85,1.16,
1693862400000,1.01,0.85,1.11,
1693863000000,1.02,0.68,1.11,
1693863600000,1.03,0.83,1.11,
1693864200000,1.02,0.79,1.11,
1693864800000,1.02,0.83,1.1,
1693865400000,1.02,0.82,1.15,
1693865999000,1.01,0.76,1.17,
1693866000000,1.01,0.62,1.16,
1693866600000,1.02,0.83,1.16,
1693867199000,1.02,0.86,1.21,
1693867200000,1.03,0.85,1.21,
1693867800000,1.02,0.85,1.21,
1693868400000,1.01,0.85,1.16,
1693869000000,1.01,0.82,1.12,
1693869600000,1.01,0.83,1.12,
1693870142000,1.02,0.82,1.13,
1693870200000,1.03,0.82,1.11,
1693870800000,1.03,0.86,1.11,
1693871398000,1.02,0.82,1.13,
1693871399000,1.01,0.79,1.11,
1693872000000,1.01,0.85,1.11,
1693872600000,1.01,0.85,1.17,
1693873199000,0.99,0.88,1.15,
1693873200000,0.99,0.84,1.15,
1693873800000,1,0.68,1.21,
1693874400000,1.01,0.7,1.21,
1693875000000,1,0.83,1.22,
1693875600000,1,0.84,1.15,
1693876200000,1,0.76,1.11,
1693876767000,1,0.83,1.09,
1693876800000,1,0.86,1.1,
1693877400000,1.01,0.87,1.11,
1693878000000,1.01,0.83,1.11,
1693878600000,1.01,0.85,1.12,
1693879199000,1,0.73,1.11,
1693879200000,1,0.81,1.11,
1693879800000,1.11,0.79,1.2,
1693880400000,1.12,0.72,1.2,
1693880891000,1.13,0.83,1.15,
1693881000000,1.03,0.84,1.15,
1693881600000,1.02,0.82,1.17,
1693882200000,1.02,0.83,1.15,
1693882800000,1,0.86,4.3,
1693883400000,1.01,0.86,1.35,
1693884000000,1.2,0.89,1.33,
1693884600000,1.22,0.93,2.11,
1693885200000,1.39,0.82,5.03,
1693885775000,1.39,1.01,1.99,
1693885800000,1.39,0.86,2.01,
1693886400000,1.43,0.96,1.33,
1693886999000,1.42,1.1,1.31,
1693887000000,1.42,1.09,1.3,
1693887600000,1.7,1.19,1.25,
1693888200000,1.78,1.2,1.62,
1693888800000,1.85,1.14,3.09,
1693889399000,1.83,1.29,1.4,
1693889400000,1.85,1.29,1.42,
1693890000000,1.86,1.32,1.37,
1693890600000,1.88,1.32,1.27,
1693891200000,1.89,1.34,1.45,
1693891800000,1.82,1.47,1.29,
1693892400000,1.76,1.46,1.24,
1693893000000,2.14,1.46,1.22,
1693893599000,2.26,1.57,1.34,
1693894200000,1.9,1.44,1.29,
1693894800000,1.8,1.46,2.81,
1693895400000,1.84,1.41,1.68,
1693896000000,1.75,1.33,1.79,
1693896600000,2.88,2.45,2.99,
1693897200000,2.72,2.41,3.27,
1693897800000,2.76,2.41,3.54,
1693898400000,2.64,2.29,2.92,
1693899000000,2.73,2.43,2.91,
1693899598000,1.65,1.22,1.64,
1693899599000,1.64,1.22,1.65,
1693900200000,1.51,1.12,1.63,
1693900800000,1.66,1.21,1.42,
1693901400000,1.66,1.16,1.41,
1693902000000,1.6,1.24,1.21,
1693902599000,1.39,1.35,1.2,
1693902600000,1.4,1.34,1.2,
1693903200000,1.52,1.21,1.24,
1693903800000,1.53,1.18,1.16,
1693904400000,1.54,1.15,1.64,
1693904999000,1.53,1.07,3.06,
1693905000000,1.53,1.07,1.18,
