intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue May 07 2024|  TO Mon May 13 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1715020200000,1.4,3.28,1.18,
1715020800000,1.36,3.29,1.12,
1715021400000,1.48,3.15,1.14,
1715022000000,1.35,3.12,1.13,
1715022600000,1.46,3.24,1.13,
1715023200000,1.45,3.33,1.12,
1715023800000,1.34,3.07,1.12,
1715024400000,1.46,3.27,1.12,
1715025000000,1.36,3.26,1.17,
1715025600000,1.31,3.04,1.17,
1715026200000,1.48,3.33,1.17,
1715026800000,1.35,3.16,1.12,
1715027400000,1.36,3.29,1.12,
1715028000000,1.5,3.01,1.11,
1715028600000,1.17,3.26,1.09,
1715029200000,1.16,3.17,1.08,
1715029800000,1.29,3.25,1.1,
1715030400000,1.18,3.13,1.08,
1715031000000,1.29,3.01,1.13,
1715031600000,1.3,3.02,1.12,
1715032200000,1.17,3.24,1.13,
1715032800000,1.3,3.1,1.1,
1715033400000,1.29,3.13,1.1,
1715034000000,1.16,3.27,1.08,
1715034600000,1.3,3.02,1.09,
1715035200000,1.17,3.16,1.08,
1715035800000,1.16,3.19,1.07,
1715036400000,1.29,3.27,1.08,
1715037000000,1.29,3.03,1.14,
1715037600000,1.16,3.25,1.13,
1715038200000,1.29,3.22,1.08,
1715038800000,1.16,3.26,1.08,
1715039400000,1.16,3.31,1.07,
1715040000000,1.28,3.3,1.08,
1715040600000,1.29,3.27,1.08,
1715041200000,1.17,3.18,1.08,
1715041800000,1.17,3.22,1.14,
1715042400000,1.3,3.26,1.11,
1715043000000,1.18,3.13,1.18,
1715043600000,1.3,3.18,1.17,
1715044200000,1.16,3.14,1.11,
1715044800000,1.15,3.23,1.1,
1715045400000,1.29,3.22,1.12,
1715046000000,1.17,3.15,1.12,
1715046600000,1.3,3.16,1.1,
1715047200000,1.18,3.25,1.1,
1715047800000,1.16,2.94,1.1,
1715048400000,1.29,2.85,1.11,
1715049000000,1.18,2.68,1.18,
1715049600000,1.74,2.56,1.15,
1715050200000,1.18,2.6,1.1,
1715050800000,1.41,2.36,1.11,
1715051400000,1.58,2.65,2.09,
1715052000000,1.42,2.43,1.42,
1715052600000,1.39,2.18,1.14,
1715053200000,1.39,2.28,1.33,
1715053800000,1.41,2.23,1.43,
1715054400000,1.86,2.25,1.42,
1715055000000,1.98,2.28,3.17,
1715055600000,2.13,2.65,2.14,
1715056200000,2.27,2.75,2.2,
1715056800000,2.26,2.69,4.24,
1715057400000,3.68,3.77,3.74,
1715058000000,3.61,3.86,2.87,
1715058600000,3.71,3.71,2.84,
1715059200000,3.85,3.66,2.98,
1715059800000,3.89,3.82,2.94,
1715060400000,2.63,2.78,2.43,
1715061000000,2.44,2.51,4.48,
1715061600000,2.54,2.7,1.94,
1715062200000,2.56,2.67,1.85,
1715062800000,2.53,4.26,2.54,
1715063400000,2.58,2.47,1.88,
1715064000000,2.81,2.54,1.88,
1715064600000,2.48,2.44,1.84,
1715065200000,2.56,2.35,1.88,
1715065800000,2.79,2.47,1.88,
1715066400000,2.3,2.57,4.47,
1715067000000,2.25,2.36,1.69,
1715067600000,2.49,2.44,2.4,
1715068200000,2.26,2.44,1.88,
1715068800000,2.07,2.41,1.69,
1715069400000,2,2.53,4.61,
1715070000000,1.99,2.45,1.56,
1715070600000,2.02,2.41,1.68,
1715071200000,2.36,2.47,1.87,
1715071800000,3.43,3.97,3.15,
1715072400000,3.59,3.81,3.1,
1715073000000,3.56,3.82,3.27,
1715073600000,3.45,3.64,3.25,
1715074200000,3.72,3.77,3.34,
