intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Sep 12 2023|  TO Mon Sep 18 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1694457000000,1.15,0.63,1.25,
1694457600000,1.17,0.74,1.31,
1694458200000,1.17,0.77,1.3,
1694458800000,1.17,0.8,1.26,
1694459400000,1.18,0.77,1.22,
1694460000000,1.18,0.77,1.22,
1694460600000,1.18,0.78,1.21,
1694461200000,1.18,0.75,1.22,
1694461800000,1.18,0.75,1.21,
1694462400000,1.18,0.78,1.21,
1694463000000,1.18,0.78,1.26,
1694463600000,1.17,0.67,1.31,
1694464200000,1.18,0.61,1.32,
1694464800000,1.16,0.67,1.31,
1694465400000,1.18,0.78,1.25,
1694466000000,1.18,0.78,1.26,
1694466600000,1.17,0.75,1.25,
1694467200000,1.21,0.76,1.26,
1694467800000,1.19,0.75,1.26,
1694468400000,1.2,0.81,1.26,
1694468836000,1.19,0.78,1.25,
1694469000000,1.19,0.77,1.25,
1694469599000,1.19,0.61,1.25,
1694469600000,1.18,0.73,1.25,
1694470199000,1.19,0.82,1.26,
1694470200000,1.19,0.82,1.27,
1694470793000,1.18,0.76,1.27,
1694470800000,1.18,0.76,1.26,
1694471400000,1.18,0.76,1.21,
1694472000000,1.18,0.78,1.2,
1694472600000,1.16,0.76,1.2,
1694473200000,1.19,0.75,1.2,
1694473799000,1.18,0.75,1.22,
1694473800000,1.19,0.75,1.2,
1694474400000,1.19,0.78,1.21,
1694475000000,1.2,0.76,1.21,
1694475599000,1.19,0.75,1.22,
1694475600000,1.19,0.75,1.21,
1694476160000,1.19,0.78,1.25,
1694476200000,1.19,0.75,1.28,
1694476799000,1.19,0.65,1.27,
1694477400000,1.18,0.75,1.26,
1694478000000,1.18,0.77,1.26,
1694478600000,1.17,0.74,1.25,
1694479069000,1.18,0.74,1.25,
1694479200000,1.17,0.77,1.25,
1694479800000,1.17,0.76,1.25,
1694480399000,1.17,0.76,1.25,
1694480400000,1.17,0.76,1.26,
1694481000000,1.17,0.75,1.25,
1694481600000,1.19,0.68,1.28,
1694482193000,1.17,0.76,1.32,
1694482200000,1.18,0.73,1.34,
1694482800000,1.18,0.76,1.3,
1694483400000,1.18,0.76,1.3,
1694484000000,1.18,0.74,1.26,
1694484600000,1.19,0.73,1.21,
1694485200000,1.17,0.76,1.21,
1694485799000,1.17,0.73,1.21,
1694485800000,1.17,0.73,1.2,
1694486400000,1.16,0.76,1.21,
1694487000000,1.17,0.74,1.26,
1694487600000,1.17,0.85,2.22,
1694487957000,1.18,0.86,5.04,
1694488200000,1.14,0.65,1.54,
1694489307000,1.16,0.92,1.21,
