intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Feb 13 2024|  TO Mon Feb 19 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1707762600000,1.37,2,1.28,
1707763200000,1.38,1.92,1.26,
1707763800000,1.36,1.98,1.25,
1707764399000,1.36,2.15,1.22,
1707765000000,1.36,2.01,1.22,
1707765600000,1.37,2.01,1.2,
1707766200000,1.37,1.9,1.17,
1707766800000,1.37,1.98,1.2,
1707767400000,1.38,2.04,1.17,
1707768000000,1.39,2.01,1.15,
1707768600000,1.38,1.98,1.15,
1707769200000,1.39,2.05,1.16,
1707769800000,1.4,2.03,1.18,
1707770400000,1.39,1.93,1.22,
1707771000000,1.39,2.14,1.18,
1707771600000,1.32,1.99,1.15,
1707772200000,1.32,1.87,1.12,
1707772800000,1.32,1.98,1.14,
1707773400000,1.33,2.05,1.15,
1707774000000,1.32,1.88,1.2,
1707774600000,1.32,2.04,1.14,
1707775200000,1.31,2.12,1.13,
1707775800000,1.32,2.06,1.14,
1707776400000,1.32,2.01,1.15,
1707777000000,1.33,2.01,1.15,
1707777600000,1.32,2.01,1.21,
1707778200000,1.31,1.92,1.15,
1707778800000,1.33,2.07,1.15,
1707779400000,1.32,2.22,1.17,
1707780000000,1.32,1.9,1.15,
1707780600000,1.32,2.07,1.15,
1707781200000,1.31,1.94,1.21,
1707781800000,1.32,2.15,1.15,
1707782400000,1.32,1.96,1.14,
1707783000000,1.31,2.01,1.15,
1707783600000,1.31,2.01,1.15,
1707784200000,1.31,2.18,1.13,
1707784800000,1.3,2.06,1.14,
1707785400000,1.29,1.93,1.18,
1707786000000,1.29,2.06,1.13,
1707786600000,1.28,1.98,1.13,
1707787200000,1.32,2.03,1.13,
1707787800000,1.29,2.03,1.13,
1707788400000,1.29,2.13,1.14,
1707789000000,1.29,2.03,1.19,
1707789600000,1.29,2.03,1.1,
1707790200000,1.3,1.92,1.13,
1707790800000,1.29,2.1,1.13,
1707791400000,1.3,2.04,1.14,
1707792000000,1.31,2.07,1.14,
1707792600000,1.29,1.87,1.18,
1707793200000,1.29,2.15,4.84,
1707793800000,1.29,2.04,1.41,
1707794399000,1.34,2.02,1.38,
1707795000000,1.63,2.07,1.22,
1707795600000,1.57,2.17,1.31,
1707796200000,1.54,1.95,1.7,
1707796800000,1.59,2.08,1.59,
1707797400000,2.75,3.23,3.24,
1707798000000,3.16,3.45,2.59,
1707798600000,3.28,3.54,3.89,
1707799200000,3.52,3.75,2.59,
1707799800000,3.55,3.57,3.36,
1707800400000,3.55,3.62,2.6,
1707801000000,3.63,3.69,2.83,
1707801600000,3.48,3.58,2.62,
1707802200000,3.49,3.66,2.59,
1707802800000,3.7,3.7,2.67,
1707803400000,3.42,3.74,3.04,
1707804000000,3.55,3.88,3.36,
1707804600000,3.72,3.86,3.35,
1707805200000,3.94,3.64,3.28,
1707805800000,3.76,3.95,3.34,
1707806400000,3.67,5.3,3.48,
1707807000000,3.92,3.84,3.39,
1707807600000,4.03,3.92,3.37,
1707808200000,4,3.97,3.36,
1707808800000,3.57,3.75,3.31,
1707809400000,3.67,3.84,3.35,
1707810000000,3.54,3.51,3.06,
1707810600000,3.15,3.12,2.59,
1707811200000,2.75,3.28,2.61,
1707811800000,2.64,3.14,2.63,
1707812400000,2.27,2.81,2.18,
1707813000000,2.39,2.69,2.18,
1707813600000,2.34,2.75,2.23,
1707814200000,2.32,2.84,2.23,
1707814800000,2.59,2.8,5.07,
1707815400000,2.6,2.62,1.9,
1707816000000,2.46,2.62,2.01,
1707816600000,2.46,2.61,1.85,
1707817200000,2.67,2.65,1.87,
1707817800000,2.91,2.61,1.82,
1707818400000,2.62,2.75,2.17,
1707819000000,2.64,2.66,3.02,
1707819600000,2.58,2.69,2.13,
1707820200000,2.82,2.73,1.78,
1707820800000,3.65,3.91,2.94,
1707821400000,3.55,3.66,2.71,
1707822000000,3.47,3.69,5.63,
1707822600000,3.48,3.81,2.82,
1707823200000,3.5,3.87,2.75,
1707823800000,2.13,2.46,1.8,
1707824400000,1.91,2.44,1.56,
1707825000000,1.9,2.51,1.6,
1707825600000,1.91,2.29,1.3,
1707826200000,1.92,2.36,1.31,
1707826800000,1.83,2.31,1.41,
1707827400000,1.75,2.5,1.44,
1707828000000,1.86,2.33,1.33,
1707828600000,1.92,2.21,1.71,
1707829200000,1.9,2.33,1.77,
1707829800000,1.89,2.61,1.76,
1707830400000,1.89,2.36,1.7,
1707831000000,1.87,2.44,1.8,
1707831600000,1.66,2.39,1.76,
1707832200000,1.77,2.42,1.76,
1707832800000,1.73,2.36,1.76,
1707833400000,1.51,2.21,1.7,
1707834000000,1.51,2.38,1.7,
1707834600000,1.51,2.17,1.63,
1707835200000,1.53,2.21,1.6,
1707835800000,1.5,2.05,1.6,
1707836400000,1.56,2.4,1.69,
1707837000000,1.51,2.25,1.32,
1707837599000,1.41,2.25,1.33,
1707838200000,1.42,2.35,1.4,
1707838800000,1.43,2.25,1.31,
1707839400000,1.42,2.16,1.32,
1707840000000,1.42,2.11,1.3,
1707840600000,1.43,2.2,1.31,
1707841200000,1.42,2.25,1.31,
1707841800000,1.44,2.26,1.35,
1707842400000,1.36,2.2,1.31,
1707843000000,1.36,2.24,1.32,
1707843600000,1.36,2.17,1.31,
1707844200000,1.36,2.18,1.32,
1707844800000,1.38,2.17,1.32,
1707845400000,1.37,2.16,1.38,
1707845999000,1.35,2.11,1.35,
1707846600000,1.33,1.98,1.24,
1707847200000,1.34,2.22,1.24,
1707847800000,1.34,2.04,1.25,
1707848400000,1.35,2.11,1.25,
1707849000000,1.34,2.13,1.26,
1707849600000,1.34,2.23,1.3,
1707850200000,1.34,2.09,1.24,
1707850800000,1.36,2.09,1.25,
1707851400000,1.35,2.25,1.26,
1707852000000,1.35,2.11,1.28,
1707852600000,1.36,2.15,1.24,
1707853200000,1.37,2.15,1.36,
1707853800000,1.34,2.23,1.22,
1707854400000,1.31,2.11,1.26,
1707855000000,1.3,2.05,1.26,
1707855600000,1.31,2.1,1.24,
1707856200000,1.32,2.18,1.25,
1707856800000,1.32,2.15,1.31,
1707857400000,1.31,2.09,1.25,
1707858000000,1.3,2.15,1.25,
1707858600000,1.31,2.15,1.24,
1707859200000,1.32,2.12,1.25,
1707859800000,1.32,2.21,1.24,
1707860400000,1.32,2.08,1.25,
1707861000000,1.33,2.16,1.29,
1707861600000,1.32,2.24,1.24,
1707862200000,1.32,2.2,1.26,
1707862800000,1.32,2.14,1.25,
1707863400000,1.3,2.24,1.25,
1707863999000,1.32,2.1,1.24,
1707864600000,1.31,2.08,1.3,
1707865200000,1.33,2.11,1.24,
1707865800000,1.33,1.99,1.27,
1707866400000,1.32,2.13,1.24,
1707867000000,1.3,1.94,1.24,
1707867600000,1.35,2.09,1.26,
1707868200000,1.31,2.13,1.3,
1707868800000,1.32,2,1.24,
1707869400000,1.31,2.27,1.24,
1707870000000,1.32,2.13,1.21,
1707870600000,1.3,2.12,1.23,
1707871200000,1.3,2.17,1.23,
1707871800000,1.31,2.16,1.23,
1707872400000,1.29,2.05,1.28,
1707873000000,1.29,2.12,1.23,
1707873599000,1.3,2.14,1.23,
1707874200000,1.3,2.36,1.24,
1707874800000,1.29,2.41,1.23,
1707875400000,1.31,2.14,1.23,
1707876000000,1.28,2.34,1.29,
1707876600000,1.28,2.29,1.22,
1707877200000,1.29,2.44,1.23,
1707877799000,1.29,2.21,1.24,
1707878400000,1.29,2.15,1.23,
1707879000000,1.3,2.44,1.22,
1707879600000,1.29,2.4,4.92,
1707880200000,1.26,2.25,1.56,
1707880800000,1.54,2.38,1.51,
1707881400000,1.57,2.48,2.35,
1707882000000,1.51,2.5,1.77,
1707882600000,1.67,2.4,1.36,
1707883200000,1.71,2.63,2.35,
1707883800000,1.73,2.42,2.59,
1707884400000,1.88,2.73,1.37,
1707885000000,1.93,2.92,2.77,
1707885600000,1.93,2.79,1.27,
1707886200000,2.1,2.67,1.31,
1707886800000,2.33,2.78,1.29,
1707887400000,2.3,2.93,1.3,
1707888000000,2.16,2.71,1.33,
1707888600000,2.32,2.89,1.25,
1707889200000,2.33,2.93,1.31,
1707889799000,2.2,2.94,1.26,
1707890400000,2.19,2.91,1.31,
1707891000000,2.4,2.98,1.25,
1707891600000,2.71,2.97,1.27,
1707892200000,2.22,2.89,1.23,
1707892800000,2.4,2.94,1.57,
1707893400000,2.37,3,1.23,
1707894000000,2.24,2.96,4.12,
1707894600000,2.31,2.96,5.26,
1707895200000,2.34,3.23,1.2,
1707895800000,2.37,2.99,1.79,
1707896400000,2.05,2.9,1.46,
1707897000000,1.97,2.85,1.41,
1707897600000,1.84,2.69,1.44,
1707898200000,1.69,2.67,1.48,
1707898800000,1.88,2.68,1.43,
1707899400000,1.75,2.89,2.13,
1707900000000,1.71,2.66,2.08,
1707900600000,1.75,2.77,1.46,
1707901200000,1.93,2.89,4.36,
1707901800000,1.92,2.75,1.49,
1707902400000,3.34,4.03,3.4,
1707903000000,3.45,3.99,3.45,
1707903600000,3.34,3.99,2.7,
1707904200000,3.41,3.96,2.67,
1707904800000,3.12,3.8,2.68,
1707905400000,1.96,2.78,1.43,
1707906000000,1.61,2.7,2.12,
1707906600000,1.73,2.74,1.39,
1707907200000,1.87,2.84,1.67,
1707907800000,1.95,2.79,2.56,
1707908400000,2,2.65,2.46,
1707909000000,2.04,2.46,2.41,
1707909600000,2,2.6,1.72,
1707910200000,1.99,2.67,1.65,
1707910800000,2.04,2.72,2.34,
1707911400000,1.95,2.74,1.79,
1707912000000,1.88,2.72,1.51,
1707912600000,1.83,2.71,1.3,
1707913200000,1.77,2.67,1.28,
1707913800000,1.81,2.67,1.29,
1707914400000,1.85,4.88,1.3,
1707915000000,1.83,2.47,1.36,
1707915600000,1.83,2.53,1.28,
1707916200000,1.9,2.46,1.43,
1707916800000,1.69,2.55,1.44,
1707917400000,1.73,2.54,1.41,
1707918000000,1.72,2.51,1.74,
1707918600000,1.72,2.6,1.75,
1707919200000,1.66,2.46,1.69,
1707919800000,1.44,2.19,1.65,
1707920400000,1.41,2.38,1.94,
1707921000000,1.42,2.45,1.86,
1707921600000,1.33,2.37,1.31,
1707922200000,1.31,2.4,1.34,
1707922800000,1.32,2.35,1.28,
1707923400000,1.32,2.5,1.26,
1707924000000,1.25,2.33,1.26,
1707924600000,1.25,2.29,1.28,
1707925200000,1.38,2.4,1.25,
1707925800000,1.39,2.47,1.3,
1707926400000,1.37,2.29,1.25,
1707927000000,1.39,2.38,1.25,
1707927600000,1.39,2.55,1.27,
1707928200000,1.49,2.31,1.27,
1707928800000,1.51,2.4,1.27,
1707929400000,1.46,2.26,1.31,
1707930000000,1.47,2.15,1.26,
1707930600000,1.28,2.23,1.28,
1707931200000,1.3,2.24,1.28,
1707931800000,1.29,2.31,1.34,
1707932400000,1.29,2.27,1.31,
1707933000000,1.28,2.2,1.38,
1707933600000,1.29,2.21,1.31,
1707934200000,1.3,2.13,1.31,
1707934800000,1.3,2,1.3,
1707935400000,1.31,2.19,1.35,
1707936000000,1.29,2.11,1.32,
1707936600000,1.29,2.12,1.38,
1707937200000,1.29,2.21,1.35,
1707937800000,1.29,2.18,1.33,
1707938400000,1.3,1.95,1.38,
1707939000000,1.3,2.16,1.33,
1707939600000,1.31,2.08,1.34,
1707940200000,1.33,2.02,1.44,
1707940800000,1.19,2.11,1.26,
1707941400000,1.19,2.14,1.25,
1707941999000,1.19,2.1,1.25,
1707942600000,1.21,2.11,1.25,
1707943199000,1.21,1.97,1.26,
1707943800000,1.22,2.19,1.25,
1707944400000,1.2,1.92,1.27,
1707944999000,1.2,2.13,1.24,
1707945600000,1.19,2.12,1.23,
1707946200000,1.22,2.28,1.24,
1707946800000,1.2,2.1,1.21,
1707947400000,1.14,2.11,1.21,
1707948000000,1.14,2.27,1.26,
1707948600000,1.11,2.12,1.21,
1707949200000,1.11,2.15,1.17,
1707949800000,1.11,2.12,1.19,
1707950400000,1.1,2.16,1.17,
1707951000000,1.11,2.01,1.2,
1707951600000,1.14,2.13,1.23,
1707952200000,1.14,2.06,1.22,
1707952800000,1.11,2.26,1.22,
1707953400000,1.14,2.15,1.23,
1707954000000,1.1,2.06,1.23,
1707954600000,1.1,2.01,1.22,
1707955200000,1.1,2.25,1.22,
1707955800000,1.1,2.1,1.22,
1707956400000,1.1,2.08,1.18,
1707957000000,1.1,2.13,1.17,
1707957600000,1.1,2.11,1.16,
1707958200000,1.09,2.09,1.16,
1707958800000,1.17,2.09,1.18,
1707959400000,1.17,2.25,1.26,
1707960000000,1.17,2.13,1.21,
1707960600000,1.17,2.09,1.21,
1707961200000,1.18,2.44,1.2,
1707961800000,1.18,2.4,1.19,
1707962400000,1.17,2.46,1.19,
1707963000000,1.17,2.41,1.15,
