intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Aug 15 2023|  TO Mon Aug 21 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1692037800000,0.98,0.62,1.21,
1692038400000,1.01,0.7,1.2,
1692039000000,0.99,0.7,1.22,
1692039600000,0.99,0.73,1.26,
1692040199000,0.99,0.7,1.26,
1692040799000,0.99,0.7,1.17,
1692041400000,0.99,0.7,1.17,
1692042000000,0.99,0.7,1.16,
1692042600000,0.99,0.71,1.17,
1692043200000,0.99,0.7,1.16,
1692043800000,1,0.71,1.21,
1692044400000,0.99,0.59,1.21,
1692045000000,1.02,0.71,1.21,
1692045600000,1.03,0.68,1.28,
1692046200000,1.04,0.71,1.25,
1692046800000,1.04,0.71,1.21,
1692047400000,1.03,0.71,1.17,
1692048000000,1.03,0.71,1.16,
1692048600000,1.04,0.68,1.17,
1692049200000,1.06,0.71,1.17,
1692049800000,1.05,0.68,1.16,
1692050400000,1.04,0.74,1.17,
1692051000000,1.05,0.59,1.26,
1692051600000,1.01,0.71,1.28,
1692052200000,1.05,0.71,1.21,
1692052800000,1.04,0.71,1.21,
1692053400000,1.04,0.71,1.21,
1692054000000,1.04,0.71,1.21,
1692054600000,1.04,0.71,1.17,
1692055200000,1.04,0.71,1.17,
1692055800000,1.05,0.71,1.17,
1692056400000,1.04,0.71,1.24,
1692057000000,1.04,0.71,1.22,
1692057600000,1.06,0.7,1.17,
1692058200000,1.04,0.73,1.21,
1692058800000,1.05,0.7,1.2,
1692059400000,1.04,0.73,1.21,
1692060000000,1.04,0.67,1.21,
1692060600000,1.04,0.69,1.21,
1692061200000,1.04,0.7,1.21,
1692061800000,1.04,0.7,1.22,
1692062400000,1.04,0.7,1.22,
1692063000000,1.04,0.76,1.16,
1692063600000,1.03,0.7,1.16,
1692064200000,1.03,0.7,1.16,
1692064800000,1.03,0.7,1.16,
1692065400000,1.04,0.7,1.25,
1692066000000,1.04,0.7,1.2,
1692066600000,1.03,0.66,1.2,
1692067200000,1.03,0.7,1.2,
1692067800000,1.03,0.72,1.25,
1692068400000,1.04,0.7,1.2,
1692069000000,1.03,0.7,1.16,
1692069600000,1.03,0.56,1.16,
1692070200000,1.05,0.7,1.16,
1692070800000,1.01,0.7,0.78,
1692071400000,1.01,0.72,0.78,
1692072000000,1.13,0.72,0.78,
1692072600000,1.12,0.72,0.89,
1692073200000,1.17,0.72,0.91,
1692073800000,2.23,1.7,2,
1692074400000,2.27,1.73,1.94,
1692075000000,2.25,1.81,1.93,
1692075600000,2.28,1.84,1.96,
1692076200000,2.26,1.81,1.95,
1692076800000,2.18,1.81,1.87,
1692077400000,2.16,1.82,1.87,
1692078000000,2.16,1.78,1.89,
1692078600000,1.09,0.78,0.88,
1692079200000,1.11,0.78,0.86,
1692079800000,1.11,0.79,0.8,
