intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Apr 16 2024|  TO Mon Apr 22 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1713205800000,1.07,2.42,1.14,
1713206400000,1.18,2.36,1.07,
1713207000000,1.31,2.34,1.05,
1713207600000,1.18,2.28,1.06,
1713208200000,1.31,2.43,1.08,
1713208800000,1.19,2.32,1.09,
1713209400000,1.19,2.45,1.08,
1713210000000,1.31,2.43,1.13,
1713210600000,1.18,2.46,1.12,
1713211200000,1.19,2.44,1.07,
1713211800000,1.07,2.47,1.08,
1713212400000,1.08,2.46,1.07,
1713213000000,1.23,2.49,1.08,
1713213600000,1.11,2.28,1.07,
1713214200000,1.2,2.42,1.07,
1713214800000,1.07,2.38,1.05,
1713215400000,1.07,2.41,1.12,
1713216000000,1.21,2.42,1.12,
1713216600000,1.09,2.23,1.05,
1713217200000,1.09,2.35,1.05,
1713217800000,1.22,2.42,1.07,
1713218400000,1.08,2.4,1.07,
1713219000000,1.21,2.44,1.07,
1713219600000,1.08,2.42,1.08,
1713220199000,1.09,2.44,1.05,
1713220800000,1.23,2.44,1.14,
1713221400000,1.09,2.42,1.1,
1713222000000,1.09,2.4,1.06,
1713222600000,1.08,2.38,1.08,
1713223200000,1.11,2.34,1.09,
1713223800000,1.22,2.23,1.08,
1713224400000,1.09,2.31,1.08,
1713225000000,1.08,2.36,1.08,
1713225600000,1.21,2.35,1.08,
1713226200000,1.08,2.34,1.09,
1713226800000,1.08,2.33,1.12,
1713227400000,1.08,2.37,1.09,
1713228000000,1.09,2.32,1.08,
1713228600000,1.21,2.28,1.08,
1713229200000,1.08,2.4,1.06,
1713229800000,1.06,2.37,1.07,
1713230400000,1.23,2.37,1.08,
1713231000000,1.06,2.18,1.13,
1713231600000,1.07,2.24,1.13,
1713232200000,1.07,2.04,1.07,
1713232800000,1.08,2.22,1.07,
1713233400000,1.2,2.14,1.07,
1713234000000,1.06,2.19,1.07,
1713234600000,1.07,2.14,1.07,
1713235200000,1.18,2.12,1.05,
1713235800000,1.11,2.2,1.07,
1713236400000,1.26,2.2,4.93,
1713237000000,1.12,2.05,1.45,
1713237600000,1.13,2.13,1.04,
1713238200000,1.41,2.25,1.23,
1713238800000,1.49,2.07,1.33,
1713239400000,1.5,2.38,1.2,
1713240000000,1.63,2.51,1.24,
1713240600000,1.65,2.53,1.12,
1713241200000,3.19,3.62,2.36,
1713241800000,3.16,3.82,2.37,
1713242400000,3.3,3.83,2.67,
1713243000000,3.69,3.87,5.41,
1713243600000,3.89,3.85,2.92,
1713244200000,3.98,4.01,3.34,
1713244800000,2.6,2.94,2.39,
1713245400000,4.08,4.33,2.6,
1713246000000,3.8,4.15,2.5,
1713246600000,3.76,4.23,3.21,
1713247200000,3.61,4.09,2.56,
1713247800000,3.89,4.01,2.5,
1713248400000,3.59,4.13,2.54,
1713249000000,3.69,4.14,5.28,
1713249600000,3.93,4.05,2.57,
1713250200000,4.04,4.11,2.9,
1713250800000,3.82,4.23,2.94,
