intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jul 18 2023|  TO Mon Jul 24 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1689618600000,1.34,0.93,1.07,
1689619200000,1.31,0.95,1.02,
1689619800000,1.32,0.93,1.02,
1689620400000,1.32,0.93,1.01,
1689621000000,1.33,0.93,1.01,
1689621600000,1.33,0.93,1.01,
1689622200000,1.32,0.93,1.01,
1689622800000,1.33,0.78,1.01,
1689623400000,1.33,0.93,1.06,
1689624000000,1.32,0.9,1.01,
1689624600000,1.33,0.87,1.01,
1689625200000,1.35,0.93,1,
1689625800000,1.33,1.31,1.02,
1689626400000,1.34,0.97,1.02,
1689627000000,1.34,0.94,1.02,
1689627600000,1.33,0.94,1.01,
1689628200000,1.34,0.94,1.06,
1689628800000,1.34,0.94,1.06,
1689629400000,1.33,0.94,1,
1689630000000,1.35,0.87,1.01,
1689630600000,1.34,0.79,1.01,
1689631200000,1.34,0.79,1.01,
1689631800000,1.33,0.94,1,
1689632400000,1.34,0.97,1.01,
1689633000000,1.33,0.97,1.02,
1689633600000,1.34,0.94,1.06,
1689634200000,1.34,0.94,0.99,
1689634800000,1.35,0.94,1.01,
1689635400000,1.34,1.06,1,
1689636000000,1.35,0.94,1,
1689636600000,1.37,0.97,1,
1689637200000,1.33,1.06,1,
1689637800000,1.31,0.93,1.01,
1689638400000,1.31,0.84,1.05,
1689639000000,1.31,1.04,1.04,
1689639600000,1.31,0.92,0.99,
1689640200000,1.3,0.92,0.99,
1689640800000,1.29,1.03,0.98,
1689641400000,1.3,0.91,0.98,
1689642000000,1.3,0.88,0.99,
1689642600000,1.31,0.97,0.98,
1689643200000,1.31,0.91,0.98,
1689643800000,1.31,0.91,1.04,
1689644400000,1.31,1.06,0.99,
1689645000000,1.3,0.92,0.98,
1689645600000,1.3,0.95,0.99,
1689646200000,1.3,0.91,0.98,
1689646800000,1.31,0.91,0.98,
1689647400000,1.31,0.92,0.98,
1689648000000,1.3,0.92,0.99,
1689648600000,1.31,0.94,1.04,
1689649200000,1.31,1,4.82,
1689649800000,1.31,0.99,1.28,
1689650400000,1.28,1.02,1.32,
1689651000000,1.42,1.12,1.44,
1689651600000,1.55,1.1,1.53,
1689652200000,1.68,1.19,4.38,
1689652800000,1.63,1.12,1.58,
1689653400000,1.71,1.23,2.67,
1689654000000,2.02,1.4,4.49,
1689654600000,2.19,1.42,1.48,
1689655200000,2.35,1.42,1.49,
1689655800000,2.32,1.54,1.49,
1689656400000,2.32,1.48,1.49,
1689657000000,2.3,1.35,1.46,
1689657600000,2.19,1.6,1.72,
1689658200000,2.19,1.55,1.81,
1689658800000,2.05,1.84,1.78,
1689659400000,2.04,3,4.62,
1689660000000,2.07,1.38,2.33,
1689660600000,2.13,1.66,1.81,
1689661200000,2.14,1.63,1.88,
1689661800000,2.12,1.54,4.71,
1689662400000,2.09,1.65,1.87,
1689663000000,2.28,1.82,1.87,
1689663600000,2.07,1.7,1.68,
1689664200000,2.02,1.64,1.72,
1689664800000,2,1.78,1.65,
1689665400000,1.98,1.74,1.67,
1689666000000,2.04,1.65,1.57,
1689666600000,2.02,1.78,1.67,
1689667200000,2.08,1.51,2.31,
1689667800000,2.21,1.68,1.9,
1689668400000,2.05,1.85,1.87,
1689669000000,2.01,1.72,1.79,
1689669600000,2.01,1.74,2.38,
1689670200000,1.86,2.17,1.51,
1689670800000,1.96,1.63,1.47,
1689671400000,2.05,1.64,1.5,
1689672000000,2.04,1.72,4.3,
1689672600000,2.11,1.6,1.49,
1689673200000,2.15,1.58,1.8,
1689673800000,2.35,1.73,1.78,
1689674400000,2.27,1.76,1.78,
1689675000000,2.22,1.68,1.71,
1689675600000,2.21,1.77,1.57,
1689676200000,2.12,1.8,2.35,
1689676800000,2.1,1.78,1.82,
1689677400000,3.09,2.02,1.91,
1689678000000,2.98,1.85,2,
1689678600000,4.37,2.9,3.07,
1689679200000,4.38,3.02,3.55,
1689679800000,3.13,2.95,3.02,
1689680400000,2.05,1.8,5.31,
1689681000000,3.29,1.81,1.88,
1689681600000,3.07,1.49,1.51,
1689682200000,1.92,1.43,1.58,
1689682800000,3.14,1.47,1.51,
1689683400000,3.18,1.28,1.51,
1689684000000,1.59,1.15,1.41,
1689684600000,1.39,1.04,1.12,
1689685200000,1.47,0.89,1.13,
1689685800000,1.38,0.8,1.12,
1689686400000,1.39,0.92,1.18,
1689687000000,1.44,0.83,1.18,
1689687600000,1.35,0.82,1.1,
1689688200000,1.39,0.93,1.1,
1689688800000,1.58,0.83,1.11,
1689689400000,1.55,0.85,1.09,
1689690000000,1.5,0.93,1.11,
1689690600000,1.46,0.76,1.05,
1689691200000,1.43,0.79,1.06,
1689691800000,1.44,0.88,0.77,
1689692400000,1.44,0.76,0.73,
1689693000000,1.45,0.77,0.74,
1689693600000,1.37,0.88,0.72,
1689694200000,1.42,0.76,0.73,
