intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue May 21 2024|  TO Mon May 27 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1716229800000,1.01,2.4,1.24,
1716230400000,1.14,2.45,1.26,
1716231000000,1.02,2.46,1.2,
1716231600000,1.01,2.46,1.18,
1716232200000,1.14,2.45,1.3,
1716232800000,1.01,2.45,1.2,
1716233400000,1.01,2.5,1.2,
1716234000000,1.15,2.49,1.25,
1716234600000,1.01,2.52,1.25,
1716235200000,1.03,2.48,1.26,
1716235800000,1.01,2.42,1.19,
1716236400000,1.02,2.47,1.19,
1716237000000,1.14,2.48,1.2,
1716237600000,1.02,2.45,1.18,
1716238199000,1.02,2.5,1.18,
1716238800000,1.15,2.44,1.21,
1716239400000,1.02,2.45,1.21,
1716240000000,1.02,2.49,1.25,
1716240600000,1.16,2.44,1.25,
1716241200000,1.03,2.42,1.22,
1716241800000,1.02,2.47,1.2,
1716242400000,1.15,2.37,1.21,
1716243000000,1.02,2.41,1.27,
1716243600000,1.02,2.49,1.19,
1716244200000,1.03,2.48,1.18,
1716244800000,1.03,2.52,1.18,
1716245400000,1.15,2.46,1.43,
1716246000000,1.02,2.44,1.47,
1716246600000,1.02,2.47,1.45,
1716247200000,1.15,2.35,1.43,
1716247800000,1.03,2.47,1.41,
1716248400000,1.03,2.43,1.4,
1716249000000,1.14,2.4,1.36,
1716249600000,1.02,2.43,1.38,
1716250200000,1.02,2.41,1.36,
1716250800000,1.14,2.44,1.33,
1716251400000,1,2.47,1.36,
1716252000000,1.01,2.3,1.41,
1716252600000,1.01,2.43,1.39,
1716253200000,1.01,2.41,1.42,
1716253800000,1.14,2.35,1.33,
1716254400000,1.01,2.46,1.34,
1716255000000,1.01,2.44,1.32,
1716255600000,1.14,2.3,1.3,
1716256200000,1.01,2.42,1.38,
1716256800000,1.01,2.39,1.3,
1716257400000,1.14,2.47,1.31,
1716258000000,1.01,2.41,1.27,
1716258600000,1.01,2.47,1.37,
1716259200000,1.14,2.5,5.1,
1716259800000,1.01,2.47,1.6,
1716260400000,1.61,2.51,1.6,
1716261000000,1.66,2.5,1.23,
1716261600000,1.57,2.57,1.23,
1716262200000,1.52,2.73,1.3,
1716262800000,1.87,2.52,1.57,
1716263400000,1.95,2.8,1.53,
1716264000000,1.69,2.85,4.62,
1716264600000,1.68,2.8,1.66,
1716265200000,1.95,3.04,1.62,
1716265800000,2.15,2.92,1.59,
1716266400000,2.02,3.03,1.69,
1716267000000,3.45,4.22,3.85,
1716267600000,3.68,4.3,2.75,
1716268200000,3.49,3.87,2.78,
1716268800000,3.49,4.3,2.73,
1716269400000,3.44,4.27,2.95,
1716270000000,3.3,4.25,3.04,
1716270600000,2.17,3.19,1.99,
1716271200000,2.14,3.13,2,
1716271800000,2.15,3.44,1.9,
1716272400000,2.72,3.55,2.04,
1716273000000,2.81,3.4,2.01,
1716273600000,2.41,3.43,4.16,
1716274200000,2.53,3.41,1.93,
1716274800000,2.45,3.46,1.43,
1716275400000,2.33,3.39,1.43,
1716276000000,2.05,3.36,1.43,
1716276600000,1.81,3.31,1.41,
1716277200000,1.65,3.28,1.3,
1716277800000,1.51,3.26,1.32,
1716278400000,1.52,3.12,1.37,
1716279000000,1.87,3.25,1.71,
1716279600000,2.2,3.29,1.69,
1716280200000,2.17,3.25,1.73,
1716280800000,1.97,3.11,3.88,
1716281400000,2.31,3.28,1.7,
1716282000000,2.27,3.17,1.66,
1716282600000,2.21,3.31,2.71,
1716283200000,2.45,3.21,2.8,
1716283800000,2.31,3.7,1.61,
1716284400000,2.2,3.47,1.65,
1716285000000,2.59,3.63,1.63,
1716285600000,2.15,3.38,1.57,
1716286200000,2.4,3.59,1.55,
1716286800000,2.44,3.51,1.63,
1716287400000,2,3.39,1.61,
1716288000000,2.1,3.46,4.4,
1716288600000,3.02,4.58,3.12,
1716289200000,3.24,4.35,2.91,
1716289800000,3.21,4.07,4.36,
1716290400000,3.08,4.26,2.75,
1716291000000,3.23,4.16,2.78,
1716291600000,2.99,4.11,2.7,
1716292200000,1.87,3.03,1.56,
1716292800000,1.98,3.16,1.56,
1716293400000,1.8,2.91,1.56,
1716293999000,1.7,2.8,1.53,
1716294600000,1.7,2.96,1.5,
1716295200000,1.71,3.14,1.51,
1716295800000,1.51,2.86,1.51,
1716296400000,1.6,3.1,1.53,
1716297000000,1.72,2.94,1.31,
1716297600000,1.62,2.7,1.23,
1716298200000,1.6,2.75,1.18,
1716298800000,1.73,2.7,1.15,
1716299400000,1.6,2.62,1.24,
1716300000000,1.53,2.72,1.24,
1716300600000,1.29,2.75,1.61,
1716301200000,1.44,2.78,1.57,
1716301800000,1.3,2.73,1.24,
1716302400000,1.09,2.72,1.19,
1716303000000,1.08,2.77,1.22,
1716303600000,1.07,2.6,1.27,
1716304200000,1.21,2.64,1.18,
1716304800000,1.09,2.79,1.21,
1716305400000,1.2,2.72,1.29,
1716306000000,1.1,2.73,1.26,
1716306600000,1.08,2.64,1.23,
1716307200000,1.2,2.75,1.24,
1716307800000,1.08,2.76,1.2,
1716308400000,1.07,2.6,1.21,
1716309000000,1.07,2.74,1.21,
1716309600000,1.08,2.54,1.21,
1716310200000,1.21,2.73,1.21,
1716310800000,1.09,2.71,1.21,
