intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Mar 26 2024|  TO Mon Apr 01 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1711391400000,1.74,2.82,1.15,
1711392000000,1.39,3.03,1.18,
1711392600000,1.4,3.03,1.13,
1711393200000,1.53,3.06,1.1,
1711393800000,1.43,2.97,1.09,
1711394400000,1.42,2.97,1.13,
1711395000000,1.52,3.02,1.09,
1711395600000,1.41,3.15,1.16,
1711396200000,1.56,3.13,1.19,
1711396800000,1.43,3.11,1.1,
1711397400000,1.44,3.06,1.1,
1711397999000,1.56,2.95,1.14,
1711398600000,1.44,3.21,1.1,
1711399200000,1.4,3.06,1.1,
1711399800000,1.38,2.74,1.14,
1711400400000,1.39,3.11,1.15,
1711401000000,1.52,2.99,1.15,
1711401600000,1.39,3.13,1.14,
1711402200000,1.4,3.09,1.1,
1711402800000,1.53,3.06,1.11,
1711403400000,1.39,3.08,1.16,
1711404000000,1.41,3.15,1.11,
1711404600000,1.4,3.16,1.11,
1711405200000,1.41,3,1.2,
1711405800000,1.53,3.17,1.11,
1711406400000,1.4,3.02,1.14,
1711407000000,1.4,3.07,1.15,
1711407600000,1.53,3.07,1.11,
1711408200000,1.4,3.17,1.14,
1711408800000,1.88,3.16,1.15,
1711409400000,1.4,3.22,1.17,
1711410000000,1.4,3.08,1.17,
1711410600000,1.52,3.16,1.15,
1711411200000,1.39,3.16,1.11,
1711411800000,1.39,2.96,1.11,
1711412400000,1.52,3.13,1.15,
1711413000000,1.4,3,1.12,
1711413600000,1.38,3.12,1.11,
1711414200000,1.36,3.15,1.19,
1711414800000,1.37,2.8,1.15,
1711415400000,1.48,2.89,1.1,
1711416000000,1.38,3.15,1.14,
1711416600000,1.38,3.06,1.09,
1711417200000,1.5,2.99,1.09,
1711417800000,1.37,3.18,1.13,
1711418400000,1.37,3.13,1.1,
1711419000000,1.49,3.07,1.15,
1711419600000,1.39,3.14,1.19,
1711420200000,1.35,3.01,1.1,
1711420800000,1.35,3.17,1.1,
1711421400000,1.34,3.04,1.13,
1711422000000,1.46,3.1,4.81,
1711422600000,1.34,3.09,1.4,
1711423200000,1.36,3.19,1.41,
1711423800000,1.48,3.11,1.54,
1711424400000,1.36,3.14,1.74,
1711425000000,1.55,2.99,1.65,
1711425600000,1.9,3.3,1.24,
1711426200000,2.14,3.3,2.74,
1711426800000,2.41,3.49,2.05,
1711427400000,2.52,3.85,1.19,
1711428000000,2.59,3.72,2.23,
1711428600000,2.44,3.75,1.52,
1711429200000,2.7,3.49,1.54,
1711429800000,2.49,3.64,2.1,
1711430400000,2.68,3.51,1.61,
1711431000000,2.8,3.61,1.49,
1711431600000,2.98,3.77,1.68,
1711432200000,2.61,3.85,1.77,
1711432800000,2.88,3.8,5.12,
1711433400000,2.7,3.84,1.55,
1711434000000,2.75,3.67,1.61,
1711434600000,2.85,3.82,2.31,
1711435200000,2.9,3.39,1.67,
1711435800000,3.03,3.65,1.74,
1711436399000,2.89,3.41,1.75,
1711437000000,2.89,3.54,1.83,
1711437600000,3.1,3.33,1.73,
1711438200000,2.81,3.24,1.65,
1711438800000,2.74,3.46,1.58,
1711439400000,2.41,3.2,1.72,
1711440000000,2.43,2.95,1.63,
1711440600000,2.23,4.13,1.63,
1711441200000,2.38,2.68,2.05,
1711441800000,2.49,2.81,4.23,
1711442400000,2.28,2.7,1.33,
1711443000000,2.44,2.5,1.32,
1711443600000,2.29,2.48,1.98,
1711444200000,2.49,2.59,1.34,
1711444800000,2.6,2.65,1.32,
1711445400000,2.55,2.7,1.62,
1711446000000,2.68,2.64,1.59,
1711446600000,2.61,2.79,1.71,
1711447200000,3.77,3.94,2.74,
1711447800000,4.1,4.15,2.77,
1711448400000,3.97,4.06,2.76,
1711449000000,2.73,2.95,1.53,
1711449600000,2.31,3.98,1.58,
1711450200000,2.46,3.98,2.64,
1711450800000,2.5,4.05,1.6,
1711451400000,2.58,4.01,1.41,
1711452000000,2.46,3.91,1.41,
1711452600000,2.18,3.58,1.39,
1711453200000,2.08,3.66,1.47,
1711453800000,2.16,3.53,1.41,
1711454400000,1.96,3.26,1.1,
1711455000000,1.96,3.31,1.23,
1711455600000,1.84,3.1,1.19,
1711456200000,2.13,3.36,1.14,
1711456800000,1.7,3.35,1.13,
1711457400000,1.78,3.17,1.16,
1711458000000,1.59,3.17,1.11,
1711458600000,1.73,3.24,1.12,
1711459200000,1.69,3.32,1.15,
1711459800000,1.81,3.29,1.16,
1711460400000,1.64,3.09,1.08,
1711461000000,1.64,3.37,1.12,
1711461600000,1.63,3.14,1.42,
1711462200000,1.54,2.93,1.38,
1711462800000,1.66,3.35,1.45,
1711463400000,1.6,3.15,1.41,
1711464000000,1.73,3.19,1.46,
1711464600000,1.59,3.05,1.18,
1711465200000,1.77,3.22,1.08,
1711465800000,1.59,3.19,1.07,
1711466400000,1.71,3.13,1.14,
1711467000000,1.38,3.12,1.1,
1711467600000,1.5,2.89,1.09,
1711468200000,1.37,3.29,1.1,
1711468800000,1.36,2.98,1.16,
1711469400000,1.35,3.19,1.14,
1711470000000,1.23,2.88,1.14,
1711470600000,1.24,3.03,1.09,
1711471200000,1.24,3.09,1.09,
1711471800000,1.24,3.15,1.14,
1711472400000,1.23,3.15,1.1,
1711473000000,1.23,3.19,1.1,
1711473600000,1.24,3.19,1.19,
1711474200000,1.24,3.06,1.16,
1711474800000,1.23,3.04,1.09,
1711475400000,1.37,3.09,1.12,
1711476000000,1.28,3.16,1.12,
1711476600000,1.39,3.14,1.09,
1711477200000,1.26,2.97,1.13,
1711477800000,1.36,3.15,1.1,
1711478400000,1.24,2.97,1.18,
1711479000000,1.38,3.23,1.13,
1711479600000,1.24,3.02,1.1,
1711480200000,1.23,3.21,1.1,
1711480800000,1.37,3.15,1.14,
1711481400000,1.25,3.13,1.09,
1711482000000,1.36,3.18,1.1,
1711482600000,1.24,3.12,1.18,
1711483200000,1.24,3.15,1.17,
1711483800000,1.23,2.88,1.11,
1711484400000,1.23,3.16,1.13,
1711485000000,1.39,3.15,1.11,
1711485600000,1.23,3.16,1.11,
1711486200000,1.35,3.03,1.15,
1711486800000,1.23,3.21,1.11,
1711487400000,1.23,3.21,1.17,
1711488000000,1.24,3.17,1.19,
1711488600000,1.24,3.15,1.1,
1711489200000,1.37,3.21,1.1,
1711489800000,1.24,3.04,1.1,
1711490400000,1.36,3.22,1.1,
1711491000000,1.27,3.2,1.11,
1711491600000,1.24,3.1,1.1,
1711492200000,1.23,3.16,1.16,
1711492800000,1.23,3.09,1.15,
1711493400000,1.37,3.04,1.1,
1711493998000,1.24,3.2,1.1,
1711494000000,1.24,3.2,1.09,
1711494600000,1.38,3.22,1.1,
1711495200000,1.24,3.17,1.11,
1711495800000,1.23,3.1,1.1,
1711496400000,1.24,3.15,1.1,
1711497000000,1.24,2.94,1.15,
1711497600000,1.36,3.1,1.15,
1711498200000,1.23,3.2,1.12,
1711498800000,1.24,3.14,1.1,
1711499400000,1.24,3.2,1.1,
1711500000000,1.24,3.22,1.11,
1711500600000,1.34,3.22,1.1,
1711501199000,1.23,3.17,1.1,
1711501200000,1.23,2.91,1.09,
1711501800000,1.23,3.16,1.15,
1711502400000,1.22,2.94,1.19,
1711503000000,1.23,3.12,1.09,
1711503600000,1.35,3.05,1.1,
1711504200000,1.43,3.06,1.1,
1711504800000,1.54,3.12,1.09,
1711505400000,1.43,3.11,1.09,
1711506000000,1.42,3.13,1.1,
1711506600000,1.43,3.23,1.15,
1711507200000,1.42,3.23,1.15,
1711507800000,1.55,3.17,1.11,
1711508400000,1.42,3.29,4.8,
1711509000000,1.54,3.07,1.39,
1711509600000,1.76,3.16,1.43,
1711510200000,1.71,3.04,1.41,
1711510800000,1.76,2.98,1.21,
1711511399000,1.71,3.3,1.3,
1711512000000,2.04,3.32,1.17,
1711512600000,1.9,3.38,1.24,
1711513200000,2.05,3.71,4.96,
