intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Sep 26 2023|  TO Mon Oct 02 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1695666600000,1.19,0.7,1.12,
1695667200000,1.19,0.73,1.07,
1695667800000,1.2,0.57,1.08,
1695668400000,1.22,0.72,1.08,
1695669000000,1.19,0.7,1.07,
1695669600000,1.19,0.7,1.07,
1695670200000,1.19,0.55,1.08,
1695670800000,1.16,0.73,1.07,
1695671400000,1.19,0.65,1.06,
1695672000000,1.2,0.73,1.12,
1695672600000,1.19,0.73,1.12,
1695673200000,1.19,0.73,1.06,
1695673800000,1.19,0.71,1.08,
1695674400000,1.19,0.7,1.08,
1695675000000,1.22,0.71,1.07,
1695675600000,1.19,0.71,1.06,
1695676200000,1.19,0.68,1.07,
1695676800000,1.22,0.59,1.07,
1695677400000,1.2,0.71,1.07,
1695678000000,1.2,0.71,1.07,
1695678600000,1.2,0.74,1.13,
1695679200000,1.21,0.56,1.14,
1695679800000,1.21,0.74,1.08,
1695680400000,1.2,0.71,1.06,
1695681000000,1.21,0.71,1.07,
1695681600000,1.19,0.74,1.07,
1695682200000,1.2,0.71,1.07,
1695682800000,1.2,0.73,1.08,
1695683400000,1.2,0.59,1.07,
1695683999000,1.2,0.62,1.07,
1695684600000,1.22,0.71,1.06,
1695685200000,1.2,0.73,1.13,
1695685800000,1.19,0.7,1.11,
1695686400000,1.2,0.73,1.06,
1695687000000,1.19,0.73,1.07,
1695687600000,1.2,0.58,1.07,
1695688200000,1.2,0.73,1.07,
1695688800000,1.19,0.66,1.07,
1695689400000,1.19,0.72,1.07,
1695690000000,1.19,0.74,1.07,
1695690600000,1.19,0.71,1.07,
1695691200000,1.19,0.74,1.09,
1695691800000,1.19,0.72,1.12,
1695692400000,1.19,0.71,1.11,
1695693000000,1.19,0.68,1.06,
1695693600000,1.19,0.57,1.08,
1695694200000,1.19,0.72,1.06,
1695694800000,1.18,0.57,1.07,
1695695400000,1.18,0.71,1.05,
1695696000000,1.19,0.74,1.07,
1695696600000,1.18,0.71,1.07,
1695697200000,1.19,0.72,1.06,
1695697800000,1.19,0.71,1.07,
1695698400000,1.19,0.71,1.26,
1695699000000,1.19,0.78,4.26,
1695699600000,1.18,0.8,4.21,
1695700200000,1.2,0.96,1.43,
1695700799000,1.17,0.93,3.28,
1695701400000,1.17,0.92,1.35,
1695702000000,1.17,1.02,1.28,
1695702600000,1.21,0.82,4.14,
1695703200000,1.16,0.99,1.81,
1695703800000,1.43,1.11,1.22,
1695704400000,1.45,1.01,1.58,
1695705000000,1.48,1.19,2.88,
1695705599000,1.51,1.19,1.51,
1695706200000,1.45,1.02,1.52,
1695706800000,4.08,3.79,4.08,
1695707400000,4.18,4.11,4.72,
1695708000000,1.61,1.53,1.49,
1695708600000,1.57,1.43,1.46,
1695709200000,1.61,1.5,1.5,
1695709800000,1.6,1.52,1.53,
1695710400000,1.6,1.48,1.54,
1695711000000,1.6,1.38,1.52,
1695711600000,1.48,1.35,1.5,
1695712200000,1.54,1.36,1.45,
1695712800000,1.39,1.34,1.45,
1695713400000,1.39,1.29,1.43,
