intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Feb 27 2024|  TO Mon Mar 04 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1708972200000,1.38,2.34,1.3,
1708972800000,1.38,2.35,1.23,
1708973400000,1.39,2.39,1.22,
1708974000000,1.35,2.35,1.25,
1708974600000,1.37,2.41,1.25,
1708975200000,1.38,2.42,1.23,
1708975800000,1.38,2.41,1.25,
1708976400000,1.34,2.42,1.29,
1708977000000,1.34,2.26,1.26,
1708977600000,1.38,2.28,1.26,
1708978200000,1.35,2.32,1.23,
1708978799000,1.35,2.35,1.24,
1708979400000,1.26,2.31,1.25,
1708980000000,1.27,2.36,1.26,
1708980600000,1.26,2.47,1.25,
1708981200000,1.27,2.33,1.2,
1708981800000,1.27,2.37,1.21,
1708982400000,1.26,2.39,1.2,
1708983000000,1.19,2.4,1.15,
1708983600000,1.21,2.31,1.11,
1708984200000,1.21,2.37,1.17,
1708984800000,1.21,2.34,1.11,
1708985400000,1.2,2.33,1.15,
1708986000000,1.2,2.42,1.15,
1708986600000,1.2,2.3,1.15,
1708987200000,1.21,2.28,1.15,
1708987799000,1.2,2.42,1.15,
1708988400000,1.21,2.35,1.21,
1708989000000,1.2,2.22,1.1,
1708989600000,1.21,2.21,1.15,
1708990200000,1.21,2.29,1.11,
1708990800000,1.21,2.32,1.11,
1708991400000,1.2,2.29,1.11,
1708992000000,1.2,2.49,1.16,
1708992600000,1.2,2.3,1.2,
1708993200000,1.2,2.33,1.15,
1708993800000,1.18,2.4,1.15,
1708994400000,1.18,2.28,1.15,
1708995000000,1.18,2.35,1.15,
1708995600000,1.18,2.42,1.15,
1708996200000,1.19,2.32,1.16,
1708996800000,1.18,2.21,1.1,
1708997400000,1.18,2.48,1.1,
1708998000000,1.19,2.25,1.1,
1708998600000,1.19,2.32,1.11,
1708999200000,1.18,2.35,1.1,
1708999800000,1.18,2.23,1.15,
1709000400000,1.17,2.28,1.21,
1709001000000,1.18,2.33,1.15,
1709001600000,1.19,2.45,1.15,
1709002200000,1.18,2.25,1.15,
1709002800000,1.19,2.33,2.12,
1709003400000,1.18,3.5,1.41,
1709004000000,1.45,3.43,1.6,
1709004600000,1.54,3.3,1.95,
1709005200000,1.49,3.51,1.16,
1709005800000,1.55,3.46,1.35,
1709006400000,1.79,3.56,1.44,
1709007000000,1.69,3.62,4.95,
1709007600000,1.78,3.42,2.3,
1709008200000,2.02,3.63,1.27,
1709008800000,2.29,3.79,1.24,
1709009400000,2.03,3.61,3.95,
1709010000000,2.31,3.72,1.35,
1709010600000,2.39,3.7,2.32,
1709011200000,2.3,3.85,2.41,
1709011800000,2.38,3.67,2.59,
1709012400000,3.58,4.91,3.02,
1709013000000,3.66,4.83,3.4,
1709013600000,3.74,4.45,3.07,
1709014200000,3.67,4.34,2.96,
1709014800000,3.36,4.43,3.69,
1709015400000,3.62,4.4,3.13,
1709016000000,3.69,4.43,3.09,
1709016600000,3.44,4.51,3.16,
1709017200000,3.64,4.41,3.2,
1709017800000,3.71,4.23,3.1,
1709018400000,2.55,3.1,2.44,
1709019000000,2.49,3.21,1.83,
1709019600000,2.36,3.01,1.72,
1709020200000,2.16,3.01,1.66,
1709020800000,2.02,2.96,1.7,
1709021400000,1.94,2.97,1.59,
1709022000000,1.96,2.93,1.37,
1709022600000,1.78,2.91,1.5,
1709023200000,1.82,3.16,1.45,
1709023800000,1.98,3.11,1.49,
1709024400000,2.15,3.26,1.47,
1709025000000,2.29,3.16,1.53,
1709025600000,2.2,3.2,1.78,
1709026200000,2.35,3.15,1.72,
1709026800000,2.42,3.23,1.73,
1709027400000,2.43,3.22,2.52,
1709028000000,2.43,3.12,1.86,
1709028600000,2.36,3.28,3.36,
1709029200000,3.64,4.19,2.86,
1709029800000,3.61,4.19,2.69,
1709030400000,3.69,4.23,3.24,
1709031000000,3.78,4.06,2.65,
1709031600000,2.58,2.94,1.48,
1709032200000,2.58,2.98,1.43,
1709032800000,2.48,3.09,2.21,
1709033400000,2.2,3.06,1.46,
1709034000000,1.99,2.67,1.78,
1709034600000,2.03,2.71,1.43,
1709035200000,1.98,2.54,1.38,
1709035800000,1.54,2.65,1.37,
1709036400000,1.63,2.67,1.24,
1709037000000,1.63,2.68,1.3,
1709037600000,1.62,2.62,1.37,
1709038200000,1.41,2.8,1.25,
1709038800000,1.38,2.61,1.24,
1709039400000,1.41,2.61,1.57,
1709040000000,1.26,2.7,1.52,
1709040600000,1.27,2.64,1.56,
1709041200000,1.26,2.56,1.57,
1709041800000,1.29,2.69,1.51,
1709042400000,1.29,2.26,1.52,
1709043000000,1.33,2.3,1.58,
1709043600000,1.3,2.29,1.56,
1709044200000,1.29,2.22,1.55,
1709044800000,1.26,2.19,1.6,
1709045400000,1.28,2.28,1.54,
1709046000000,1.27,2.41,1.22,
1709046600000,1.27,2.31,1.19,
1709047200000,1.28,2.3,1.18,
1709047800000,1.28,2.32,1.16,
1709048400000,1.2,2.38,1.19,
1709049000000,1.11,2.22,1.14,
1709049600000,1.12,2.16,1.09,
1709050200000,1.15,2.14,1.18,
1709050800000,1.14,2.21,1.19,
1709051400000,1.15,2.15,1.18,
1709052000000,1.16,2.15,1.19,
1709052600000,1.19,2.34,1.24,
1709053200000,1.14,2.21,1.21,
1709053800000,1.15,2.19,1.14,
1709054400000,1.15,2.16,1.14,
1709055000000,1.15,2.29,1.13,
1709055600000,1.15,2.18,1.14,
1709056200000,1.14,2.15,1.18,
1709056800000,1.17,2.2,1.18,
1709057400000,1.15,2.3,1.18,
1709058000000,1.15,2.15,1.18,
1709058600000,1.17,2.08,1.19,
1709059200000,1.17,2.14,1.19,
1709059800000,1.16,2.14,1.19,
1709060400000,1.16,2.15,1.24,
1709061000000,1.16,2.13,1.14,
1709061600000,1.15,2.23,1.14,
1709062200000,1.15,2.09,1.14,
1709062800000,1.16,2.17,1.14,
1709063400000,1.16,2.07,1.15,
1709064000000,1.17,2.32,1.2,
1709064600000,1.15,2.17,1.23,
1709065200000,1.16,2.15,1.24,
1709065800000,1.17,2.3,1.18,
1709066400000,1.17,2.32,1.2,
1709067000000,1.17,2.18,1.18,
1709067600000,1.17,2.04,1.24,
1709068200000,1.19,2.35,1.25,
1709068800000,1.18,2.05,1.15,
1709069400000,1.18,2.29,1.15,
1709070000000,1.09,2.34,1.14,
1709070600000,1.1,2.2,1.1,
1709071200000,1.1,2.21,1.1,
1709071800000,1.11,2.18,1.15,
1709072400000,1.11,2.3,1.19,
1709073000000,1.11,2.18,1.18,
1709073600000,1.13,2.19,1.19,
1709074200000,1.11,2.28,1.19,
1709074800000,1.11,2.01,1.18,
1709075400000,1.12,2.15,1.14,
1709076000000,1.12,2.32,1.14,
1709076600000,1.12,2.19,1.18,
1709077200000,1.12,2.2,1.14,
1709077800000,1.1,2.29,1.14,
1709078400000,1.11,2.23,1.14,
1709079000000,1.1,2.17,1.18,
1709079600000,1.11,2.35,1.18,
1709080200000,1.11,2.19,1.23,
1709080800000,1.1,2.22,1.18,
1709081400000,1.1,2.04,1.18,
1709082000000,1.09,2.3,1.2,
1709082600000,1.08,2.21,1.13,
1709083200000,1.09,2.17,1.15,
1709083800000,1.09,2.3,1.13,
1709084400000,1.09,2.16,1.18,
1709085000000,1.08,2.22,1.14,
1709085600000,1.1,2.31,1.13,
1709086200000,1.09,2.19,1.17,
1709086800000,1.08,2.2,1.18,
1709087400000,1.08,2.29,1.18,
1709088000000,1.09,2.23,1.18,
1709088600000,1.08,2.23,1.23,
1709089200000,1.09,2.35,4.34,
1709089800000,1.17,2.26,2.16,
1709090400000,1.17,2.25,1.47,
1709091000000,1.42,2.43,1.09,
1709091600000,1.68,2.4,1.27,
1709092200000,1.79,2.24,1.19,
1709092800000,1.82,2.26,1.14,
1709093400000,1.79,2.5,1.68,
1709094000000,1.69,2.57,1.22,
1709094600000,2.15,2.71,2.89,
1709095200000,2.02,2.73,1.28,
1709095800000,2.15,2.55,1.31,
1709096399000,3.4,3.77,2.41,
1709097000000,3.4,3.83,2.45,
1709097600000,3.49,3.72,2.98,
1709098200000,3.46,3.72,2.91,
1709098800000,3.37,3.99,2.88,
1709099400000,3.4,3.82,5.64,
1709100000000,3.6,3.63,2.85,
1709100600000,3.53,3.71,2.91,
1709101200000,2.34,2.64,1.72,
1709101800000,2.35,2.54,1.73,
1709102400000,2.44,2.51,1.74,
1709103000000,2.48,2.54,1.75,
