intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue May 28 2024|  TO Mon Jun 03 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1716846600000,1.06,2.68,1.12,
1716847200000,1.19,2.75,1.16,
1716847800000,1.06,2.6,1.16,
1716848400000,1.06,2.6,1.16,
1716849000000,1.18,2.66,1.15,
1716849600000,1.06,2.46,1.11,
1716850200000,1.06,2.68,1.11,
1716850800000,1.06,2.6,1.11,
1716851400000,1.07,2.59,1.1,
1716852000000,1.19,2.68,1.11,
1716852600000,1.07,2.6,1.11,
1716853200000,1.06,20.35,1.11,
1716853800000,1.19,2.74,1.1,
1716854400000,1.06,2.74,1.16,
1716855000000,1.06,2.61,1.16,
1716855600000,1.18,2.67,1.16,
1716856200000,1.07,2.34,1.1,
1716856800000,1.06,2.61,1.11,
1716857400000,1.18,2.62,1.1,
1716858000000,1.05,2.74,1.14,
1716858600000,1.06,2.55,1.1,
1716859200000,1.19,2.55,1.1,
1716859800000,1.06,2.69,1.15,
1716860399000,1.06,2.68,1.11,
1716861000000,1.18,2.4,1.1,
1716861600000,1.06,2.31,1.17,
1716862200000,1.06,2.43,1.17,
1716862800000,1.17,2.19,1.15,
1716863400000,1.06,1.78,1.11,
1716864000000,1.07,1.95,1.11,
1716864600000,1.06,2,1.27,
1716865200000,1.19,1.94,1.43,
1716865800000,1.19,1.78,1.06,
1716866400000,1.2,1.94,1.07,
1716867000000,1.31,1.88,1.3,
1716867600000,1.18,1.81,1.35,
1716868200000,1.46,2.15,1.97,
1716868800000,1.74,2.17,1.22,
1716869400000,1.75,2.04,1.23,
1716870000000,1.9,2.14,1.15,
1716870600000,2,2.17,1.19,
1716871200000,2.09,2,1.19,
1716871800000,2,2.24,1.21,
1716872400000,1.89,2.27,1.31,
1716873000000,3.14,3.7,2.49,
1716873600000,3.53,3.67,2.51,
1716874200000,3.6,3.56,2.47,
1716874800000,3.12,3.49,2.5,
1716875400000,3.51,3.52,2.43,
1716876000000,3.39,3.67,2.82,
1716876600000,2.35,2.6,1.53,
1716877200000,2.44,2.44,1.76,
1716877800000,2,2.26,1.76,
1716878400000,2.02,2.51,1.96,
1716879000000,2.09,2.51,1.72,
1716879600000,2.27,2.54,1.9,
1716880200000,2.34,2.6,1.84,
1716880799000,1.98,2.5,1.45,
1716881400000,1.97,2.45,1.44,
1716882000000,1.75,2.5,4.25,
1716882600000,1.59,2.5,1.42,
1716883200000,1.77,2.55,1.4,
1716883800000,1.85,19.15,1.79,
1716884400000,1.66,2.47,1.48,
1716885000000,1.81,2.46,1.52,
1716885600000,1.79,2.51,4.72,
1716886200000,1.93,2.61,1.55,
1716886800000,1.77,2.78,1.72,
1716887400000,2.06,2.66,1.83,
1716888000000,1.97,2.84,1.9,
1716888600000,2.33,2.79,2.04,
1716889200000,1.95,2.69,2.02,
1716889800000,2.02,2.61,4.75,
1716890400000,2.67,2.79,2.6,
1716891000000,3.48,3.95,3.06,
1716891600000,3.42,3.86,3.1,
1716892200000,3.49,4.4,2.82,
1716892800000,3.47,4.16,2.86,
1716893400000,3.41,3.97,2.8,
1716894000000,2.37,3.03,2.24,
1716894600000,2.25,2.69,1.53,
1716895200000,2.28,2.49,1.5,
1716895800000,2.16,2.52,2.16,
1716896400000,2.17,2.48,1.49,
1716897000000,2.18,2.47,1.44,
1716897600000,2.03,2.31,1.21,
1716898200000,1.94,2.27,1.11,
1716898800000,1.96,2.39,1.09,
1716899400000,1.72,2.34,1.16,
1716900000000,1.68,2.92,1.15,
1716900600000,1.79,3.14,1.16,
1716901200000,1.68,3.06,1.14,
1716901800000,1.68,3.15,1.17,
1716902400000,1.87,3.13,1.22,
1716903000000,1.84,3.24,1.27,
1716903600000,1.99,2.94,1.21,
1716904077000,1.79,3.23,1.21,
1716904800000,1.2,2.94,1.54,
1716905400000,1.32,2.98,1.49,
1716906000000,1.2,2.97,1.51,
1716906600000,1.19,2.99,1.21,
1716907200000,1.21,2.92,1.16,
1716907800000,1.01,2.97,1.16,
1716908400000,1,3.01,1.17,
1716909000000,1,2.94,1.16,
1716909600000,1.01,2.82,1.14,
1716910200000,1.21,3.03,1.26,
1716910799000,1.08,2.88,1.25,
1716911400000,1.01,2.98,1.18,
1716912000000,1.01,2.89,1.15,
1716912600000,1.01,2.93,1.13,
1716913200000,1.13,2.78,1.12,
1716913800000,1,2.92,1.14,
1716914400000,1.17,2.57,1.11,
1716915000000,1.01,2.74,1.13,
1716915599000,1.01,2.7,1.1,
1716916200000,1.13,2.76,1.09,
1716916800000,1.01,2.62,1.11,
1716917400000,1.01,2.56,1.11,
1716918000000,1.13,2.74,1.17,
1716918600000,1.01,2.6,1.16,
1716919199000,1.18,2.41,1.15,
1716919800000,1.02,2.29,1.11,
1716920400000,1.01,2.36,1.1,
1716921000000,1.14,2.42,1.1,
1716921600000,1.12,2.33,1.19,
1716922200000,1,2.43,1.21,
1716922800000,1.14,2.44,1.21,
1716923400000,1.01,2.55,1.18,
1716924000000,1.01,2.49,1.19,
1716924600000,1.14,2.37,1.19,
1716925200000,1.02,2.45,1.18,
1716925800000,1.01,2.35,1.24,
1716926400000,1.14,2.37,1.26,
1716927000000,1.01,2.46,1.26,
1716927600000,1.01,2.37,1.19,
