intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Aug 29 2023|  TO Mon Sep 04 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1693247400000,1.12,0.74,0.76,
1693248000000,1.06,0.75,0.75,
1693248600000,0.98,0.75,0.76,
1693249200000,0.98,0.75,0.82,
1693249800000,0.98,0.76,0.81,
1693250400000,0.99,0.79,0.77,
1693251000000,0.99,0.76,0.76,
1693251600000,0.99,0.76,0.76,
1693252200000,0.99,0.76,0.76,
1693252799000,0.99,0.76,0.75,
1693253400000,0.98,0.74,0.77,
1693254000000,1.01,0.79,0.77,
1693254600000,0.99,0.77,0.83,
1693255200000,0.99,0.76,0.81,
1693255800000,0.99,0.76,0.76,
1693256400000,0.99,0.73,0.75,
1693257000000,0.99,0.66,0.74,
1693257600000,0.99,0.76,0.74,
1693258200000,1,0.77,0.75,
1693258800000,1,0.79,0.75,
1693259400000,0.99,0.76,0.75,
1693260000000,1,0.76,0.81,
1693260600000,1,0.76,0.82,
1693261200000,1.01,0.79,0.76,
1693261800000,1.04,0.76,0.76,
1693262337000,1,0.76,0.76,
1693262400000,1,0.73,0.77,
1693263000000,1.04,0.73,0.77,
1693263600000,1.03,0.73,0.77,
1693264200000,1.04,0.77,0.75,
1693264800000,1.02,0.69,0.76,
1693265399000,1.03,0.77,0.75,
1693265400000,1.02,0.76,0.75,
1693266000000,0.99,0.73,0.81,
1693266600000,1.04,0.76,0.8,
1693267200000,1.03,0.76,0.75,
1693267799000,1.03,0.75,0.77,
1693268366000,1.03,0.77,0.77,
1693268400000,1.03,0.63,0.76,
1693269000000,1.03,0.77,0.76,
1693269599000,0.99,0.77,0.77,
1693269600000,0.99,0.73,0.77,
1693270199000,1.04,0.76,0.76,
1693270200000,1.04,0.76,0.77,
1693270799000,1.04,0.76,0.77,
1693270800000,1.04,0.76,0.77,
1693271400000,1.05,0.76,0.8,
1693272000000,1.03,0.76,0.8,
1693272600000,1.03,0.76,0.77,
1693273200000,0.99,0.75,0.75,
1693273800000,1.03,0.73,0.75,
1693274400000,1.05,0.75,0.75,
1693274999000,1.03,0.76,0.76,
1693275000000,1.03,0.75,0.76,
1693275600000,1.03,0.76,0.76,
1693276200000,1.03,0.75,0.76,
1693276800000,1,0.75,0.8,
1693277400000,1.02,0.75,0.81,
1693278000000,1.02,0.81,1.74,
1693278599000,1.02,0.78,1.05,
1693278600000,1.02,0.73,1.05,
1693279200000,1.01,0.78,4.47,
1693279800000,1,0.84,3.89,
1693280400000,1.03,0.88,1.3,
1693281000000,1.12,0.77,1.38,
1693281600000,1.28,0.82,1.32,
1693282183000,1.39,1.06,3.24,
1693282200000,1.38,1.09,3.22,
1693282800000,1.47,0.93,4.09,
1693283400000,1.68,1.09,4.61,
1693284000000,1.98,1.1,1.28,
1693284600000,2.23,1.39,1.29,
1693285200000,2.38,1.46,1.28,
1693285800000,2.42,1.5,1.27,
1693286399000,2.31,1.33,1.28,
1693286400000,2.32,1.33,1.28,
1693287000000,2.4,1.38,4.57,
1693287552000,4.35,3.23,3.66,
1693287600000,3.79,2.64,3.07,
1693288200000,3.55,2.52,3.06,
1693288800000,3.48,2.58,3.03,
1693289400000,3.72,2.76,3.13,
1693290000000,3.73,2.79,3.14,
1693290600000,3.64,2.65,3.12,
1693291200000,3.49,2.73,3.02,
1693291757000,2.1,1.45,1.67,
1693291800000,2.19,1.47,1.71,
1693292400000,2.18,1.66,4.37,
1693293000000,2.07,1.53,1.64,
1693293600000,2,1.6,1.67,
1693294200000,2,1.46,2.29,
1693294793000,2.02,1.23,1.69,
1693294800000,2.01,1.23,1.66,
1693295392000,1.82,1.24,2.25,
1693295400000,1.79,1.23,2.34,
1693296000000,1.73,1.25,1.7,
1693296600000,2.18,1.21,1.46,
1693297199000,2.17,1.27,1.36,
1693297200000,2.16,1.25,1.38,
1693297800000,1.98,1.12,1.38,
1693298400000,3.18,2.33,2.77,
1693299000000,3.04,2.27,2.72,
1693299600000,3.17,2.31,2.74,
1693300200000,3.24,2.32,2.7,
1693300800000,3.43,2.26,3.19,
1693301400000,3.31,2.14,3.16,
1693302000000,3.3,2.26,2.58,
1693302599000,1.95,1.4,1.39,
1693303199000,1.89,1.31,1.98,
1693303200000,1.89,1.32,1.98,
1693303800000,2.12,1.4,4.52,
1693304400000,2.67,1.3,2.99,
1693305000000,2.17,1.41,2.29,
1693305600000,3.48,2.73,5.32,
1693306043000,3.51,2.69,3.09,
1693306200000,3.55,2.73,3.2,
1693306800000,3.51,2.75,3.14,
1693307400000,3.52,2.8,3.47,
1693308000000,1.86,1.66,4.39,
1693308600000,1.72,1.82,1.41,
1693309200000,1.53,1.44,2.4,
1693309800000,1.36,1.39,1.74,
1693310400000,1.35,1.25,1.66,
1693311000000,1.4,1.15,1.45,
1693311600000,1.36,1.16,1.37,
1693312178000,1.25,1.13,1.42,
1693312200000,1.25,1.14,1.41,
1693312800000,1.22,1.07,1.38,
1693313400000,1.22,1.08,1.17,
1693314000000,1.22,0.93,1.15,
1693314600000,1.24,1.06,1.16,
1693315200000,1.23,1.08,1.15,
1693315799000,1.22,1.04,1.23,
1693315800000,1.23,1.04,1.23,
1693316400000,1.13,1.03,1.28,
1693316988000,1.12,1.03,1.25,
1693317000000,1.12,1,1.26,
1693317600000,1.12,1,1.19,
1693318200000,1.22,1.03,1.19,
1693318800000,1.25,1.01,1.19,
1693319335000,1.25,1.01,1.2,
1693319400000,1.25,1,1.17,
