intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Oct 03 2023|  TO Mon Oct 09 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1696271400000,1.06,0.44,0.82,
1696272000000,1.08,0.43,0.78,
1696272600000,1.07,0.44,0.77,
1696273200000,1.06,0.44,1.01,
1696273800000,1,0.44,0.97,
1696274400000,1.02,0.44,1,
1696275000000,1,0.44,0.99,
1696275600000,1,0.44,0.98,
1696276200000,0.99,0.44,0.99,
1696276800000,1,0.44,0.98,
1696277400000,0.99,0.44,1.03,
1696278000000,1,0.44,0.97,
1696278600000,1,0.44,0.96,
1696279200000,1.01,0.44,0.9,
1696279800000,1.01,0.44,0.89,
1696280400000,1.06,0.44,0.89,
1696281000000,1.01,0.44,0.93,
1696281600000,1,0.44,0.93,
1696282200000,1.02,0.44,0.92,
1696282800000,1,0.44,0.91,
1696283400000,1.03,0.44,0.92,
1696284000000,1.03,0.44,0.9,
1696284600000,1.03,0.44,0.91,
1696285200000,1.01,0.44,0.9,
1696285800000,1.01,0.44,0.85,
1696286400000,1,0.44,0.86,
1696287000000,1.03,0.43,0.84,
1696287600000,1.01,0.44,0.84,
1696288200000,1,0.44,0.89,
1696288800000,1.01,0.44,0.87,
1696289400000,1.01,0.44,0.89,
1696290000000,0.99,0.43,0.88,
1696290600000,0.98,0.43,0.88,
1696291200000,0.98,0.44,0.94,
1696291800000,0.98,0.43,0.87,
1696292400000,1.01,0.43,0.83,
1696293000000,0.99,0.43,0.82,
1696293600000,0.99,0.43,0.82,
1696294200000,0.99,0.43,0.82,
1696294800000,1,0.43,0.82,
1696295400000,0.99,0.43,0.86,
1696296000000,0.99,0.43,0.86,
1696296600000,0.99,0.43,1.53,
1696297200000,0.98,0.43,0.86,
1696297800000,0.98,0.43,0.86,
1696298400000,0.99,0.44,0.91,
1696299000000,1.01,0.43,0.85,
1696299600000,0.98,0.43,1.47,
1696300200000,0.99,0.43,0.8,
1696300800000,0.99,0.43,0.8,
1696301400000,2.22,1.6,2.2,
1696302000000,2.2,1.6,2.2,
1696302600000,2.21,1.66,2.34,
1696303200000,2.22,1.66,2.33,
1696303800000,2.63,1.68,3.01,
1696304400000,2.57,1.67,2.54,
1696305000000,2.59,1.79,5.15,
1696305600000,1.77,0.7,1.33,
1696306200000,1.59,0.72,2.51,
1696306800000,1.72,0.63,1.32,
1696307400000,1.74,0.84,1.31,
1696308000000,1.72,0.71,1.98,
1696308600000,1.71,0.62,1.36,
1696309200000,2,0.83,1.97,
1696309800000,1.98,0.71,1.29,
1696310400000,1.97,0.76,1.46,
1696311000000,3.2,2.03,3.3,
1696311600000,4.45,3.36,3.91,
1696312200000,4.38,3.3,3.97,
1696312800000,4.27,3.28,4.89,
1696313400000,4.22,3.42,4.27,
1696314000000,4.2,3.31,4.16,
1696314600000,1.81,1.04,1.68,
1696315200000,1.79,1,1.68,
1696315800000,1.87,1.02,1.89,
1696316400000,1.75,1.23,4.67,
1696317000000,1.81,0.96,1.66,
1696317600000,1.73,1.13,1.65,
