intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jan 30 2024|  TO Mon Feb 05 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1706553000000,1.1,1.65,1.16,
1706553600000,1.11,1.68,1.21,
1706554200000,1.1,1.56,1.16,
1706554800000,1.11,1.58,1.17,
1706555400000,1.1,1.58,1.21,
1706556000000,1.12,1.55,1.2,
1706556600000,1.11,1.58,1.21,
1706557200000,1.12,1.57,1.25,
1706557800000,1.11,1.48,1.21,
1706558400000,1.12,1.63,1.2,
1706559000000,1.12,1.54,1.16,
1706559600000,1.13,1.69,1.16,
1706560200000,1.11,1.6,1.17,
1706560800000,1.11,1.57,1.24,
1706561400000,1.1,1.71,1.15,
1706562000000,1.12,1.54,1.16,
1706562600000,1.1,1.57,1.21,
1706563200000,1.12,1.75,1.22,
1706563800000,1.12,1.58,1.21,
1706564400000,1.13,1.55,1.26,
1706565000000,1.11,1.52,1.21,
1706565600000,1.11,1.59,1.21,
1706566200000,1.1,1.55,1.16,
1706566800000,1.11,1.73,1.16,
1706567400000,1.11,1.58,1.16,
1706568000000,1.11,1.62,1.16,
1706568600000,1.1,1.6,1.21,
1706569200000,1.08,1.4,1.16,
1706569800000,1.11,1.47,1.21,
1706570400000,1.1,1.71,1.21,
1706571000000,1.11,1.6,1.21,
1706571600000,1.1,1.37,1.21,
1706572200000,1.11,1.69,1.26,
1706572800000,1.12,1.58,1.21,
1706573400000,1.12,1.56,1.16,
1706574000000,1.12,1.65,1.16,
1706574600000,1.1,1.6,1.16,
1706575200000,1.1,1.55,1.17,
1706575800000,1.1,1.65,1.16,
1706576400000,1.11,1.59,1.21,
1706577000000,1.12,1.4,1.21,
1706577600000,1.1,1.7,1.2,
1706578200000,1.08,1.6,1.21,
1706578800000,1.1,1.57,1.21,
1706579400000,1.13,1.7,1.21,
1706580000000,1.12,1.58,1.28,
1706580600000,1.09,1.55,1.16,
1706581200000,1.11,1.7,1.16,
1706581800000,1.1,1.53,1.16,
1706582400000,1.1,1.31,1.2,
1706583000000,1.1,1.63,1.16,
1706583600000,1.11,1.68,1.16,
1706584200000,1.11,1.57,1.56,
1706584800000,1.03,1.7,1.6,
1706585400000,1.47,1.68,4.12,
1706586000000,1.42,1.81,1.39,
1706586600000,1.41,1.61,1.34,
1706587200000,1.42,1.61,1.36,
1706587800000,1.57,1.95,1.35,
1706588400000,1.69,2.13,1.23,
1706589000000,1.81,2.03,2.82,
1706589600000,1.79,2.21,1.52,
1706590200000,1.76,3.31,1.6,
1706590800000,1.91,2.14,2.27,
1706591400000,2.12,2.06,4.32,
1706592000000,2.02,2.05,1.47,
1706592600000,2.01,1.91,1.51,
1706593200000,2.02,2.09,2.14,
1706593800000,2.12,2.35,1.55,
1706594400000,2.4,2.31,2.2,
1706595000000,2.16,2.26,1.52,
1706595600000,2.03,2.25,1.57,
1706596200000,2.11,2.26,2.07,
1706596800000,2.06,2.37,1.51,
1706597400000,2.11,2.33,1.59,
1706598000000,1.77,2.33,2.07,
1706598600000,1.76,2.31,1.28,
1706599200000,1.88,2.35,1.27,
1706599800000,1.8,2.42,1.24,
1706600400000,1.65,2.29,1.5,
1706601000000,1.53,2.27,1.41,
1706601600000,1.61,2.18,1.61,
1706602200000,1.58,2.19,1.59,
1706602800000,1.77,2.32,1.6,
1706603400000,1.76,2.15,1.62,
1706604000000,1.87,2.09,1.52,
1706604600000,1.93,2.17,2.39,
1706605200000,2.15,2.27,1.77,
1706605800000,2.25,2.22,1.81,
1706606400000,2.15,2.18,2.35,
1706607000000,2.16,2.43,1.72,
1706607600000,2.21,2.33,1.77,
1706608200000,2.32,2.45,1.77,
1706608800000,2.47,2.34,1.74,
1706609400000,2.36,2.48,1.69,
1706610000000,2.14,2.35,1.72,
1706610600000,2.31,2.42,1.7,
1706611200000,2.48,2.53,2.75,
1706611800000,2.54,2.48,2.19,
1706612400000,2.39,2.25,1.99,
1706613000000,2.35,2.28,1.87,
1706613600000,2.24,2.42,1.41,
1706614200000,3.24,3.42,2.6,
1706614800000,3.01,3.32,2.69,
1706615400000,3.04,3.11,2.76,
1706616000000,2.92,3.02,3.35,
1706616600000,1.76,1.8,1.81,
1706617200000,1.41,1.77,1.42,
1706617800000,1.42,1.91,1.4,
1706618400000,1.45,1.73,1.37,
1706619000000,1.49,1.59,1.15,
1706619600000,1.52,1.83,1.22,
1706620200000,1.42,1.59,1.19,
1706620800000,1.4,1.68,1.21,
1706621400000,2.83,1.67,1.21,
1706622000000,1.27,1.78,1.3,
1706622600000,1.34,1.66,1.26,
1706623200000,1.29,1.7,1.28,
1706623800000,1.3,1.86,1.24,
1706624400000,1.31,1.68,0.98,
1706625000000,1.3,1.65,0.95,
1706625600000,1.32,1.71,1.01,
1706626200000,1.32,1.75,1.02,
1706626800000,1.31,1.67,0.98,
1706627400000,1.33,1.67,0.97,
1706628000000,1.32,1.68,0.97,
1706628600000,1.32,1.83,0.96,
