intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Apr 30 2024|  TO Mon May 06 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1714415999000,1.1,2.45,1.16,
1714416600000,1.23,2.47,1.14,
1714417200000,1.1,2.47,1.14,
1714417800000,1.23,2.46,1.09,
1714418400000,1.11,2.47,1.08,
1714419000000,1.24,2.43,1.13,
1714419600000,1.1,2.48,1.09,
1714420200000,1.11,2.5,1.09,
1714420800000,1.12,2.44,1.08,
1714421400000,1.11,2.47,1.09,
1714422000000,1.24,2.47,1.15,
1714422600000,1.11,2.46,1.14,
1714423200000,1.24,2.47,1.14,
1714423800000,1.16,2.43,1.09,
1714424400000,1.23,2.44,1.09,
1714425000000,1.1,2.48,1.1,
1714425600000,1.24,2.37,1.09,
1714426200000,1.11,2.45,1.1,
1714426800000,1.24,2.49,1.09,
1714427400000,1.12,2.48,1.09,
1714428000000,1.23,2.47,1.16,
1714428600000,1.13,2.53,1.17,
1714429200000,1.12,2.51,1.15,
1714429800000,1.25,2.39,1.13,
1714430400000,1.11,2.51,1.13,
1714431000000,1.24,2.49,1.11,
1714431600000,1.12,2.49,1.1,
1714432200000,1.24,2.43,1.09,
1714432800000,1.11,2.52,1.09,
1714433394000,1.27,2.49,1.08,
1714434000000,1.12,2.44,1.15,
1714434600000,1.11,2.47,1.17,
1714435200000,1.23,2.5,1.16,
1714435800000,1.1,2.5,1.09,
1714436400000,1.25,2.45,1.1,
1714437000000,1.11,2.49,1.09,
1714437600000,1.11,2.51,1.09,
1714438200000,1.23,2.42,1.09,
1714438800000,1.1,2.49,1.1,
1714439400000,1.22,2.44,1.13,
1714440000000,1.11,2.5,1.16,
1714440600000,1.11,2.5,1.14,
1714441200000,1.24,2.37,1.14,
