intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jun 04 2024|  TO Mon Jun 10 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1717439400000,0.93,3.04,1.13,
1717440000000,1.08,3.08,1.12,
1717440600000,0.93,3.09,1.07,
1717442400000,1.14,3.52,1.2,
1717444800000,null,null,null,
1717447200000,0.93,3.15,1.13,
1717447800000,0.94,3.15,1.13,
1717448400000,1.06,2.98,1.07,
1717449000000,0.94,3.11,1.08,
1717449600000,0.94,2.96,1.09,
1717450200000,1.06,3.11,1.07,
1717450800000,0.94,3.07,1.08,
1717451400000,0.93,3.1,1.08,
1717452000000,1.06,3.08,1.07,
1717452600000,0.93,3.09,1.07,
1717453200000,0.93,3.05,1.07,
1717453800000,0.93,3.2,1.08,
1717454400000,1.06,3.12,1.13,
1717455000000,0.93,3.15,1.12,
1717455600000,0.94,3.09,1.15,
1717456200000,0.94,2.96,1.07,
1717456800000,1.07,3.11,1.07,
1717457400000,0.94,3.13,1.07,
1717458000000,0.94,2.99,1.07,
1717458600000,1.06,3.08,1.07,
1717459200000,0.93,2.9,1.08,
1717459800000,0.93,3.05,1.06,
1717460400000,0.93,3.06,1.06,
1717461000000,1.05,3.04,1.07,
1717461600000,0.92,3.1,1.06,
1717462200000,0.91,2.97,1.07,
1717462800000,1.05,3.18,1.12,
1717463400000,1.04,3.08,1.12,
1717463999000,0.94,3.09,1.12,
1717464600000,0.93,3.05,1.07,
1717465200000,1.05,3.11,1.07,
1717465800000,0.92,3.09,1.07,
1717466400000,0.91,3.1,1.07,
1717467000000,1.07,3.11,1.07,
1717467600000,1.05,3.09,1.06,
1717468200000,0.92,3.07,1.07,
1717468800000,0.92,3.12,1.07,
1717469400000,1.22,3.19,1.06,
1717470000000,1.06,2.3,4.85,
1717470600000,1.29,2.28,1.47,
1717471200000,1.4,2.3,4.28,
1717471800000,1.25,2.27,1.23,
1717472400000,1.25,2.3,1.16,
1717473000000,1.38,2.25,1.05,
1717473600000,1.69,2.24,1.2,
1717474200000,1.67,2.58,1.16,
1717474800000,1.65,2.54,1.28,
1717475400000,1.76,2.55,1.34,
1717476000000,1.69,2.65,2.48,
1717476600000,1.79,2.79,1.3,
1717477200000,1.92,2.91,1.2,
1717477800000,2.14,2.87,1.27,
1717478400000,2.02,2.79,1.43,
1717479000000,2.5,2.98,2.31,
1717479600000,2.61,2.92,1.88,
1717480200000,2.65,2.94,1.73,
1717480800000,2.67,3.12,4.38,
1717481400000,2.32,3.02,1.81,
1717482000000,2.29,2.77,1.92,
1717482600000,2.23,2.84,2.51,
1717483200000,2.18,2.9,1.87,
1717483800000,2.38,2.89,1.88,
1717484400000,2.23,2.69,1.52,
1717485000000,2.25,2.83,1.47,
1717485600000,2.23,2.78,1.99,
1717486200000,2.2,4.35,1.41,
1717486800000,1.9,2.87,1.41,
1717487400000,1.88,2.77,1.41,
1717488000000,2.03,2.83,1.35,
1717488600000,1.73,2.85,4.41,
1717489200000,1.47,2.89,2.28,
1717489800000,1.6,2.89,1.49,
1717490400000,1.66,3.03,3.76,
1717491000000,1.82,2.8,1.49,
1717491600000,2.22,3.11,1.46,
1717492200000,2.1,3.05,1.49,
1717492800000,2.19,2.89,1.51,
1717493400000,2.29,2.94,1.52,
1717494000000,2.07,2.88,1.56,
1717494600000,2.16,3.01,1.56,
1717495200000,2.11,2.98,1.52,
1717495800000,2.06,3,1.59,
1717496400000,2.17,2.98,1.59,
1717497000000,2.03,2.98,1.61,
1717497600000,2.2,3.1,1.59,
1717498200000,2.43,3.01,1.85,
1717498800000,3.63,4.22,2.83,
1717499399000,3.55,4.07,2.85,
1717500000000,3.65,4.03,6.55,
1717500600000,3.55,4.08,2.82,
1717501200000,3.44,3.8,2.88,
1717501800000,2.32,2.69,1.7,
1717502400000,2.25,2.74,1.71,
1717503000000,2.1,2.63,1.24,
1717503600000,2.03,2.6,1.23,
1717504200000,1.85,2.56,1.2,
1717504800000,1.42,2.44,1.14,
1717505400000,1.36,2.43,1.55,
1717506000000,1.36,2.45,1.55,
1717506600000,1.23,2.27,1.49,
1717507199000,1.35,2.3,1.52,
1717507800000,1.48,2.3,1.53,
1717508400000,1.36,2.27,1.57,
1717509000000,1.35,2.26,1.58,
1717509600000,1.47,2.26,1.57,
1717510200000,1.16,2.21,1.59,
1717510800000,1.11,2.22,1.5,
1717511400000,1.26,2.24,1.16,
1717512000000,1.14,2.2,1.17,
1717512600000,1.13,2.22,1.16,
1717513200000,1.13,2.21,1.16,
1717513800000,1.14,2.24,1.13,
1717514400000,1,2.23,1.13,
1717515000000,1.02,2.26,1.12,
1717515600000,1.14,2.25,1.12,
1717516200000,1.06,2.21,1.18,
1717516800000,1.09,2,1.17,
1717517400000,1.17,2.26,1.17,
1717518000000,1.1,2.23,1.14,
1717518600000,1.11,2.15,1.15,
1717519200000,1.2,2.18,1.15,
1717519800000,1.2,2.16,1.15,
1717520400000,1.09,2.26,1.16,
1717521000000,1.12,2.21,1.15,
1717521600000,1.24,2.2,1.15,
1717522200000,1.1,2.28,1.14,
1717522800000,1.1,2.2,1.14,
1717523400000,1.21,2.25,1.15,
1717524000000,1.09,2.22,1.15,
1717524600000,1.04,2.28,1.18,
1717525200000,1.18,2.18,1.18,
1717525800000,1.17,2.24,1.17,
1717526400000,1.04,2.24,1.13,
1717527000000,1.05,2.24,1.13,
1717527600000,1.17,2.22,1.15,
1717528200000,1.05,2.12,1.16,
1717528800000,1.05,2.23,1.15,
1717529400000,1.17,2.19,1.14,
1717530000000,1.18,2.08,1.15,
1717530600000,1.05,2.29,1.15,
1717531200000,1.05,2.21,1.13,
1717531800000,1.19,2.16,1.13,
1717532400000,1.06,2.29,1.19,
1717533000000,1.06,2.3,1.18,
1717533600000,1.05,2.14,1.17,
1717534200000,1.19,2.29,1.13,
1717534800000,1.06,2.23,1.13,
1717535400000,1.06,2.41,1.13,
1717536000000,1.19,2.81,1.13,
1717536600000,1.06,2.4,1.13,
1717537200000,1.07,2.95,1.13,
1717537800000,1.06,3.12,1.13,
1717538400000,1.19,3.09,1.13,
1717539000000,1.07,2.95,1.13,
1717539600000,1.06,3.06,1.13,
1717540200000,1.19,3.14,1.19,
1717540800000,1.06,3.02,1.18,
1717541400000,1.06,2.75,1.18,
1717542000000,1.19,3.06,1.18,
1717542600000,1.06,3.07,1.13,
1717543200000,1.06,3,1.15,
1717543800000,1.19,3.09,1.14,
1717544400000,1.05,2.67,1.13,
1717545000000,1.05,2.77,1.13,
1717545600000,1.05,2.92,1.13,
1717546200000,1.17,2.89,1.13,
1717546800000,1.05,2.95,1.13,
1717547400000,1.04,3.05,1.13,
1717548000000,1.15,3.03,1.13,
1717548600000,1.04,2.71,1.18,
1717549200000,1.04,2.77,1.17,
1717549800000,1.17,3.06,1.18,
1717550400000,1.05,3.07,1.13,
1717551000000,1.03,2.99,1.12,
1717551600000,1.17,2.15,1.13,
1717552200000,1.04,2.2,1.12,
1717552800000,1.04,2.23,1.13,
1717553400000,1.04,2.22,1.12,
1717554000000,1.16,2.16,1.13,
1717554600000,1.03,2.28,1.12,
1717555200000,1.05,2.26,1.12,
1717555800000,1.18,2.24,1.13,
1717556400000,1.22,2.25,4.89,
1717557000000,1.39,2.25,1.49,
1717557600000,1.38,2.31,1.5,
1717558200000,1.48,2.39,1.96,
1717558800000,1.37,2.4,1.26,
