intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Dec 05 2023|  TO Mon Dec 11 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1701714600000,1.3,1.24,0.99,
1701715200000,1.31,1.11,1.03,
1701715800000,1.3,1.26,1.03,
1701716400000,1.29,1.17,0.98,
1701717000000,1.29,1.14,1.04,
1701717600000,1.3,1.14,1.03,
1701718200000,1.34,1.02,1.03,
1701718800000,1.32,1,1,
1701719400000,1.35,1,1.08,
1701720000000,1.31,1.02,1.04,
1701720600000,1.33,1,1.04,
1701721200000,1.32,0.97,1.06,
1701721800000,1.32,1.13,1,
1701722400000,1.3,0.98,1.11,
1701722999000,1.31,1,1.11,
1701723600000,1.31,1.12,1.16,
1701724200000,1.31,1,1.11,
1701724800000,1.32,0.97,1.1,
1701725400000,1.29,1,1.09,
1701726000000,1.24,1,1.04,
1701726600000,1.26,1,1.04,
1701727200000,1.25,0.98,1.04,
1701727800000,1.24,1.13,1.09,
1701728399000,1.24,1,1,
1701729000000,1.24,1.05,1,
1701729600000,1.25,1.12,1.01,
1701730200000,1.24,1.01,1.04,
1701730800000,1.24,1,0.99,
1701731400000,1.24,0.97,0.99,
1701732000000,1.23,1.12,1.04,
1701732600000,1.23,0.99,1.04,
1701733200000,1.27,0.97,1.04,
1701733800000,1.24,1.1,1.04,
1701734400000,1.23,0.99,1.09,
1701735000000,1.22,0.99,1.04,
1701735600000,1.24,0.96,0.99,
1701736200000,1.24,0.98,1,
1701736800000,1.23,0.89,1.03,
1701737400000,1.22,1,0.99,
1701738000000,1.21,1.16,0.99,
1701738600000,1.21,0.99,0.99,
1701739200000,1.24,0.97,1.03,
1701739800000,1.22,1.13,1.03,
1701740400000,1.24,1.01,1.03,
1701741000000,1.22,1.02,1.08,
1701741600000,1.22,1.03,1.03,
1701742200000,1.23,0.97,1.03,
1701742800000,1.22,0.98,0.99,
1701743400000,1.22,0.95,1.03,
1701744000000,1.21,1.1,0.99,
1701744600000,1.21,0.95,0.99,
1701745200000,1.19,1.03,1.95,
1701745800000,1.19,1.03,2.57,
1701746400000,1.27,1.34,1,
1701747000000,1.48,1.56,1.9,
1701747600000,1.68,1.63,1.18,
1701748200000,1.49,1.82,1.75,
1701748800000,1.55,1.77,1.75,
1701749400000,1.49,1.75,2.43,
1701749999000,1.48,1.85,1.6,
1701750600000,1.7,1.79,1.8,
1701751200000,1.73,1.82,1.1,
1701751800000,1.78,1.82,1.73,
1701752400000,1.82,1.97,1.47,
1701753000000,2.02,1.95,1.52,
1701753600000,2,1.77,2.2,
1701754200000,2.11,2.06,1.45,
1701754800000,2.14,1.81,1.43,
1701755400000,2.14,1.8,5.57,
1701756000000,2.23,1.79,1.73,
1701756600000,2.26,1.83,1.66,
1701757200000,2.32,1.76,1.65,
1701757800000,2.33,2.07,1.68,
1701758400000,2.31,2.08,1.37,
1701759000000,2.33,2,1.81,
1701759600000,2.04,1.96,1.47,
1701760200000,2,2.06,1.3,
1701760800000,1.9,1.94,1.31,
1701761400000,1.95,1.91,1.34,
1701762000000,1.96,1.92,1.32,
1701762600000,1.96,1.89,4.1,
1701763200000,1.85,1.8,1.69,
1701763800000,1.93,1.84,1.65,
1701764400000,1.82,1.96,1.67,
1701765000000,1.8,1.86,1.55,
1701765600000,1.88,1.83,1.54,
1701766200000,2.06,2.04,1.61,
1701766800000,2.08,1.94,2.62,
1701767400000,2.12,1.95,1.72,
1701768000000,2.15,2,2.03,
1701768600000,1.98,2.14,2.38,
1701769200000,1.93,2.06,1.79,
1701769800000,1.99,2.1,1.9,
1701770400000,2.13,2.27,1.86,
1701771000000,2.02,2.08,1.95,
1701771600000,2.32,2.2,1.83,
1701772200000,2.27,2.13,1.88,
1701772800000,3.43,3.2,3.17,
1701773400000,3.35,3.13,3.07,
1701774000000,3.31,3.19,3,
1701774600000,1.99,2.13,1.81,
1701775200000,2.04,2.13,1.77,
1701775800000,1.8,2.04,1.74,
1701776400000,1.92,2.14,1.82,
1701777000000,1.81,1.89,1.72,
1701777600000,1.7,1.89,1.41,
1701778200000,1.72,1.59,1.47,
1701778800000,1.61,1.59,1.35,
1701779400000,1.68,1.66,1.19,
1701780000000,1.62,1.63,1.24,
1701780600000,1.61,1.73,1.27,
1701781200000,1.64,1.66,1.23,
1701781800000,1.55,1.66,1.61,
1701782400000,1.43,1.47,1.71,
1701783000000,1.44,1.53,1.67,
1701783600000,1.45,1.5,1.63,
1701784200000,1.44,1.52,1.61,
1701784800000,1.46,1.62,1.6,
1701785400000,1.41,1.49,1.58,
1701786000000,1.43,1.51,1.19,
1701786600000,1.38,1.62,1.2,
1701787200000,1.41,1.51,1.19,
1701787800000,1.41,1.47,1.19,
1701788400000,1.38,1.5,1.19,
1701789000000,1.39,1.51,1.24,
1701789600000,1.37,1.53,1.24,
1701790200000,1.37,1.48,1.24,
1701790800000,1.43,1.63,1.29,
1701791400000,1.36,1.49,1.23,
1701792000000,1.3,1.52,1.23,
1701792600000,1.41,1.42,1.24,
1701793200000,1.35,1.3,1.24,
1701793800000,1.39,1.31,1.19,
1701794400000,1.39,1.31,1.19,
1701795000000,1.45,1.36,1.19,
1701795600000,1.31,1.31,1.19,
1701796200000,1.31,1.3,1.19,
1701796800000,1.32,1.48,1.24,
1701797400000,1.31,1.36,1.29,
1701798000000,1.31,1.33,1.24,
1701798600000,1.32,1.42,1.24,
1701799200000,1.32,1.3,1.23,
1701799800000,1.32,1.39,1.29,
1701800400000,1.31,1.31,1.18,
1701801000000,1.3,1.36,1.19,
1701801600000,1.31,1.31,1.19,
1701802200000,1.3,1.31,1.24,
1701802800000,1.3,1.46,1.19,
1701803400000,1.31,1.31,1.19,
1701804000000,1.31,1.31,1.29,
1701804600000,1.32,1.48,1.24,
1701805200000,1.33,1.31,1.24,
1701805800000,1.34,1.32,1.24,
1701806399000,1.32,1.32,1.28,
1701807000000,1.21,1.31,1.23,
1701807600000,1.2,1.32,1.19,
1701808200000,1.2,1.3,1.2,
1701808800000,1.2,1.42,1.19,
1701809400000,1.2,1.34,1.19,
1701810000000,1.2,1.34,1.19,
1701810600000,1.2,1.46,1.19,
1701811200000,1.21,1.34,1.24,
1701811800000,1.23,1.32,1.24,
1701812400000,1.22,1.34,1.27,
1701812999000,1.22,1.29,1.3,
1701813600000,1.22,1.34,1.24,
1701814200000,1.21,1.09,1.24,
1701814800000,1.2,1.21,1.19,
1701815400000,1.22,1.04,1.24,
1701816000000,1.21,1.12,1.19,
1701816600000,1.21,1.19,1.19,
1701817200000,1.21,1.05,1.19,
1701817799000,1.2,1.07,1.24,
1701817800000,1.21,1.07,1.24,
1701818400000,1.22,1.06,1.24,
1701819000000,1.21,1.11,1.24,
1701819600000,1.22,1.09,1.24,
1701820200000,1.21,1.05,1.24,
1701820800000,1.21,1.21,1.24,
1701821400000,1.22,1.06,1.24,
1701822000000,1.19,1.09,1.24,
1701822600000,1.19,1.24,1.19,
1701823164000,1.19,1.07,1.19,
1701823200000,1.19,1.07,1.19,
1701823800000,1.19,1.06,1.19,
1701824400000,1.19,1.03,1.23,
1701825000000,1.2,1.31,1.19,
1701825600000,1.2,1.33,1.24,
1701826200000,1.19,1.32,1.24,
1701826789000,1.2,1.42,1.28,
1701826800000,1.2,1.42,1.29,
1701827400000,1.2,1.25,1.24,
1701828000000,1.2,1.33,1.24,
1701828600000,1.2,1.45,1.23,
1701829085000,1.19,1.38,1.24,
1701829200000,1.2,1.33,1.24,
1701829800000,1.2,1.3,1.19,
1701830400000,1.19,1.33,1.2,
1701830999000,1.19,1.42,1.19,
1701831000000,1.2,1.42,1.19,
1701831600000,1.19,1.39,5.62,
1701832200000,1.18,1.37,1.52,
1701832800000,1.61,1.58,1.22,
1701833400000,1.51,1.49,1.43,
1701834000000,1.63,1.48,2.11,
1701834600000,1.78,1.46,2.04,
1701835200000,1.78,1.47,1.3,
1701835800000,1.79,1.61,2.56,
1701836400000,2.03,1.63,1.28,
1701837000000,3.19,2.77,2.4,
1701837600000,3.18,2.94,2.46,
1701838200000,3.88,2.84,2.76,
1701838800000,3.11,3.05,2.81,
1701839400000,3.19,2.94,3.81,
