intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Mar 05 2024|  TO Mon Mar 11 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1709577000000,1.3,2.23,1.29,
1709577600000,1.29,2.18,1.29,
1709578200000,1.28,2.34,1.35,
1709578800000,1.31,2.25,1.34,
1709579400000,1.31,2.17,1.29,
1709580000000,1.3,2.32,1.29,
1709580599000,1.3,2.1,1.28,
1709581200000,1.28,2.28,1.28,
1709581800000,1.3,2.19,1.34,
1709582400000,1.31,2.33,1.4,
1709583000000,1.3,2.08,1.44,
1709583600000,1.29,2.21,1.39,
1709584200000,1.31,2.33,1.4,
1709584800000,1.23,2.07,1.41,
1709585400000,1.23,2.23,1.4,
1709586000000,1.24,2.22,1.34,
1709586600000,1.24,2.31,1.34,
1709587200000,1.22,2.19,1.42,
1709587800000,1.26,2.21,1.39,
1709588400000,1.23,2.26,1.35,
1709589000000,1.23,2.21,1.35,
1709589600000,1.25,2.22,1.34,
1709590200000,1.25,2.32,1.36,
1709590800000,1.26,2.26,1.36,
1709591400000,1.24,2.24,1.33,
1709592000000,1.24,2.23,1.41,
1709592600000,1.24,2.13,1.34,
1709593200000,1.25,2.28,1.34,
1709593800000,1.25,2.31,1.36,
1709594400000,1.25,2.2,1.36,
1709595000000,1.25,2.2,1.36,
1709595600000,1.24,2.35,1.35,
1709596200000,1.24,2.23,1.4,
1709596800000,1.24,2.23,1.37,
1709597400000,1.23,2.35,1.31,
1709598000000,1.23,2.26,1.32,
1709598600000,1.23,2.21,1.33,
1709599200000,1.23,2.22,1.33,
1709599800000,1.24,2.36,1.32,
1709600400000,1.24,2.19,1.33,
1709601000000,1.23,2.18,1.36,
1709601600000,1.21,2.3,1.31,
1709602200000,1.22,2.2,1.31,
1709602800000,1.21,2.19,1.3,
1709603400000,1.21,2.2,1.31,
1709604000000,1.22,2.37,1.31,
1709604600000,1.22,2.2,1.31,
1709605200000,1.2,2.21,1.31,
1709605800000,1.21,2.35,1.37,
1709606400000,1.21,2.31,1.33,
1709607000000,1.19,2.24,1.32,
1709607600000,1.21,2.23,4.5,
1709608200000,1.22,2.23,1.67,
1709608800000,1.49,2.32,1.3,
1709609400000,1.47,2.3,1.32,
1709609999000,1.46,2.28,1.39,
1709610600000,1.44,2.45,4.49,
1709611200000,1.48,2.38,2.57,
1709611800000,1.68,2.52,2.38,
1709612400000,1.65,2.81,1.41,
1709613000000,2.03,2.57,1.44,
1709613600000,2.58,2.73,2.13,
1709614199000,4.07,4.12,2.7,
1709614800000,4.04,3.98,2.75,
1709615400000,3.87,4.26,3.57,
1709616000000,3.86,4.19,2.64,
1709616600000,3.99,4.22,2.72,
1709617200000,3.81,4.2,2.75,
1709617800000,3.94,4.46,2.76,
1709618400000,3.95,4.12,2.78,
1709619000000,2.95,3.28,1.56,
1709619600000,3,3.19,1.51,
1709620200000,2.99,2.85,1.82,
1709620800000,2.96,2.85,1.89,
1709621400000,2.93,2.99,1.93,
1709622000000,2.95,2.99,1.84,
1709622600000,2.9,3.02,4.82,
1709623200000,2.78,2.88,1.95,
1709623800000,2.79,3.16,1.9,
1709624400000,2.57,3.27,1.84,
1709625000000,2.42,2.99,1.76,
1709625600000,2.22,2.97,1.52,
1709626200000,2.13,3.11,1.52,
1709626800000,2.13,2.85,1.45,
1709627400000,2.03,2.73,2.13,
1709628000000,2.09,2.82,1.48,
1709628600000,2.29,2.9,1.42,
1709629200000,2.55,2.67,1.41,
1709629800000,2.43,2.66,1.53,
1709630400000,2.42,2.89,1.59,
1709631000000,2.56,2.73,1.89,
1709631600000,2.54,2.77,1.9,
1709632200000,2.65,2.76,1.81,
1709632800000,2.73,2.96,1.88,
1709633400000,2.73,2.76,1.83,
1709634000000,2.59,2.86,1.59,
1709634600000,3.77,4.15,2.69,
1709635200000,3.77,4.27,6.13,
1709635800000,3.84,3.97,3.5,
1709636400000,3.87,3.89,2.59,
1709637000000,2.71,3.24,1.51,
1709637600000,2.65,2.98,3.97,
1709638200000,2.4,2.85,2.45,
1709638800000,2.27,2.69,1.63,
1709639400000,2.33,2.93,1.58,
1709640000000,2.41,2.78,1.32,
1709640600000,2.19,2.69,1.33,
1709641200000,2.14,3.2,1.32,
1709641800000,1.97,3.54,1.36,
1709642400000,1.86,3.61,1.32,
1709643000000,1.84,3.47,1.26,
1709643600000,1.63,3.39,1.28,
1709644200000,1.43,3.3,1.69,
1709644800000,1.42,3.01,1.68,
1709645400000,1.22,3.36,1.67,
1709646000000,1.22,3.09,1.74,
1709646600000,1.36,2.84,1.71,
1709647200000,1.37,3.02,1.66,
1709647800000,1.36,3.2,1.63,
1709648400000,1.31,2.82,1.63,
1709649000000,1.25,3,1.61,
1709649600000,1.25,2.95,1.6,
1709650200000,1.17,2.92,1.61,
1709650800000,1.1,2.87,1.67,
1709651400000,1.1,3.19,1.28,
1709652000000,1.09,3.06,1.32,
1709652600000,1.17,2.99,1.3,
1709653200000,1.16,3.04,1.33,
1709653800000,1.16,3.07,1.3,
1709654400000,1.17,3.05,1.3,
1709655000000,1.17,2.98,1.37,
1709655600000,1.16,2.78,1.38,
1709656200000,1.16,2.78,1.33,
1709656800000,1.16,3.09,1.33,
1709657400000,1.16,3.05,1.3,
1709658000000,1.17,3.02,1.26,
1709658600000,1.17,3.01,1.27,
1709659200000,1.18,3.01,1.31,
1709659800000,1.1,2.93,1.25,
1709660400000,1.09,2.95,1.19,
1709661000000,1.18,3.16,1.21,
1709661600000,1.11,2.93,1.21,
1709662200000,1.13,3.03,1.2,
1709662800000,1.11,3.11,1.18,
1709663400000,1.1,2.98,1.17,
1709664000000,1.09,2.82,1.22,
