intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  SOIL MECHANICS
FROM   Tue Jul 09 2024|  TO Tue Jul 16 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1720463400000,1.36,3.36,1.41,
1720464000000,1.24,3.29,1.42,
1720464600000,1.24,3.25,1.41,
1720465200000,1.36,3.08,1.48,
1720465800000,1.24,3.16,1.34,
1720466400000,1.23,3.22,1.29,
1720467000000,1.24,3.34,1.29,
1720467600000,1.36,3.34,1.29,
1720468200000,1.23,3.09,1.35,
1720468800000,1.24,3.31,1.32,
1720469400000,1.24,3.29,1.29,
1720470000000,1.97,3.16,1.29,
1720470600000,1.24,3.33,1.29,
1720471200000,1.24,3.32,1.35,
1720471800000,1.24,3.19,1.3,
1720472400000,1.38,3.29,1.33,
1720473000000,1.25,3.28,1.3,
1720473600000,1.25,3.29,1.3,
1720474200000,1.4,3.09,1.36,
1720474800000,1.39,3.1,1.31,
1720475400000,1.25,3.35,1.36,
1720476000000,1.26,3.16,1.33,
1720476600000,1.26,3.29,1.31,
1720477200000,1.38,3.31,1.35,
1720477800000,1.87,3.34,1.29,
1720478400000,1.25,3.19,1.3,
1720479000000,1.38,3.01,1.38,
1720479600000,1.25,3.2,1.3,
1720480200000,1.25,3.32,1.36,
1720480800000,1.37,3.17,1.3,
1720481400000,1.25,3.34,1.3,
1720482000000,1.24,3.15,1.3,
1720482600000,1.24,3.32,1.35,
1720483200000,1.37,3.2,1.34,
1720483800000,1.24,3.27,1.29,
1720484400000,1.22,3.19,1.28,
1720485000000,1.22,3.23,1.29,
1720485599000,1.33,3.19,1.29,
1720486200000,1.22,3.2,1.34,
1720486800000,1.22,3.14,1.28,
1720487400000,1.34,3.27,1.28,
1720488000000,1.22,3.12,1.29,
1720488600000,1.22,3.13,1.28,
1720489200000,1.23,3.02,1.34,
1720489800000,1.33,2.68,1.3,
1720490400000,1.21,2.42,1.28,
1720491000000,1.21,2.4,1.28,
1720491600000,1.24,2.44,1.29,
1720492200000,1.34,2.38,1.34,
1720492800000,1.21,2.41,1.28,
1720493400000,1.27,2.22,1.3,
1720494000000,1.22,2.2,1.33,
1720494600000,1.34,2.26,5.23,
1720495200000,1.86,2.19,1.97,
1720495800000,1.19,2.16,3.85,
1720496400000,1.34,2.18,1.62,
1720497000000,1.46,2.31,1.62,
1720497600000,1.34,2.27,1.69,
1720498200000,1.52,2.46,2.53,
1720498800000,1.71,2.36,1.44,
1720499400000,1.87,2.39,3.89,
1720500000000,1.75,2.58,1.49,
1720500600000,1.72,2.68,1.49,
1720501200000,1.7,2.56,1.51,
1720501800000,1.84,2.52,1.47,
1720502400000,1.65,2.52,2.12,
1720503000000,1.66,2.55,1.39,
1720503600000,1.71,2.48,1.38,
1720504200000,1.74,2.42,1.44,
1720504800000,2.22,2.56,1.42,
1720505400000,1.65,2.61,1.42,
1720506000000,1.66,2.58,1.4,
1720506600000,1.8,2.66,1.35,
1720507200000,1.67,2.6,1.32,
1720507800000,1.8,2.66,1.36,
1720508400000,1.85,2.6,1.29,
1720509000000,1.98,2.35,1.26,
1720509600000,1.83,2.51,4.14,
1720510200000,1.79,2.45,4,
1720510800000,1.91,2.51,1.32,
1720511400000,1.88,2.51,1.32,
1720512000000,2.31,2.47,1.34,
1720512600000,1.72,2.52,1.35,
1720513200000,1.86,2.62,1.27,
1720513800000,1.61,2.57,1.29,
1720514400000,1.58,2.6,1.27,
1720515000000,2.99,3.72,4.12,
1720515600000,2.98,3.67,2.52,
1720516200000,3.24,3.64,2.48,
1720516800000,3.42,3.75,2.5,
1720517400000,3.12,3.67,2.43,
1720518000000,2.97,3.66,2.53,
1720518600000,3.04,3.67,2.53,
1720519200000,2.9,3.66,2.46,
1720519800000,1.68,2.64,4.28,
1720520400000,1.79,2.65,1.28,
1720521000000,1.76,2.74,1.37,
1720521600000,1.7,2.63,4.22,
1720522200000,1.62,2.53,1.32,
1720522800000,1.77,2.56,1.27,
1720523400000,2.23,2.48,1.62,
1720524000000,1.68,2.52,1.57,
1720524600000,1.5,2.54,1.51,
1720525200000,1.48,2.48,1.47,
1720525800000,1.54,2.37,1.48,
1720526400000,1.32,2.28,1.5,
1720527000000,1.29,2.22,1.21,
1720527600000,1.39,2.19,1.19,
1720528200000,1.17,2.26,1.12,
1720528800000,1.03,3.33,1.21,
1720529400000,1.03,3.25,1.13,
1720530000000,1.28,3.07,1.11,
1720530600000,1.15,3.13,1.13,
1720531200000,1.11,3.22,1.13,
1720531800000,1.23,3.29,1.15,
1720532400000,1.27,3.11,1.14,
1720533000000,1.13,3.14,1.16,
1720533600000,1.1,3.15,1.09,
1720534200000,1.2,3.19,1.2,
1720534800000,0.99,3.19,1.52,
1720535400000,0.97,3.1,1.47,
1720536000000,1.1,3.16,1.44,
1720536600000,0.98,3.29,1.16,
1720537800000,1.1,3.25,1.17,
1720538400000,0.89,3.18,1.2,
1720539000000,0.89,3.24,1.18,
1720539600000,0.9,3.18,1.17,
1720540200000,1.02,3.24,1.24,
1720540800000,0.9,3.19,1.18,
1720541400000,0.9,3.18,1.17,
1720542000000,1.02,3.22,1.17,
1720542600000,1.03,3.32,1.18,
1720543200000,0.9,3.27,1.22,
1720543800000,0.9,3.22,1.18,
1720544400000,1.03,3.08,1.17,
1720545000000,1.03,3.16,1.17,
1720545600000,0.91,3.18,1.18,
1720546200000,0.9,3.27,1.23,
1720546800000,1.03,3.11,1.18,
1720547400000,0.9,3,1.21,
1720548000000,0.91,3.22,1.18,
1720548600000,1.04,3.23,1.18,
1720549200000,1.03,3.26,1.23,
1720549800000,0.91,3.27,1.19,
1720550400000,0.9,3.07,1.18,
1720551000000,1.03,3.24,1.2,
1720551600000,1.07,3.3,1.18,
1720552200000,0.91,3.1,1.22,
1720552800000,1.52,3.17,1.24,
1720553400000,1.03,3.17,1.22,
1720554000000,0.92,3.26,1.2,
1720554600000,0.9,3.3,1.18,
1720555200000,0.91,3.05,1.19,
1720555800000,1.04,3.24,1.24,
1720556400000,0.92,3.27,1.19,
1720557000000,0.94,3.25,1.19,
1720557600000,1.04,3.27,1.19,
1720558200000,1.04,3.09,1.19,
1720558800000,0.91,3.09,1.24,
1720559400000,0.93,3.29,1.2,
1720560000000,1.04,3.09,1.18,
1720560600000,0.91,3.16,1.18,
1720561200000,0.92,3.24,1.19,
1720561800000,0.93,3.25,1.27,
1720562400000,1.05,3.29,1.18,
1720563000000,1.57,3.2,1.19,
1720563600000,0.92,3.28,1.19,
1720564200000,0.92,3.24,1.18,
