intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Aug 01 2023|  TO Mon Aug 07 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1690828200000,250,249,250,
1690828800000,251,247,249,
1690829400000,250,247,251,
1690830000000,249,248,250,
1690830600000,251,248,251,
1690831200000,250,249,251,
1690831800000,251,249,250,
1690832400000,252,248,252,
1690833000000,251,249,252,
1690833600000,251,249,252,
1690834200000,251,248,252,
1690834800000,251,250,250,
1690835400000,252,251,251,
1690836000000,251,249,252,
1690836600000,251,249,252,
1690837200000,251,249,252,
1690837800000,253,250,251,
1690838400000,252,250,251,
1690839000000,252,251,253,
1690839600000,252,249,253,
1690840200000,252,249,253,
1690840799000,252,250,253,
1690841400000,253,251,251,
1690842000000,253,249,252,
1690842600000,252,250,253,
1690843200000,252,249,253,
1690843800000,252,248,253,
1690844400000,252,252,251,
1690845000000,252,250,251,
1690845600000,251,248,252,
1690846200000,251,250,253,
1690846800000,251,249,252,
1690847400000,250,247,249,
1690848000000,249,247,248,
1690848600000,248,246,248,
1690849200000,246,245,247,
1690849800000,246,243,247,
1690850400000,245,242,244,
1690851000000,246,244,246,
1690851600000,246,244,247,
1690852200000,247,244,247,
1690852800000,246,244,244,
1690853400000,244,241,245,
1690854000000,245,243,246,
1690854600000,244,242,245,
1690855200000,246,244,247,
1690855800000,245,245,245,
1690856400000,245,243,244,
1690857000000,245,242,245,
1690857600000,247,244,247,
1690858200000,246,243,246,
1690858800000,246,243,244,
1690859400000,244,244,247,
1690860000000,245,242,246,
1690860600000,244,242,246,
1690861200000,246,245,245,
1690861800000,246,242,245,
1690862400000,247,245,247,
1690863000000,243,239,243,
1690863600000,245,242,246,
1690864200000,245,243,244,
1690864800000,243,242,245,
1690865400000,244,241,245,
1690866000000,244,240,244,
1690866600000,244,242,245,
1690867200000,243,241,243,
1690867800000,244,241,246,
1690868400000,245,241,246,
1690869000000,244,243,245,
1690869600000,244,241,245,
1690870200000,244,240,245,
1690870800000,243,242,243,
1690871400000,242,239,243,
1690872000000,242,241,244,
1690872600000,245,243,244,
1690873200000,242,240,241,
1690873800000,242,240,244,
1690874400000,243,242,244,
1690875000000,245,242,246,
1690875600000,243,240,242,
1690876200000,242,241,244,
1690876800000,242,241,245,
1690877400000,243,240,245,
1690878000000,244,240,242,
1690878600000,243,241,244,
1690879200000,242,240,244,
1690879800000,243,240,246,
1690880400000,244,242,243,
1690881000000,243,241,245,
1690881600000,243,241,245,
1690882200000,240,238,243,
1690882800000,239,238,243,
1690883400000,241,240,241,
1690884000000,241,239,242,
1690884600000,240,238,243,
1690885200000,243,242,245,
1690885800000,243,242,243,
1690886400000,243,239,244,
1690887000000,243,241,244,
1690887600000,243,241,244,
1690888200000,244,242,243,
1690888800000,241,241,242,
1690889400000,243,240,244,
1690890000000,243,240,243,
1690890600000,242,241,243,
1690891200000,245,242,244,
1690891800000,243,241,244,
1690892400000,245,243,246,
1690893000000,242,242,244,
1690893600000,245,243,244,
1690894200000,243,243,245,
1690894800000,243,243,244,
1690895400000,242,240,243,
1690896000000,245,244,244,
1690896600000,243,243,244,
1690897200000,243,241,245,
1690897800000,245,243,247,
1690898400000,245,245,244,
1690899000000,245,243,244,
1690899600000,245,243,246,
1690900200000,246,243,247,
1690900800000,245,242,246,
1690901400000,245,244,245,
1690902000000,245,244,246,
1690902600000,244,242,245,
1690903200000,244,241,245,
1690903800000,245,244,244,
1690904400000,244,243,245,
1690905000000,244,242,245,
1690905600000,246,244,246,
1690906200000,246,245,245,
1690906800000,247,244,246,
1690907400000,245,242,246,
1690908000000,245,242,245,
1690908600000,246,243,244,
1690909200000,246,243,245,
1690909800000,248,242,248,
1690910400000,248,245,249,
1690911000000,249,245,250,
1690911600000,251,245,249,
1690912200000,250,246,249,
