intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Oct 10 2023|  TO Mon Oct 16 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1696876200000,248,247,249,
1696876800000,247,245,247,
1696877400000,248,246,248,
1696878000000,248,246,248,
1696878600000,247,246,248,
1696879200000,248,247,249,
1696879800000,247,247,249,
1696880400000,248,246,248,
1696881000000,248,247,249,
1696881600000,248,247,248,
1696882200000,248,246,249,
1696882800000,248,248,249,
1696883400000,248,248,248,
1696884000000,249,247,249,
1696884600000,249,247,249,
1696885200000,249,248,250,
1696885800000,249,247,250,
1696886400000,249,248,249,
1696887000000,249,248,250,
1696887600000,248,248,249,
1696888200000,249,247,249,
1696888800000,249,248,250,
1696889400000,250,247,249,
1696890000000,249,248,250,
1696890600000,250,249,249,
1696891200000,248,247,249,
1696891800000,249,247,248,
1696892400000,249,247,249,
1696893000000,249,247,249,
1696893600000,249,246,249,
1696894200000,248,246,249,
1696894800000,248,246,248,
1696895400000,247,245,248,
1696896000000,247,245,247,
1696896600000,246,244,247,
1696897200000,246,244,245,
1696897800000,246,245,247,
1696898400000,244,243,245,
1696899000000,244,244,246,
1696899600000,245,245,247,
1696900200000,246,246,248,
1696900800000,243,243,243,
1696901400000,245,245,247,
1696902000000,244,243,245,
1696902600000,245,245,246,
1696903200000,246,245,247,
1696903800000,246,246,247,
1696904400000,246,245,246,
1696905000000,243,241,244,
1696905600000,246,244,246,
1696906200000,245,243,245,
1696906800000,244,242,244,
1696907400000,245,244,246,
1696908000000,246,244,245,
1696908600000,246,244,245,
1696909200000,245,244,246,
1696909800000,245,244,246,
1696910400000,243,242,243,
1696911000000,243,241,245,
1696911600000,242,242,243,
1696912200000,243,240,243,
1696912800000,244,243,245,
1696913400000,245,242,245,
1696914000000,242,240,242,
1696914600000,244,243,245,
1696915200000,243,241,244,
1696915800000,243,243,245,
1696916400000,244,242,246,
1696917000000,244,240,243,
1696917600000,245,242,245,
1696918200000,243,239,242,
1696918800000,243,242,243,
1696919400000,244,242,246,
1696920000000,243,241,245,
1696920600000,245,239,244,
1696921200000,243,241,244,
1696921800000,241,239,241,
1696922400000,242,239,243,
1696923000000,245,242,245,
1696923600000,245,241,244,
1696924200000,242,240,241,
1696924800000,241,240,242,
1696925400000,243,238,243,
1696926000000,244,241,243,
1696926600000,244,241,243,
1696927200000,244,240,245,
1696927800000,243,241,244,
1696928400000,242,239,244,
1696929000000,243,241,244,
1696929600000,243,240,242,
1696930200000,242,239,244,
1696930800000,243,239,244,
1696931400000,244,239,245,
1696932000000,243,241,245,
1696932600000,242,240,245,
1696933200000,244,240,245,
1696933799000,245,242,246,
1696934400000,248,243,248,
1696935000000,246,245,250,
1696935600000,249,246,249,
1696936200000,243,240,245,
1696936800000,240,240,244,
1696937400000,244,240,246,
1696938000000,240,240,244,
1696938600000,241,240,244,
1696939200000,243,239,245,
1696939800000,242,241,245,
1696940400000,243,240,245,
1696941000000,241,240,244,
1696941600000,244,242,246,
1696942200000,241,241,244,
1696942800000,241,241,244,
1696943400000,242,242,246,
1696944000000,241,240,243,
1696944600000,243,243,245,
1696945200000,243,242,245,
1696945800000,243,243,244,
1696946400000,244,243,246,
1696947000000,243,243,246,
1696947600000,244,244,245,
1696948200000,246,245,248,
1696948800000,246,246,247,
1696949400000,246,246,248,
1696950000000,247,246,249,
1696950600000,246,245,248,
1696951200000,246,248,247,
1696951799000,247,247,249,
1696952400000,247,247,249,
1696953000000,247,248,250,
1696953600000,246,246,248,
1696954200000,244,243,245,
1696954800000,244,244,245,
1696955400000,246,246,247,
1696956000000,245,245,247,
1696956600000,246,244,246,
1696957199000,246,246,247,
1696957800000,246,245,247,
1696958400000,246,246,247,
1696959000000,247,246,248,
1696959600000,246,245,247,
1696960200000,247,246,248,
1696960800000,249,248,249,
1696961400000,247,248,249,
1696962000000,249,247,249,
1696962600000,250,247,251,
1696963200000,249,248,248,
1696963800000,248,246,248,
1696964400000,248,248,248,
1696965000000,248,246,248,
1696965600000,249,247,249,
1696966200000,249,247,250,
1696966800000,248,249,250,
1696967400000,249,248,250,
1696968000000,250,248,250,
