intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Mar 12 2024|  TO Mon Mar 18 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1710181800000,246,243,245,
1710182400000,243,241,244,
1710183000000,244,242,244,
1710183600000,245,242,245,
1710184200000,245,243,245,
1710184799000,245,243,246,
1710185400000,247,243,248,
1710186000000,247,245,248,
1710186600000,248,245,246,
1710187200000,247,246,248,
1710187800000,247,246,248,
1710188400000,248,245,248,
1710189000000,250,247,251,
1710189600000,249,246,249,
1710190200000,249,246,249,
1710190800000,249,247,249,
1710191400000,250,247,250,
1710192000000,249,248,250,
1710192600000,250,249,251,
1710193200000,249,246,249,
1710193800000,248,247,249,
1710194400000,250,247,249,
1710195000000,249,246,249,
1710195600000,249,247,250,
1710196200000,250,247,250,
1710196800000,248,246,249,
1710197400000,249,248,250,
1710198000000,249,248,249,
1710198600000,250,246,249,
1710199200000,249,245,248,
1710199800000,248,246,249,
1710200400000,249,247,249,
1710201000000,249,247,249,
1710201600000,249,246,249,
1710202200000,247,246,248,
1710202800000,245,244,247,
1710203400000,248,246,249,
1710204000000,246,246,248,
1710204600000,245,244,247,
1710205200000,244,242,244,
1710205800000,244,243,245,
1710206400000,242,241,244,
1710207000000,242,241,244,
1710207600000,243,241,245,
1710208200000,243,240,243,
1710208800000,243,240,243,
1710209400000,246,243,246,
1710210000000,243,241,244,
1710210600000,244,242,244,
1710211200000,244,241,243,
1710211800000,245,242,245,
1710212400000,244,241,244,
1710213000000,243,241,245,
1710213600000,243,241,244,
1710214200000,241,239,241,
1710214800000,244,241,244,
1710215400000,242,238,241,
1710216000000,243,240,243,
1710216600000,241,239,243,
1710217200000,243,240,243,
1710217800000,244,240,243,
1710218400000,241,237,241,
1710219000000,241,237,242,
1710219600000,241,236,241,
1710220200000,240,236,240,
1710220800000,241,238,244,
1710221400000,241,235,241,
1710222000000,241,237,240,
1710222600000,240,238,240,
1710223200000,243,241,243,
1710223800000,243,239,243,
1710224400000,239,238,238,
1710225000000,241,238,240,
1710225600000,238,236,239,
1710226200000,241,238,240,
1710226800000,239,236,239,
1710227400000,240,237,240,
1710228000000,240,238,240,
1710228600000,243,240,242,
1710229200000,241,236,240,
1710229800000,241,237,241,
1710230400000,242,237,241,
1710231000000,241,237,241,
1710231600000,242,236,240,
1710232200000,242,237,242,
1710232800000,242,237,241,
1710233400000,243,238,243,
1710234000000,243,239,243,
1710234600000,242,239,241,
1710235200000,242,237,241,
1710235800000,242,237,241,
1710236400000,243,235,242,
1710237000000,241,237,239,
1710237600000,241,236,239,
1710238200000,240,236,240,
1710238800000,241,235,240,
1710239400000,241,238,243,
1710240000000,243,239,243,
1710240600000,243,238,243,
1710241200000,243,239,243,
1710241800000,242,238,243,
1710242400000,240,235,240,
1710243000000,241,236,242,
1710243600000,240,237,241,
1710244200000,242,239,243,
1710244800000,242,238,243,
1710245400000,242,238,242,
1710246000000,242,238,242,
1710246600000,243,240,242,
1710247200000,241,240,241,
1710247800000,242,239,242,
1710248400000,243,239,243,
1710249000000,241,238,241,
1710249600000,242,239,242,
1710250200000,243,240,244,
1710250800000,242,238,242,
1710251400000,242,238,242,
1710252000000,243,240,243,
1710252600000,240,238,239,
1710253200000,242,239,241,
1710253800000,243,239,243,
1710254400000,243,239,243,
1710255000000,243,241,244,
1710255600000,245,240,244,
1710256200000,244,242,244,
1710256800000,244,240,244,
1710257400000,244,242,244,
1710258000000,243,240,244,
1710258600000,243,240,244,
1710259200000,242,239,243,
1710259800000,243,240,244,
1710260400000,244,240,244,
1710261000000,245,242,244,
1710261600000,243,240,242,
1710262200000,242,240,242,
1710262800000,243,240,243,
1710263400000,243,240,243,
1710264000000,243,239,243,
1710264600000,245,242,246,
1710265200000,244,241,244,
1710265800000,242,239,242,
1710266400000,243,240,243,
1710267000000,243,241,244,
1710267600000,244,241,245,
1710268200000,246,243,247,
1710268800000,243,240,244,
1710269400000,244,241,245,
1710270000000,245,242,245,
1710270600000,245,243,244,
1710271200000,246,243,246,
1710271800000,247,244,247,
1710272400000,247,242,248,
1710273000000,247,243,247,
1710273600000,248,245,249,
1710274200000,247,245,248,
1710274800000,248,245,249,
1710275400000,249,247,249,
1710275999000,249,245,249,
1710276600000,249,245,249,
1710277200000,249,247,250,
1710277800000,249,246,250,
1710278400000,250,247,250,
1710279000000,251,249,250,
1710279600000,249,248,250,
1710280200000,249,247,250,
1710280800000,250,246,250,
1710281400000,250,246,250,
1710282000000,250,247,251,
1710282600000,251,247,251,
1710283200000,249,246,249,
1710283800000,249,246,250,
1710284400000,249,246,249,
1710285000000,249,247,250,
1710285600000,249,245,249,
1710286200000,249,246,249,
1710286800000,248,247,249,
1710287400000,249,246,249,
1710288000000,248,246,248,
1710288600000,248,246,249,
1710289200000,248,246,248,
1710289800000,248,246,249,
1710290400000,249,245,249,
1710291000000,247,245,247,
1710291600000,245,241,245,
1710292200000,244,240,243,
1710292800000,244,240,244,
1710293400000,243,240,242,
1710294000000,243,240,243,
1710294600000,244,242,245,
1710295200000,245,242,245,
1710295799000,245,242,245,
1710296400000,244,241,243,
1710297000000,244,242,244,
1710297600000,244,241,244,
1710298200000,245,242,244,
1710298800000,241,240,242,
1710299400000,244,242,245,
1710299999000,245,241,244,
1710300600000,244,241,245,
1710301200000,242,239,242,
1710301800000,246,239,243,
1710302400000,244,240,243,
