intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Sep 12 2023|  TO Mon Sep 18 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1694457000000,249,248,250,
1694457600000,247,244,247,
1694458200000,248,245,247,
1694458800000,247,244,247,
1694459400000,246,245,247,
1694460000000,248,245,247,
1694460600000,247,247,248,
1694461200000,249,247,248,
1694461800000,249,247,249,
1694462400000,249,246,249,
1694463000000,250,247,249,
1694463600000,249,247,249,
1694464200000,250,247,250,
1694464800000,250,248,250,
1694465400000,249,248,250,
1694466000000,250,248,250,
1694466600000,250,249,250,
1694467200000,251,250,251,
1694467800000,251,249,251,
1694468400000,251,250,251,
1694468999000,250,249,251,
1694469000000,250,249,250,
1694469600000,251,249,251,
1694470200000,250,249,251,
1694470752000,251,248,251,
1694470800000,250,249,251,
1694471400000,251,249,252,
1694472000000,250,249,251,
1694472526000,251,248,251,
1694472600000,250,249,251,
1694473200000,250,249,250,
1694473755000,251,248,250,
1694473800000,251,248,250,
1694474400000,250,248,250,
1694475000000,252,249,252,
1694475590000,250,247,250,
1694475600000,250,247,250,
1694476200000,249,247,249,
1694476800000,250,247,249,
1694477400000,248,246,248,
1694478000000,247,246,247,
1694478600000,247,245,248,
1694479200000,247,245,247,
1694479800000,244,242,244,
1694480377000,245,243,245,
1694480400000,245,243,245,
1694481000000,245,243,245,
1694481600000,245,244,246,
1694482200000,244,242,244,
1694482800000,245,242,245,
1694483400000,244,242,244,
1694484000000,245,243,245,
1694484599000,245,243,245,
1694484600000,245,243,245,
1694485200000,244,243,245,
1694485800000,245,244,246,
1694486400000,243,242,244,
1694487000000,246,244,246,
1694487600000,243,243,245,
1694488200000,245,244,246,
1694488800000,245,244,246,
1694489400000,246,245,246,
1694490000000,242,241,243,
1694490600000,244,242,243,
1694491200000,246,244,246,
1694491799000,245,242,245,
1694491800000,245,242,245,
1694492383000,243,241,245,
1694492400000,244,241,244,
1694493000000,245,241,245,
1694493600000,246,242,246,
1694494200000,245,244,245,
1694494800000,244,243,246,
1694495400000,245,243,246,
1694495994000,243,243,245,
1694496000000,243,242,245,
1694496600000,244,241,244,
1694497200000,244,241,244,
1694497795000,245,242,244,
1694497800000,245,242,244,
1694498400000,244,242,244,
1694498999000,243,241,244,
1694499000000,244,241,244,
1694499581000,244,241,244,
1694499600000,244,241,245,
1694500200000,244,241,244,
1694500800000,243,240,244,
1694501400000,242,241,244,
1694502000000,241,241,244,
1694502600000,243,242,244,
1694503200000,243,241,245,
1694503768000,245,242,245,
1694503800000,245,242,245,
1694504400000,242,238,242,
1694505000000,243,239,243,
1694505600000,241,241,243,
1694506200000,241,238,242,
1694506800000,244,241,245,
1694507400000,243,240,244,
1694507999000,243,242,246,
1694508599000,242,240,243,
1694508600000,242,240,243,
1694509194000,243,240,244,
1694509200000,243,240,244,
1694509799000,240,239,243,
1694509800000,240,239,243,
1694510239000,241,237,241,
1694510400000,241,239,243,
1694511000000,241,239,243,
1694511600000,243,241,243,
1694512199000,243,240,244,
1694512800000,242,239,242,
1694513400000,243,240,244,
1694514000000,242,241,245,
1694514600000,244,242,245,
1694515200000,242,242,245,
1694515800000,243,240,244,
1694516400000,243,240,243,
1694517000000,242,239,242,
1694517387000,242,239,243,
1694517600000,241,241,244,
1694518200000,243,242,244,
1694518799000,242,240,242,
1694518800000,242,240,242,
1694519400000,243,240,242,
1694520000000,245,242,244,
1694520600000,243,240,242,
1694521200000,243,239,242,
1694521800000,245,244,245,
1694522400000,244,242,244,
1694523000000,244,242,244,
1694523600000,244,241,243,
1694524200000,245,243,244,
1694524800000,245,242,244,
1694525400000,246,243,246,
1694526000000,243,242,243,
1694526600000,243,242,244,
1694527200000,244,243,245,
1694527800000,246,244,245,
1694528400000,243,241,243,
1694529000000,244,243,244,
1694529600000,246,243,246,
1694530199000,245,244,245,
1694530799000,245,244,245,
1694531400000,244,243,244,
1694532000000,245,243,244,
1694532600000,245,244,245,
1694533199000,246,244,245,
1694533200000,246,244,245,
1694533800000,245,244,247,
1694534399000,247,245,247,
1694534400000,247,245,247,
1694535000000,247,245,247,
1694535575000,248,246,249,
1694535600000,248,246,249,
1694536200000,249,248,249,
1694536800000,246,245,246,
1694537400000,245,243,245,
1694538000000,245,243,244,
1694538600000,246,243,246,
1694539200000,245,244,246,
1694539800000,247,244,247,
1694540400000,247,244,246,
1694541000000,246,245,246,
1694541579000,247,246,246,
1694541600000,247,246,246,
1694542200000,247,245,247,
1694542800000,247,246,248,
1694543400000,249,247,249,
1694544000000,247,245,246,
