intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  CSA GROUND FLOOR
FROM   Tue Feb 13 2024|  TO Mon Feb 19 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1707762600000,249,246,248,
1707763200000,247,245,247,
1707763800000,247,244,247,
1707764400000,247,243,247,
1707765000000,248,244,248,
1707765600000,249,245,248,
1707766200000,249,246,249,
1707766800000,249,248,249,
1707767400000,249,248,249,
1707768000000,251,247,249,
1707768600000,250,249,248,
1707769200000,251,248,251,
1707769800000,252,250,252,
1707770400000,252,248,251,
1707771000000,250,249,251,
1707771600000,251,248,250,
1707772200000,251,248,251,
1707772800000,250,249,250,
1707773400000,253,250,251,
1707774000000,251,248,250,
1707774600000,250,247,251,
1707775200000,251,248,250,
1707775800000,251,250,251,
1707776400000,251,250,251,
1707777000000,252,250,251,
1707777600000,251,248,251,
1707778200000,251,249,251,
1707778800000,252,249,251,
1707779400000,252,249,250,
1707780000000,251,248,250,
1707780600000,252,250,251,
1707781200000,251,248,251,
1707781800000,251,250,251,
1707782400000,251,248,250,
1707783000000,249,247,250,
1707783600000,249,247,248,
1707784200000,250,246,247,
1707784800000,248,246,248,
1707785400000,246,245,246,
1707786000000,246,244,245,
1707786600000,243,240,243,
1707787200000,245,242,245,
1707787800000,246,243,245,
1707788400000,245,244,246,
1707789000000,244,242,244,
1707789600000,244,243,243,
1707790200000,246,244,246,
1707790800000,243,241,243,
1707791400000,244,243,243,
1707792000000,248,245,247,
1707792600000,244,243,244,
1707793200000,242,242,243,
1707793800000,244,242,244,
1707794400000,244,241,244,
1707795000000,246,243,243,
1707795600000,244,242,244,
1707796200000,242,242,243,
1707796800000,245,243,245,
1707797400000,243,243,243,
1707798000000,245,243,243,
1707798600000,243,241,243,
1707799200000,243,242,242,
1707799800000,243,240,244,
1707800400000,244,242,245,
1707801000000,245,241,243,
1707801600000,243,239,242,
1707802200000,242,239,240,
1707802800000,241,238,239,
1707803400000,243,240,242,
1707804000000,242,238,239,
1707804600000,242,240,242,
1707805200000,242,239,241,
1707805800000,243,241,243,
1707806400000,241,238,241,
1707807000000,243,240,242,
1707807600000,243,242,242,
1707808200000,244,241,243,
1707808800000,241,240,242,
1707809400000,244,242,243,
1707810000000,241,240,242,
1707810599000,242,242,243,
1707811200000,242,241,243,
1707811800000,242,240,242,
1707812400000,242,242,243,
1707813000000,243,242,244,
1707813600000,242,241,242,
1707814200000,241,239,241,
1707814800000,242,242,243,
1707815400000,243,242,244,
1707816000000,242,240,243,
1707816600000,242,241,244,
1707817200000,241,239,242,
1707817800000,241,240,240,
1707818400000,244,243,244,
1707819000000,241,240,242,
1707819600000,241,240,242,
1707820200000,242,242,243,
1707820800000,242,242,243,
1707821400000,241,241,244,
1707822000000,242,240,244,
1707822600000,243,241,244,
1707823200000,244,243,245,
1707823800000,241,240,241,
1707824400000,243,240,243,
1707825000000,242,240,243,
1707825600000,244,242,244,
1707826200000,242,239,242,
1707826800000,242,241,243,
1707827400000,244,244,246,
1707828000000,244,243,245,
1707828600000,242,242,243,
1707829200000,241,242,242,
1707829800000,242,242,243,
1707830400000,241,241,242,
1707831000000,244,241,244,
1707831600000,246,243,245,
1707832200000,245,244,245,
1707832800000,242,242,243,
1707833399000,244,241,244,
1707834000000,244,244,244,
1707834600000,243,241,243,
1707835200000,245,243,244,
1707835800000,244,244,245,
1707836400000,245,244,245,
1707837000000,243,240,243,
1707837600000,244,241,244,
1707838200000,244,242,244,
1707838800000,244,241,244,
1707839400000,244,241,244,
1707840000000,245,241,246,
1707840600000,245,242,245,
1707841200000,246,243,246,
1707841800000,243,242,243,
1707842399000,243,242,244,
1707843000000,245,243,245,
1707843600000,243,242,244,
1707844200000,244,242,243,
1707844800000,244,242,244,
1707845400000,245,244,245,
1707846000000,243,241,243,
1707846600000,244,242,243,
1707847200000,245,243,245,
1707847800000,245,243,245,
1707848400000,246,244,246,
1707849000000,247,245,247,
1707849600000,247,245,245,
1707850200000,246,245,246,
1707850800000,246,245,247,
1707851400000,248,245,247,
1707852000000,247,245,247,
1707852600000,248,245,249,
1707853200000,249,245,249,
1707853800000,249,247,249,
1707854400000,250,247,250,
1707855000000,250,246,249,
1707855600000,249,247,249,
1707856200000,251,249,251,
1707856800000,250,247,250,
1707857400000,250,246,249,
1707858000000,251,247,249,
1707858600000,251,247,250,
1707859200000,249,248,249,
1707859800000,251,248,250,
1707860400000,249,246,248,
1707861000000,250,247,249,
1707861600000,250,248,250,
1707862200000,251,248,250,
1707862800000,251,248,250,
1707863400000,251,249,249,
1707864000000,251,247,249,
1707864600000,250,247,249,
1707865200000,251,248,250,
1707865800000,250,248,249,
1707866400000,250,247,249,
1707867000000,250,248,249,
1707867600000,251,247,249,
1707868200000,249,247,248,
1707868800000,248,247,248,
1707869400000,248,245,247,
1707870000000,247,244,247,
1707870600000,248,245,248,
1707871200000,247,245,247,
1707871800000,246,243,246,
1707872400000,245,241,244,
1707873000000,246,243,246,
1707873600000,246,243,245,
1707874200000,245,243,244,
1707874800000,245,242,244,
1707875400000,243,242,243,
1707876000000,244,241,244,
1707876600000,244,240,244,
1707877200000,244,243,243,
1707877800000,244,241,243,
1707878400000,243,240,243,
1707879000000,246,242,245,
1707879600000,244,243,244,
1707880200000,243,241,243,
1707880800000,244,241,243,
1707881400000,246,243,245,
1707882000000,244,241,244,
1707882600000,244,243,244,
1707883200000,245,242,243,
1707883800000,246,243,245,
1707884400000,244,241,243,
1707885000000,246,242,245,
1707885600000,242,238,242,
1707886200000,242,240,242,
1707886800000,241,239,242,
1707887400000,240,239,242,
1707888000000,242,241,242,
1707888600000,243,241,243,
1707889200000,243,240,243,
1707889800000,241,241,244,
1707890400000,242,241,243,
1707891000000,242,240,242,
1707891600000,243,241,243,
1707892200000,242,240,242,
1707892800000,242,241,241,
1707893400000,242,240,242,
1707894000000,241,241,242,
1707894600000,241,239,241,
1707895200000,240,240,243,
1707895800000,244,241,244,
1707896400000,243,240,243,
1707897000000,241,241,242,
1707897600000,241,241,242,
1707898200000,241,239,242,
1707898800000,241,240,242,
1707899400000,240,241,243,
1707900000000,240,242,244,
1707900600000,240,240,242,
1707901200000,241,239,242,
1707901800000,238,239,241,
1707902400000,239,238,240,
1707903000000,240,238,241,
1707903600000,241,240,242,
1707904200000,239,238,242,
1707904800000,240,237,241,
1707905400000,240,238,240,
1707906000000,241,239,242,
1707906600000,240,242,243,
1707907200000,240,239,241,
1707907800000,241,239,241,
1707908400000,241,239,242,
1707909000000,240,239,241,
1707909600000,240,238,241,
1707910200000,244,242,244,
1707910800000,241,240,242,
1707911400000,240,238,241,
1707912000000,240,238,240,
1707912600000,242,240,242,
1707913200000,242,240,242,
1707913800000,242,240,242,
1707914400000,241,239,240,
1707915000000,239,238,239,
1707915600000,242,239,241,
1707916200000,239,239,239,
1707916800000,239,238,239,
1707917400000,240,238,240,
1707918000000,241,238,240,
1707918600000,242,240,242,
1707919200000,242,241,242,
1707919800000,241,238,240,
1707920400000,241,238,240,
1707921000000,242,241,242,
1707921600000,244,241,244,
1707922200000,244,242,243,
1707922800000,244,242,244,
1707923400000,244,243,244,
1707924000000,243,241,242,
1707924600000,245,242,244,
1707925200000,243,240,242,
1707925800000,246,244,245,
1707926400000,242,242,243,
1707927000000,244,242,244,
1707927600000,245,243,245,
1707928200000,243,242,244,
1707928800000,245,243,245,
1707929400000,243,240,243,
1707930000000,244,241,244,
1707930600000,243,242,243,
1707931200000,245,242,244,
1707931800000,245,244,245,
1707932400000,244,241,243,
1707933000000,244,242,244,
1707933600000,245,243,244,
1707934200000,244,244,244,
1707934800000,247,244,246,
1707935400000,248,245,249,
1707936000000,245,245,246,
1707936600000,246,246,246,
1707937200000,247,245,247,
1707937800000,247,245,247,
1707938400000,247,245,247,
1707939000000,248,247,248,
1707939600000,248,248,248,
1707940200000,249,247,249,
1707940800000,249,246,249,
1707941400000,249,248,249,
1707942000000,250,249,249,
1707942600000,251,250,251,
1707943199000,250,247,250,
1707943800000,250,247,249,
1707944400000,250,248,250,
1707945000000,250,248,250,
1707945600000,251,248,250,
1707946200000,251,250,252,
1707946800000,251,249,250,
1707947400000,249,248,249,
1707948000000,250,248,249,
1707948600000,249,248,249,
1707949199000,249,249,249,
1707949800000,250,249,250,
1707950400000,249,249,248,
1707951000000,250,249,250,
1707951600000,249,248,249,
1707952200000,249,248,249,
1707952800000,249,248,249,
1707953400000,250,248,250,
1707954000000,250,247,249,
1707954600000,249,247,249,
1707955200000,248,247,248,
1707955800000,247,246,246,
1707956400000,247,245,246,
1707957000000,247,246,247,
1707957600000,248,247,248,
1707958200000,247,244,247,
1707958800000,246,244,246,
1707959400000,244,244,244,
1707960000000,245,243,244,
1707960600000,246,245,245,
1707961200000,245,244,244,
1707961800000,245,244,244,
1707962400000,245,242,244,
1707963000000,243,242,242,
1707963600000,246,243,245,
1707964200000,243,242,242,
1707964800000,245,243,245,
1707965400000,245,243,245,
1707966000000,243,243,245,
1707966600000,243,240,242,
1707967200000,242,242,242,
1707967800000,245,244,245,
1707968400000,242,240,243,
1707969000000,245,244,244,
1707969600000,242,240,242,
1707970200000,242,241,242,
1707970800000,243,242,243,
1707971400000,243,240,242,
1707972000000,241,238,241,
1707972600000,241,239,240,
1707973200000,241,239,240,
1707973800000,239,237,239,
1707974400000,244,243,244,
1707975000000,241,241,242,
1707975600000,242,241,242,
1707976200000,242,243,244,
1707976800000,241,239,242,
1707977400000,242,241,244,
1707978000000,240,239,241,
1707978600000,239,238,240,
1707979199000,241,239,241,
1707979800000,240,239,240,
1707980400000,241,239,242,
1707981000000,242,239,243,
1707981600000,240,239,241,
1707982200000,242,242,244,
1707982800000,240,239,242,
1707983400000,241,240,242,
1707984000000,241,242,243,
1707984599000,241,240,242,
1707985200000,241,240,241,
1707985800000,241,240,244,
1707986400000,240,240,241,
1707987000000,242,242,243,
1707987600000,240,241,243,
1707988200000,241,242,242,
1707988800000,238,239,241,
1707989400000,240,239,241,
1707990000000,241,238,242,
1707990600000,240,239,243,
1707991200000,241,242,242,
1707991800000,242,242,243,
1707992400000,241,242,244,
1707993000000,239,238,241,
1707993600000,244,242,245,
1707994200000,244,245,245,
1707994800000,243,244,245,
1707995400000,243,243,246,
1707996000000,243,242,245,
1707996600000,245,244,246,
1707997200000,242,243,242,
1707997800000,240,238,241,
1707998399000,242,242,244,
1707999000000,241,241,242,
1707999600000,241,240,242,
1708000200000,243,244,244,
1708000800000,243,243,244,
1708001400000,242,241,243,
1708002000000,244,243,244,
1708002600000,242,240,242,
1708003200000,242,240,241,
1708003800000,243,241,243,
1708004400000,242,240,242,
1708005000000,241,241,243,
1708005600000,243,241,243,
1708006200000,244,242,243,
1708006800000,244,243,244,
1708007400000,245,244,245,
1708008000000,245,243,245,
1708008600000,241,241,242,
1708009200000,245,244,245,
1708009800000,244,242,245,
1708010400000,243,243,244,
1708011000000,242,240,242,
1708011600000,242,241,243,
1708012200000,244,243,245,
1708012800000,243,241,243,
1708013400000,244,242,245,
1708014000000,245,245,247,
1708014600000,246,244,245,
1708015200000,246,244,247,
1708015800000,244,243,245,
1708016400000,246,244,246,
1708017000000,245,242,245,
1708017600000,245,245,245,
1708018200000,245,245,246,
1708018800000,245,242,244,
1708019400000,245,242,245,
1708020000000,247,243,246,
1708020600000,248,243,248,
1708021200000,248,245,248,
1708021800000,249,246,249,
1708022400000,248,245,247,
1708023000000,248,246,248,
1708023600000,249,247,248,
1708024200000,248,247,248,
1708024800000,250,247,249,
1708025400000,250,248,249,
1708026000000,250,249,249,
1708026600000,251,249,250,
1708027200000,251,248,250,
1708027800000,250,247,249,
1708028400000,251,248,251,
1708029000000,251,250,252,
1708029600000,250,248,250,
1708030200000,249,247,250,
1708030800000,250,249,250,
1708031399000,250,249,249,
1708031400000,250,250,249,
1708032000000,250,248,251,
1708032600000,252,249,252,
1708033200000,250,247,251,
1708033800000,250,247,250,
1708034400000,250,248,250,
1708035000000,251,248,250,
1708035600000,250,249,250,
1708036200000,251,249,251,
1708036800000,251,249,250,
1708037400000,251,249,252,
1708038000000,251,249,251,
1708038600000,251,249,251,
1708039200000,250,248,251,
1708039800000,251,249,251,
1708040400000,251,249,251,
1708041000000,250,248,250,
1708041600000,250,248,250,
1708042200000,249,247,248,
1708042800000,247,246,247,
1708043400000,249,248,250,
1708044000000,248,247,249,
1708044600000,246,245,246,
1708045200000,244,244,245,
1708045800000,244,242,245,
1708046400000,244,243,244,
1708047000000,245,245,245,
1708047600000,243,244,243,
1708048200000,245,245,246,
1708048799000,242,242,243,
1708049400000,245,243,245,
1708050000000,243,242,243,
1708050600000,243,242,243,
1708051200000,245,244,245,
1708051800000,246,244,246,
1708052400000,245,242,244,
1708053000000,242,241,244,
1708053600000,246,244,246,
1708054200000,245,245,245,
1708054800000,246,245,246,
1708055400000,245,244,244,
1708056000000,243,243,244,
1708056600000,244,243,244,
1708057200000,245,244,245,
1708057800000,242,241,242,
1708058400000,241,240,242,
1708059000000,243,242,244,
1708059600000,243,242,243,
1708060200000,241,241,242,
1708060800000,242,242,243,
1708061400000,240,239,242,
1708062000000,241,241,244,
1708062600000,244,243,244,
1708063200000,243,241,243,
1708063800000,240,241,242,
1708064400000,239,240,241,
1708065000000,242,241,244,
1708065600000,239,237,239,
1708066200000,241,241,242,
1708066800000,241,240,241,
1708067400000,242,241,243,
1708068000000,240,238,240,
1708068600000,243,244,244,
1708069200000,239,240,240,
1708069800000,242,240,243,
1708070400000,241,241,242,
1708071000000,240,241,241,
1708071600000,240,239,240,
1708072200000,241,240,241,
1708072800000,240,239,241,
1708073400000,242,241,243,
1708074000000,239,240,243,
1708074600000,239,240,241,
1708075200000,237,237,239,
1708075800000,239,239,241,
1708076400000,239,238,241,
1708077000000,238,239,242,
1708077600000,241,240,242,
1708078200000,238,239,240,
1708078800000,241,239,242,
1708079400000,241,242,243,
1708080000000,241,241,243,
1708080600000,240,240,242,
1708081200000,242,241,244,
1708081800000,240,240,242,
1708082400000,242,243,244,
1708083000000,243,242,244,
1708083600000,244,244,245,
1708084200000,242,242,244,
1708084800000,242,242,244,
1708085400000,243,242,244,
1708086000000,244,242,244,
1708086600000,243,242,243,
1708087200000,242,240,242,
1708087800000,243,240,241,
1708088400000,242,240,243,
1708089000000,243,241,244,
1708089600000,243,241,243,
1708090200000,241,241,242,
1708090800000,243,242,244,
1708091400000,245,244,245,
1708092000000,242,240,242,
1708092600000,243,243,244,
1708093200000,244,242,244,
1708093800000,243,242,243,
1708094400000,243,240,242,
1708095000000,243,241,242,
1708095600000,242,241,242,
1708096199000,243,243,244,
1708096800000,244,243,244,
1708097400000,243,243,244,
1708098000000,244,243,244,
1708098600000,243,242,243,
1708099200000,243,244,244,
1708099800000,244,243,246,
1708100400000,243,242,244,
1708101000000,245,245,246,
1708101600000,244,242,244,
1708102200000,245,242,245,
1708102800000,246,244,246,
1708103400000,243,242,244,
1708104000000,243,243,244,
1708104600000,246,243,245,
1708105200000,243,240,243,
1708105800000,243,242,244,
1708106400000,245,244,245,
1708107000000,245,243,245,
1708107600000,245,244,246,
1708108200000,247,245,247,
1708108800000,245,244,245,
1708109400000,246,244,246,
1708110000000,245,244,246,
1708110600000,246,244,246,
1708111200000,248,244,248,
1708111800000,247,245,247,
1708112400000,248,247,249,
1708113000000,248,247,248,
1708113600000,248,248,249,
1708114200000,248,247,249,
1708114800000,248,247,248,
1708115400000,250,247,250,
1708116000000,249,246,248,
1708116600000,250,247,249,
1708117200000,249,248,249,
1708117800000,249,249,249,
1708118400000,249,248,248,
1708119000000,251,250,250,
1708119600000,250,248,249,
1708120200000,250,248,248,
1708120800000,250,248,249,
1708121400000,249,248,249,
1708122000000,250,249,250,
1708122600000,250,250,250,
1708123200000,249,249,250,
1708123800000,251,248,250,
1708124400000,250,248,250,
1708125000000,249,246,248,
1708125600000,248,248,248,
1708126200000,250,248,250,
1708126800000,249,247,249,
1708127400000,249,248,249,
1708128000000,249,247,249,
1708128600000,248,246,248,
1708129200000,247,246,247,
1708129800000,249,247,248,
1708130400000,247,248,248,
1708131000000,246,246,247,
1708131600000,244,244,245,
1708132200000,244,244,245,
1708132800000,242,242,243,
1708133400000,245,243,245,
1708134000000,244,244,245,
1708134600000,244,243,243,
1708135200000,245,244,245,
1708135800000,244,242,245,
1708136400000,246,244,246,
1708137000000,244,242,244,
1708137599000,243,242,244,
1708138200000,242,242,243,
1708138800000,246,245,246,
1708139400000,245,245,245,
1708140000000,241,242,242,
1708140600000,243,243,244,
1708141200000,243,243,244,
1708141800000,242,242,243,
1708142400000,243,243,244,
1708143000000,242,240,242,
1708143600000,245,243,245,
1708144200000,246,244,246,
1708144800000,244,242,245,
1708145400000,244,243,245,
1708146000000,244,243,245,
1708146600000,242,243,245,
1708147200000,243,243,244,
1708147800000,242,242,244,
1708148400000,241,240,243,
1708149000000,242,240,242,
1708149600000,243,242,243,
1708150200000,244,242,245,
1708150800000,245,241,245,
1708151400000,244,243,244,
1708152000000,242,241,242,
1708152600000,243,241,244,
1708153200000,245,242,245,
1708153800000,243,241,243,
1708154400000,244,243,246,
1708155000000,244,241,244,
1708155600000,246,243,244,
1708156200000,243,241,243,
1708156800000,243,241,243,
1708157399000,243,242,244,
1708158000000,243,243,244,
1708158600000,244,244,244,
1708159200000,242,242,244,
1708159800000,241,239,242,
1708160400000,241,241,243,
1708161000000,243,244,245,
1708161600000,243,243,245,
1708162200000,243,242,244,
1708162800000,243,241,244,
1708163400000,243,242,244,
1708164000000,243,241,244,
1708164600000,242,242,244,
1708165200000,243,241,245,
1708165800000,244,242,245,
1708166400000,243,242,244,
1708167000000,242,239,243,
1708167600000,241,241,243,
1708168200000,242,241,243,
1708168800000,244,242,244,
1708169400000,244,242,245,
1708170000000,241,241,242,
1708170600000,241,241,243,
1708171200000,242,241,243,
1708171800000,240,240,242,
1708172400000,241,243,244,
1708173000000,243,244,246,
1708173600000,241,243,243,
1708174200000,242,243,245,
1708174800000,241,242,244,
1708175400000,241,240,244,
1708176000000,241,243,245,
1708176600000,243,244,246,
1708177200000,242,242,244,
1708177800000,242,244,245,
1708178400000,243,243,246,
1708179000000,241,242,243,
1708179600000,241,243,245,
1708180199000,244,245,246,
1708180800000,243,242,244,
1708181400000,243,244,245,
1708182000000,245,243,244,
1708182600000,244,244,246,
1708183200000,245,244,247,
1708183800000,244,243,245,
1708184400000,244,245,246,
1708185000000,242,241,243,
1708185600000,243,241,244,
1708186200000,245,244,246,
1708186800000,244,243,246,
1708187400000,244,242,244,
1708188000000,245,243,245,
1708188600000,245,242,245,
1708189200000,243,242,243,
1708189800000,243,242,244,
1708190399000,245,243,244,
1708191000000,246,244,247,
1708191600000,244,243,244,
1708192200000,244,243,244,
1708192800000,246,242,246,
1708193400000,245,244,244,
1708194000000,245,244,246,
1708194600000,248,244,247,
1708195200000,246,242,246,
1708195800000,246,244,247,
1708196400000,247,245,248,
1708197000000,247,245,247,
1708197600000,248,245,248,
1708198200000,249,245,249,
1708198800000,249,247,249,
1708199400000,248,247,249,
1708200000000,249,248,249,
1708200600000,249,248,249,
1708201200000,249,248,250,
1708201799000,251,248,251,
1708202400000,248,247,249,
1708203000000,249,248,250,
1708203600000,250,247,250,
1708204200000,250,248,250,
1708204800000,250,248,250,
1708205400000,252,250,252,
1708206000000,250,248,250,
